Speaker 1:          00:02          [inaudible].

Speaker 2:          00:04          I'm Jad Abumrad today on radiolab. Robert Krulwich and I are tackling a question which is very big in neuroscience at the moment. What makes you, you sounds actually like a childhood question man. It is except no one really knows the answer for the station Id we heard one scientist's theory that the self or the mind or even the soul

Speaker 3:          00:24          is nothing but a story of the brain tells itself.

Speaker 3:          00:29          Listening to, what was the name of that guy? Paul Paul Brock. Bob Rocks. Um, the notion that what you are, what a self is is just a story you tell has some scientific authority behind it and that's it. Cause I actually didn't exactly know what he's talking about. Well vs Ramachandran who is a world famous neurologist also believes that what is peculiarly human about us is our ability to construct stories. And he says this ability is new or relatively new. It happened at a particular moment in time and he thinks he knows about when maybe 200,000 years ago, half a million years ago, something absolutely astonishing happened. What the evolution of introspective consciousness and the evolution of the south evolution of introspective consciousness. What does that mean? Well, let's do this simply and back up for a minute. [inaudible] there are different sets of creatures in the world. There are dumb ones. There are smarter ones.

Speaker 3:          01:28          And then there's us. Okay, so let's just choose, say a worm for our dumb candidate. Imagine you're aware and you're crawling through the ground like worms like to do, and you bump into a pebble. Now, here's what a warm doesn't do. A warm doesn't think I can't seem to move this pebble [inaudible] because they're warm. Doesn't have a brain big enough or a nervous system strong enough to support the idea of Dang me. Pebble. Certainly not. Dang, there's no I'm, I'm not a worm. But as far as vs Ramachandran is concerned inside the worm's head, there is no picture at all. There's just a set of inherited instincts. No pictures in that worms head. No story there. Okay? So let's step up to another level of creature. You give me a creature, uh, but it has to be a more complex one. Okay. How about going back to the monkey?

Speaker 3:          02:13          Okay. Monkey monkey swinging through trees. Monkey sees a lady monkey, the lady monkey. If it has a red, um, how should I put this bottom then the, the lady monkey is interested in sex. So if you notice, says Dr Ramachandran, if that rump is red, the red rumps of of a female primates. I like to eat red. I claim a monkey after seeing red can react to it. Maybe you can even remember the red and do the appropriate reaction. And the probably reaction in this case would be to grab that lady monkey and you know, might make a baby with her. This monkey pulls an image of another monkey in, makes an association. And so there's images in the monkey's head. But now here's something the monkey can't do. You can't the symbol red and it's Ed. So if I said to a monkey, see that Volvo over there, that White Volvo, let's make it a red Volvo.

Speaker 3:          03:08          Any human being can take a white car and make it in their imagination. You can paste red on it in his imagination, but a monkey you don't think can do. We cannot. And this is so simple for a human being to do. And I just, let's run through a quick exercise. Okay. Imagine for me a bird in your head. Got a bird in there. Yeah. What kind of bird? A canary. Yes. Now there it's there. Make it into a brilliantly red canary even though, ah, okay. Like kind of a cardinal, but canary's Barney, it's there. It's right now. Make it into a striped canaries. Trapped. What? Color stripes? Purple. Purple. Purple Stripes. Purple stripes on a Red Canary. Wait, hold up. Purple stripes on a Red Canary. Got It. Is it in there? Now? It's there and an l. It's vivid glory. Ornithological stripe. And this is not one of your favorites.

Speaker 3:          03:54          All right, so at this moment I'm going to point out something to you. There is no such thing as a purple striped red. The canary in the world. You could search the world and never find one that does not surprise me, but you've got one now in your head. However lamely it's in there somewhere. Only a human being could do this because only humans can take images from the real world, pull them into their heads, divide them into parts, and then start turning those parts into abstractions. Monkeys does. Ramachandran can't do that. A monkey can be trained to think of a bird putting the bell in, show it a bud, and the fifth time you just ring a bell. Presumably it's conjuring up an image for bud. Now you can not only train a human to think of the bad, you can train a human to think of babies, but now the human can think of a birds wings on a human baby conjured an angel, which has never seen this is because he is now has what are called Tokens. He has created design body tokens. So color is Hogan big is it took adjectives or adjectives or tokens and then he can manipulate these tokens, juxtapose them in counterintuitive ways. He can create even outlandish scenarios, what we call imagination.

