Speaker 1:          00:02          Oh wait, you're listening.

Speaker 2:          00:08          You are listening to radio lab radio from W N y. S. T e. All right. Hello? Hello? Hello? Hello? Hello? Hello. I can hear you. They can't hear me? No, we can hear you. We can hear you. We can also hear it twice. Yeah. Hey, I'm Jen. I boom. Rod. I'm Robert Krulwich, Radiolab, and today, oops. Oops. You don't, you don't hear. You don't hear us. We have a story about how, hmm. The echoes of you can go out into the world and come back and bite you in. All of us. Really in the bud. Hmm. Uh, oh wait, wait. Maybe we're fine now. Is My echo gone? Yes. Okay. Okay. We're good. We're good. And it comes to us from our producers. Simon Adler. Yeah. Nick. Hello. Hello. Sorry. Okay, so this is Nick Bilton. My name is Nick Bilton. I'm a special correspondent for Vanity Fair and is beat, you could say is trying to predict the future of technology to look into the future.

Speaker 2:          01:11          I'm into this kind of crystal ball and try to predict what the next five, 10, 15 years would look like for the media industry. Do you have a good batting record? Like did you, did you call some big well yeah, you know, phones in our pockets that would be like super computers that social media would drive news, not newspapers and so on and things like that. So it's, it's, it's been pretty good. I reached out to you because I came across this article that you wrote an article that, uh, sent shivers down my spine and I'm not one to typically be given shivers by articles. So I guess how did you stumble into all of this and where did, where does this start for you? So, uh, I was sitting around with some friends in my living room and friend of mine mentioned, Oh, did you see this thing that Adobe put out recently?

Speaker 3:          02:00          We live in a time when more people than ever before believe that they can change the world.

Speaker 2:          02:05          Conversation led nick to a video, a video online of the Adobe Max 2016.

Speaker 3:          02:13          There are tons and tons of people in the audience. Yeah,

Speaker 2:          02:16          he's amazing. And, and up in front of them, it looks like the stage of a apple product launch, but sort of beach themed. Why Beach? I have absolutely no idea. That's a little bit to your mind. I got, Hey, there are two hosts that are sitting in these like lifeguard chairs, comedian Jordan Peele, Jordan Peele as in key and Peele, Jordan Peele. Yes. And then the other host is this woman Kim Chambers who is a marathon swimmer and uh, an Adobe employee. And then please welcome to the stage [inaudible] Jay.

Speaker 3:          02:49          Hello everyone. Young guy glasses. You guys have been making weird stuff online. Great photo ID chain

Speaker 2:          02:59          and he says Adobe is known for Photoshop. We're known for editing a photos and

Speaker 3:          03:05          doing magical things visually. Well, we all do the next thing today. Let's do something to humans. Speech pulls up the screen on a MAC computer. Wow. I have obtained today's piece of audio where, um, there's Meco key talking to peel about his feeling after getting nominated.

Speaker 2:          03:24          Keegan Michael Key had been nominated for an Emmy and a, he and Jordan Peele were talking about it.

Speaker 3:          03:30          Ah, there's a pretty interesting, uh, joke here. So let's, uh, let's just get yet, uh, I jumped on the bed and um, and uh, uh, I kissed my dogs and my wife in that order. Not a bad joke. So that's a, that's do something here. Okay. So suppose I'm Michael K one, 2000. There's a audio to his life.

Speaker 2:          03:51          In other words, what if Keegan Michael Key with feeling like that was a little bit rough on my wife? That was a little bit mean, uh, you know, maybe, uh, he wanted to go and rewrite history and say that he kissed his wife before the dog.

Speaker 3:          04:05          Okay. Actually want his wife to go before the dogs. So, okay. So what do we do

Speaker 2:          04:12          easily? So Xavier Clicks a button in the program, automatically generates a transcript of the audio and projects it up on the screen behind him. You know, just text of what Keegan Michael Key said. Okay, let me zooming a little bit and then copy paste. He just highlights the word wife and pastes it over in front of dogs.

Speaker 3:          04:30          Okay, let's listen to it. Clicks play. And uh, uh, I kissed my wife and my dogs. Woo.

Speaker 4:          04:37          [inaudible]

Speaker 5:          04:37          oh, so he was able to move the, edit the audio by moving the text around in a text box. Yes, exactly. Okay. Well that's kind of cool. Kind of impressive.

Speaker 3:          04:46          Wait, but then here's more, here's more. Uh, we can actually type something that's not here. So, wait, wait, what? Just hang on just again. I have heard that, um, actually that on that day, uh, Michael actually the hour Jordan, so sorry to recover the truth. Let's go with you. Goes back into that little word box though. Let's remove the award of my here, your secrets out to type the word Jordan.

Speaker 2:          05:18          So he typed it out. J, o. R. D. A. N. N. Just to be clear, Keegan Michael Key did not see Jordan anywhere in this clip.

Speaker 3:          05:24          And here we go. And, uh, I kissed Jordan and my dogs.

Speaker 5:          05:31          Wait, he just typed in a word that the guy never said and it made the guy say the word that he never said as if he actually said it

Speaker 3:          05:39          exactly. Well you will, which jumps out of this lifeguard. Yeah.

Speaker 2:          05:44          Chair started sort of stomping around the stage.

Speaker 3:          05:47          You were, you were demon. Oh yeah. I have a magic and to the lot magic, I cannot show you guys as we calculate types, small phrases. So that's

Speaker 2:          05:59          okay. So what were your mood? He deletes the words. My dogs. Any types? Three, three times. Oh Man. Tea Bag and a, I kissed Jordan three times.

Speaker 6:          06:15          [inaudible]

Speaker 2:          06:15          all right. Wait, you are saying that Keegan Michael Key never said, ever said Jordan. Never said three. Never said time's never, never said any of those words. And somehow just from the typing in of it, the guy is now saying them and we're hearing them in his voice. That's what just happened. Yup. That is exactly what the demo claims. It's essentially Photoshop for audio. Nick built. And again, you can take, uh, uh, as little as 20 minutes of someone's voice type the words. And it creates in that voice, um, that sentence with, with just 20 minutes of the guy talking. Yes. What, how, how in heaven do you do this? Okay. Well, and so we're, we're here to Adobe. Um, what, what exactly do you do here? Sure. I'm the product manager for audio. This is during Gleaves. Um, I flew out to Seattle and tracked him down to ask him exactly that question.

Speaker 2:          07:08          So essentially what it does is it does an analysis of the speech and it creates a models and it, it basically, uh, and he explained to me that this program, which they call it Voco by the way, um, what it does is it takes 20 minutes or actually 40 if you want the best results, uh, of you talking. And it figures out all of the phonetics of your speech. All of the sounds that you make finds each little block of sound and speech that is in the recordings, chops them all up. And then when you go and type things in, it will recombine those, um, into that new word. But what if it encounters a sound that I've never made? Well a, the theory is in 40 minutes of speech, which is the amount they recommend you feed in, you're going to probably say just about every sound in the English language.

Speaker 2:          07:50          So if really, so like phonetically I go, I run through the gamut and in 40 minutes, yes. Wow. Well, and like what would you, or what are you hoping people will, would use a product like Foco for a, so for the video production tools and for what audition is used for a lot as dialogue editing, the whole idea during said is to help people that work in movies and TV. A lot of our customers record great audio on set the actors and the dialogues and everything. Uh, and when they come back, if sometimes there's a mistake or they make a change, like the actor on set said shoe. Uh, but what he was pointing at was obviously a boot. And right now there's, they do what's called ADR. They'll bring the actor in, they'll rerecord some lines and they'll try and drop that into the video.

Speaker 2:          08:40          But there's a lot of, you're not using the same microphones, you're not in the same location. The actor might be sick that day. So up his voice sounds different and things, a lot of times you can really hear that stand out in productions if they don't get it just right or with Voco you just delete the word shoe type in boot and boom, there it is using the same source media and the same characteristics and have it just sound seamless and natural. And so it, it, it's going to be a sort of, the hope is that it will make the lives of professional post-production editors easier the world over. That's our hope right now. Yeah, but that's not exactly, well, it's, I mean it's, um, what Nick Bilton thought when, um, when he saw this video, it could be Donald Trump's voice or Vladimir Putin. Um, so I saw that and I thought, wow, if imagine if audio clips start getting shared around the Internet, um, as fake news about fake conversation between, you know, Vladimir Putin and Paul Manafort about trying to get Trump into the white house or something like that. Right now. I was like, Whoa, this is, this is scary stuff, but we're just getting started. In the words of John Raymond Arnold played by Samuel L. Jackson in the movie Jurassic Park in his own voice. Hold on to you, but things are about to get a lot crazy

Speaker 6:          10:05          [inaudible]

Speaker 2:          10:10          so forget voices for a second because now one, two, three, four, five, one, two, three, four, five. It's facetime. All right. We are at the Paul G. Allen Center at the University of Washington in Seattle, so I left Adobe and went across town to talk to the head of the grail lab hero. Yeah. Very nice to meet you. Dr Eric [inaudible]. I'm a professor in the computer science department at the University of Washington and Elsa work at Facebook. Can I just have you come a little closer? Okay. Just to back up for a second, when nick first saw the VOCO demonstration, he started to wonder, okay, like how could this be used down the road? And my original thesis was, oh, well, maybe what'll happen is that you will be able to create three d actors just like you didn't star wars. Then join it with the voco stuff to create a fake Hillary Clinton and you know, Donald Trump having a conversation or making out or whatever it is you want to do.

Speaker 2:          11:05          And that led him to investigate the type of work that era does. Should I've been using these terms like facial reenactment and facial manipulation? Are those the, are those the right words and then what the hell do these words mean? Yeah, so, um, I mean it's all, it's all a way of animating faces and it started from the movies, right? The concept is to drive these remotely controlled bodies called avatars. I think like the aptly named movie Avatar or a Sargent. Yes. Going a little further back. No sign of intelligent life anywhere, toy story, and to make the characters come alive. What you need is the expressions of the actors playing them. This is the movie space. It means that you will bring the person to a studio. Then you covered their face with these sticky sensory marker things and then they will spend hours, hours, hours capturing the person's little dynamics like smiled up in miles teeth, claws, mas, no teeth had surprised disturbance like that.

Speaker 2:          12:02          Angry, bloated. Yeah, frustrated. And from that they create a virtual character capable of emoting all those expressions. And to make that character believable, the animators sometimes have to model a bone structure and muscles. And as you can imagine, this can get very, very expensive. And so what people like eras started to wonder was like, can this be done on a budget? So she and others in the field started feeding videos of faces into computers and trained those computers to break down the face into a series of points. Our model started about a two 50 by two 50 that is 62,500 points on one human face. And the once we know that right, we can track the points. Okay. So once you can track how my face moves through a video clip by these 250 by 250 data points, what can you then do with that information?

Speaker 2:          12:54          Well, I can apply the points on the face on a different model of a different person. Now this is, this is where things get a quite strange, uh, because instead of being able to map all of your facial movements onto a computer generated a virtual character or person, uh, with era and others in this field of facial reenactment have figured out how to do is to map your facial movements onto a real person, a, a prerecorded real person. What, what does that even mean? What, how does that work? The best example of this is a, is this piece of software that nick showed us. Uh, this software that I found from these university students called face to face sweet present, a novel realtime facial reenactment method that works with any commodity Webcam. There's a video demo of this and when you open it up, uh, this very monotone voice comes in saying, since our method only uses RGB data for both the source and target actor, and you're like, what the heck is this?

Speaker 2:          13:53          And the screen pops up here, we demonstrate our method in a live setup. On the right, you've got this heavyset man, a goatee, spiked hair on the right, a source actor is captured with the standard web, is arching his eyebrows, he's pursing his lips, he's opening his mouth widely. The sorta like a, like if you're making funny faces for a two year old kind of thing. Yeah. And then this input drives the animation of the face and the video shown on the Monitor to the left. On the left you've got this Dell computer screen displaying a CNN clip of George Bush. This is a real clip of Bush back from 2013 and his face is, they're looking right at the camera, occupies most of that screen. Significant difference to previous methods. What you start to notice is when the man with the goatee smiles, George Bush in the CNN clip also smiles. And when the man raises his eyebrows, George Bush raises his eyebrows and you realize this man is controlling George Bush's face. Wait, so this is a guy in, in the present controlling a past George Bush. A real George Bush from an old video clip.

Speaker 7:          14:56          Yeah. Okay. I pulled up a video for you here. Okay, cool. And a little while back when we were just learning about this, we happen to have our friend Andrew Morantz who writes for the New Yorker in the studio.

Speaker 2:          15:07          So that is George Bushes face. [inaudible] what? Oh God. Oh God. That's terrifying. His, okay. So yeah, I cannot stop watching George Bush's face. Oh, they're doing with Putin now. Holy God. So I just have a guy just sort of going [inaudible] and then that's what Putin is doing. Yeah. Oh, now it's Trump. You know, I mean those videos online, how my mouth agape again, Nick Bilton, this is this, this is a form of puppetry where your face is the, is the puppeteer than the only thing is, is, is that George W. Bush as the puppet. So I sit in front of a camera, I smile and the business is taken care of. That's real time. This isn't like you have to render some software on your computer. It's literally you download a clip or you take a clip from the cable news and you turn on your Webcam and however long it takes you to do it and you're done. It's the same as to shooting a video on your phone. What is this for? What? So what, what are the applications,

Speaker 8:          16:13          Jason? Um, I want to be able to help cal develop telepresence. This is era again. So I love telepresence. Yeah. So for example, so my mom leaves in these rail, um, and I'm here and, um, what is it be cool if I could, um, have some, it's kind of crazy, but right. But if I could have some kind of Hologram of her sitting on my couch here and we can have a conversation

Speaker 7:          16:44          and going one step further. One of your colleagues, a guy by the name of Steve Sights, I'm a professor at the University of Washington and I also work part time at Google. He told me that they see this technology as like a building block that could one day be used to essentially virtually bring someone back from the dead. I just think this technology combined with the virtual reality and other innovations could help me, you know, just be there in the room with Albert Einstein or Carl Sagan. You know, that that's sort of the motivation. That's what they want to do. That's the motivation to ghosts. Well, for them. Yes. And uh, when I was talking to some folks who work in commercials, they're developing their own version of this and the idea is that they're going to make a million or $1 billion off of this because a, say you bring, I dunno, uh, Jennifer Anniston in to film some makeup commercial and in the makeup commercial in English.

Speaker 7:          17:39          She says, so come and buy this product. This is the best sort of whatever product around right now. You've got China, which is a booming market. You maybe want to market things to China and really like to be able to use Jennifer Anniston. Problem is Jennifer Annison doesn't speak Mandarin. So either you use the same audio clip and you have someone come in and speak a mandarin over her and the lips don't line up. Or You have to hire a Mandarin speaking, uh, actor to come in and do the part of Jennifer Anniston with this technology. All you have to do is record Jennifer Aniston. Once you can hire a mandarin speaker and the mandarin speakers voice will be coming out of Jennifer Aniston's mouth is if she had said it and in front of the camera, her lips would be moving as if she were a perfect mandarin speaker. Exactly. Exactly. Wow. I think that part of it is actually, that's, that's amazing. Yeah. Oh my God. I'm amazed and completely frightened by what you're telling me. And that's the whole point of what nick was writing about that, uh, that gave me shivers that someday if you join the video manipulation with the Voco voice manipulation, you, you're, you're the, the ultimate puppeteer. You can create

Speaker 9:          18:55          anyone talking about anything that you want in their own voice and having any kind of emotion around it and you'd have it right there for everyone to see in video. And all you need to do is take that and put it on Twitter or Facebook. And if it's shocking enough, I minutes later it's everywhere.

Speaker 6:          19:18          [inaudible]

Speaker 9:          19:22          like the timing of you guys making this thing and then this explosion of fake news like, Huh? How do you guys think about, about how it could be used for nefarious purposes?

