Speaker 1:          00:02          Oh wait, you're listening.

Speaker 2:          00:08          You are listening to radio lab radio from W N Y S C three two one. Hey, I'm Jad Abumrad. I'm Robert Krulwich. This is radio Lauder for today. Do, do, do, do. Yeah. We're going to begin with a conversation we had actually quite awhile ago. I would benefit from a little bit of framing about kind of what we're like our goal of this session. Sure. We can frame it, uh, can make you blab a lot and then we edit it later. Right. That's kind of it. It's a conversation that we had with a reporter. I see someone we used to work with. Yeah. X intern. Yeah. One of our great interns has gone off in the world. Amy O'Leary is her name. Amy O'Leary is her name. Uh, she at the time was a New York Times reporter, but he's now the editorial director of upworthy.

Speaker 3:          00:57          Um, so this started actually, uh, through a personal interest. So I was in a relationship with an alcoholic and um, was very open about that, talked about it with all my friends and we opened with him about it too. Yeah. I mean, I would say he was in some denial and, but yeah, it was, I mean I regularly would tell him, hey, like you have a problem with this and you know, and he would be clear back and say, you know, if you're gonna make me choose between me and vodka, I'm gonna Choose Vodka. So you would say that. And you're lucky to say that once. Yeah. Wow. And I was, you know, young, but every night after 11 o'clock, my life became,

Speaker 2:          01:27          without getting into a lot of detail, there were fights, arguments,

Speaker 3:          01:31          a lot of rage and I didn't know what to do and felt really out of control. And you know, I had been to Allen on meetings and just seemed like this like terrible, tragic problem that like a really smart, cool person would turn really awful on you.

Speaker 2:          01:44          But then one day Amy found yourself in Barnes and noble on Union Square,

Speaker 3:          01:47          Union Square. Think I'm on the third floor. And there was a table of mostly self help books. And there was this one called the end of my addiction. She picked it up. This book was super fascinating. It was the memoir of a French cardiologist, this French doctor who had had his life completely ruined by alcoholism and I looked at it and I f I probably stood there like feet glued to the floor and just like read 70% of the book.

Speaker 4:          02:15          [inaudible]

Speaker 5:          02:15          the book described in very vivid detail, this successful doctor just sliding off the rails. He'd been in, you know, detoxes and medical treatment facilities, you know, upwards of a half dozen times. His practice had fallen off. He was losing everything in his life. At one point he describes this terrifying moment of waking up in the back of a taxi. Blood all over himself does know whose blood it is, does know where he's going. He was totally desperate.

Speaker 3:          02:40          He killing himself was the next option. And then at one point he says that he had read this tiny nugget, New York Times, and this is like the early nineties I think, barely. He'd stumbled across this short piece about a guy who had been addicted to cocaine taking some muscle relaxes and his cravings for cocaine completely ceased. It was just one guy, one guy's experience, but he saw that and he basically just felt like, well I might as well try this. I'm just going to experiment on myself. So he gets the drug starts taking it and he slowly like doses up,

Speaker 6:          03:10          uh,

