Speaker 1:          00:02          Oh wait, wait. You're letting

Speaker 2:          00:09          listening to radio lab radio from W N y. S t. All right. Hello? Hello? Hello? Hello? Hello? Hello. I can hear you. They can't hear me? No, we can hear you. We can hear you. We can also hear it twice. Twice. Yeah. Hey, I'm Jad, I boom. Rod. I'm Robert Krulwich, Radiolab, and today, oops. Oops. You don't, you don't hear. You don't hear us. We have a story about how the echoes of you can go out into the world and come back and bite you in all of this really in the bud. Hmm. Uh, oh wait, wait. Maybe we're fine now. Is My echo gone? Yes. Okay. Okay. We're good. We're good. [inaudible] and it comes to us from our producers. Simon Adler. Yeah. Like nick. Hello? I'm sorry. Okay, so this is Nick Bilton. My name is Nick Bilton. I'm a special correspondent for Vanity Fair and is beat, you could say is trying to predict the future of technology to look into the future.

Speaker 2:          01:11          I'm into this kind of crystal ball and try to predict what the next five, 10, 15 years would look like for the media industry. Do you have a good batting record? Like did you, did you call some big well yeah, you know, phones in our pockets that would be like super computers that social media would drive news, not newspapers and so on and things like that. So yeah, it's been pretty good. I reached out to you because I, I came across this article that you wrote an article that, uh, sent shivers down my spine and I'm not one to typically be given shivers by articles. So it, I guess how did you stumble into all of this and where did, where does this start for you? So, uh, I was sitting around with some friends in my living room and friend of mine mentioned, Oh, did you see this thing that Adobe put out recently?

Speaker 3:          02:00          We live in a time when more people than ever before believe that they can change the world. And that

Speaker 2:          02:05          conversation led nick to a video, a video online of the Adobe Max 2016.

Speaker 3:          02:14          There are tons and tons of people in the audience. Yeah,

Speaker 2:          02:16          he's amazing. And up in front of them, it looks like this stage of a apple product launch, but sort of beach themed. Why Beach? I have absolutely no idea. That's a little bit to your mind. I got, Hey, there are two hosts that are sitting in these like lifeguard chairs, comedian Jordan Peele, Jordan Peele is in key and Peele, Jordan Peele. Yes. And then the other host is this woman Kim Chambers who is a marathon swimmer and an Adobe employee. And then please welcome to the stage on walks, Zay, UGA.

Speaker 3:          02:49          Hello everyone. Young guy glasses. You guys have been making wear to staff online. Great photo chain.

Speaker 2:          02:59          And he says Adobe is known for Photoshop. We're known for editing photos and doing that

Speaker 3:          03:05          magical things visually. Well we'll do the nectar thing today. Let's do something to no speech pulls up the screen on a Mac computer. Wow. I have overtaken today's piece ball deal where um, there's mech key talking to peel about his feeling after getting nominated.

Speaker 2:          03:24          Keegan, Michael Key had been nominated for an Emmy and a, he and Jordan Peele were talking about it.

Speaker 3:          03:30          Ah, there's a pretty interesting, uh, joke here. So let's, uh, let's, uh, just here yet. Uh, I jumped out of the bed and, um, and uh, uh, I kissed my dogs and my wife in that order. Not a bad joke. So that's uh, that's do something here. Okay. So suppose a Michael K one, two, send this audio to his life.

Speaker 2:          03:51          In other words, what if Keegan Michael Key was feeling like that was a little bit rough on my wife? That was a little bit mean. Uh, you know, maybe he wanted to go and rewrite history and say that he kissed his wife before the dog.

Speaker 3:          04:05          Okay. Actually want his wife to go before the dogs. So, okay, so what are we doing

Speaker 2:          04:12          easily? So you clicks a button in the program automatically generates a transcript of the audio and projects it up on the screen behind him. You know, just text of what Keegan Michael Key said. Okay, let me zooming a little bit and then copy paste. He just highlights the word wife and pastes it over in front of dogs.

Speaker 3:          04:30          Okay, let's listen to it. Clicks play. And uh, uh, I kissed my wife and my dogs. Woo.

Speaker 4:          04:37          [inaudible]

Speaker 5:          04:37          oh, so he was able to move the, edit the audio by moving the text around in a text box. Yes, exactly. Okay. Well that's kind of cool. Kind of impressive.

