Speaker 1:          00:02          Oh wait, you're listening.

Speaker 2:          00:08          You are listening to radio lab radio from W N y. S. C e. Yep.

Speaker 3:          00:19          Are you surprised that this is so popular? Am I surprised? You know what I'm surprised about? I'm surprised that, um, this morning I was walking to the subway and I was like, man, I want to listen to my k-pop playlist.

Speaker 4:          00:35          Yeah.

Speaker 2:          00:38          I guess I'm a little surprised with that myself taking notes.

Speaker 4:          00:44          Robert [inaudible] fantastic.

Speaker 3:          00:49          And I did listen to it and it was amazing and I, it's just, it's undeniable.

Speaker 2:          00:54          Okay. I'm Jad Abumrad I'm Robert Krulwich, Radiolab [inaudible] oh, sorry. No, no, you go, no, no, no. Like today, a story from a reporter, Alex Young. Hi. Hi. We're just to set it up. This story for us connects to one we did a few podcasts ago about Gary Hart and the moment when, how we covered politics changed this story is about a similar change that's happening right now. Right in front of our eyes in South Korea. So we're like, we're going to travel a few thousand miles. Yeah. And in this one, all the usual dynamics you would expect in this kind of story get totally flipped. It's not about politics at this time. It's about music fans. Yeah. It's going to sound a little bit like a music pieces you've already heard, but really it's a puzzle. If you really admire someone and love them and so on. How much do you want to know about? About them? Really? Yeah. Is it tell me everything or tell me nothing. And if someone does try and tell you everything, at what point do you say, stop

Speaker 3:          02:02          you ready? I'm ready. Where do, where do you, where should we begin? Well, I think before we get to like the moment that I am very excited about, I need to kind of give you guys a little bit of of the world in which all of this is going to happen. Okay. And so we're going to start with this woman. When I tell my friends about it, I kind of describe it as a prison, but it's a prison you decide to walk into.

Speaker 3:          02:25          Okay. So this, this is Sarah Wolfgang. Um, I was a former trainee for Kate pop group in Korea. Um, and I'm here to talk about that. Sara is Korean American. She was born in America, but I actually grew up in Korea. Um, my parents both worked for the military. And you were living in soul? Correct. Okay. Yongsan Seoul and Sarah says that her whole k-pop adventure, it all started with her because when she was growing up, I really never liked school, so my parents were kind of wanting me to do something else. I think they still wanted me to finish

Speaker 2:          03:00          school, but they encouraged her to try out acting, to go to auditions, try out for school plays. And when I was in high school, about 15 years old, maybe 10th grade at her head shots ended up getting passed to a South Korean record company. And when we received the phone call, they were like, oh, hey, you want to come in and audition for a k pop group? And I was, uh, I actually denied it. I really didn't want to do it. Oh. But then she thought maybe this will lead to an acting job. So I went in and then they're like, okay, they put me in front of a camera and there they asked me to um, sing and I'm not the best singer, but that doesn't really matter to K-pop. Nope. Everything you know can be touched up really well. To make a long story short, they ended up offering her a contract of more than five years and as part of that contract, we were asked to move into the dorms.

Speaker 5:          03:54          [inaudible]

Speaker 2:          03:54          there are these facilities that all of the agencies have for further idols and training. They described it like a boarding school. All the kids kind of live together and so I moved to the dorms with six or seven other girls and it was here that Sarah says the company basically kept them under lock and key. Well, they didn't lock us in there, but we weren't allowed to leave. It's like one of those cockroach prisons or like those ant prisons you can walk in but you can't walk out. Why is she doing this again? Well thank you.

Speaker 4:          04:34          [inaudible]

Speaker 6:          04:34          let me explain to you guys just like how phenomenally huge k-pop is. K-Pop actually started in Korea in the early nineties, but like in the last five or so years,

Speaker 4:          04:45          it is just

Speaker 6:          04:48          build out into the rest of the world. And by some estimates it was generating like around $5 billion a year. And then if you throw in like k drama, k soap operas, um, which is called the, how you wave that, how you wave in 2012 was valued at $83 billion. Jesus. Yeah. And nearly all of this,

Speaker 3:          05:12          it's based on a kind of fantasy because k pop stars are, you know, products of fantasy world. That's Professor Souk Young Kim Theater Studies at University of California, Santa Barbara. I studied k-pop industry. You know, f stars are the embodied forms of Manga and enema and all these unrealistic figures that don't exist in real life. So they have to have really beautiful face, beautiful body, you know, excessively long legs, broad eyes, pale skin flowing hair. They are not the creature of this world. They shouldn't be, you know, they own, they can only exist in fantasy world

Speaker 6:          05:55          in that fantasy. That's what trying to manufacture

Speaker 2:          05:58          in those dorms, like they wanted us to lose weight. Um, so we would wake up at like four or 5:00 AM in the morning and then go hiking. Sarah says after the hike they'd come back eat breakfast, which usually consisted of lettuce, then they'd have dance classes, singing classes, and then we have lessons of, I think they're called like humble lessons where basically this guy would show up to the dorm and he would teach us to bow correctly. So like we would have to bow in unison. Um, so that we seem to as like one big happy group, they weren't allowed to have cell phones, no computers, nope. Or a relationship of any kind. All companies pretty much don't want you to be in a relationship. And in fact, one of the girl too can told me that in 2011,

Speaker 6:          06:43          the, one of the members of 21, which is like a whole group managed by YJ Entertainment, revealed that their management said they should not be dating before age 29.

Speaker 2:          06:57          What? Oh my God,

Speaker 6:          07:01          they shouldn't be dating because stars belong to the public. To the fence and

Speaker 2:          07:09          that was a thing. It was like a purity thing. No, that period. Angelic Virgin Madonna image. This by the way, is k-pop writer, a g park editor@largeatsoompi.com like girl groups. These are calling like nations fairies. You know, they had this pure Chast um, image to them and the boy bands too, because that being single makes them more marketable and appealing. And Adrian says that's, that's the main takeaway. Of course, there's all kinds of cultural observations that you can make about this, but the main driver here is economic. The founders of K-pop knew back in the early nineties that the fans would love the starves even more if the stars weren't just beautiful and perfect, but they also seemed somehow available. You would be surprised how many k-pop stars come out and be like, oh, I've never had my first kiss yet. And they're like 1920 years old. Kind of like, I have it on my first kiss.

Speaker 2:          08:02          Will it be with you? You know, in feeding the fantasy kind of thing. Way, way. Is that all that different than America? I mean, didn't you feel weirder or stranger or something or when, what's when like, I don't know, Catherine Zeta Jones married that guy. Whatever his name is. Yeah. I don't really wanna think about his name cause it, it changed things for me. Me Too. I didn't have that feeling. I mean I would come on you. Oh, you're always going on about Meryl Streep. She married by the way to me. But no, she doesn't know. She is married to a chill, very quiet man is a sculptor, you know? How does that make you feel? I look around. It just shows to see like what does he got through? I don't have no with that. My point is, is it that diff? I mean America, the American celebrity culture has fantasy woven into of course yet, but there's a big difference in Korea, that fantasy world. It is so extremely controlled, way more than in America according to Sooki on camp. And it's controlled not just by the agencies, by the fence to the extent that it defies all of our common sense. What do you mean? I'll give you an example. This one I heard from professor CQ and Kim and also writer Leslie. Tim Bucko. I'm the editor in chief of soul beats. It's a big k pop k entertainment site. Okay.

Speaker 6:          09:18          2008 there was this new girl group, girls generation halls, girls generation, girls generation is a nine member. All Girls Group. That was like hearing on like music shows and like variety shows being promoted as like the girl next door. I'll cute and you know like the ideal girlfriend kind of idea unless he says that on some of these shows girls generation would appear with boy bands, you know, who were also promoting at the same time. Groups such as super junior ss five oh one and devious k. Okay. So these three groups in various shows, they would be like standing next to each other on stage talking to each other during variety shows. And this is where we kind of get into the cultural stuff. There are several times when they're onstage with one or more of these boy bands and they're kind of taking the microphone from the host or whatever and kind of just nodding their head.

