Speaker 1:          00:00:02       All

Speaker 2:          00:00:02       right, we're going to mix it up this week and talk about something a little less controversial than usual feminism. Everyone agrees on that, right? Okay, good. That's what I thought. My guest this week is Christina Hoff summers. Christina is a former philosophy professor, author and a speaker for the American Enterprise Institute known for her critique of late 20th century feminism. Over the past few months. I've become familiar with Christina because her name kept popping up all over my twitter feed at first related to Gamergate and now because of her tongue and cheek commentary on campus, free speech, trigger warnings and safe spaces. Actually thanks to twitter and to all of you who've helped connect me with likeminded people. The show is really taken off in a way I couldn't have imagined. Suddenly I find myself immersed with people I truly admire and respect. We're all talking to each other in various mediums and strengthening the ideals we stand for, even if we don't agree on every specific issue.

Speaker 2:          00:00:59       One such an issue that I haven't tackled too deeply yet is feminism and that's exactly why I wanted to have Christina on as an equity feminists. Christina cares about both women's and men's rights. You know that whole two things can be true at once. Idea that I've been talking about, I shouldn't say that feminism in and of itself isn't one of my bread and butter topics. As you guys know, I love discussing politics, foreign policy, religion and secularism and more, but haven't done a ton on the topic of feminism. Of course, the argument could be made that feminism and the fight for women's rights is an absolute through line. Through all of the topics I just mentioned. Generally speaking, where women are treated with equality, we see fair societies with more secular values and less radicalism. This isn't a coincidence, nor is it something that should be overlooked.

Speaker 2:          00:01:44       Actually, if anything, it should be embraced. If a society treats their women fairly, it is almost always a more successful society. On every other front, the battle for equality of women has been different all over the world and continues in almost every form today. This is one of the main issues that I wanted to discuss with Christina. How is the battle for equality evolved over the years? Have there been unintended consequences by coming so far in the battle? Has Feminism morphed into something that feminist of the 19 sixties wouldn't even recognize today? And what happens when an equality movement actually accomplishes its goals? Do we move on to what's next? There's the battle never truly end. As you can see, I've got a lot of questions and I hope Christina has some of the answers. For me, the battle for women's rights is the same battle that has been fought by the other for all time.

Speaker 2:          00:02:31       I want women to have 100 percent of the opportunity that men have. I want the doors to be open and the glass ceiling to be shattered. Winning these battles doesn't mean it has to come at the expense of men, nor does it mean that men should suddenly become less than women and at the same time we should acknowledge the sexes are actually different and that's okay too. From our hunter gatherer days to today, gender roles have existed long before any of us pretending there aren't some differences in the sexist won't magically make it true. Perhaps we can try to embrace these differences rather than tacking labels on everyone and thinking that one group's equality can only come at the expense of another group's opportunity. If men are from Mars and women are from Venus, then perhaps it's time we brought both sexes back to Earth. My guest this week is a speaker and author and host of the factual feminist on youtube. She's known as based mom by the Gamergate gang and just finished a three hour conversation with Joe Rogan, so I hope you have a little something left. Christina Hoff sommers. Welcome to the show. A lovely to be here. Do you have a little something?

Speaker 3:          00:03:34       I do. I do. I'm just getting started.

Speaker 2:          00:03:36       Yeah. So did you did three? Did he go a little over? Where were you with your long?

Speaker 3:          00:03:41       Just his little man cave there. It was the very cozy little studio.

Speaker 2:          00:03:45       Well, right before is that now we were saying how there's this new gang sort of that has appeared sort of you, Joe, Milo, me, a few other people that sort of have magically connected even though just months ago we really didn't know each other and yet we're all talking about a lot of the same stuff. It's pretty cool.

Speaker 3:          00:04:03       Right? Right. And, and I think that what we are is we're rejecting the cultural authoritarians and so we come from different political places, but we share this commitment to freedom and you know, just live and let live. What happened to that?

Speaker 2:          00:04:18       What happened to that? All right, so I want to spend a lot of time talking about the cultural libertarians and the authoritarians and all of that stuff. But first let's start somewhere else. Let's start with based mom because that's the phrase that popped up many times and I see people tweeting this. Anytime I'm involved in a, in a twitter thing with you based on what is, what does that actually mean for the person? That

Speaker 3:          00:04:38       first I thought it meant cool mom and I was happy with that, but it turns out it means something very positive and just as good but different in the lingo of the gamers and maybe they got it from a rap song or something, but based means grounded, authentic, no bs they would say. And I'm. So that's what I am and I'm happy to be based mom. I like being a mom, which I am. And being based is obviously a good things.

Speaker 2:          00:05:04       There you go. All right. So, uh, so let's start with the factual feminist. Let's go there first. I want to do a little history of feminism, but what brought you personally to be doing these types of videos and talking about this stuff? Just your journey a little.

Speaker 3:          00:05:19       Well, I've always been a, I was a professor for many years and wrote skull scholarly articles and books and I wasn't doing videos on youtube. I thought that was at the time I thought it was about, I don't know, cats. It's still mostly, but it's still mostly cat. Yeah. And um, but this young man came to a Gi and wanted to get the scholars on the air and he did videos with all of us and then he came to me and said, you, we want to put you on, I want you to have a weekly show, just come and talk. And I said about what, what are you talking about? And he said, it's no more than five minutes preferably for and how do I do that? But I started to do it and I thought, okay, once a week approximately, I will go on and correct a feminist myth because there are so many.

Speaker 3:          00:06:06       And I just wanted the opportunity to reason with people to analyze some of these factoids, factoids. We are in an inundated with ms dot information, if you excuse the pun, just false information about women. They tend to exaggerate. They, these researchers slash activist tend to exaggerate women's vulnerability and to overstate the strength of men when in fact it's a complicated mix of benefits and burdens for both sexes. And so when they say, oh, women are being cheated out of twenty three cents on the dollar and one for being sexually assaulted, it just turns out these ridiculous exaggerations and the truth is entirely different. And so I just patiently tried to expose the myths. When I first started, my mother said, well darling, are you going to run out of topics? I said, mom, I will never run out of topics because we have had going on, you know, three decades of specious research coming out of gender studies and it all needs to be reconsidered. Some of it might be right. I, I occasionally, I find something that's not a just twisted into I'm a myth. And so I, I correct a myth every week.

Speaker 2:          00:07:25       Yeah. So before we dive right into the feminist of how do you like being in this space, because obviously it is new to you to be in the youtube space and interacting with people and twitter and all that. I mean, did you ever expect to be sort of a hero to the Gamer gay community? I want to talk about that later too, but just being in this interesting digital, new thing.

Speaker 3:          00:07:45       No, no, I didn't think I would. I remember a few years ago before I was on twitter, I said, oh, I'll never do that. I don't know how to do that. I just, it was unapproachable. Well now I can't get off. It's so addicting. But um, I didn't expect it, but I'm happy to do it because here's the thing about that I like about twitter, so I don't just give a message, I link if people are interested and try to back up everything I say with solid scholarship and link I linked to the best sources I can find or to my own work that I've done for over the decades. So I linked to books and articles if people are interested. So it's, it's as if all of my writing has a new life.

Speaker 2:          00:08:22       Yeah. And it's also very validating, I think to be in the space that we are when there's so much misinformation related to whatever, whether it's feminism or political correctness or any of that. And there's so many bad actors. I think in this space, so it's angry people, but, but for us it's nice that we can be like, look, here's some information and then we can go back and forth when we want and it's, it's, uh, it's very freeing to me. I find and then when I'm able to connect with like minded people, I find it to be great.

Speaker 3:          00:08:48       I find it great and all I ever wanted as a college professor, I never saw it as my position to sort of replicate my view of the world in the minds of my students. Heaven forbid I wanted to open the world to them, show them the best that was thought and said on different contentious issues in, in metaphysics and ethics as well as when, when I was teaching occasionally would teach gender theory. But when I taught gender theory, I found that there was the, the, the closed mindedness combined with a kind of a pension for conspiracy theories, paranoid theories about the patriarchy. That didn't happen. It's not to exist, at least not certainly not in the United States or western Europe. And, uh, I just, I thought if I had my ideal university, I would take, I would have some radicals there because you can always learn from people that are pushing the envelope. Sure. But you don't only have radicals and engender scholarship, it may be a bit of an overstatement, but I don't think so really. That's all we have.

Speaker 2:          00:09:47       Okay. So before we get told that, let's back up a little, let's just lay out some basic definitions because I do find that with a lot of these people don't even understand what a feminist is anymore. You know, you have your first wave feminist or second wave feminist, third wave feminists. Now there's things beyond that that, that you've coined. I'm so, can you just break down some of the basic what, what, what was the first feminist movement? Just give me a couple.

Speaker 3:          00:10:08       Well, that would be the suffrage movement and that was the struggle for the vote. And then after, when women earn the vote, uh, there was a period of queen essence and we didn't hear much from feminists throughout the thirties, forties, fifties. And it came back in the late sixties, early seventies, and that was the second wave and it had worked to do. There were a lot of just arbitrary barriers preventing women holding women back. They needed to be taken down. It was obviously time to do that.

Speaker 2:          00:10:39       And this was more like in the workforce, things like that.

