Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is the editor of human progress, that Oregon, a senior policy analyst at the Center for Global Liberty and prosperity. Marion Tupe. Welcome to the Rubin report. Thanks for having me. I am a very excited to have you on. Uh, we've met once before, uh, for, uh, dinner. Uh, but what you're doing with human progress I think is just spectacular. You guys are actually promoting good news. There is actual good news and good things happening in the world and it seemingly, uh, is something that people don't often talk about. So I think you're doing great work and we're going to spend an hour talking about a lot of the good stuff that is happening. Uh, but I always like to start with a little bio on people. So, uh, tell me a little bit about yourself. How'd you end up working for human progress?

Speaker 3:          00:53          Well, I was born, uh, behind the iron curtain and what was then a communist Czechoslovakia. And so, uh, from early age I started to understand the importance of political and economic freedom. Oh, be hit neither, um, in regular and it pretty quick. And that's right. And then, uh, um, when the wall came down in 1999, uh, me and my parents went for Christmas in Vienna. Uh, that was the first time that you could actually leave your country and you could travel abroad as a family. Uh, how old were you at the time? I was 13. Um, uh, because before then, uh, people still could travel to the west, but they would keep the, the, the, the children behind as hostages. But now that the wall came down and it comes from collapsed, you could travel anywhere he wanted. So we decided to go to Vienna. And, and the moment that we crossed the border into a western capitalist liberal democracy, it was like stepping out of a black and white movie into a color film. Uh, everything was just so much beautiful, so much more beautiful. Um, the shops were full, people were smiling, that was color everywhere. And, uh, so I think that even at that early stage of my life, I started to think about what makes countries rich, what makes countries poor. And that's, I think where my interest in, uh, in, in all of that started. Really.

Speaker 2:          02:24          Yeah. Tell me a little bit about your, your education.

Speaker 3:          02:27          Well, I, uh, went to high school and a undergraduate in Johannesburg, South Africa of all places, uh, because, uh, when the wall came down and my parents emigrated to, to South Africa, they are medical doctors. And so with our expertise was needed. Um, so as a kid I got to see both the fall of communism and also the fall of a part eight, which is kind of a unique experience. I'm very glad I had the kind of childhood or upbringing I had. Um, and, uh, I, so I finished my undergraduate at the University of Witwatersrand in Johannesburg, and then I went to do my master's and my phd at Saint Andrews in Scotland. Um, yeah. Well, what's it like being in these places when something is falling, like communism or apartheid? Because we seem to live in a time right now where a lot of people think that we're watching parts of the west kind of fall.

Speaker 3:          03:23          And you, you've seen some stuff fall. Yes. I think that, uh, for the vast majority of the population in Czechoslovakia, oh, clearly the fall of communism was a tremendous blessing. There was immense amount of optimism, um, about the future and also unavoidable disappointment with some aspects of the Utopian future that people have imagined. Nonetheless. Um, just about anybody who analyzes economics and politics in central and eastern Europe over the last 25 years concludes that people are much, much better off than they used to be. And I think the similar thing was happening for a vast majority of South Africans, especially black South Africans who never had a vote, whoever had political rights or most political rights and are partied. And of course in 1994, um, so Africa held its first multiracial democratic elections. And as a consequence there was also a tremendous amount of optimism, again, followed by the inevitable disappointments as reality set in.

