Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:04       joining me today is the host of the relatable podcast, a speaker, a commentator at a cat person, Allie Stuckey. Welcome to the Rubin report. Thank you for having me. All right, Stuckey. I have wanted you in the studio for quite some time to be here. It is good to have you here, but we got, I got two bones to pick before we do anything have to do with cats. Number one, you're a cat person. What's going on? You just met my dog about, she says, sweet. I love dogs. I have a dog. She's a rescue. I have two cats. Cats are just, they're cool and they're easy. They don't need that much of your time, that much of your attention. I travel a lot like you do and so it's nice to just be able to leave the cats, but you got to put a dog in a Kennel.

Speaker 2:          00:00:45       You got to pay a bunch of money. They need your time. They need your attention. They need to go outside. Cats are cool. They don't really want to hang out with your plotting to kill you. Most of the Times you're looking at you that they could lunge at you at any moment. Oh, that's a stereotype that I week expect someone on the left to me, but that's, it's not true. You have to take cats by their individual personalities and not categorize them. Look at how you just used identity politics against me just right. Right. It applies to the animal kingdom to, I just needed you to know. All right. That's number one. Okay. Just going to have to agree to disagree and dogs. Number two for about two years I had the number one Prager u video. Oh, I left the left. Sorry. Then you came in there.

Speaker 2:          00:01:28       You took number one away from me, but actually I don't know if you know this as of the last, cause you could see somebody else took number one. I don't, I'm not even, so we need to get them in here and now we have a bone to pick with them. Yeah. I actually can't remember who was, um, or what even the topic was this morning and I was like, I don't even want to know. I don't even want it now. But you, uh, you was, what was the title of his masculinity? I think it was like make men masculine naked or something like that. So I guess that was a hot topic that people really wanted to hear about. I mean, it was so fun to make. Obviously you've made for your, your video too, but I didn't really anticipate it being one of those viral videos.

Speaker 2:          00:02:05       I kind of just thought, okay, most people in general agree with me, but the vitriol of course they got you. You just, you're continually surprised by some people on the laugh too, are so opposed to what are very traditional ideas. So, yeah. All right, well we're going to talk about some of those traditional ideas. We'll tell us, talk about masculinity and me two and a whole bunch of other stuff called for people that don't know you. Yeah. Where did you come from? What's going on here? Yes. So I started in this whole kind of political, I won't even say media field, but kind of about three and a half years ago. So fall of 2015 I was working in PR, graduated from college in 2014 PR, social media just had kind of your normal agency job. But in fall of 2015 I lived in a college town, Athens, Georgia.

Speaker 2:          00:02:51       And I looked around and the friends that I had, both in college and out of college had no idea what was going on in the election. It was the primaries. And I thought these are really smart people and a lot of them are conservative in their values and yet they seem to be touting these progressive use when it comes to politics and they really have no idea what's going on. And so I really just kind of had a, a random idea when I was driving one day called my mom and I said, you know, I think I want to tell sorority girls why they should vote in the primaries because they seem so apathetic. I feel like I can talk to this crap. Cause I was a story a girl about a year before that. And so I created this, it really was a nonpartisan presentation, um, for, for college students for why they should vote in the primaries.
