Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today as a writer and columnist at quill that magazine as well as a philosophy major at Columbia University common use. Welcome to the Rubin report. Thanks for having me on dude. I had to change my shirt because your shirt looked so pressed and starched and professional.

Speaker 3:          00:20          It's ironic because I normally dress like a complete slob. I wear the same black hoodie every single day. Yeah. But I thought Ruben report you have to bring a game.

Speaker 2:          00:29          Let's do it. I should've worn a tie, but here we are. Alright. There's a lot of reasons that I want to talk to you. Uh, you were Sorta, I think put on, put on my map and put on sort of the IDW map and the map of all of the people that care about the issues that we talk about here, uh, about, what was it about five or six months ago, something like that. Something like that. Your piece, I want to get the exact title right, was the high price of stale grievances. And that was in [inaudible]. And you know, I just had Claire on the show last week. So we're going to talk about a lot of things you've been writing about. I want to talk a little bit about what it's like to be a student at, uh, at a university these days, especially on the, that leans pretty far left and all sorts of stuff. First, just uh, tell me a little bit about yourself, where you're from, how you grew up. Well, that kind of stuff

Speaker 3:          01:16          from Montclair, New Jersey, uh, which is just 30 minutes outside New York City. Nice suburb. Um, uh, you know, I had a pretty typical middle upper middle class upbringing and a great parents. Um, and uh, out of, out of high school I was going to music school actually I was dead set on being a jazz musician and I still play drums, Josh trombone. Nice. But along the line I ended up shifting paths and uh, going into philosophy and enrolling at Columbia where I have two more years. How do you go from jazz to philosophy? There's probably some through line there, right? I don't know that there is honestly. I think, I think I just loved both of them and realized at a certain point that just going to school for music was limiting. Um, so yeah. Yeah.

Speaker 2:          02:06          So you said a middle class or upper middle class. Did you have, did your family have any particular political beliefs where you guys, politico,

Speaker 3:          02:13          how many of that? My, my mother was nearly a Marxist. She, um, she, I remember her talking to me about Marx and Durkheim when I was three and four years old. She, she came from the South Bronx, immigrant, Puerto Rican family, very, very poor in the 70s when the South Bronx was the picture of crime and uh, just decay. And she, she was very smart woman, ended up getting a, trying to get an anthropology degree, but she passed away of cancer while, while she was getting it. But no, she, she, I was, I was exposed to two Marx and Durkheim and uh, some other, other Marxists thinkers when I was, I could've told you their names. When was five years old. Wow. My Dad is a bit of a libertarian, but I got less of his, his, he was working much at the time. So yeah. So that, that's a real mixed, yeah.

Speaker 3:          03:09          Household of the politics though, did you sort of lean one way or the other? Yeah, I always leaned heavily left if I, if I leaned anywhere at all. Yeah. I mean as early, Eh, my, the beginning of my political identity was definitely anchored around identity politics and especially black identity politics. Uh, you know, I was 24, it was at 2013, 2014 when black lives matter started cropping up. I was at that point very much enthusiastic about that movement. I was posting on Facebook, having seen a police shooting, uh, to the effect that this is, this is proof that the system is rigged against black people so that, that's more or less what I was politically as of maybe five years ago. So yeah, that was very much in my upbringing. It was in the water, uh, in my, in my social environment and intellectual environment growing up.

Speaker 3:          04:07          How much of that is part of the whole thing of just being around a certain set of young people that believe a certain thing so that you all sorta believe it together, whether it's ultimately true or not. Yeah, I think, I think we're social animals and, and we're heavily incentivized psychologically to not break ranks with the norms of our social group. So if, if, if those norms are that you have to believe in the god Vishnu Shiva, than most people are going to, uh, grow up believing those things. And it takes a kind of a rare personality to, to be a contrarian in that context. And if the norms are you have to believe in, in, in systemic racism, you have to believe that America is a unique evil, then people will grow up believing those things. And likewise, if the norm is, uh, you know, uh, um, abortion is murder and there is only one God and it's the Christian God and homosexuality is a sin than most people in that context, we'll, we'll end up believing those things.

Speaker 3:          05:12          So, yeah, I mean my, as far as my upbringing, I think I can remember meeting precisely one Republican and he was my fifth grade history teacher and he was such a good history teacher that, you know, in this public school that it kind of made up for the fact that he was a republican because all the parents who want their kids to get ahead wanted them in his class right now. So you know, there's something there there. Yeah. Yes, yes. But I guess, yeah, long story short, it was very much of an echo, very much an echo chamber. Very ideologically siloed. Yeah. Okay. So so far your story I think sounds pretty consistent with a lot of what's going on with, with young people. How old are you now? 2122 okay. So you said in 2013 so only about five years ago. He's like, you're 17

Speaker 2:          05:58          you're sort of in this thing, this is the beginning of black lives matter. When did you start realizing that perhaps it wasn't as much of a positive as it had sort of been laid out to be?

Speaker 3:          06:10          Well, I think it's, it's hard to reconstruct one's own narrative after the fact, but I remember one thing being significant, which was when, uh, Michael Brown was killed in Ferguson. I remember being in my first year of college taking, taking a class at Julliard and we were talking about this killing and it was just obvious from the point of view of most in the class, including the professor, that this was just another in a long line of examples of black men being brutalized in a country that fundamentally does not want them to succeed, to succeed. And I don't know what like what it was. It may have been because I had a roommate who was from, from Arizona, from a very different kind of political climate who was skeptical of this and I didn't even know how one could be skeptical of this. It was so jarring to meet a person. I liked that or many people I liked that were skeptical of the things I took for granted.

Speaker 2:          07:14          Yeah. Were you guys able to get into it? Because that's always one of the big problems here is that people can't do this stuff with their friends anymore.

Speaker 3:          07:21          The thing is, I think we were such good friends at that point for a political reasons that, you know, no amount of politics was gonna was gonna destroy that. But I think I just spent one night reading the complete testimony from, from uh, from Michael Brown's friend and from the police officer. And I came away thinking, well, if the police officer's telling the truth, then that was a justified shooting. If his friend is telling the truth, then it was unjustified. But the, I don't know who's telling the truth and no one in my class knew either. But everyone had the same opinion. So that, I mean I remember that being significant.

Speaker 2:          07:58          I remember, remember speaking up about that, like when was the moment that you were kind of going all right, I got to say something about this? I'm not sure.

Speaker 3:          08:06          I'm not sure that I spoke up about it. I'm not sure I would've had the confidence to speak up about it.

Speaker 2:          08:11          Yeah. Were there a couple of other things after that? Cause I, I find it to be one of these things that once you see this thing for what it is that then it sort of happens very quickly. I think a lot of people that watch this show, I've acknowledged that because I think it's a lot of former former lefties or whatever you want to call it, that kind of see one moment like you just laid out and then they start looking at other things and going, wait a minute. Maybe that's not how it is. Maybe that person's not racist just because I disagree with them on this or whatever the case. I guess I can, I can put it to two

Speaker 3:          08:42          quick moments. One was, uh, once I, once I arrived at Columbia, I heard of this Guy John mcwhorter, who I, I, I had no reason to believe anything about at the time, but I just went, I don't know, a whim. I went to the library and just search his name and pick the first book I could find. And it was called authentically black. And it's a series of essays he wrote in the early two thousands about the fact that it's viewed as authentically black to con constantly pointing the finger at white people for any given problem in the black community. Whether or not the evidence bears that out and uh, because it's viewed as authentically black, there's this incredible taboo on anyone who thinks differently. And I was reading, I was reading these essays and I remember thinking, Oh my God, this is, this is right.

Speaker 3:          09:32          And I've never heard a black person say this out loud, but it's, it's obviously right. And I didn't know you could say that. I remember that that moment being significant, but still the, I mean, these subjects are so hard to talk about. I, I do remember doing at some point doing MDM may and this is where most people have their break. Yes. Um, I guess this maybe makes the, the, the red pill analogy a little bit too literal. There you go. But I do remember, I mean, because you know, I don't, I don't enjoy being the black person at odds with most black people around me are getting accused as I sometimes do of being self hating or an uncle Tom. Like I don't enjoy that. That's, that's very much a cost of what I'm doing psychologically. But I remembered, remember doing Mtma and I was talking to a black friend of mine about race issues and you know, if you've ever done MTMA you know, just puts you in this totally clear head space where you love everyone around you so much and you love yourself.

