Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          So for you, for ion, it's not just academic. Where do you think the bravery comes in for you? I, cause I can tell there's nothing that I could possibly ask you here that you wouldn't give me the clearest, honest answer. And that isn't always how it is with everybody, obviously as an interviewer. But where do you think that comes from? Candor as well as being one of my greatest weaknesses. I think

Speaker 3:          00:29          I was probably brought up in a rather combative family in a rather competence part of the world. I grew up in, in Glasgow, in the west of Scotland and

Speaker 2:          00:39          to a physician and a, and a physics.

Speaker 3:          00:42          That's right. My mother was a physics teacher. My father was a doctor. Yeah. Uh, and they were the first in their families to go to university. My grandfathers had served in the world wars. Uh, Scots have a self image of themselves as being a courageous. The Scottish regiments were famous. I wrote about this in my, one of my earliest books. The busy of war were famously the sharp end of, of the British military. Uh, we marched towards the sound of gunfire. Bagpipes playing. That's the self image that uh, a small Scottish boy growing up in the 1960s and seventies was encouraged to have. I remember vividly the day that nine 11 happened. I was sitting in Oxford where I was then teaching, but planning I'd planned and was intending to fly to New York, uh, very shortly to give a lecture on nine 12 at New York University.

Speaker 3:          01:42          Uh, indeed I was booked into a hotel very close to the World Trade Center and my response when I saw the attacks was somewhat a bloody minded. My response was very shortly afterwards to resign my post docs for them go to New York University and I taught there for two years in a, I suppose a mood of defiance that the attempt to terrorize would not terrorize me when I met a on a nine more than nine years ago now, it never crossed my mind as I fell in love with her, which happened very fast, that this implied some meaningful, a threat to my person. Even when the FBI came to tell me that there had been a threat against me, something that I'd seen them due to a on them more than one occasion. I never gave it a second thought because obviously my calling different from my grandfathers who were called to fight in real wars.

Speaker 3:          02:55          My more much more manageable callings is to protect her. She's one of the great heroines of our time and extraordinary courageous woman who's been through a hell of a lot and who has never shirked from seeing what she believes is wrong with modern Islam. So it, it is second nature to me to be there with her in that, in that fight, in that war, that's what it turns out to be. My warm, I always used to wonder as I was growing up, why is it that my generation isn't really been called on to fight wars the way my grandfather's generations were called on and then it turned up. Then my water turned up.

Speaker 2:          03:42          You briefly mentioned this earlier when you're talking about ion and Brandeis, but can you explain this intersection of Islamism and the left, how, why this has occurred? This confuses a lot of people, this idea of the oppression Olympics and you know, I've got plenty of theories on this that we've knocked out, but, but what do you think it is that has attracted something that is completely totalitarian and control with another thing that's so completely total? I mean, I guess that's the answer right there.

Speaker 3:          04:11          Well, there are many unholy alliances in, in history and uh, no don't. Many people will gravely, uh, surprised when the Ribbentrop Molotov pat was announced and the Soviet Union and Nazi Germany formed an alliance. So we shouldn't be entirely surprised when seemingly odd bedfellows jump into bed. In the case of the Islamists and the left, I think it's pretty clear to me that the Islamists are the, the leading partner and the leftists are broadly the useful idiots because the Islamists have a strategy. It's there in Muslim Brotherhood and other documents for expanding their network in the west. And part of the strategy is the kind of a partnership that they have formed on campuses against, uh, against her foes. One way in which this works is that you use the issue of Israel, uh, to forge the packs with the left. So you get the left's longstanding animosity towards Zionism, uh, and you essentially say, well, we entirely agree with you about that.

Speaker 3:          05:40          Let's, let's have an event about how wicked Israel is. Uh, and so that's the gateway drug into accepting. The next thing is, well, headscarves are actually empowering for women, don't you think? Uh, and isn't it actually Islamophobia to be in any way of Sharia law. So you play the multiculturalists cultural relativist card, uh, and you again depict any critics of radical Islam as it, as in fact, uh, engaged in some kind of orientalist project, uh, or essential list project to other people. Always talk about othering and academia, uh, Muslims. And you blur the distinction between Islam, Islamism and Muslims as people. So this has been going on for awhile and the left has broadly fallen for it. And it, to me, it's just astonishing. I remember looking at the list of academics who had, who had argued that I aren't, should not receive an honorary degree at Brandeis and it included professors of Queer Studies, uh, female professors of gender studies.

Speaker 3:          06:48          It's incredible. You kind of feel like saying to these people, have you taken a look at what the Muslim Brotherhood envisages have you read Khatibs works? Do you realize that the project is the permanent demotion of women to second class status and potentially a capital punishment for gays? Is, is that something you are aware of? And I can only conclude that they aren't aware of it and, and have been very thoroughly duped as useful. Idiots usually are. So it was that basically, because both of these movements want power. So the useful idiot part of this is that Islam is a really just using the left who attain power and they're doing it all in the name of diversity and all of these things. And eventually once that power is attained, then for lack of a better expression, I mean, you basically decapitate them and then you've got, they did it for you.

Speaker 3:          07:41          They did the work for you. Yes. I mean, I always used to joke with ion that, uh, when we lived in Cambridge, it would be fun if all my enemies and all her enemies came and protested outside our house together because after about 20 minutes a day, they'd fall on one another and they would be the most tremendous fight. I do think that power is part of it, but if one looks back at the history of another intolerance, totalitarian ideology of Marxism, there's a combination of power and are a kind of idealism, one must call it that, uh, in the square in the Torah. I tell the story of how the Soviet successfully penetrated the British establishment by recruiting spies and Cambridge and the people they recruited had leanings to the left that were inspired partly by revulsion at those aspects of, of British imperialism or British class society that work in many ways a legitimately open to criticism.

Speaker 3:          08:52          There was an idealism there at the beginning of guide Burgess's involvement in Marxism, sympathy with workers during the time of the Great Depression, but those were the useful idiots that the Soviet cynically recruited to be spies who, whom they persuaded to betray their countrymen in what was the single most successful act of, of Russian espionage of them all recruiting these highly educated people from an incredibly exclusive network, the Cambridge Apostles and the related network that led to Bloomsbury. This was a brilliant strategy. Something similar is going on here because I think there are great many naive young people who are drawn to the rhetoric of social justice. I encounter them often, people who say, oh, there should be limits on free speech because I don't want such and such, uh, such and such as feelings to be hurt. And then naive. They have a very naive view.

Speaker 3:          09:48          Somehow that can be a circumscribed form of free speech and know in which nobody's feelings get hurt. That's not the pursuit of power. That's just naive city. And the people who know how to exploit that naive city are both people amongst the Islamists and people amongst the leftists who are pursuing power. But you can never really get to power without the useful idiots without the naive idealists who think that they're going to build utopia with your hell. Yeah. And I don't have to tell you, they're usually ends up in dystopia. Right. So, and that's, that's something that is hard to persuade people of your, I keep reflecting on the curious revival of, of Margaret Atwood's the Handmaid's tale, which is always taken to be a vision of what happens when right wing people, uh, take over America. And to me, the amazing thing that is almost never observed is that, uh, something very like this has happened.

Speaker 3:          10:47          It happened in Iran after 1979 and it happened after the Taliban came to power enough Ghana's Stan. So we don't need to fantasize about crazy evangelical fascists turning women into baby machines. This has already happened, but it was done by Islamists. It was done by people pursuing an extreme version of, of Sharia. And yet almost nobody who enthuses about, uh, Margaret Atwood's book realizes that it is actually really quite powerful realization of what a theocratic Islam as regime does to women. All right. So I want to shift gears a little bit here and we can either, I'm going to let you choose. We can either go the historical root or we can go the present route. Where, where are you feeling first? I do want to do both. I think the key to applied history, which is what I've spent my whole life doing is that you do both and you can't do one without the other because no, you can have no real insight about the present without the past. So why don't we talk about the president and our try to show why to understand that you need history. All right, very good. So, uh, there are a couple of things that are interesting

Speaker 2:          11:53          that you've, you've staked out positions out over the past couple of years. Uh, we briefly, right before we sat down, we talked about Brexit for a second. So you originally were for, were against Brexit. Yeah. Then you came around for it. Now it seems to be in this odd limbo that I think, unfortunately, most people in America don't even understand what's, what's going on. I don't think most people in Britain on this plan. I'm sure. Um, so when I was reading your position on this, I at first I thought, well wait a minute. As a, as a conservative and as someone that wants some autonomy over his country, I was somewhat surprised actually that you weren't for it originally. So can you explain your original position and then how you changed on that?

Speaker 3:          12:32          The two reasons, um, while I was on the side of remain, remain in the EU, uh, back in 2016, one was pure personal loyalty to friends. Uh, David Cameron was prime minister. George Osborne was chancellor of the Exchequer and they are friends of mine. And I, I felt obliged as a friend to support them when they decided, uh, to stick with the EU and not to recommend Brexit.

Speaker 2:          13:01          Did, did that friendship supersede what your feelings were or was that because you really trust

Speaker 3:          13:05          well, that was, they could get it done. The swung. Okay. And I think the reason that I was willing to, to, to get on board with Romaine was that I found that arguments of the Brexiteers deeply unconvincing. Uh, I remember one night sitting down and reading a lot of stuff by Daniel Hannon, one of the deeding advocates of, uh, of leaving. And I remember thinking that this was just intellectually, completely third class and unconvincing the s the notion that Britain would be better off economically outside the European Union, wouldn't have passed muster as, uh, an undergraduate paper, nevermind a graduate of paper. So I felt that the Brexiteers case failed intellectually because they were claiming implausibly I thought that you could have a free lunch, that you could leave the European Union and be better off. And that just seemed to me to be intellectually completely deceitful. I think it would have been harder for me if they had said, honestly, this is going to cost quite a bit, but it's worth it because if we leave, then we shall have the ability to control our borders.

Speaker 3:          14:20          Uh, and we shall have a autonomy at a time when Europe is pursuing a federalist course. But that wasn't the argument. The argument was that at the area, cause [inaudible] here are going to get the money. This was the argument. We get together, money that we give to the European Union and we'll get to build spend on the national health service cause we will be in fact better off. And that was a lie. And I'm not good with lies. It was a clever lie. It works politically. And I give credit to Dominic Cummings for crafting a message that was a PD both to conservatives until the voters, the Conservatives got immigration control, Labor voters got the national health service, gets the money. So this was brilliant politically, but it was mendacious I think heart. And so I, I oppose the, uh, Brexit when it happened. Uh, what struck me in the subsequent months was that while I had been, while I had been on the side that lost, there was a good reason why we lost.

Speaker 3:          15:25          And the good reason was that we went around saying how much it was going to cost. And I think we were right about that. I think ultimately, at least some of what the Treasury said, we'll try, we'll turn out to be true about the cost. But that wasn't what people cared about. And when you went into pubs, as I did in, in in Wales, in England, and in Scotland, there was a question to which you could not give an honest answer without losing the debate. And I'll tell you what that question was because I was asked it multiple times. You'd make the case about the cost. Nobody was interested in the cost. They would say, listen, Neil, about the 1.3 million Muslims, the Germans have just let in to Germany, because that had just happened. If the Germans give them German passports, can they come here? And the only honest answer to that question was yes.

Speaker 4:          16:18          Yeah.

Speaker 3:          16:19          So immigration was the issue. And I think for a significant number of people are in England and Wales especially, was less so in Scotland where Brexit was defeated. The realization was that Britain had lost control of immigration, that people had been promised net migration in the tens of thousands in the 1990s under the Blair government. And they'd ended up with net migration in the hundreds of thousands. They saw the chaos in Germany. They saw the waves of migration coming on and from Syria, but from all over North Africa and uh, and even South Asia. And they said, and I remember David Cameron using this phrase, get me out of here. And that was, that was the driving motivation for the Brexit vote. And I think it was legitimate because I think that Angela Merkel had made a catastrophic mistake in throwing open the gates. I think it will have dark consequences for the future of, of Germany and of Europe.

Speaker 3:          17:19          And I do not blame British voters for saying, forget about the cost of Brexit. We really need to get out of this. So I take, took the view by the end of 2016 that you had to, you had to respect the fact that ordinary people had cut through the crap of the debate and had got to the heart of the matter are. And the heart of the matter wasn't the cost of Brexit. Uh, which is what I had, I think mistakenly focused on prior to the reference. What was it like you as a public person and you know, someone that writes about this stuff and puts your opinions out there to, to have that realization. I think it's very important if you write regularly, if you are what we call a public intellectual, uh, to be willing to admit that you've been wrong. I think you have to be prepared to say I was wrong.

Speaker 3:          18:09          And I, I think I was wrong in the sense that what I wish I had done looking back was, I wish I had said to David Cameron and George Osborne in the spring of 2016 when it was clear that the Europeans were going to make no meaningful concession on the immigration issue when they basically sent an insulting proposal about what could be done about migration. That was the moment I should have said to Cameron and Osborne, forget it. Yeah, you should campaign for Brexit if that's all they're going to offer you. If they're so completely oblivious to the very real concerns about immigration, then you should campaign for Brexit instead of which we stuck with it. And that was, that was David Cameron's great mistake. He should have said at that moment, if that's all you've got, I'm going to recommend Brexit to the voters and it would have saved him too.

Speaker 3:          19:04          So, so you'd think it was just a bad negotiating ploy that he just didn't use some leverage to say we're going to have to walk away from this. There was, there was a moment when he should have walked away and I should have advised them to walk away. So yeah, I think one has to recognize when one's made a mistake with such consequences. The second thing, which is worth knowing about this is that the people who then inherited power after the fall of Cameron and Osborne, we're not the people who had campaigned for and one on Brexit. It was people who'd been on the remain side. Theresa May became prime minister. Uh, I always knew that would be a disaster. I did not have high regard for her prior to the referendum. The Daily Mail essentially put her in that position and also Boris Johnson, Michael Gove and others because they bungled, uh, the leadership contest.

Speaker 3:          19:55          So we then ended up with a terrible combination, which was a commitment to Brexit, but it's execution in the hands of people who had been remainers. And I think the result is the worst of both worlds because right now we essentially have the psychological reality of Brexit. I think British public to a large extent has accepted that we are leaving, but the execution is a total mess by invoking article 50 early on, the UK in essentially seeded the, the power and the divorce to the European Union and the concessions have come one after another. Ever since then. And we now find ourselves in the odd predicament that I think Theresa May is saying that Brexit means you cease to be a voting member of the European Union, but you remain within the customs union, potentially even within the single market and you accept all the rules and regulations of the European Union.

Speaker 3:          20:55          You just don't have any power. If that's the end game, then it's a disaster. So the people that are trying to stop this now, they want to invoke some, some pretty crazy extreme stuff, right? I mean there would be some really, very rarely if ever used rules, am I right about this that would actually allow this to allow the stay to occur? Well Anderson, I think those games without getting into all of them, I knew everything. There is a level of complexity in the discussions now in London that is bewildering to most ordinary British people when people start talking about Max Fac and the customs union or the complexity. That's why it's such a confusing way. Cause I discussed it with Douglas Murray and he was even a little confused. So it's actually not confusing in the sense that what is happening is that Theresa May is trying to get Britain to accept the realities of belonging to the European Customs Union, which would preclude Britain having its own trade policy, uh, with our leaving the European Union's decision making body.

Speaker 3:          21:56          So essentially in that version, Brexit is just, uh, you have the responsibilities, you just don't have any power anymore. Uh, which is definitely not what the British public was told that it was getting in, in Brexit. Uh, the, the bigger problem in my mind is, is not one that, that we've discussed. And that is that all of this will end in tears to the point at which Jeremy Corbyn, the most left wing leader of the Labour party has ever had in its history, becomes prime minister because to Reesa Mae is leading the country towards this very unhappy compromise. At some point, the people who truly believe in Brexit, Jacob Riis smog, uh, for example, uh, perhaps Michael Gove, uh, they may decide we can't ultimately accept this and the government may fall. But the problem is that if the government falls, then Jeremy Corbyn has prime minister. If the government doesn't fall and we go all the way to the finishing line with this Theresa May version of Brexit, then I think the Conservatives will lose the next election in 2022, and Jeremy Corbyn will be prime minister.

