Speaker 1:          00:00          [inaudible]

Speaker 2:          00:05          let's shift, let's talk about the scary you right. Are you ready? I tried to do this. We did the happy stuff. Now we're going to plunge with, look, you know, Dave, when I began to research this thing, I probably ended up reading about 200 books on this topic when the end and, and I'm a happy guy. I like happy things. I like technology. I'm an optimistic guy, but this really put me in a dark place. Uh, digging through this history, uh, from, from Hagle essentially up to Julius Caesar Eveleigh and the, and the post were Nazi movement and realizing that there was an intellectual stream that stretched over all of these years. Let's go back 200 years. Yeah. So let's go back 200 years when you talk about right wing collectivism. Yeah. Because I think most of my audience now understands what left wing collectivism is cause that's what we've got right now.

Speaker 2:          00:54          Very in a very strong way. Talk to me about right wing collectivism. Okay, Dave, I'm going to tell you a story. Um, I, I love Ludi muses. I think he was a genius, right? And I thought I'd read all of his works, but in there is a transcript of a lecture he gave in 1956 at the San Francisco Public Library. And he had about three sentences in there that just knocked me over and I couldn't believe it. It cause it explains so much. He says something like this and he's speaking casually, right? He says, Hagle ruined German philosophy for a century. Uh, his original followers became, uh, believed that all of history would end in the Prussian state, in the Prussian church, having all power in the individuality, individualism, they became the right Hegelians. Galleons that became the Nazis is the dissonance of this, uh, of the writer. Gillian's became the lefty.

Speaker 2:          01:53          Gillian's they wanted a universal transformation of humanity and a, and a historical drive to, to something other than the commercial society. They became the Marxists and, uh, and the communists. And he said that that's, it's left, right yelling aneurysm. And that explains pretty much all political history. And I closed that. I thought, hmm, that explains more than practically any other book I've ever read. And so I began to, began to explore this. I understood the left to Galleon as I understood Marxism. I mean, those were, those were our professors, right? Um, and there are annoying. Um, but what I did not understand what the writer Gillion of them and what that, what that tradition looks like. It's the throne and alter, uh, this, this historic says to view that the nation should constitute its own unit of profound integrity, uh, that, that that is more important than the, than the individual.

Speaker 2:          02:53          And that commercial society was too chaotic. That it, that that was leading us, giving us wrong kind of progress. That it was flattening out the hierarchies that we need to have an orderly life. Right? This is, this is the writer Gelien pitch that ultimately by mid 20th century becomes this very dangerous, dangerous movement in Europe. You know, um, that became catastrophic. Uh, but it gradually emerged from all the way from, from Hagle because, uh, this is at the end of the endless, seemingly in those Franco Prussian wars. There's this battle at the battle of Jenna that, that Germany lost. And the explanation for that was that it was a temporary setback. That history was going to determine that Germany would rise despite, despite the choices of individuals. History has got its wind. It's like a Meta narrative that, that, that was going to override everything. Hegel himself was a theologian by the way.

Speaker 2:          03:54          Um, and, and so this, this view began to kind of spread throughout German academia. And it was, it ended up being imported to the United States through, through circuitous means, but what, but one of the great theorists of the, of the 1840 [inaudible] who, and 1850s who brought the suit to the United States, there's physical list, who was one of the first economist to repudiate the free trade tradition of, of, of the Smithian Manchester Rides. And that was celebrating the nation as a, as a unit, as a productive power, uh, and, and believed in tariff walls, uh, which was strange. And I've read his book, uh, but, and that had a huge influence of American trade policy is actually the late 19th century. And, um, and it began to flow out from there. So Thomas Carlyle and, and Britain now, uh, began to celebrate the great man theory of history.
