Speaker 1:          00:00:01       No.

Speaker 2:          00:00:05       All right. Before I get to what's going on in the world this week, I want to once again thank all of you who support what we do here on the Rubin report. I'm thrilled to finally be able to show you our brand new home studio today. It took a tremendous amount of blood, sweat, tears, and yeah, even money to build it and we simply could not have done it without you. Of course, the main thanks goes out to all of you who donate monthly to the show on Patrion. As you guys give us the budget to create content as we see fit with no executives, bosses, or middlemen between me and you beyond our patrons. I also want to thank all of those who have given one time donations on paypal as well as to all of you who watch light comment on and share our videos with our new home studio.

Speaker 2:          00:00:47       We can fully expand on everything we've been building here, including more shows, longer interviews, and new segments. I truly believe that the ideas of classical liberalism, logic, reason, and individual liberty are the only solution to the authoritarian and extremist problems we're seeing all over the world right now. I'll continue to have conversations with people I both agree with and disagree with and just as importantly, I'll continue to listen to you from my Patriot on one on one chats to group Google hangouts to emails and yeah, even twitter, you guys consistently amaze me at your insight and desire for truth. My commute is now just 10 steps down the hall from my bedroom and I promised to use that new found time to make this show even better than before. You've truly helped my dreams become a reality and somehow we're right back at the beginning.

Speaker 2:          00:01:38       In the course of the month that we were building this studio, basically a million things happened. I'm not sure if you've heard about this, but we had an election in the United States and Donald Trump. Yeah, Donald Trump is now the president elect. While most of the media seemed to be completely blindsided by the results, I can honestly say that I wasn't. I talked to and listen to people like Scott Adams, Milo Yiannopoulos, and Mike Cernovich, and whether I agreed with them or not, I realized that there was a real political movement behind their words. When you couple this reality with moderate liberals and moderate conservatives who are sick of identity politics and outrage culture, trump winning actually seems kind of obvious in hindsight. I'm trying to do my best not to judge trump's actions until he's actually an office because until then, everything people are saying are just guesses and conjecture.

Speaker 2:          00:02:29       As I said in my direct message right after the election, I'll be the first to hold trump, speak to the fire once he's in office, but the simple fact is that he's the president elect now and we've got to give him a chance. That's the rub of democracy. Your team doesn't always win, but you can't burn down the system just because you were on the losing end this time, regardless of whether you hate or love trump, there's no doubt that something good did come out of this election. People seem to be engaged in a whole new way. People are talking politics, fighting for what they believe in getting involved in the conversation, maybe even more now than when Obama ran for the first time back in 2008 I think we're going to get a whole new crop of political leaders out of this chaos and I hope some new political movements as well as I've been saying for a year now, if you're an old school liberal than an old school, conservative is no longer your enemy.

Speaker 2:          00:03:22       I really think a new center can arise from this and if trump is smart, he can actually make that happen. Trump is a populist and that means he wants to be popular. Most of us are socially liberal and fiscally conservative. Most of us are not the alt right or the regressive left. Most of us don't care what you do in the privacy of your own home and we want government to take less instead of giving more. I think we can actually push trump towards these ideals, but if not, then maybe we'll just have to create our own movement to do so. Actually, maybe that's already begun with all this in mind. I've got the perfect guest for you this week. Radio host and columnist Ben Shapiro. Ben Is what I would consider an old school conservative, which like me as a classical liberal is a strange place to be these days.

Speaker 2:          00:04:11       Does he fit in with the new trump led republican party any more than I fit in with the identity politics driven Democratic Party? Not so sure. We're both on the outside looking in and that's exactly where I think we can start building bridges. I was on the daily wire livestream with Ben on election night and I got to see us. He was alternately thrilled that Hillary lost but also totally dismayed that trump had won a couple of hours in a few beers later. We both managed to survive the evening even if we didn't see eye to eye on the whole thing. There is huge opportunity for all of us to shape the future of the country right now, but there's no way it can change if we just complain about the system instead of getting involved. The rhetoric on Russia, fake news, stories about fake news and outrage after outrage are not only going to keep coming but they're going to get stronger and stronger. The only way we'll stop them and cut through the noise is to figure out what we believe and to fight for it. I've got a new studio and a new commitment to continue that fight and I hope that you'll join me.

