Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:04       joining me today are two of the guys who pulled off the biggest socal hoke since, well, the original Soko hoax. Peter goes in and James Lindsay, welcome to the Rubin report. Thanks for having a solid. I am happy to have you guys here. You're an old pro around here. It's good to be back. Yeah. Pleasure. You're a first time I read enough. I'm all new. Well then with that spirit, I'm going to ask you the first question for people who have no idea what the original socal hoax is, because we're obviously going to spend a lot of time talking about what you guys have done in the last year. What was the original socal hooks when people say, oh, they did a socal hoax. What is that?

Speaker 3:          00:00:40       So Alan socal was a physicist, or is a physicist at Nyu and he in the nineties 95 [inaudible] 96 he was looking at this postmodern cultural criticism and he was reading what they're doing and they're using math words or using physics ideas and terms and they're just making up stuff, you know, like the, some theorem about any, some theorem about equality or inequalities and mathematics. And they'll say, oh, well, there's obviously means that there's inequalities and you know, run with the pun on inequality and say some social stuff about it. And he started reading some of the stuff that they republican or you thought, there's no way, not only are they abusing science, there's no way that even understand what they're saying. And he wanted to check that out. So he wrote this paper, transgressing the boundaries toward something. What is it? A hermeneutics truly transformative hermeneutic of quantum gravity.

Speaker 2:          00:01:27       That sounds very impressive.

Speaker 3:          00:01:29       It's to put it more simply wanted to argue that quantum gravity as a social construct of course. And so he did this thing and he wrote this complete nonsense paper, what they call a Pastiche, where he just took quotes from the famous postmodernists and filled in with nonsense and use lots of mathematical and physical, you know, scientific words and misuse them to say goofy things. And he sent it to a preeminent, a social commentary postponed or social commentary journal at Duke University Social Tech called social text. And uh, their editors accepted it and published it. Um, and then the same day they published it, he came out and said, ah, you know, this was a fake, he published an x was a article about it and said, this is why I did. It. Ended up writing a bestselling New York Times best selling book called fashionable nonsense, talking about all these guys use these fashionable terms and just say the right political things and it's all nonsense.

Speaker 3:          00:02:21       It doesn't really mean anything. And so that was sort of the state of, you know, what was going on and postmodern cultural theory in the 1990s and he struck a big blow against it. Big Controversy, New York Times, front page story all over the world. People dumping on him and some people supporting him, some people dumping on him. He was, he was a big mess. Yeah. So that was the original hoax. And he was trying to show that, you know, they were abusing scientific terminology, taking out of the scientific context and using it to make political points for, of course, academic leftist, kind of a fashionable points of view.

Speaker 2:          00:02:54       Right? So this is a great precursor to everything that you guys have done, right?

Speaker 4:          00:03:00       It's so consistent with the conversations that we've been having for years. And so many of the conversations I'm having on the show, this, this postmodern leftist orthodoxy, it's actually nonsense. And, and, and you guys set out to prove it was nonsense. We did the first time we wrote a paper that conceptual penis as a social construct and we argue that among other things, penises are responsible for climate change. And that, that paper, now that's true, but the rest of the paper was completely relevant. It came under considerable, uh, criticism. And so we took a look at that criticism and we said, okay, let's see if we can replicate this on a grand scale. So to be clear, that was the first one that you did where you were trying to yeah, I did that one. Yeah. But that, that was the first one that you guys did, that you were trying to get through this system.

Speaker 4:          00:03:53       The Gates are disbursed to show that they couldn't distinguish between made up silliness and their own scholarship. And then we, we took a look at that criticism and we decided to replicate that on a massive scale. Yeah. So we wrote 20 papers in 10 months. And for context, these are papers that go to peer review journals, seven papers in seven years. His tenure at most major universities. And we wrote with the help of Helen Pluck rose from reo magazine who is in the UK, is not here now obviously, uh, we, we had seven of those published or accepted for publication and the Wall Street Journal caught us. We had seven more under review or we were going to resubmit. Okay. So let's pause there for a second. Tell me, let's just go through some of the greatest hits of these papers that you got through. I mean they're, they're quite brilliant, but are there any that you each like to tee off?

Speaker 3:          00:04:47       Oh my gosh, all of them. Yes. Yeah. So the, the, the most famous of the papers as far as people having heard about it was one that Peter wrote the first draft of and that was the, the dog humping paper as well referred to it. Um, it was the paper, what was it called? Um, the title where performance in Rape Culture and Portland dog park or something like that, uh, that you can't quite remember. The name sort of shows you the absurdity of what you've done. Like they all have like the serious subtitle and some of them have easy to remember. Funny Real Title Park is what we, we all, we gave him all nicknames are code names or whatever throughout. So the really the nitty gritty part, like a human performativity in human reactions to Queer performativity in rape culture and urban dog parks or whatever.

Speaker 3:          00:05:36       That's all. It's all just kind of scholarly mishmash. It's hard to keep up with, but that paper is sort of be greatest hit because not only was it accepted for publication, not only was it published, but the journal deemed that it was one of the best papers in feminist geography and gave it a special recognition was gonna make a big deal of, it should lay out a little more specifically what it is that you were saying because it was such an important academic original point of that paper was to argue that rape culture is a big problem and the best way that we could intervene upon that would be to train men the way we train dogs. And so that was the original concept and the idea was we're going to start with our conclusion and try to get there. How do we get to train men?

Speaker 3:          00:06:17       Like we train dogs. And so I told Pete because he takes his dogs to the dog park every day. I said, Pete, use your experience from the dog park. Maybe we get a dog training manual and try to figure it out from there. And so he goes off the dog training manual thing. Just wasn't working. So he just starts writing his experience. His experience in absurd made up experience at the dog park about he sits at the dog park four or five hours a day, but never in heavy rain and observes dogs and they're, they're humping behavior and their fight closely observed the genitals of close to $10,000. Yeah, inspected genitals. I am committed, I, unless it's raining and then in turn Reigate their owners as their sexual orientation. But we needed something else in there, you know, like choice slides, dog parks are petri dishes for Canine rape cultures.

Speaker 3:          00:07:07       But we need something else. And again, the trick to this thing is what's morally fashionable? Who is the most depression variables? So I thought, well, you know, a black female criminologists so I like googled black female criminology. I just looked at Wikipedia and it was like I found someone, I'm like, okay, let's look at this through a lens of black female criminology. They can't reject it because they'd be saying that there's something wrong there. There'd be not validating someone's lived experience. So we looked at the whole thing through black feminist criminology bulletin published. So we've got seven of those and are accepted with seven more than mine come three right. Wait, let's not gloss over that one cause this is actually incredible what you did. Okay. Well you want to go through the levels by far the most difficult of the papers so you can incredible I guess is fair because it was really hard.

