Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          do you think lawsuits are the answer to stop some of this stuff? I'm also realizing right now that would our runway to fix this is becoming perilously short. Like we're getting to the best pretty damn quick. The 2020 election is right around the corner and that seems to me to be what this is all ramping up to.

Speaker 3:          00:22          Absolutely. The Covington case was such a glaring example of that. So I was on vacation in Mexico. Yeah. Okay, so let's just go all in on Covington right now. Yeah, so it was a little town north of port of are out there just hanging out too. You know, going through Twitter and [inaudible] son of a bitch, try on Twitter, on vacations. We'll see what happens. And so I see Maggie Haberman, the premiere reporter for the premiere news publication in the country covering American politics. New York Times. Yeah, exactly. Basically calling for the expulsion of a bunch of kids that she's never met that she doesn't know based on an event she didn't see. And I found that so shocking. I was like, we're crossing a whole new line now. If we're going to go, it's one thing to go after what somebody said 10 years ago. That's problematic on its own terms.

Speaker 3:          01:06          We'll get, we'll get to that in a little bit too. That's what we have statutes of limitations for, but the a is that you're not going to be held responsible for what she did when you're 10, but the or when you're 20, when you're 40. But the here, these kids were who were just going up to DC to be part of the pro life march. Uh, and usually the pro life march at five at family participate in that. They're, they're just having fun. You know, they're not mean. They're not out there harassing people. They're just expressing what they believe. A, these kids are having fun. Probably the first time ever to Washington DC there by the Lincoln memorial was beautiful memorial and all of a sudden they start getting harassed out of the blue and they have likely never met the black Hebrew Israelites. Right? Some of us that have no what's coming every, I lived in New York City for many years.

Speaker 3:          01:47          Every by these guys, many times, every insult, known demand. It's like really? They're almost like an insult comic. If the routine is so extreme, it's like they find something going the next, then the next thing the next day, like bad don Rickles. Oh, exactly. Exactly the worst version, right? It's all you combined Farah Khan with Don Rowe. Yeah. Right. So, but these kids have no ideas and they have an African American friend that's there with them and the he's being attacked and so they start defending him. They started attacking, making various anti gay slurs there. They question, they respond back to that in defense of people who are gay. So I was like, these are in that mean kids. These are kids trying to handle the shocking environment. They decided to go internal and start, okay, let's not deal with these guys. Let's do our school tiers. One of their school cheers as the old Haiku, as a, as the Haiku dance, which is the Great New Zealand rugby team.

Speaker 3:          02:33          All black. Yeah. I, in fact two weeks before it's shown it to my son because I was like, look at how awesome. It's awesome. It's all over youtube by the way. Anyone can watch it. And absolutely. When I first saw it in the movie with Matt Damon, that's the greatest sports dance I've ever seen. In fact, before I want to get inspired by something, I'll just put it on and go get ready. Yeah. So the, so they do that as part of it. That's why when the kid's tearing his clothes off and it's right after that, it's happening, then all of a sudden the native American comes up with some friends and he's doing the drums. So two thirds of the kids think, oh, he's joining in because we just did the Iq thing. Oh, this is great. And what do they know? The most popular, uh, native American sports thing they know is the, is the Tomahawk Chop from, uh, from the Florida, stayed from Kansas City chiefs and Indian Atlanta Braves.
