Speaker 1:          00:00:02       I'd

Speaker 2:          00:00:02       like to believe that critical thinking is woven into pretty much everything we do here on the Rubin report, but today's show is going to have an even keener focus on this all encompassing topic. At the end of the day, whether we're talking about politics, religion, or current events, it all boils down to critical thinking, the definition of which is quote, the objective analysis and evaluation of an issue in order to form a judgment end quote, can we really look at the world the way it truly is, not the way we want it to be. Can we set aside our faith based hopes to analyze real world problems or his faith actually a part of the problem as opposed to being the solution each week I try to have conversations that exist in this space without resorting to ad hominem attacks and Straw man arguments. That guiding principle is fully based in critical thinking and moral reasoning.

Speaker 2:          00:00:54       Joining me this week is Peter Boghossian, philosophy instructor, critical thinker and author of a manual for creating atheists. Peter's book is a really incisive, clear take on why critical thinking is important, how faith based thinking can be dangerous, and also relates what you can do to spread ideas based on fact and reason with your friends and family. He writes in an understandable and relatable style on topics that many are afraid to touch on, even with the people closest to them. He gives the reader the very tools to help people trapped by faith based thinking. Yes, I did say help. Their help is exactly what I believe is needed in this situation. When your beliefs aren't based in reason and critical thinking, it creates a space where extremism can creep in. This of course, isn't beholden to one religion or ideology. Anytime you throw reason in fact out the window to trade it with ideas that aren't provable, you create the very breeding ground that extremism needs to spread.

Speaker 2:          00:01:53       It's not a coincidence that in places where gays, women and minorities are treated poorly are also the places where religion has often been a substitute for clear moral thinking. By the way, uh, we here in the West could do a much better job of this ourselves. I know we're more focused on Islamic extremism on this show, but there are all kinds of extremism in the world. You can't deal with any of these ideologies with half truths and by shooting the messengers, you must deal with them by looking at them head on and tackling the ideologies with better ideas and moral clarity. We live in a time when religious extremism is on the rise. I'm going to guess that we probably don't have many religious extremists watching this show, so I don't know how much of an effect I can have on those people. The people that I can have an effect on, however, is you guys people out there from every walk of life, from all over the globe who want to do the work of finding out what brings us together, not what tears us apart.

Speaker 2:          00:02:50       I firmly believe that critical thinking is the solution. Critical thinking doesn't care about your race, your sexuality or your nationality is a roadmap to solving serious issues and combating superstitious thinking. That has led to many real world problems. Much of the right in America is led by Christian religious ideology. Much of the left, while not guided by religion, has become as dogmatic in its beliefs between the two is where most clear minded free thinking people live. It's what my guest on next week show Ali Rizvi he refers to as the new center. I think by letting go of our superstitions and focusing on real solutions, we can change the world for the better. Either that or we can leave it up to the zealots after all the world is what you make of it.

Speaker 2:          00:03:40       Peter goes in as a philosophy instructor, critical thinker and author of a manual for creating atheists. He's also an anterior aggressive warrior and can back it up with some Jujitsu. Peter, welcome to the show. Thank you. Thank you for having me. Really looking forward to our chat. I am looking forward to it as well. You know, every week I feel like I'm connecting with people that I know in the digital space and mostly through 140 characters and I put you in that group. You just did three hours with Rogan. I did. We had an interesting conversation. How you feeling? You came up, you came up to good. I feel great. I feel great. Did he say good things about me? We said nothing. Well, you know, that's the thing. We don't. I think part of it is when people are together and they're sincere, I think they'll, they'll either agree or disagree or there'll be a convergence around those ideas.
