Speaker 1:          00:00          We are the New York Knicks. We are the [inaudible].

Speaker 2:          00:15          Joining me today is the New York Times bestselling author, the guy who wrote that mid nineties New York Knicks anthem, a man who has founded enterprises from private jet companies to Zico coconut water, the Co owner of the Mbas, Atlanta Hawks and Oh, a former rapper Jesse. It's lyrical. Welcome to the Rubin report. Uh, thanks for having me, dude. Your bio is like, like it doesn't even seem like it could possibly be real. It's been quite a journey. Quite a journey. All right. There's so much I want to do with you. I, I said to you right before we started, I mean I remember that 94 Nick's team so well that was like right in my formative years of basketball, which I love. I said to you right before we started that that game six, which as a Knicks fan is probably one of the most painful things you ever watched. A was the night of my senior prom and of course tonight of the Oj Simpson car chase, you lived through that whole experience.

Speaker 3:          01:12          I did. I was at the Knick game that night. I was at the Knick game as a playoff game. I had just written the theme song for the Knicks and started, it was starting to get momentum on the radio and in the garden and I was so, I mean my whole life up a knick fan and this was a big moment and here we are, game six at home and all of a sudden the Oj Chase, I was getting like a pretzel. I went outside, I was like, everyone's looking at the monitor and I looked up, I'm like, what in the world is this? Oh Wow. So they were showing you like don't go out to the concessions. Yeah, it was on the Monitor. So you know I was conflicted and people were running back and forth. It was wild.

Speaker 2:          01:47          Yeah. What a crazy night because the rangers had just won the Stanley Cup finals I think. And it was just like a great time to be in New York. Then Oj, obviously people must've been talking about my prom, so I can only imagine what was going on over there. All right, so speaking of New York, you're from Roslyn Long Island. I'm from Syosset Long Island. We're about 10 minutes away from each other on the long island expressway. I find that a lot of interesting people come out of long island had, have you found that? Is that the water? What's going on?

Speaker 3:          02:17          You know, it's crazy. I was telling, I was actually just having this conversation the other day with a friend of mine and I was saying in my town, if you took the year that I graduated my senior year and went back four years and forward four years, so in that eight year gap or whatever it is from, you know, of kids that went through my school. We have a, I think we have two with three professional sports team owners. We have multiple billionaires. I have five guys that I went to high school is that are in jail. We've had multiple suicides and Bernie Madoff was from my town. I look at my town and think that everybody had the same opportunity. Same teachers. We had one movie theater. I mean it was a small, relatively small town. One, one real high, one high school that everyone went to. A real sense of community, everyone at the same basically, you know, journey through as far as teachers and everything.

Speaker 3:          03:12          Yet we had this crazy swing of the biggest Ponzi schemer and his, his family and sons where in our school, you know, guys who were super successful, people that had super successful parents that went to jail. I mean all in this community. And it was like, Whoa, what was in the water? Yeah. In this town. What do you make of that actually? Cause there's gotta be something there. I mean, even my high school, I mean there, I knew a couple people that I went to high school with that ended up in jail, but we also had Judd Apatow into my high school. Idina Menzel huge Broadway star. Natalie Portman. Yeah. I went to my high school and, and all sorts of things. I think that I would feel very lucky that I grew up in a town that I grew up in and the area that we grew up in.

Speaker 3:          03:53          Yeah. That, um, you know, it was, it was diverse. There was a lot of opportunity. There was creativity. It wasn't far from the city. So we had like a little bit of the city vibe. Is that what it is? I think it has something to do with the proximity because we were about 45 minutes away from New York City. Most of our parents, I'm guessing maybe your parents who worked in New York City, so there was like a little bit of a commuter thing, but you weren't totally part of New York. Like something related to that. I think that's part of it. I think for me, I think it's just the time period that I grew up, you know, as a kid. Yeah. Uh, and there was just a change in music change in culture and uh, we would just expose being close to the city. We had early exposure to all those trends and we were early to the party and I think that had a big impact.

Speaker 3:          04:38          At least it did for me. I know he's an entrepreneur and in my journey it was exciting. There was always excitement. I want to be a part of everything. Yeah. So, you know, I got addicted to newness because there was always something new going on and uh, that fueled me even going forward. So I feel very lucky that, you know, we grew up where we did. Yeah. Anything else I should know about your, your formative years are family before we get into some of the things that you, uh, no, no, no. You can ask me. All right. Well No, if there's nothing else to specific, you said addicted to newness. So I feel this is the right time to play a little clip from you as a rapper. Milne as Jesse James. Lovely

Speaker 4:          05:20          was lucky. I wanted to get my free book. Nobody does wait. I'll wait for fantastic. But he moved like, where am I getting slow? Me Down was one. Let me get a pen. In my case she said I was only in my money. How was the pain foot at the five? A couple bucks. Same. But y'all keep quiet. Don't even try it. I pulled through. I love it. But Nah, she didn't fight it. The store man back received diplomas of car. She was laid off.

Speaker 3:          06:02          Wow. Oh Man. Jesse James that wasn't in the, uh, in the email that you sent me about the shelf that you're going to flash back. We have a pretty crack research team around here. We're going full flashback or before we get to the future and the present. How did that happen? Like I said, grew up in long island in the 80s, you know, and hip hop was comment was emerging. Um, I got really into it at an early age and then when I was in college, you know, I, when everybody was writing their resumes and sending out resumes, I was like, I'm gonna try and make a record. You're like, this is what I wanna do. And, um, there was no B plan. And ultimately, you know, that passion, uh, really, for three years of college I was working towards trying to get a record deal and ultimately landed a deal with a company called delicious vinyl out in Cali, not far from where we are.

Speaker 3:          06:54          And they had two big accidents time. They had a guy named Tony Local Roy. Yeah. Wild thing of called Medina. And then they had had a little bit of a tone loke feel to it that yeah, same producers. Yeah. And then we had a young Mc who won a grammy for buster move. Yeah. So I was able to, uh, I, I didn't know that, but literally I was watching it this morning and I said to David, my producer that it's, that's what it sounded like. Yeah. It's the same guys, same year. Same time. Yeah. And a, and put an album out in the early nineties. Wow. So I was watching it and I was thinking, man, time changes, you know, things change. We get sensitive to different things, but I would guarantee it. But if a young guy, like you put that song out now talking about a white woman and a white rapper, we'd have a certain amount of people screaming about cultural appropriation and all sorts of other stuff.

Speaker 3:          07:40          Was that even remotely something back then? Well, you know, I think it was a, it was on my mind, but the shaker, like a white girl was my first single was actually a remake. The title of an old EU song. A of an old gogo song from washing abandoned Washington DC. Huh. Um, that was predominant was all black. So I felt like I was just kind of taking the momentum of this hit song. Yeah. And introducing it to the theme too. You know, it was fun. I was in college, I would, I wrote the whole album basically, you know, as a fraternity in my fraternity house. And um, yeah, it was pretty tongue in cheek. Yeah. It kind of makes you wish that things were as simple now as they were back then. Right. Cause you could, could you, are you following me on this?

Speaker 3:          08:24          Like I see like some fraternity kid doing something silly like that now and, and just like getting just like a ton of shit for it. Yeah. I mean I'll eat it if it was totally good natured and all that. It was totally good natured. But I look back on it now and I think, you know, if I were to go back in time I probably would do a lot of things differently just based on what I know now. And you know, I'm turning 50, so I'm very aware of, you know, what chapter I am in my life. But when I looked back at me at 21 and what I knew then and you know all the mistakes, I made a 21. Uh, but you know, it's part of the growth and part of the journey.

Speaker 2:          09:01          Yeah. All right. So I want to get to some of the growth in the journey. I want to get, okay. Cook and all that stuff. Go, wait, let's just jump back to the, to the go New York. Go New York, go. How in the world did that even appear that you are going to be the guy that wrote that thing and were you shocked that it caught on? I mean, the video which we'll uh, we'll also link to down below. I like, I remember every moment of that.

Speaker 3:          09:21          So what happened for me is right after college, no resume, you know, got rejected by a lot of record labels. I had no context. My Dad owned a plumbing supply house in Mineola, also not from [inaudible]. I didn't know anyone that was connected to anything. So I had to take this whole, this whole process on my own shoulders and I would literally take a greyhound bus on Friday from Washington DC where I went to school with my demo tape, which was a recording of an instrumental that I played on my CD player. And I would hit record on my answering machine and leave a wrap to the music while it was playing. That was out. The only way I can man damn unbelievable. Like that just sounds like a time warp. I know. That's, that was the only way I could do it. Then I would show up and hand out that cassette to everybody and got rejected.

Speaker 3:          10:06          But ultimately I did get a record. I get, I didn't get a record deal and um, but that was my only goal. So I took my foot off the gas pedal once I got the deal and I didn't get signed for a second album, which to me was crushing at the time. Uh, because the only thing on my resume now was, you know, failed rapper. You know, I was also a Kiddie pool attendant before there, so that wasn't really going to get me a job on Wall Street. That's like a low level life. Low you're training, like walk, no peeing. Like was if you could say walk and stop, stop peeing. You could get the job fair. Always pinging, you know that always to get them out of there. But in any event, um, I wanted to stay even though I didn't get picked up for a second album, I wanted to marry my two passions, which was sports and music and I had this idea to write a theme song for the next.

Speaker 3:          10:55          I was like, all of a sudden sports, we're changing. The game is only 48 minutes and you're there, you're a fan for for 48 minutes. But for the other two hours that you're in the arena during timeouts, you're an audience. And the teams had to entertain the audience and now they brought in the dancers. The Knicks city dancer is came in and they had video boards that all of a sudden never existed. So I was like, let's do a theme song. Like the bears did a song in 86. Yeah, let's do a theme song. We'll get all the celebrities involved in and maybe it'll catch on. So I wrote this demo basically in my apartment, which was like a dorm room and I played it for the next and uh, had you even get that meeting? I had, I started doing jingles, uh, and somehow I, I did a jingle for Nancy Grunfeld clothing company or husband.

Speaker 3:          11:43          Ernie was the GM and she loved the jingle and I said, well, Nancy, if you love this, let's, let's do something for the next. Let's try this. So she said, we'll take a shot at. So I just did it on Spec. I walked in and I knew it. There was something there and I played it for them and they said, you know, we'll, we'll give you a $4,000 for the song. And I said, okay. I hired a right then and there you said, okay. Right then and there. Oh yeah. No lawyer or nothing. Dot. I didn't ask any questions at $4,000 who's eight months of rent. So I um, when I hired a lawyer, ultimately I needed a lawyer, studio engineer, Singer, drummer, producer, et cetera. It costs me $4,800 to do this song. But every team that came into Madison Square Garden said, why don't we have a theme so this and the next got hot and it became the number one most requested song, that little jingle on New York radio.

Speaker 3:          12:39          And I realized like that's the white space. Nobody else is know. Everyone's trying to get on MTV and get their records and tower records. But no, there's a category, a new category that I can create sports, music and I started doing theme songs for professional sports teams. Yeah. It's so awesome. Like it's just such a great story of just like a kid, basically a kid just like it over look, just get out there and do something. It's kind of a kind of a beautiful thing. You must look at it back. I can see sort of in your face, like there's like a nostalgia to it cause it was just like I was what it was. I look at it from that chapter of my life where I had 21 years old. I, there were no consequences. Like if I didn't get this song, I would have gotten to the next team and kept, I was so deeply connected to my dream, like emotionally connected to the goal that I would, I was on greyhound bus every day drive.

