Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          All right, so we've been talking a bit about the tech component of this grand cultural war that's going on. You guys cool that you're, you're a small company or you're funded on Patrion which were funded on Pedro and it's pretty awesome. You have people that voluntarily pay you to support your content and make you grow. I know how validating and rewarding it is and all that stuff, but you find yourself often up against the big boys, right? Like bots funded to a hundreds of millions of dollars by different things and you're being critical of them here. Yeah. So it does get me to back to something that I started with before about where does it come from for, for you to just be brave. I don't want to, I don't want to belittle that part of it that there's a new internet developing and I think is people that are doing this sort of thing. It's not these well funded, well oil machines that we're watching them crumble. You know, I just, you sent me this morning, this thing about boxes ad rev is off by 15% or something and it's like we've got slim trim companies and I think I really believe that's the future economically of this. Yep. As well as in terms of protecting the ideas.

Speaker 3:          01:09          Yeah. So we, uh, a pretty, we have a pretty amazing story. Um, we, um, I started by myself and I ran the website for maybe a year or even a year and a half before I got my, um, assistant editor on board who's now sort of the managing editor and he's extraordinarily talented, extremely hardworking. So I'm very indebted to him for all of that. Jonathan, Jonathan, Hey, I'm in my other editor, Jamie. Okay. Yeah, yeah. Okay. Yeah. Let's give credit where credit's yeah. Yeah. And, um, am I contribute, is that all so amazing? Yeah, but we, I hate now as of 20, uh, 2018 September, we're getting up to 1 million unique visitors a month with a staff of all part time staff of six or the six or seven people. And we are getting almost a million uniques a month. I am aware of magazines that have a budget of millions of dollars.

Speaker 3:          02:13          Yeah. That can not compete with our traffic and who have staffs of star, like staffing capacity of 30 40, 50 people. So we're extremely lane but we're hardworking. Uh, and we're nimble and innovative. Like I'm very, I'm always thinking about innovations to the business model. What can we do that's different? I think just following in the footsteps of the old model is probably a recipe for failure. And I truly believe that advertising is on the way out. I know people can still make some money through advertising, but I think advert advertising gives you a vulnerability because now you see these activists trying to like target brands if their brand is next to some content that activists don't like. So I think advertising is just, I think it's Vaughn, there's a vulnerability associated with it. And

Speaker 2:          03:10          is it almost a fake vulnerability though? Because I always think when, you know, they always try to boycott had it. He, for example, and it's like all of the people trying to boycott him, putting aside whatever he said on that given instance, they don't watch him in the first place. And yet the advertisers still feel that they have to bow to the mob. And I always find that to be a strange thing. Like there's very few people who like entity who are, who are so shocked by something he said that they want to boycott it. Yeah. It's always people who hate him in the first ways that don't watch. So there's an odd piece of this that's like slightly disconnected from reality, I think.

Speaker 3:          03:43          Well, Kay, um, corporations and companies in general are skiddish and conservative and they want to protect their reputations and they, they're afraid of, um, any kind of controversy. And, um, I agree with you that the, these activists on social media who are targeting companies, they're a tiny, tiny minority of the population. Most people don't care or buy into this stuff, but corporations is, it's probably some PR person who's like, Whoa, we don't want any controversy. Yeah, let's detach ourselves. Um, but you know, it, that kind of, um, timidity and, um, lack of strength and lack of spine is not something that is part of Colette. So we very much conscious of if we ever get mobbed and we do get mobbed, sometimes we don't apologize. We don't, we don't, um, we don't give into the heckler's veto basically. Yeah. And I, I really think it's important for, um, uh, corporations, company leaders, anyone in a leader's leadership position to grow as spawn in the era of social media and to not take any of this outrage seriously. Yeah. Yeah.

