Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          do you want to be today is a comedian, actor and podcasts there. Nick Depalo, welcome to the Rubin report. Next. Dave, how are you? I liked it. The first thing you said to me was to have to worry about any language here. Yeah. Which you ought to drop it right now. You want to drop all your, all your passwords notified. Like you said, I've seen you on youtube and it looks like a TV. So I felt like I was walking into meet the press and yeah, this is very professional. Yeah. Well you got the, you know, I wore a jacket for you though. How I was going to put a tie on for you. That would have been a bit much. Yeah, that's what I thought he would have seen right through that. Does anyone want to see a comedian in a tie? Only if the hanging themselves say something wrong.

Speaker 2:          00:42          Well that's, I think that's going to be the theme of everything we're doing here. Uh, so for the people that don't know you, give me a little, a little background on Nick Depalo pre stand up, please stand up. Did you have a life before if you call it a life. All right. I'm on my head a heartbeat now. He's breathing. Yeah. I grew up about 22 miles north of Boston and the very middle class white suburb pretty much. And uh, went to college at University of Maine and uh, came out of college, took a job selling frozen steak and seafood door to door out of the back of it. And so it was a pickup truck that actually seems like a good credibility to stand up. It was a great prayer. I'd walk into places, I'd lay out all my stuff. Like I'd go on and say any, any, any residents, small businesses.

Speaker 2:          01:27          I'd go into a real estate plan. I lay out all my stuff if they let me in. And uh, you know, there would be 20 people firing questions. How much is that per pound, Buh, Buh, Buh, Buh, Buh. And it was great. I'd make them laugh and, and uh, you know, this stuff was really overpriced. It was a boiler room operation and I'm sure there's people that have seen me on TV since cause then I'm going to find that I bought Haddock for 85 bucks a pound from that year. So, uh, yeah, I did that for a few years and then they took a job. We haven't see those companies late at night. That market inventions, if you have an idea for it. Oh yeah, I did that and started where we're meeting. You did one of those infomercials? No, I was, I actually was a uh, a salesman. Like I have my own corner office, another boiler room operation.

Speaker 2:          02:12          Wow. Jeez. Which I didn't know when you come out of college will take a legitimate threat, a nice building. I got a suit on and stuff you find out. But, but the, the biggest one that I took a job with New England rare coin galleries in Boston. It was like working at Merrill Lynch. It was on the 31st floor of a skyscraper. I had to wear a suit. It looked just like a, you know, Charlie Sheen of Wall Street when I went to work. So I did that for, that was brutal. I'm trying to sell $50,000 coins over the phone to somebody you've never met before. This is after selling the steak and seafood on a tour. Yeah, there's [inaudible] ground that didn't last long. Right. So I quit that, that, that I quit that and about a month later I'm watching TV. I see my boss being led out by the, by the FBI knows ships.

Speaker 2:          02:56          It was like a boil, another boiler operation. Some of the coins were fake and, but uh, but I started doing stand up, uh, you know right at, right after that, probably a cup a couple of years out of college. And this is in Boston, in Boston, a place called stitches. There's a, there's a document you've probably seen stand up, stood out and that little club where they're interviewing people, stitches. That's the first place I did my first joke open. Mike. Yeah. I was drunk at a cookout at my parent's house and like good parents that gave me the keys and said, I want to try. So yeah, I put my name and sure enough, I get called a, it was a Sunday night. I pull up the stitches and Boston and on the Markia and never forget it says it said comedy. Hell, that's what, so that was my first, George McDonald was the house this guy had and Boston, my first line on stage was an ad Lib and that's when he said to me, I knew you're going to be funny.

Speaker 2:          03:52          I followed some guy in a Tuxedo and a, I have like a sweatshirt on and then, and I'm like, I didn't know what to how to dress. And I said, I didn't know how to be following him at fucking Mr. Sanders, which is a local Tuxedo place. And that got like a nice laugh and then I bombed it the next four minutes. Yeah. And uh, I was stupid enough to go back. Yeah. So that's pretty, that's pretty much the beginning of everybody. Right. You don't even know how to screw up at the beginning. That's right. So you're kind of good by accident or something like that. That's right. That must've been a magical time in Boston. I mean, that's what the documentary is hip, but they were major, major comics. They're all doing it seemingly for the right reason. Yeah. More before they even knew what, what stand up could become the yeah.

Speaker 2:          04:33          Yeah. And it still to this day, you think about the people that have come out of Boston. I mean, uh, you know, uh, Jay Leno, Conan, Joe Rogan, Louie Belieber, uh, myself, uh, even Kevin, meaning Jenny graphql and moved to Boston at the time. Yeah. And yeah, it was a crazy Steven Wright. He's a, yeah, he's a legend. Yeah. I mean, so it's, it's a crazy, but that was, it reminds me of good fellows that they're going to, it was a glorious time. I had a pot of, had a plot of coke next to my bed. How many condoms? Uh, it was, it was unbelievable. How can you get cut the garlic? What's that? How thin did you cut the gold? Very thin with the, that you could do that metaphor there. You could do that mix. Yeah, exactly. It Nixa that's how they get paid to comedy club. You could get paid and coke or money.

Speaker 2:          05:24          And so there were a lot of drugs. Yeah. I wasn't a drunk guy. I played, I was a jock. I played football in college and, and, and uh, but they would kick me out of the green room. Steve sweeting and Gavin and all of our veterans. A rookie. You going to do the Shit and get out? Yeah, I'm standing out. One time I tried to John Pinette talk me into, uh, after about a year and a half, he talked me to doing a line. I go up on stage at mix, I'll never forget it and I'm talking about, I have cotton mouth from the Co. My lip keeps getting stuck like this. I have my hand in my pocket and I want to point, it was quiet around this set of guy yells, hey, relax up there. I was Jig jiggling my car keys. Oh, from comics in the back when Diane, I kept it, I kept tripping over my punchlines cause my mouth was, my lip kept getting stuck in my teeth.

Speaker 2:          06:09          That was how he didn't die early. I mean, he's the only, but I love them so much. So I actually said I'll do it right at you. I don't mean any disrespect to him, but if he was doing a lot of cooks somehow the weight thing didn't make snow snakes. Yeah. Was he was putting on cheeseburgers and you know, I don't know, but I'm, so that was the beginning of that following guys like Lenny Clarke and Steve Sweeney, these guys are legends that your fans probably don't know who they are. But to this day, I mean Kenny Rogers and these guys were as good. Now I'd been doing it 30 years later and I still haven't seen anybody, you know, Baraka Room like that with a material, you know. So what do you think happens to to that type of guy? Because I don't even know those guys really like that.

Speaker 2:          06:51          The guys that don't make it, cause I know, I mean this is the same old story that we all have, but like some of the worst comics that I started with have become successful and some of the best and most actually of the guys that I thought were really great. All right. Completely disappeared. And we all have that story. Well, the guys in Boston, there was a a couple of reasons and it was so big. Comedy standup was booming in the mid eighties, late eighties. And that was the Mecca like you said. But these guys, like Nick's comedy club held like 350 people and it was just a moneymaking machine and it was run by the boys. And they had like some of the guys sign agreement saying they couldn't perform anywhere else, but they will making, this is back in the 80s. I remember one of the guys tell me they were making three grand and 3,500 a weekend.

Speaker 2:          07:39          Jeez. So why would you late right in the cities, it's not like you even had to go. Yeah. You didn't have to go on the road in their homes. And they, you know, and like I said, they party their ass off and, and they signed some of them signed agreements and that they couldn't perform elsewhere. So that's what, but I mean it will make killer money. Didn't have to get on a plane and, and um, but by the, in the, in the long run was saying, you know, who are they? But Steve Sweeney has been in a few fairly brother movies and, and, and learning clock was brilliant. I saw these guys at their, uh, Kevin Meeney. Yeah, they had a, I always love Kevin Meeting. Unbelievably Sweeney meeting night. They call, I was a bar back at stitches comedy club before I come. That was the other job.

Speaker 2:          08:21          I for about six months. I just want her to be near it, you know, and it was sweetening meaty night. It was Kevin, Kevin Maney in Steve Sweeney, who is the godfather of comedy. Uh, and they would, they would, uh, yeah, they had a show on Wednesday nights. Kevin meeting would go out on the street with a camera alive and the a scream and come down in the club so the audience could watch and he would pull over buses, get on buses and stop making fun of people on the boat. Uh, him and Sweeney went into, uh, the Chinese restaurant next door swing. He's got like a cutout of a cop with his face, throat. He's pretending he's like a food, uh, yelling at the Chinese people to clean up the kitchen. Then they go into a lady's room and there's a woman in the stove. It kick open the door with a camera picture crowd in a glove would not fly these.

Speaker 2:          09:10          No, of course not. There'll be too much fun. And uh, but picture that people inside. Well I've never heard laughter like that. And I like Kevin, Kevin, me, he waved down a cop and started giving the cop shit and a cop got mad. You are watching this on a screen inside. I mean brilliant, brainy and you know, it was, it was, it was, uh, unbelievable time. There was more states, more stages available than Comedians at there. I've worked 300 nights my first year. And because this is what, you're around 88, so this is like sort of sort of at the end of the boom, boom boom, right? Yeah. Cause, what do they say that when dice sold out Madison Square Garden, like three nights in a row, that was when the whole thing shattered basically, which I think was around 90 or 91. Yeah, that sounds about right.

Speaker 2:          09:54          Yeah. But every I worked, it's tough for these guys to, the game has changed so much, but me and Louis C K came up together. He was already doing in a year or two before me. I met him. He was 18 and I was like 25. And uh, but every restaurant in pub in New England, not just Boston, I could show you my book for my first year. Monday night I'd be a Chinese restaurant, Rhode Island. Tuesday night I'd be at some Mexican restaurant in Franklin, mass. Wednesday night I might do a college. Thursday night I'd be a National Hampshire at a Holiday Inn, uh, you know, and audit and seven nights a week there was so much stage time as you know, as a stand up, there's nothing more important. And we thought that's how it was. We didn't realize it was a boom going on. Yeah. We thought this is how it is.

