Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          what I will say about Madonna, the gays are going to kill me. I saw her one time and it wasn't great. New York, uh, confessions, confessions on the dance floor. It wasn't, it was in DNA. Oh, that's the one. Yeah. That was the whole dance album. Right. We know confessions was the dance. Okay. So that day was like in 2012, I think I was on Mtma when I went to the, you went, that's where it was. Okay. I paid a lot of money for those tickets. We were at Madison Square Garden somewhere out in Jersey. I was way up there in the rafters and I was just like, yeah, yeah, I'll wait until I'll wait until they're at the Farewell Vegas tour where she finally does all the things that people want to hear. Right, right. Well, age wise, she's, she's getting there. Yeah. But you know, she keeps it together.

Speaker 2:          00:45          She keeps it together. She does. She does. All right. Let's, uh, let's talk a little bit about, I've heard Candace talk about how most black people actually are conservatives, but they sort of don't know it or they can't accept it because of the way the media has treated black people. That the default position is you must be a democrat. Yeah. Do you sense that? Um, I sense that and to get into that, you really have to understand how deeply entrenched this idea, um, that black people have to be Democrats is, and, and I said this a little bit, uh, on the vice thing that I did, we have black celebrities, entertainers, ball players, athletes from the top of the charts to the ants. The thought with 10,000 followers. These are all people that are pushing leftists. You know, they're pushing leftist tactics and black people.

Speaker 2:          01:38          We more so than I think other races, we look for representation and media and we look for representation and pop culture. And these are our heroes. These are the people that we want to be like. And that's one of the reasons why this idea that we have to be on the left is so firmly entrenched. So why do you think that is? Looking for it sort of elsewhere, do you think that has something to do with the black family and some of the stuff that Larry elder would talk about? It has everything to do with, with Larry elders talking about Larry Odor will tell you, and I'm pretty sure he did that, the number one to kick the shit out of me. That's what woke me up. But Larry elder will tell you that the number one problem in the black community is, is black popping it.

Speaker 2:          02:18          Listen to this, right? That we don't have men in the homes. And so when there's not a man in the home, when there's not a man to, to raise that young man in the home, they look to athletes, ballplayers, the Colin Kaepernick's, whoever. And so when Colin Kaepernick, just to give an example, if some kid's hero, right? And he sees Colin Kaepernick taking a knee for black lives matter, and that's where he's getting his politics from, because that kid doesn't know who I am. They could certainly doesn't know who Larry elder is. And the fact that that kid is not gonna know who Larry Elder is. It's a shame. You know what I mean? And so that's the message that we get. Even though black people do tend to be a little bit more conservative, just in terms of if you, for example, said that black people need fathers in the home and we need to stop having kids out of wedlock and we need to start doing all of these things that will elevate ourselves.

Speaker 2:          03:10          You're a racist white supremacist, I would say. I would say everyone regardless of race, should have those things to the best of your ability. Not to say it can't happen otherwise. You just said you were raised by your mother. I want to do turned out pretty good course. There are those outlier cases. Yeah. But at the same time I was, I went to the military for five years and so the military taught me, the military gave me a male influence. Um, multiple male influences. The military taught me how to be a man. The military taught me discipline. The military taught me courage in the military taught me self control. The military taught me reliance, all of the things that a father is supposed to teach you. And so now me as a, as a gay black man saying these things, you know, if you're a white person, you know, you're white supremacist or whatever, but I'm sorry about that, you know?

Speaker 2:          03:55          Yeah. I'm, I'm the COO and I'm the uncle Tom, I'm whatever. And there is this very huge movement of like very far left gay black men who it seems like they have these large online platforms and it seems like their entire goal in life is to just tear down straight black men or tear down the idea of masculinity or tear down the idea that our boys need men in the homes to teach them how to be men. So they want to tear that down. And when I look at their platforms and I look at the things that they say, and sometimes they get, they come after me and I ignore it because none of those people are my enemy. There is nobody that is out there that's a public figure that looks like me. That is not my enemy. That is my, these people are not my enemy.

Speaker 2:          04:41          But when I look at the platform that they have, I say, you have so many people listening to you. Why are you always preaching divisiveness and hatred? Why did you trying to tear down black men? We should be lifting each other up. We should be empowering each other because you know our community meets. Yeah, well it seems to me that mostly, and it's not just with say those black men, but anyone that buys in to the far left ideology, they want conformity and they, there is some sort of, as I say all the time, Peter Boghossian, he's been on the show many times, calls this postmodern ideology a secular religion and they don't want a PA state and they especially don't want to pass states that look like you. That's crazy. I've never, I've never really heard that. I mean I've talked about that idea and some of my lectures, but I've never heard it say quite like that because this is my thing.

Speaker 2:          05:30          And one of the best things that happened for me over the past year is that if I'm a religion and I found God, because I will tell you, and you probably know there and I don't know, I don't know what your religion is, but for me there's a lot of people that are running after Twitter, followers and fans and Instagram followers and fame and money and all this other stuff and not, there's not an amount of Twitter followers or fame or any of that stuff that is going to fill that hole that you're looking to fill. And your Twitter followers don't fill. The existential void lays out what you're telling me do not. The black hole of existence is not filled by Instagram. Line is nodding. You've got like 10 times my following. And when, when things started taking off a little bit last year, like when when my life started getting bigger and in some other ways I had to make things smaller.

Speaker 2:          06:22          Um, and so I made my circle smaller and, and I tried to get close with my husband and my best friends, but I also found God. And it is you not religious before, were you not, were you, were you specifically not a believer before? No, not at, not at all. I was raised in the church African Methodist Episcopal. Um, so the AME church, like I was there and when you're young and black in the church churches a full, like an all day event, I'm there at 10:00 AM per Sunday school and then you do the service and then it's two 30 dinner. You're like, again, not out of there until after dark. But I think that in my first 11 years in the city when I was kind of doing some of the don't ask, don't tell activism and trying to find my path, I was looking for fulfillment in all of those things that I told you before.

Speaker 2:          07:04          And when I started getting those things, I realized that not that it wasn't enough, but there needs to be something else to ground me. And one of the biggest things that the, the Super Far left tells young gay people is that God is your enemy and Christians are your enemy. And Evangelical Christians want to put you in conversion campaigns. Just all of this crazy stuff to separate them from relation so that this far left ideology becomes their religion. And I, I say that, you know, God is a gift in my life right now. And I say that and I'm not embarrassed by that anymore and I don't feel like that's something that I should be ashamed to talk about even as a, as a gay man. Somebody described me on Twitter when I, and I think it's funny, and they said, I'm former military leftist turn right wing Bible thumping, Trump tarred.

Speaker 2:          07:58          And I thought that that lot words, I, it was hysterical. I showed that to my husband. We both cackled I don't hear you Bible thumping. No, I mean, I'm not a Trump tart and I, you know, yeah, yeah, yeah, yeah. Right wing Trump tart. I don't Bible thump. I just, I talked that, I talk about religion in my life and how it's grounded me and how it's become just a really powerful guiding fours and it is fulfilling and it is grounding in a way that, let me tell you something. As a young gay man, like, like all the sex, all the partying, all that stuff. Like I did it all and there's, there's nothing in that in for me. It is becoming grounded in religion and God. Yeah. Do you think a lot of gay people have like an extra struggle when it comes to sort of be existential questions? Cause I know I definitely did like that. You are something that society tells you at least, you know. How old are you? Huh? How old are you? Am I allowed to ask how old you, I'll be back. I just get to the one question that I can, I'm in my thirties

Speaker 3:          09:00          during your thirties wow. Wow. Yeah. Yeah. All right. So that's how it is. Well I as an elder, I am 42 years. Okay. So you know, when I was in say high school and college, you know, this is way before gay marriage, you know, during don't ask, don't tell. And I, I never really saw sort of a functional future. I, it's not that I saw dysfunction future, I just saw no future. I was just like, I'm now and I'm just going to keep living now. Something like that. Um, but I do think for a lot of gay people that causes like this weird, uh, belief schism or something like that. So it's interesting to hear that just in the last year, you've come back to some of this stuff. And I think a lot of people have, by the way,

Speaker 2:          09:39          I think they are in, in, in, I want them to, and it's like, so we, we told the, I guess I don't, I don't want to say right wingers anymore because I guess I'm a right winger now, but they always say that, you know, you can't call gay lifestyle because it's my sexual orientation. It's a lifestyle. But there are elements of it that are very lifestyle oriented. The, the party lifestyle, the circuit party culture, the gay culture, like all of that other stuff. Um,

Speaker 3:          10:02          I don't like any of that stuff. Yeah. I like the golden girls who doesn't like the golden girls, like gay enough for me. You know what I mean? I watched three hours of the golden girls on a Sunday morning. I'm very happy.

Speaker 2:          10:12          The cool thing right now is that people like you and people like me can reach these young people and they can see something that is outside of all of that messiness. And I come to it is not somebody that judges it. But if somebody that did it all now, I never did drugs. That was never, I was never a druggie. I don't even like smoking weed. They say that people that are um, better, a little neurotic and I'm a little neurotic. They say we, it doesn't go well with us and it doesn't go well with me. So I never did the drugs. Yeah,

Speaker 3:          10:42          you haven't found the right end that good, but I get it. You're a conservative now.

Speaker 2:          10:45          Yeah. No, it's not even that because some of them, and it's really funny, I'm like to the right of some people on marijuana legalization, but that's a whole nother issue. We can go there, but yeah, good. But I did all the partying. I did all of the circuit parties and I traveled and kissing boys and having lots of sex. It's like I did all that. And I fundamentally know that there's nothing there. And I think that the problem with reaching these kids right now is that I am like, it feels lonely because it really does feel like I'm one of maybe three or four people that like have these large platforms and obviously you as well, but they see people that are like, you know, they see the drag queens and the Hollywood celebrities and all that other stuff. I just really want these kids to see that they can have a more grounded life. And not that I'm trying to be anybody's role model in a way because I'm like, my thing is I did all the mess. So you don't have,

Speaker 3:          11:40          yeah, I, I feel there even though I didn't do the math. I mean I did do my own mess in a way. Yeah. Like, and I did, I did do the drugs and I didn't do all that, but I wasn't really into the scene, let's say. But I do feel that too. I'm not trying to be anyone's role model. All a hundred. You are setting up for failure. Yeah. And I, I lived through, if anything, I would say I lived through shit to get to where I am. So that hopefully the next, that that gay kid that's 18 doesn't have to do it. You know what I mean? Yeah. We're living right. Cause everyone's got shit right. And the people that came before me live through far more than that. So yeah. But there's an interesting parallel here with the way Hollywood treats all of this.

Speaker 3:          12:20          Because you mentioned something about, or just a moment ago, you mentioned how, uh, the black culture puts more emphasis on Hollywood and these figures and everything. And I was thinking like, even just in the Oscars last year, that Black Panther who was nominated for an Oscar, now I've seen every, so I think we're going to have a little difference here because I, I've seen every marvel movie I just saw, I end game a couple of days ago. Uh, this one's going to make me go see it at this weekend. I don't want to say anything right now, but, um, but I've seen every one of the movies. I love superhero movies. I Love Star Wars, love all that stuff. Black Panther was a very average movie there. There was, in my opinion, there was nothing racist. Same for same racist what? Guess what? Mary Oliver, you said it too, but he's a self hating black guys. Like you just can't win here button.

Speaker 3:          13:03          But my point is, but it was within the scheme of superhero movies, none of them get nominated for anything and that's fine. But it was very average in my opinion. It was just a very average movie and it got nominated for all these things and I saw the media was like, ah, see Black Panther. Got It. Like, like it was some major wins that would somehow make people more equal or feel, or now we can look at the numbers and go this many black films, this and this many white friends is, and I was like, it just seems to me that the aim is just so off of where you should go for the prize. The real prize. And I agree with you on that. First of all, I love Black Panther. I really do. Like I'm a, I'm a huge fan. I thought it was perfectly fine, but you got an Oscar Award winning nominated

Speaker 2:          13:46          to make a really good point in minority communities and specifically the two groups that I'm a part of, blacks and, and, and gay people. We always look for representation in the media as some sort of barometer of progress. And that's a trap. It's a huge, it's a big triangle. Chinese people do it. Yeah. Because they're focused on making money. And when I tell him and I'm all about it, and when I go give these lectures, and I told people that the biggest way for any group of people to achieve any kind of power is financially. It is not through the Oscar nominations. And that stuff is great and it's amazing, but it's, it's, it's kind of like these are, these are false idols because Black Panther is great for visual representation and it's great that all those people on the stage, and I personally think this amazing movie, but what that does for the young black kid that's struggling in the high school that I went to right now, not much.

Speaker 2:          14:47          Not much. Right. Um, and we do it as gays and lesbians as well. If, you know, if somebody comes out and look at the, look at the, the, the, the Buddha judge thing right now. Um, yeah, look at how people in this is somebody that is, I mean, I'm not a Buddhist rotator at all, but I, it seems to me, you know, I, I see the game, I see what's going on and I see the way that he picked a fight with pence to, to ingratiate themselves to the far left though. He's like, I get it, I see it. But just the idea that any power comes from media representation, it's, it's false hope. And it also separates the people from what should be the end goal. Because I think that empowerment for any of our communities only comes through entrepreneurship. Look at this, look at that.

