Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          I want to shift to the book or you want to keep going? No, no, no. Please, please. I would much rather talk about this book. All right. So it's called blueprint, the evolutionary origins of a good society. So let's start with the tag there. So we actually live in a good society. I can't believe it. I thought we live in the worst society ever and I thought capitalism is evil and the patriarchy and so many terrible things and we've done horrible things. But you say this is good. Yeah, I'm appalled. Can you please explain this matter statement? Yes. Okay. So I think there has been a long tradition in the sciences and in the public domain as well of um, focusing on the bad side of human nature, on our propensity for tribalism or selfishness or violence or hatred. But equally we are natural selection of our evolution has equipped us and shaped us for love and friendship and cooperation and teaching and all these other wonderful qualities.

Speaker 2:          00:59          And in fact, I would argue that these good qualities and their benefits must necessarily have outweighed the bad qualities and their costs. Because if I came near you, I'm now speaking of over evolutionary time, over tens or hundreds of thousands of years. If I came near you and you killed me or filled me with lies or otherwise injured me, I would be better off living separately. So, so the, so the fact that we live socially suggest that on balance, the benefits of a connected life must outweigh the costs. So the books, the book, what I'm trying to do is I'm trying to push back at these claims that we are, that humans are inexorably evil. And these arguments I should make, I should say, are supplementary to the, uh, the body of ideas that Steven pinker and others had been advancing about the sweep of history. So where Stephen is interested in historical forces, I'm interested in the books over there.

Speaker 2:          01:52          So yeah. And Amy's, I see in a bunch of other younger Steven and give me all my friends Neil Neil crew by data. So you want to be a man? Yes, please. Put me over there with those guys. Yes, exactly. You're like some of those guys. Yes. And Schirmer's book. I can see. Yeah. These are great. Um, okay. So, uh, uh, yeah, the moral arc that you know. Okay, great. So I'll make sure you have a copy. Okay. But anyway, um, so, so, um, so, uh, uh, so Steven is arguing that, uh, you know, basically since the enlightenment philosophical principles in the scientific discoveries, discoveries of the enlightenment, the world has been getting better and he's unquestionably bright. We are safer, less violent, healthier, live, longer, wealthier, better off in every, every possible dimension. And that is largely a product of historical forces. But what I'm arguing and technological forces, but when I'm arguing is that we don't just have to look to our history to find this goodness.

Speaker 2:          02:47          We can look to our pre history. And actually over tens of thousands of years we've been shaped to be good. We have been shaped to be able to live together in productive ways, in, in, in, in good ways, actually in morally good ways. I even argue so, so the both work synergistically, these two forces and in, and in fact I would even argue that these historical and technological forces are actually just a thin veneer on top of much more powerful forces. So is there a bizarre evolutionary force that that inclines us to focus on the negative on? No, that's a good question. I suspect if I had to, I get one per show. No, no, no, no, no. Um, I would say right, cause if you ask if you a person are things good or bad, people generally tend to bed. We watch local news. That is all terrible news.

Speaker 2:          03:33          We're conditioned sort of. So there must be something that's leading to that. Yes. I think that, I think, I know this has been studied, I'm trying to quickly call the literature to my mind. Um, if I had to speculate on what the conclusions of that literature would be, it would be that there's more advantage to paying attention to bad news and good news that the fitness advantage of survival advantage, the advantage to your wellbeing from, um, noting a fire in your vicinity or a Predator or a killer, uh, is more advantageous to you than, than, uh, than noted the noting that on average the presence of water or a food or a kindly person. So I think, I think that that's probably why we're hardwired to be pessimistic, but actually we're not, let me be clear. So, so we have both pessimistic and optimistic, uh, inclinations people, and of course there's Inter individual variation.

