Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          Joining me today is an author, the editorial director of the American Institute for Economic Research as well as a senior fellow at the Austrian economic center. Jeffrey Tucker. Welcome to the Rubin report. Thanks for having me. Good to be here. I almost wore the same bow tie, my friend Healy. I should've brought one extra right there for you. That would have been all right. There's a ton I want to talk to you about your, your sort of a, one of these people that are right around all of the topics that I'm talking about from the freedom and liberty and free speech and the battle between the left and the right and all that, but your new book and I want to get the title absolutely correct. Right wing collectivism, the other threat to liberty. I thought that would be the spot for us to kick this off because most of the people watching this show know that I've mostly focused on the left.

Speaker 2:          00:53          Sure, sure. Was My home or it was it progressive. I've woken up to what I should. Real liberalism is obviously, and that has nothing to do with the modern left. But sometimes people say, Dave, you don't critique the right enough. So let's dive in. What's interesting about talk about anyway is that so often the left and the right are not as distinguishable as they seem to be for, for example, uh, the, this, this trade stuff. You know, Elizabeth Warren and Donald Trump basically agree. How do you account for that? And, and now we, you see all the celebration of the working classes, you know, you're going to get again, uh, the Trump Ian bride agreeing with the Bernie Sanders on, on that, uh, the left is ever more trending nationalist and its immigration policies, for example, that didn't use to be the case. So how was the left? Well, shouldn't listen to him.

Speaker 2:          01:45          Well, like Bernie Sanders complained that free free immigration is, is a coke or coke industries plot basically to provide the capitalist class cheaper workers, for example. Now that you would've never found anybody on the left 20 years ago saying that, but, but now you know what's happening. You know the, the, the, the, the hatred of the, of, of commerce and, and the merchant class is so intense now that if a luxury resort and um, in Florida wants to hire some, some immigrants to work for them, then the left is saying, oh no, this is, this is terrible cause this capitalist capitalism at work. So he was trying to see this strange blending. The left and the right have different cultural pitches, a different appeals to different constituencies, but they both have this agenda that's, that boils down to the, to the use of power. Is this a little bit of just what people refer to as the horseshoe theory that the more that the sides had become sort of extreme, that they're oddly [inaudible] I've heard this, this horseshoe there.

Speaker 2:          02:45          I tend to think that's a little bit superficial. I mean, I look at it a little bit more historically and you see, since since liberalism is born in the world and the 18th century, really high middle ages, but when the revolt against liberalism began the early 19th century, right, too much change, too much wealth, the wrong people are getting rich, then there's not enough control. What are we going to do about our religion, our language, our rates. You know, the, the revolt began to grow from about the 18th, 20th, and intensified and spread, uh, to the United States. Britain really began to take root and continental Europe. There they took two forms. So there was a left form and a right form. And in each country they took, they took on different iterations of different names, you know, so, so in Britain you had the Tories, then you had to lay a Labour party.

Speaker 2:          03:34          They both wanted to use the state for their own purposes. Then you always had the opposition party, which was the liberals and you know, and, and that's the way it's fleshed out itself. In country after country. The Liberal Party has always been, the people said, why don't we just let society be, let people live their lives, let them choose a religion of their own, of their own choice. If they'd all hurting anybody, that's not a problem. Let's have free speech. This have a universal rights. I have rights for this. This get rid of slavery. Let's have rights. Acknowledging the existence of women's rights. Uh, equality of freedom for everybody. Leave everybody alone. That's the liberal position. That's a pretty good position. It's, it's a, it's a beautiful position and it's, and it's what I favorites, but I think it's what built civilization coming out of the religious wars or the high middle ages, we discovered this idea of freedom.

Speaker 2:          04:24          We tried it, it worked. But there's, but there's, uh, there's always been a revolt brewing against it. A resentment, uh, resentment against it and get resentment against the commercial class. Too much change, too much wealth, wrong. People getting wealthy. We're not controlling demographics well enough. There's not enough to quality whatever the thing is. It takes different forms in different countries and in different times in different places. But ultimately the right and the left are ideologies of control and power and liberalism has always been the alternative to that. So, so we keep having to rediscover this again and again and every generation. Yep.

