Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is an Iraq war veteran, a political analysts at America's favorite Black Gay Republican. Rob Smith. Welcome to the Rubin report. Thanks for having me. Day America's favorite Black Gay Republican. That's a lot of pressure to put in a Twitter bio. You know, it's a lot of pressure. I feel that, um, about a year ago about this time, because I came out as conservative a year ago and I out as conservative about fascinating phrase that we're going to talk a little, get into that. Absolutely. But when I came out I said I want something pithy and catchy and kind of funny because it's a joke. Yeah. America's favorite Black Gay Republican. I want there to be as sense of humor in it because as you know, you know, you use humor to bring people in, then you hit them with the facts. So a lot of people are going to be going, wait a minute, wait a minute.

Speaker 2:          00:50          These guys are supposed to hate identity politics. But he's saying he's America's favorite Black Gay Republican. Well, here's my thing with that. I think that there's a, number one, all politics is identity politics. So everybody does identity politics. The left does it in the right, does it, I think that since coming out as a conservative, the way I play identity politics is this, I'm black, I'm gay, I'm going to rock war veteran, I'm all these different things and they don't matter about my politics because I can be all of these things and still love America. And the way the left plays identity politics is we hate you, evil white men or you know, this is my 72 genders or all this stuff. So I feel like they use identity politics not only in a super negative and controlling way, but as a way to get people's votes.

Speaker 2:          01:35          80 sucks though, to kind of have to do a little bit of what they do to throw it in their face. Right. Cause like anytime, I don't mention that I'm gay that often, but anytime that I do, I have no problem mentioning it. Like I'm more than happy to talk about it. Yeah. But anytime that I do, it really only is to throw the use the way that they use gay people. Uh, it's to throw that back in their face like I have no, I don't want special credit for it. You know? I mean, there's, there's no special credit. I think that for me, when you get into my history and you know, I'm going to Iraq war veteran, I protested against, don't ask, don't tell. And I came out at 19 or I came out at 19 kind of like to myself and a couple of friends of my mother.

Speaker 2:          02:13          But when I got out of the military, I'd, we're on 21 years old because I had to serve under, don't ask, don't tell. I said I'm done with closets, so I'm going to be out as gay. So being gay to me has always kinda been a political act. And when I was protesting against, don't ask, don't tell, and getting arrested at the White House and doing all these different things, it was always a political act for me to be gay. So even coming out as a conservative and being on the right, and I'm proudly on the right, being gay is still a political act because I have to go into these spaces and say I'm gay and this is why that matters and this is how we can change the party and change the idea of conservatism to bring more people in. Do you ever find that conservatives have problems? We gave people, cause people keep telling me that all these conservatives hate gay people and I go to events all

Speaker 3:          03:00          over the place, all over the country, all over the world. And I meet all these conservatives. And I'm not saying there are none. I have no doubt there's a certain sect of Bible thumpers obviously that's still do or some people that have different religious beliefs. You know, Ben Shapiro from an Orthodox Jewish perspective, not thrilled with gay marriage, but now takes a libertarian approach to civil marriage. I'm okay with, I don't need him to bow to my beliefs, but I don't find that there's any real push back against gay people from conservatives anymore. I just don't see it. This is, yeah.

Speaker 2:          03:27          What I've seen and I've seen very, very little in the way of people having some problem with me being gay. The um, in my experience, and I've been, God, I, I spoke to the Metropolitan Republican Club in New York City and I speak at these republican events all over the country and it's not so much I have a problem with you being gay. It's some people say, um, one, one person came up to me and she said, you know, you're so good looking and you're black and you know, you're all these things. Like why do you have to talk about the gay thing? And I told her, I was like, I talk about the gay thing because it's very important for me to talk about it because people need to know there are gay conservatives out there that follow me right now that are afraid to come out. And so I need to take this gain as to the space and let them know that it's okay. And also let you guys know that you're missing out on a base of millions of voters by, by doing things that can even be construed as it. Yeah.

Speaker 3:          04:17          Do you think it's one of those things where it's sort of you have to do it so that it can get to the point that you don't have to do it? Is that really? Yes. Yeah.

Speaker 2:          04:24          And I was having the, um, this conversation with, with Candace and I shared this at the blocks are rally over the weekend as well. Um, doing identity politics, you do it now so that at a certain point we don't have to do it anymore. So we have to say that I'm a gay republican or I'm a black republican or I'm a gay, black, conservative, whatever you want to say. Because as Americans we have to break all that stuff down and figure out what our identity as Americans is. And that's the point for me.

Speaker 3:          04:51          Yeah. All right. So I want to talk about what it's like coming out as a conservative, as a gay black man. The rest of it. But let, let's just back up. Yeah. All together. Tell me a little bit about growing up in a family, that kind of thing.

Speaker 2:          05:02          So I am from Akron, Ohio. One of the biggest, um, things that people like to say to discredit black conservatives is that we were all born wealthy. We were all born upper, upper middle class. And what we're doing is we're just trying to protect our privilege. I'm from Akron, Ohio. You weren't in Bel Air. I was not in Bel Air. All right. I was in Akron, Ohio in check the stats on Akron, Ohio. Anybody that doesn't know where that is, um, went to the worst one of the worst public school systems in the state. You can look on the website right now. I can, public schools are rated d plus. So I came from a single mother household. You know, I, I came from all this stuff and my mother tells me this story now. I was too young to remember, but obviously I went to kindergarten in a school that was in my neighborhood and my mother tells me the story about going to see me in kindergarten one day.

