Speaker 1:          00:00:02       We

Speaker 2:          00:00:02       spend a lot of time talking about the left around here, but this week we're going to be diving into the right. My guest is conservative radio talk show host, lawyer and writer Larry Elder. Larry has written several books on conservative principles with a focus on government and racial issues. Much of his work is very similar actually to the ideas we talk about here on the Rubin report, including religion, the role of government and personal responsibility. According to his biography, Larry uses facts and common sense to arrive at his conclusions. That sounds familiar right now. If I use those same precepts as a liberal, can we both be right at the same time? Can both be wrong? Is the answer somewhere in the middle? Well, that's exactly what we're going to try to find out. As I discussed with Don Lemon last week, the media talks so much about the left right divide in this country that it's easy to forget that there are decent people on both sides of the debate.

Speaker 2:          00:00:54       This is one of the reasons I've taken the left to task so much on this show. The further off the deep end they go, the less we'll be able to find compromise with people we disagree with. Just because I may have different views on abortion than Republicans, doesn't mean that they hate all women. Just because I may have different views than Republicans on guns doesn't mean that there are a bunch of rednecks and just because Republicans aren't for legalizing marijuana doesn't mean they aren't fun to hang out with. All right, well that one might be true, but I think you see my point. Maybe the best way to start a conversation about political ideology is to actually define the terms. This is something I've done with a few guests so far because I often think we're all talking about different things while using the same words.

Speaker 2:          00:01:37       Fear not. I have Google and according to the Oxford Dictionary, here's the definition of conservatism. Conservatism is the holding of conservative principles. The tendency to resist great or sudden change, especially in politics, adherence to traditional values and ideas sometimes opposed to liberalism. Alright, so I think we have a nice jumping off point there. Basically, conservatives aren't big on change and when they are, they want to go about it slowly. I think this concept has been conflated with the concept of right wing politics, so I even googled that. According to the concise Oxford Dictionary of politics in liberal democracies, the political right opposes socialism and social democracy, right wing parties include conservatives, Christian Democrats, classic liberals, nationalists, and the far right racists and fascist. You can see how these two concepts have morphed into the Republican Party. In America, we have an ideology that doesn't want to change the system to quickly coupled with a political affiliation that is focused on economics and some level of moral authority.

Speaker 2:          00:02:44       Interestingly, classical liberals are also included in that group and the more and more I've been talking about this stuff, the more I've been considering myself in that category. I'm going to touch on that more in the next couple of weeks. Now that we've laid out some basic terms, I think we have a solid jumping off point to discuss all the issues of the day from abortion to economics, to foreign policy to guns. Can we find out where we agree instead of just yelling over each other? I think we can, but the only way is to be brave enough to talk to those we don't actually agree with. If we refuse to talk to those that we don't see eye to eye with, we'll just end up taking an eye for an eye.

Speaker 2:          00:03:22       My guest this week is a lawyer, a writer, and host of the aptly named Larry Elder radio show. Larry, has it gone on a great day. Thank you for having me. I appreciate it. Yeah. Thanks for coming in. I've been trying to make this happen with you for awhile. Dodge darts and you forever caught up with me. I. I gotcha. I gotcha. You've been in this studio before. I have a guest hosted for Larry a couple times. Larry King or a king that's. That's a Larry Man. He has a thing and it's kind of for the full hour. Yeah, he can. He can only have people with the name. Larry, I guess those words. So that worked out for you. So there's a lot of stuff I want to talk about it and in, in the beginning of the show I set up that I am a liberal or conservative condolence. This time this show is over, we can move you to the center a little bit and maybe by the time the show's over weekend, it's not gonna that's not at that, but that's what it's all about.

Speaker 2:          00:04:06       That's why I've wanted to have you on the show because I find there are some people in the public space that I disagree with, but that I'd like to sit down and talk about some of the ideas and I consider you in that, in that case. Um, but before we get to the politics, I liked the audience, know a little bit about the history of the people I'm talking about. So can you just, I know you were born in La, give me a little larry elder history. Born and raised in La. My Dad was a janitor. He cleaned toilets. Uh, uh, my dad was born in Athens, Georgia. Doesn't know who his mother, his father, his rather, um, uh, my name's elder was a name with some dude who's in his life the longest. Uh, my father was kicked out of his house and was 13 years old by his irresponsible grandmother and was on his own from that point on, on my mom.

Speaker 2:          00:04:50       Grew up on a farm kind of aristocracy for, for a black woman. She, uh, owned the farm. They owned the farm. Anyway, my dad and my mom got together and moved to California in the forties. I have two brothers. Uh, I am, as you mentioned, a lawyer, uh, born and raised in La and went to college in the East Coast Law School in the Midwest, state in Ohio for about 17 years. Came back to la about 22 years ago. Got Into TV and radio and I've been doing it ever since. There you go. All right. So now we got. We got the meat of what do you do that you're not a practicing lawyer, right? Negative. No, I did it for two and a half, three years and that was it. I find a lot of people in the public space either were lawyers at one time or I know there's a ton of comedians that were lawyers.

Speaker 2:          00:05:32       What is it about lawyers? A lot of them want to get out. What's that about? I'm not sure that's true. Um, is just a real flexible thing to do. You learn how to reason. You learn about the law. You learned about the constitution. If you're a trial lawyer, you learn how to think on your feet and it lends itself to doing other things. But most people I know who went to law school, at least the ones I went to law school with a state and the law. Yeah. So was that a perfect segue to get you to be someone that talks for a living? Like instead of having to

Speaker 3:          00:05:58       litigate it in the courtroom, you could litigate it on air and bounce back and forth with people. And that's right. Although most lawyers are not trial lawyers. It's kind of the image of most lawyers is that their Glib and fast. Most lawyers sit behind a desk and fill out papers. There are tax lawyers or, or constitutional lawyers or contract lawyers or something like that. Only about 10 percent of lawyers, uh, ended up going to becoming litigated. And even a smaller number of those actually try cases. Yeah. Alright. So now let's talk about conservatism. Let's do it. So I've mostly been calling out the left on my show because I consider myself part of the left and I've seen the left sort of really go off the deep end to the left and I haven't been happy about it. So I haven't talked that much about the right.

Speaker 3:          00:06:37       I've had a couple of people on the right. So first off, uh, how would you define conservatism? What do you think that even means at this point in America in 2016? What is it considered? Well, I don't mind being called a conservative maturity. I don't pretend to be a four letter word, but I really call myself a libertarian a, I believe in article one, section eight of the constitution, which gives the federal government a small number of things to do. Dave meant money. Uh, put together an army. I'm a deal with the border is a handful of other things. That's it. A welfare, uh, health care, abortion, same sex marriage, Dr Sisto, suicide, all the social issues that the supreme court takes up in my view, they shouldn't take up in the first place. That should be done on a state by state basis. That's what I think most conservatives believe as well.

Speaker 3:          00:07:22       So I'm with you on a lot and I definitely have some libertarian beliefs myself. I think most people are libertarian. They just don't know it. The founding fathers were Libertarians, the founding fathers drafted a document that said our rights come from a power other than individuals and government doesn't give us our rights. We give government our rights and power and everything else should be left to the states and to individuals. So that's how the constitution would start it. That's how the country was started. And I think that's how most Americans really feel, uh, when they really think about it. Well, that's one of the funny things to me and why I've defended somebody like rand Paul, who's a lot of people would say as a liberal, I shouldn't be defending, he's libertarian, but he's a libertarian, so on issues such as a legalizing marijuana or gay marriage, a libertarian because you don't want the government in your bedroom, you shouldn't care about these issues.

Speaker 3:          00:08:08       And as a liberal, I want people to do what they want and marry who they want. So that's somewhere where a libertarian and the liberal can really sort of joined together, right? I think so. However you have people like Bill Maher running around calling himself a libertarian. Bill Maher is not a libertarian. He believes in higher taxes. He believes in a minimum wage. He supported a Ralph Nader for, for government who wants to take over businesses and have government run them. Uh, so a lot of people use it because it's the sexy kind of term and have no idea what it is. Right? So that's the economic side of it. So you, you're sort of, he's liberal on the social stuff and in, in a way as a conservative, you're, you're actually pretty liberal on the concern on the social stuff. Again, I believe that same sex marriage, doctor assisted suicide, all these kinds of things, abortion should be done on a state by state basis in California.

Speaker 3:          00:08:55       We had to, uh, um, opportunities to vote for or against a same sex marriage, a proposition 30 and another time when we voted on, I think it was called, um, uh, issue eight, measure eight. And in both cases I voted in favor of same sex marriage in both cases I was overruled. I have no problem with the idea that the majority of my fellow Americans, uh, or our fellow Californians did not agree with me. I don't believe that I then go to the Supreme Court and cram it down their throats of the other states. Right. Okay. So then that's, that's the state's rights issue and sort of. So you would say that the Supreme Court is legislating from the bench or something to that effect? Yeah, I wouldn't. Yeah. And that, so, so you're basically okay with what happened, you just don't like how it had. Correct. Yeah. So someone like Rand Paul, uh, because it sounds like you have a lot.

Speaker 3:          00:09:40       Do we are supporting? Not, no, I'm not. No, I don't. I don't, I don't like Rand Paul because of his position on foreign affairs and defense. A lot of libertarians and I don't think being a libertarian leads you to being an isolationist, although most libertarians are for reasons that I think are kind of confusing, but a rand Paul is one of those guys who attacked George W Bush for the Iraq war. I think we were justified in going there. I think that the reason for going there were legitimate and I think a lot of liberals are hypocritical on this issue to. You talked about how you, you chastise people on the left for being hypocrites. I'll give you one big one. The argument against the Iraq war is that George W dot Bush foolishly wanted to impose our values on another, uh, another culture, uh, had no idea what the aftermath would be if we get rid of this bad guy.

Speaker 3:          00:10:25       Right. However, Obama comes into office, he joined with the British and the French in bombing Libya. Getting rid of Qaddafi. Why W he threatened us? No, they did. So for humanitarian, uh, civil rights reasons read recently at a debate was asked about why she did that. She said, well, uh, so they can have free elections. Where was the left? Same thing with regard to, to Egypt. We get rid of Mubarak. He was a thug, but they're all thugs. The Muslim Brotherhood comes in there, uh, and Obama backs them, um, and, and the country is worse than it was before. And then a.now backing the guy that took over after the genocide for reasons that escape me, Obama decided, saw it had to go. Yeah. Why these, these countries did not threaten us. The way, in my opinion, erected a Irak was a deal after the, after nine slash 11, 90 percent of the American people believe that we're going to get hit again.

Speaker 3:          00:11:14       Uh, and this guy was stealing from the oil for food program. He was, uh, he was, uh, uh, uh, interfering with our patrolling the southern didn't no fly zones. Uh, he had used chemical weapons on his own people we know that because it used them on the Iranians. They used them on the Kurds. Uh, he tried to assassinate George Herbert Walker Bush. Uh, he was a threat, uh, and like it or not, at least we had a legitimate reason for going there. And he got the backing of both the house and the Senate. Obama did, did, did Egypt, and he did Libya and he did a, uh, Syria without the backing of Congress. And yet the left didn't say a damn thing. Right. So, yeah. So I'm, I'm with you on the hypocrite part because I listen, I was, there's plenty of video. I was against the Libya thing because at the very least, at the very, very least, if we're going to have a military action, we should have congressional approval.

Speaker 3:          00:12:02       Right? So then the, instead of calling it a war, they called it a kinetic military action. And beyond that, uh, uh, Libya did not pose a threat to us. He had no WMD because he gave them up after we went into the war in Iraq. He was scared. Belief plus he gave up the WMD and not the United Nations. He gave it to us if they're under lock and key, uh, in Tennessee as we speak. So what was the rationale and where was the left? The same people yelling and screaming about George W dot Bush and Dick Cheney and neo-cons and, and nation building. Where were they? They didn't say anything. It's hypocritical. Yeah. Well, listen, we don't have congressional authorization right now. So I would assume by a lot of standards on the left, Obama is probably a gun to them, right? If they, if they're being consistent but they're not.

Speaker 3:          00:12:44       So. But what was the actual threat? I mean, so I'm with you on some of this in terms of that we all sort of pick our sides and then our. Our value suddenly changed depending on who's in power, but what, what do you think your principals you, you don't do that and I'd write it myself to be a principal. I, I consider myself to be principled as well, so I. everything that I've said in the past related to all this stuff still still stands up, but what was the actual threat from Iraq? Look, I know that that Saddam did horrible things and you've laid out a couple of them, but what? What was the actual threat? And George W dot Bush properly said that they were a grave and gathering danger after nine slash 11. Ninety percent of the American people thought we were going to get hit again and thought that he was going to be bigger than nine slash 11.

Speaker 3:          00:13:24       So George W Bush looks around and says, where are the threats? We were still technically at war against it. I was saying we went to war against him in 1991 and he promised to fully and thoroughly declare his, his chemical and biological weapons he failed to do so he violated resolution after resolution after resolution, and we feared that he would either use them himself or give them to a terrorist and use them against us and make 9:11, looked like a picnic. That was a threat. We gave him 15 months to turn over this stuff and he refused to do it. Uh, a Bush went to the ninth and it did turn out that there were no nuclear weapons of mass destruction. Actually, I disagree with that as well. I believe the weapons were there. We gave him 15 months to thoroughly declare what he did in that 15 months.

Speaker 3:          00:14:03       In my opinion, he got rid of it. And I'm not the only person that's said that. Dave the, um, the national intelligence director, our top spy, his name is James Clapper. He's an office right now under Obama, has publicly said he believes that Saddam Hussein did in fact have stockpile for WMD, got rid of them in the, during the 15 month run up to the war. The, uh, Israeli Mossad feels the same way. And there's several other American officials that have said that. So I don't believe George W Bush got the intelligence wrong. We have 16 intelligence agencies. All 16 said at the highest level of probability that Saddam Hussein had stockpiles of chemical and biological weapons. Obama had the same CIA director who served under Bill Clinton, George Tenant. He said the likelihood that Saddam Hussein had chemical weapons and biological weapons was a slam dunk. And the same people that call up George W Bush a moron when he wanted him to go.

