Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is the host of the relatable podcast, a speaker, a commentator at a cat person, Allie Stuckey. Welcome to the Rubin report. Thank you for having me. All right, Stuckey. I have wanted you in the studio for quite some time. Glad to be here. It is good to have you here, but we got, I got two bones to pick before we do anything to do with cats. Number one, you're a cat person. What's going on? You just met my dog. Love about, she's so sweet. I love dogs. I have a dog. She's a rescue. I have two cats. Cats are just, they're cool and they're easy. They don't need that much of your time, that much of your attention. I travel a lot like you do and so it's nice to just be able to leave the cats, but you got to put a dog in a Kennel.

Speaker 2:          00:45          You got to pay a bunch of money. They need your time. They need your attention. They need to go outside. Cats are cool. They don't really want to hang out with your plotting to kill you. Most of the Times you're looking at you that they could lunge at you at any moment. That's a stereotype that I week expect someone on the left to me, but that's not true. You have to take cats by their individual personalities and not categorize them. Look at how you just used identity politics against me just right. Right. It applies to the animal kingdom to, I just needed you to know. All right. That's number one. Okay. Just going to have to agree to disagree on cats and dogs. Number two. For about two years I had the number one Prager u video. Oh, I left the left. Sorry. Then you came in there.

Speaker 2:          01:28          You took number one away from me, but actually I don't know if you know this as of the last, cause you could see somebody else took number one. I don't, I'm not even so we need to get them in here now we have a bone to pick with them. Yeah. I actually can't remember who was, um, or what even the topic wasn't sore this morning and I was like, I don't even want to know. I don't even want to now. But you, uh, you was, what was the title of his masculinity? I think it was like make men masculine naked or something like that. So I guess that was a hot topic that people really wanted to hear about. I mean, it was so fun to make. Obviously you've made Prager u video too, but I didn't really anticipate it being one of those viral videos.

Speaker 2:          02:05          I kind of just thought, okay, most people in general agree with me, but the vitriol of course they got you. You just, you're continually surprised by some people on the left who are so opposed to what are very traditional ideas. So, yeah. All right, well we're going to talk about some of those traditional ideas. We'll toss, talk about masculinity and me two and a whole bunch of other stuff called for people that don't know you. Yeah. Where did you come from? What's going on here? Yes. So I started in this whole kind of political, I won't even say media field, but kind of about three and a half years ago. So fall of 2015 I was working in PR, graduated from college in 2014 PR, social media just had kind of your normal agency job. But in fall of 2015 I lived in a college town, Athens, Georgia.

Speaker 2:          02:51          And I looked around and the friends that I had, both in college and out of college had no idea what was going on in the election. It was the primaries. And I thought these are really smart people and a lot of them are conservative in their values and yet they seem to be touting these progressive use when it comes to politics and they really have no idea what's going on. And so I really just kind of had a, a random idea when I was driving one day called my mom and I said, you know, I think I want to tell sorority girls why they should vote in the primaries because they seem so apathetic. I feel like I can talk to this crap. Cause I was a story a girl about a year before that. And so I created this, it really was a nonpartisan presentation, um, for, for college students for why they should vote in the primaries.

Speaker 2:          03:34          And I started reaching out to add the sorority presidents and you can find that information online. I just said, can I please come? I want to speak for free. It's going to be nonpartisan. I just want to tell you guys why you should vote in the primaries. And it worked. I mean, I started speaking to some of these groups and then I started getting asked by other organizations on and off campus, uh, to come speak. And then from that I started a blog and that was called the conservative millennial, ditched the nonpartisan thing pretty quickly. And then after a few months of doing that, I started making videos and that's kind of what it took off. So end of 2016 beginning of 2017 is when it probably officially became a career, started working at the blaze. And then that changed to, I moved to CRTV. That's where I started my podcast. And that was the beginning of 2018 yes, I'm getting my years confused. Beginning of 2018 that I started the podcast, so still speak, still commentate. Um, I still write. You still do a lot of the same things I was doing three and a half years ago. It's just evolved into a full time thing.

Speaker 3:          04:35          Yeah, it's pretty sweet when you start doing something and next thing you know, it becomes something, become something. Right, right. Yeah. Not Bad. Do you come from a political family or anything? Did you care about politics before this or was that just your wake up when you realize nobody knows what they're talking about? A college?

Speaker 2:          04:51          I would say both ant mostly. Mostly the second one I grew up in, I wouldn't say it was an a political home. I knew we were conservatives and I knew we liked the, the earliest president that I really remember as George W. Bush and I was really young during nine 11 and I remember the patriotism that my parents showed and that we were supposed to show. I knew we were supporting George W. Bush and we kind of grew up watching Fox News, but politics, it wasn't a discussion that we had at the dinner table necessarily. I just knew the values that we had. My parents were entrepreneurs. They came from very poor families in Arkansas. They had no money when they got married. They were 19 and 20 and they really went from nothing and then built a business and built a life for my brothers. And for me that was so much better than the ones that they had.

Speaker 2:          05:37          And so the idea of freedom of entrepreneurship, of not having a cap on your potential was just always really attractive to me. So there was never a time in college, high school, even as a rebellious teenager that I was like, you know, more government control actually sounds really good. It just, it just never, never occurred to me that that lead to a better life. I just always loved the entrepreneurial spirit and the idea of the American dream that my parents embodied. So it was more of those values. Rather than talking about politics, my dad did become a state representative, um, when I was in college, I think it was 2012 and so yeah, that probably spurred some interest. I started probably getting a more knowledgeable and more informed about actually what was going on. But yeah, I would say it's more a lifelong value building thing.

Speaker 2:          06:26          And then by the time I graduated college I was like, oh my gosh, I feel like our nation is kind of at a crisis. How does religion play a role in that? It plays a huge, it plays a huge role. You know, we hear a lot, especially from people in the lot, uh, that your religious views should have, have no impact on what you believe politically. Well, that's just a false idea of, of religion and a false idea of your faith. If the, if your faith is the center of your life, which religious people believe that it should be and it's going to affect everything, it's going to affect all of your values. It's going to affect probably how you vote. Um, and it's going to affect that the things that you believe in politically and the way that you think that the country should go.

Speaker 2:          07:07          And so be not only a born again Christian, but also a Protestant Christian. Um, having roots in even the Protestant reformation and how that kind of affected the, the movement of the West towards freedom and towards the individual liberty I think has certainly been a legacy that was passed down to me. And it all just, it all has always made sense. I wish I had like a better journey story of changing my mind, but the idea of individual liberty and human dignity and all of the rights that come with that, it just, it just always made sense.

Speaker 3:          07:39          The stories that come from a little more of an evolution that they are no more violence and pain and anger, but there's Tracy they make for a good story. Yeah. They look for a good book. Yeah. Perhaps. Perhaps. Maybe. I don't know. Um, so when you got into the online world and started posting videos, podcasting and all that, um, were you shocked that sort of the tenor and the way people talk about these things and all that? Well,

Speaker 2:          08:02          ah, you know, when I first started, when I first started the blog and then I started doing videos, I mean, one, I had no money, no backers, no idea what I was doing. And the, I mean, the first videos that I did or in my living room, I have no makeup on, no light and using my phone look ridiculous. Got No views whatsoever. And so it was after I persisted for a little bit, sometimes I look back and I'm like, why did you even persists? No one was telling you to, but you did. And then it's really the first time that you get any kind of attention or affirmation that you also see the other side of it, uh, that you also see the negativity when you're just doing it kind of for yourself. And for the few people that follow you, you're like, this is great.

Speaker 2:          08:44          Everyone loves me. The three people that follow me, all of me and my parents and my husband love what I do. This is great. But then as soon as something kind of blows up, yeah, as they say, you see the negative side of it and you okay. People don't just disagree with you, they really hate you and they really think that you're a bad person. Especially if you espouse any kind of faith that immediately comes into question if you disagree with them. And that was hard. I mean, I used to focus on the comments a lot. You have to stop doing that though. It's so unhealthy. So that's kind of a, that's changed over the past few years. Definitely. But uh, yeah, I think the hatred threw me for a loop at first.

Speaker 3:          09:20          Yeah. Well it just sort of comes and you don't really know what to do. And then at some point, I think I've come around to the place where it's like the more I get, I'm like, oh, I must be doing something right. Yeah. People used to lie about what I was saying and I didn't like that. Now they actually quote me and I'm like, Oh, this is actually, this is what must be feel like when you made it. I think it was actually you that tweeted the other day, some article by right wing watch. It was I you, yes, they did

Speaker 2:          09:45          call on me not that long ago too. They quoted something that I said at CRTV and of course everything looks like it's some hit piece, but then I read it and I'm like,

Speaker 3:          09:53          that's what I, that's what I said. I was like, this is an actual basically an honest piece. Right. They were really close as quoted show. Exactly. And I'm like, if people think that's crazy, I'm totally fine with that. But like you said, don't lie about the lie about what I'm saying. Right? Yeah. Yeah. Is it unique to be a woman in this space? Use the little identity politics here. I thought Republicans and the right, I thought they hate women. You don't listen to women, don't they subjugate women who are pregnant, but you know, but

Speaker 2:          10:24          she goes and so I am. I've against that part of that. No, I, I've never, I've never really understood that argument. I guess if you equate women's rights to abortion and to this mythical gender wage gap that needs to somehow be filled by the government, if you equate women's rights to that and women's empowerment did that then sure. Um, I guess the left is the only place for women. But if you believe in entrepreneurship, if you believe in the marketplace, if you believe that women have the potential and the dignity that a man has and the potential to do everything that a man does in a way, at least as far as her career goes and leadership goes, then I don't see why you wouldn't be a conservative. Unfortunately, we do have a PR problem, uh, on the right, and I voted for president Trump, but president Trump doesn't really help the rights case when it comes to women, not just because of things he said and done with women. But also I think a lot of moms especially hear him talk, hear him at his rallies, he's got a little bit of a of a mouth and they're like, I don't, you know, I don't really want my kids listening to that. That's not who I want my kids to be. I wouldn't marry someone like that. And so I do think that he makes it a little bit difficult sometimes to make the case.

Speaker 3:          11:34          Is that the odd catch 22 of almost everything Trump does? Cause we talked about this briefly right before we started where it's like the policies pretty much make sense. And if you can remove that from the tweets or the person, it's like he's actually at a ton of high level women in the administration. If you care, if that's what you're looking at, it just makes it more difficult, I think that you're able to

Speaker 2:          11:54          do it. But when the left has such a monopoly on media megaphones, when they have a monopoly on Hollywood, they have a monopoly on academia. I won't say monopoly, but they're controlling a lot of the messaging that comes out and they're, they're good at PR, they're good at the emotionalism that, not to be sexist, but appeals to a lot of women. And so you hear the rhetoric of Trump is putting kids in cages and he grabs women by the genitals and you're a woman. You're like, I can't vote for that. I can't do that. And so in order to separate some of the lies from the truth and separate the things that Trump has said from the good things that he's done for men and women, you have to think, and you have to go a step further. You have to do your own research. And a lot of people, male or female, just don't want to do that. When you can read headlines by just swiping your thumb, why are you going to take the time to actually click on an article and then double check it and make sure that it's right? It's just harder to be a conservative for that very reason. It takes more effort.

Speaker 3:          12:50          How do you cut through the clutter? I mean, that's one of the things that, especially when I go to colleges, that kids ask me all the time like, how do you actually figure out what's true? Because reading all of these articles, it's like, I mean, we know because they write them about us and then it's like, well, I know what lies that were in there. So what else? What else are they lying to us about?

Speaker 2:          13:08          I mean, you really have to try and go to the source if you can. If they said that someone says something, you have to actually go to the actual quote or the actual video. I mean, a perfect example of this is when president Trump, uh, just the other day, the clip of him saying or allegedly saying that asylum seekers we're animals with circulating. Great. Yeah. It was deceptively edited. And so in order for you, someone like Chrissy Tiegen who tweeted about it and said that, you know, he's awful. Okay. In order for you not to believe Chrissy Tiegen for in order for you to not believe the tweets that she quote tweeted,

Speaker 3:          13:40          you're several Democratic candidates by the way. Yes, yes. Also, so it's not just Hollywood celebrities, even though they knew he wasn't, just to be very clear here, he was not saying that asylum seeker, Mcgregor animals, he was specifically talking about Ms.

