Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          All right, so we touched on the first amendment a little bit in the first half, but I think there's also just a fundamental misunderstanding about what speech is related to the First Amendment in that the first amendment basically is about what the government is not allowed to do. And people have now extrapolated that to think it means what everyone can't do. Can you talk to, is that famous xkcd comment comic about, uh, people have the right to tell you you're an asshole on the internet and it doesn't violate the first amendment. And that's true, although I see it all day long, I get, yes, I get that comic thrown at me sometimes even when it's a government institution doing the censorship. So it's, it's overused a little bit too. And that Kinda just gets in my craw a little bit. But the first amendment really only does protect you from the government and it doesn't just protect you from Congress and protects you from the states and protects you from the mis municipalities.

Speaker 2:          00:55          It protects you from the public colleges and universities and their administrators. Um, those are all state actors for the First Amendment when it doesn't protect you against is your private employer. Um, which means that I could well be fired for anything I say on this show today. I'll see what I can do. Um, not to give you an idea is yeah. Uh, you know, your parents don't, uh, if you say, I remember her saying free speech to my parents and I was very young probably right after I read it about the Skokie case and my mother giving me a side eye either probably burn a hole through my skull at this point. Um, but you know, it only protects you against the government. It doesn't protect you from criticism of your peers and your contemporaries and it shouldn't, you know, that's kind of part and parcel of having the public conversation is if you have a bad idea and you're out there spouting it, we all have the right to tell you you got a shitty idea and we should say that because otherwise, well we might see that shitty idea spreading.

Speaker 2:          01:54          And that's kind of the point of, like we were talking about earlier about letting these terrible ideas out there is so that we can stand up and defeat them. Yeah. Are you seeing any major threats right now from the government related to free speech? Because a lot of times I'll see people saying, well, Trump is attacking this, or you know, he texts journalism a lot now. It's no secret what my feeling about the mainstream media is these days. I mean I think it's largely just partisan garbage. I don't think you should be killing these people are harming these people in any way. Just to be very clear, I hope that by by mocking them and exposing their nonsense, we'll get a new generation of better journalists and people who really live to the code of trying to find truth and all of that. But do you see a direct threat right now coming from the government, either from Trump or or elsewhere?

Speaker 2:          02:41          There's always a direct threat yet. I mean, let's be clear. People in power will always, if given the opportunity, silence their opponents, they will preserve the status quo. And it's not just people in power. It is an entirely human reaction to want to censor the people we disagree with. We think we have terrible ideas. That's kind of a baser instincts that we all have. Now. We have to overcome that and understand the value of, of not doing that, but it's, it's kind of understandable and weight and that's why we have to be so vigilant in protecting free speech because once the tools are there, they don't go away. And we've seen this throughout history and they are wielded and people laughed at me when I was talking during the election cycle to I guess kind of betray some of my personal political beliefs. Then, you know, I was kind of talking about how the executive branch overreach as many people did of the last administration was problematic because you know, what about the next guy who comes to power?

Speaker 2:          03:43          Maybe he's going to do something crazy and nobody, they all laughed at me. Hey, I was talking about that then I was talking about it when Bush was doing it. I was talking about it when Obama was doing it, and I tell you, he laughed. And then Donald J. Trump was elected president. And I looked at them and I said, what now? Uh, and you know, you, you said, oh, it couldn't be possible that somebody, we disagree with all that much who we think is really terrible would ever get elected president. And when they started melting down over the election, I looked at them and I said, told yourself, you can't be forwarded if executive actions when it's the guy you like, but then not for them when it's the guy you don't like, of course they're all going to do it if you give them the power to do it.

Speaker 2:          04:30          And it's the same thing with free speech. And I think what's really important to remember is that those mechanisms, there's tools of censorship are never ever going to run down to the benefit of the marginalized communities that people are oftentimes seeking to protect. It just doesn't happen. The reason that I'm marginalized is that they don't have political power. They're not going to be the ones implementing these rules. And that's incredibly problematic and people don't understand that very practical reality that those tools of censorship are going to be used to defend the status quo, which is what these people are trying to disrupt. And disruption is kind of the, just the major threat that everyone in power fields. And we've seen it throughout history, that they're in the civil rights movement. When protestors were arrested for sitting at lunch counters or for engaging in nonviolent protest, but were arrested for disorderly conduct because people reacted to their protests in violent ways because there were violent Vicodin thugs.

Speaker 2:          05:38          They were only exonerated because of the first amendment. And it took going to the supreme court. And it's really important to remember, I mean how many LGBT artists and authors and publications faced censorship and had their materials deemed obscenity at times and not even sent through the mail. You know, sometimes before you know, food and preventing them from integrating into the national consciousness. I mean it's, it's really, really important. So is there something happening right now via the government that you think shouldn't be happening? I get the broad sense, sort of the, the blue sky version of this that yes, people in power always are going to want to maintain power and do what they have to do to silence people, etc. But at the college and university level specifically, I think a lot of it is coming from um, the Department of Justice. Uh, and the office for civil rights of the Department of Education a few years back had an agreement that they called a blueprint for sexual harassment policies at colleges and universities.

Speaker 2:          06:45          And it basically defines sexual harassment is any unwelcome conduct of a sexual nature, including verbal conduct, which we also know as speech. Yeah. And the breathtaking broadness of that policy really kind of spread like wildfire. Um, and you know, these harassment policies have always kind of been problematic at times. This is directly tied to title nine, right? Yes. Yeah. Okay. And you know, it's, it's one of the, I don't know if it's even an unintended consequence. It might be a very well unintended consequence, but you start seeing things at, for example, just the number of years back, there was a student at the University of Oregon who was sitting on the ledge in a dorm room window and she saw a couple outside and as a joke she shouted, I hit it first, which I didn't even know what that meant when it first came in and I had to look it up and realize that it was about Rayjay.

Speaker 2:          07:44          Uh, having sex with Kim Kardashian and Kanye. I guess that's a thing people care about nowadays. I don't know, you know, behind the, he is the leader of the free speech movement now. So boy, maybe I do need to find another job. But anyways, that the couple was offended and ran upstairs and talk to the Ra and this student was hit with several disciplinary charges including sexual harassment. First just shouting. I hit it first. And this is because of the latitude that these laws gave colleges too. Once, you know, department of Education said, this is what we consider sexual harassment. No College University administrator in the right mind is going to look at that and say, oh, we'll just ignore that. They're going to write new policies because they don't want huge investigations that costs a lot of money, take a lot of time, and have ultimately the potential to cost the school all of its federal funding when it comes down to it.

Speaker 2:          08:39          So we've seen the proliferation of these really broad policies, some of which have hilarious lists of examples of things that could constitute sexual harassment, like inappropriately directed laughter, elevator eyes is another fire fame for it. These are all things that are known as flirting, recording or whatever you want to call it. I'm sure there's a whole their term, but like that's how you meet people. And sometimes it really is, and honestly it's the sexual harassment angle has become a broader discriminatory harassment angle because a lot of these policies start to look the same based on any protected class. And so when you say that, you know, any unwelcome comment based on a protected class, you know, and that's drawing from a particular policy or anything is harass discriminatory harassment. Well that's a big problem because that cuts off subjectively, whichever way you go. Basically half of a debate, people for instance, on different sides of affirmative action are both going to find their opponents ideology probably offensive.

Speaker 2:          09:48          Of course, if you are against affirmative action for whatever reason, you might be, uh, people who support affirmative action, they're going to say, well that is discriminatory based on a protected class race and they shouldn't be allowed to say that. And yet we've seen students hosting events like affirmative action bake sales to kind of make a point about what they think is the unfairness and affirmative action. And administrators have tried to shut them down and sometimes have succeeded and shutting them down. Uh, and you know, I can give you countless examples of things just like that, but it's dangerous because it kind of creates an orthodoxy of what we're allowed to say, what we're allowed to think. And you know, there is no position in that. I can think of that. And I can say actually I think there is no position that shouldn't be subject to challenge.

Speaker 2:          10:44          There is nothing that shouldn't be susceptible to somebody disagreeing with it in a public way and starting that conversation. Nobody has the right to declare this is how it is. That is, I guess our collective to circle all the way back to the beginning. It's our collective right to participate in that decision of what we believe. Yeah, and that's why I have such the problem with this related to the way that the modern left bules with these things. Because if you're going to say, all right, we're not going to draw cartoons about certain things. Now I'm not saying you should go out of your way to offend people, but once you say we're going to allow certain things not to be done, you've handed all of your faculty, all of your power, all of your decision making capability over to a certain set of people.

Speaker 2:          11:34          It doesn't matter what those, what those people believe in or are. But then it's like, well then they know, well we got them with something and we can just keep going and going and going. And before you know it, you know it's too late to, to fight back. I mean, and again, it's going to backfire. It's going to backfire against the people. And, and I think that you see it backfiring sometimes. You look at the faculty members recently who have been targeted by outrage mobs and people calling for their heads or their jobs or sometimes both. Yeah. Um, and they, sometimes when, by the way, and my good friend Brett wines, then it still does not have a job. Just recently for more striking example even is a Fresno state ran to Gerard treated, you know, some intemperate and not particularly polite things about Barbara Bush right after she died.

Speaker 2:          12:22          Um, and you're being very kind and she can do whatever she wants. But yeah, it was pretty nasty stuff. My mother told me never to speak ill of the dead and so, you know, I don't know. I don't know. No, I mean you were being nice to, to what was tweeted feelings on here and it was the right that was calling for her head and we, I mean, one of my colleagues, I felt really bad. I was, I was the one who helped write the letter, but he was the one who wrote our public facing blog post on the website. He was getting hate mail and probably still is getting hate mail from people saying, how could you defend this woman? How could you, I mean, it goes both ways. Everyone's going to sense try and censor their opponent. So just really be careful. Right.

Speaker 2:          13:05          Well, I'm glad you brought that one up. So basically this, this woman who's, she's a professor, right? She tweeted some really nasty stuff about Barbara Bush who had just died and by, by every account, Barbara Bush was a totally decent woman, but that's actually irrelevant for this. And yes. Then the right started screaming and oh, she should be fired. She should be fired. She was not fired. The Fresno state. She's still there. Um, I thought, wow, this is an exact example of how free speech is supposed to work. She said what she wanted people mocked her or supported her. The university decided to make a decision. Now, it's interesting. If the university had fired her, let's say they had said, these ideas are beyond the pale, and then people started digging into some other things that she's said that are, that are pretty radical. If that had happened, would you guys have offered her defense?

Speaker 2:          13:50          Because doesn't the university have the right to make the decisions that it wants? I don't know what their policies are on on tenure, for example, or that sort of thing, but don't they have the right to employ people that they want to be employed or not? Not that I want to give that power to the mob because we know that the mob does awful things. It depends when the government as an employer, the government actually is restricted in what it can do for a, an with her spot respect to an employees off duty speech when a, and I think that's particularly important with faculty members who are supposed to be public intellectuals. They're supposed to be out there and kind of discussing and debating and this is what we expect out of faculty members at colleges and universities. But when the government is the employer and the speeches made as a private citizen on a matter of public concern is this very clearly was then the government has to make a pretty high showing that that speech so materially interferes with the provision of services that the government is involved in, that it warrants overcoming the employer employees first amendment rights.

Speaker 2:          14:58          And we actually wrote a long letter and was co-signed they by the Aclu of Northern California, uh, the electronic frontier foundation and a whole bunch of other, uh, organizations and on dryers behalf and sent it in. Incidentally, shortly after they got our letter, the, a university issued their statement that they weren't going to discipline her. Right. So you are making the distinction in this case that because this was not on campus, this wasn't being in a class, you know, taught in the class or, or brainwashing students in the class name that's different what she's doing on her private side. And especially because as you said, as a public intellectual, you're supposed to be talking about stuff that that's different than perhaps if she had said these very same things in class, they could have taken a different stance that maybe would've had a little more legal positioning.

