Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          We're continuing our partnership with learn liberty this week and joining me today as a senior fellow at the Mercatus Center at George Mason University, as well as a professor of economics at George Mason. Don Boudreaux, welcome to the Rubin report. Happy to be here. I am glad you are here. I saw you speak about a year ago in Dallas. I want to get the exact title of the speech right. Uh, it was called, can we bring sound economic thinking to Washington? That's a tough task. That was a year ago and, uh, I don't think there's much sound economic thinking or sound thinking in Washington. Forget economics for a second. These things don't seem to go together these days. Uh, Washington seems to repel sound thinking. It's, it's, uh, it's a, it attracts on sound thinking. Yeah. Well, you think it was always that way or are we in unique times, but we're definitely in unique talents, unique times.

Speaker 2:          00:53          So I was born in 1958, so I came of age right when Ronald Reagan. Right. You know, at the end of the Carter administration, when even Carter's pushing for deregulation, at least accepting deregulation taxes were being cut airline to being deregulated surface transportation is being deregulated. Reagan gets elected in 1980. Milton Friedman has as popular show on PBS called free to choose. Uh, you know, Thomas, I'll learn about Thomas soul. Everything seems very, oh, this world's fine. Yeah. And so in my life, in my life, uh, there was a period in the past when I was thinking was more sound, I could quibble with it. Yeah. But compared to today, it was, it was outstanding because it's definitely, it's definitely declined. Yeah. It's hard to imagine even that around the time of Jimmy Carter that deregulation, I mean that, that Democrats could have had anything to do with that.

Speaker 2:          01:48          And yet the Ted Kennedy was a major force behind airline deregulation. So there was, there was something, I'm not sure what it was exactly. It was something in the air, uh, starting in the late seventies. And so, you know, I was a young man then I just took it for granted. Oh Wow. All right. This is fine. You know, we're, we're winning. It culminates in 1989 with the collapse of the, of the, of the Iron Curtain in 1991, the collapse of Soviet Union. And then here we are, 2018 and a lot of nonsense is back on the front burner. Nonsense is back. So let's jump back though to the seventies for a second because I watched an interview with you this morning. Something happened to you I believe in 1977 that that woke you up. And I think it sort of is a nice entry into everything else that, you know, I know said, yeah, I just the most important day.

Speaker 2:          02:35          What happened to you in 1977 you can come up with a couple of options. Yeah, no, I know it was, the date was, was, was, was was January 24th, 1977. I remember there was a, um, I was in college. I went to please my mother. My plan was to drink beer, chase girls. I did a lot of the former, I wasn't successful at the ladder, but I was going, I was going to drop out of college and work at the ship yard where my parents worked. So I needed a class to fit my schedule. I needed a Monday, Wednesday, Friday class. I take this class called economics, didn't know what it was, took it and uh, uh, I had a great teacher and so she drew supply and demand curves on the board and she said, look what happens when the government prevents the price of something from rising to its market level.

Speaker 2:          03:16          It creates a shortage. She says, you remember the gasoline shortages of 1973 or so? Yeah, I was in those and I just thought the beauty of this economic explanation for the gasoline shortage was so spectacular. I wanted to learn more about the subject. And so in very short order, I just fell in love with economics. I'm still in love with it to this day. Yeah. So tell me what happened after that. So now you have your spark and what sort of, what academic proceeds did you have that got you to where you are in a very lucky, again, she was a really good teacher and it wasn't a famous economist at all. She was a very good teacher. She took a great interest in her students. She taught economics as if it was something relevant to the real world rather than just a mathematical, a puzzle.

Speaker 2:          03:58          Uh, and there was another guy at my, I want to put, it's called Nicholls State University and Tibideau Louisiana that says it's a very small school. But I had another professor there who was into Milton Friedman into higher, uh, into Ludwig von Mises into James Buchanan, who later became my colleague at George Mason. So I would go to his office, his name is bill field, and he would give me these books. And so I remember just just tearing through these books and it just made so much sense to me. I realized in reading these books that all my life, I didn't give much thought to politics, not much conscious thought, uh, but all my life, uh, I think somewhere deep inside of me was a classical liberal or libertarian, someone who believed that is basically impolite to button to other people's business. Uh, and, and, and, and, and not only in polite, I mean it's, it's downright, it's downright offensive to do so.

Speaker 2:          04:49          Yeah. You just said to him may buzz phrases. So classical, liberal and Libertarian. Now one of the questions I get most because I define, I say that I am a classical liberal if I need, if I need a label on it, that's what I am. And people will always say to me, because I talk about many of the things that you teach about, about free markets and all that stuff, and I believe that freedom is the best way for humans to flourish. People will say, Dave, you're really a libertarian. You're just holding onto this definition of liberalism from 18, whatever. Do you see a meaningful, how would you define each one and do you see a meaningful distinction? I don't see much of a distinction. Depends on who you talk to. Some people see, see distinctions. I think where they both have in common. It may be distinctions at the margin.

Speaker 2:          05:29          Libertarians maybe tend to be a little bit more radical. Uh, uh, but, uh, uh, a what distinguishes classical liberals and Libertarians as I'd have broadly from almost any other political group, a is the consistent, uh, uh, believe that any exercise of power by the state must meet a huge burden of proof. Uh, the, the, the, the burden of proof is not upon the individual to make the case for his or her freedom. It's upon the state to make the case, to Intro, to override that freedom. I believe in libertarian classical liberals as I think of them believe that that burden is a real one and it's a heavy one. Sometimes it can be met, but too often the reverse is in place. People believe that you have to, that the burden is on those of us who, who defend freedom to make the case for freedom.

Speaker 2:          06:23          And I think it's backwards. So basically you view it as sort of a bottom up way of looking at things, right? It's about the individual first. And the government is not giving you your freedom. It can take it away. However, by instituting all sorts of policies. Yeah. I, I'm in this case, I am, uh, I think John Locke was right and John Locke wasn't the only person, but John Locke most famously, you know, made the argument in the, in, in the second treatise on government that, um, uh, you know, human beings have rights and human beings delegate to the government, uh, powers that you, that, that those who do the delegation believe are appropriate for the government to defend those rights. Um, know we, we can quibble about how historically accurate that is, but I like, I, I think that perspective is philosophically correct. Uh, no government gives me or you rights governments are excellent at offending rights and taking them away.

Speaker 2:          07:22          Uh, but, but just because government is to protect her of rights doesn't mean he gives us rice just because farmers, uh, because we couldn't live without farmers if no one grew food. And, and, and, and did ranching, we would all starve. That doesn't mean that we owe our lives to farmers. Uh, one of the great things about the society that we live in is that it's a, it was bit higher called the great society to be distinguished from Lyndon Johnson's great society. And that is, it is a society of many, many individuals each specialized in doing various things. We're all coordinated by the price system and by the rule of law. Uh, and so each of us makes a contribution to the welfare of others, but no one of us is utterly essential. And that's, uh, that's, that's uh, it's a really good system, I believe.

Speaker 2:          08:08          Yeah. So I want to talk more about hiking a little bit because you do run the cafe high tech blog. Uh, you mentioned the burden of proof that the government has to meet to say when it's right to actually infringe on some of your rights or basically do things. Yeah. So this is where I would say the, the classical liberal and the libertarian position is there a little bit different. I see some utility for the state and although I'd usually want it done at the, at the state level, not the federal level. And Libertarians, it's sort of hard to pin on when it's enough. And you alluded to that when you talk to libertarians, how do you get to a place where, where it's not, you know, I always make the joke, it's like w eventually you'll just be in mad max or, or the true anarcho capitalists, which I enjoy talking to, but I view it as more of an intellectual exercise than a practical.

Speaker 2:          08:52          Yeah. I mean, I, I'm very sympathetic to anarchical philosophically I'm, yeah, but I'm not, I'm not a, uh, uh, a blow things up kind of guy and I'm way too much of a hierarchy and to understand that you just can't, uh, uh, replace social institutions, wholesale society has to evolve to wherever it's going to be from being a realist. I mean, you couldn't blow it up. I fit well, yes you could, but, but, but history has a lot of really telling examples about attempts to blow up society's wholesale. And those examples, I've never turned out well in practice. Uh, let, let me say among the people who will call themselves classical liberals, right? None of them are ever at a w whatever, express any sympathy for Anaco capitalism among libertarians. Some of them will say, oh no, I, I, I believe there's a role for the government.

