Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          All right. We are on location at the blaze studios here in Dallas, Texas. And I'm sitting across from Mr [inaudible], Glenn Beck or sir, how's it going? My man. Good to see you. Thank you for letting us do an on location shoot.

Speaker 3:          00:18          Not a problem. I know you're here for about 10 minutes and then you're, I think you're going to probably be on the moon and then a stop at the Mars and

Speaker 2:          00:26          you know a little bit about traveling a lot. Yeah. So I'm in between a thousand things here. Uh, yeah, it's, it's pretty cool. I want to spend a lot of time talking about this book here, addicted to outrage. Um, but let's just do everything. So right now we're about two and a half weeks away from this mid term election. I suspect something completely bananas over the next two and a half weeks. I mean, you can already just see between, between the cabinet stuff that we've been dealing with, the general outrage and all the things you're writing about here. So here, I just said this to a group of friends the other day.

Speaker 3:          01:02          I think at this point a spaceship could appear. Okay. And, and hover over New York City and to be like, Huh. I mean I don't know what would surprise me now.

Speaker 2:          01:15          Well we'd be arguing about the gender pronouns at the aliens. Yeah,

Speaker 3:          01:17          I know. I know. It's, it's absolutely insane how everything is, everything is upside down. Everything is upside down.

Speaker 2:          01:27          Do you think, do you think we're in a unique time because that's one of the questions when I'm out there with Peterson, often people say, okay, it's, you know, everyone says we've never been more partisan and were angrier than ever and all of these things. But does something about this seem unique?

Speaker 3:          01:41          Yeah, I I'm a, I'm a glutton for history. Yes. And uh, it, it, we have been in perilous times before. I don't think we've hit the civil war, uh, confrontations yet, but we are approaching it.

Speaker 2:          01:56          Do you think we really are? Cause I do, cause I'm actually worried about the amount of people I used to see this on Twitter all the time. People saying, oh, civil wars come in, you know, like it's like murmur about what would be the most horrific possible outcome of all that.

Speaker 3:          02:09          So remind me to talk about the window cause I think we have a window right now. Um, but we have been, uh, we've been worse. I mean, if you look at Jefferson and Adams, you know, Adams Adams was called a Hermaphrodite by Jefferson Jefferson. Jefferson. Uh, his campaign, uh, um, called him a hermaphrodite. Adam said back that if you elect Thomas Jefferson, there will be blood in the streets and the heads of our children and your daughters will be on Pike's into every town. So we've had rhetoric like this.

Speaker 2:          02:50          Ironically, I'd be thrilled to vote for either one would be like, I'll take either, I don't care heads on pikes, that would be fine. But it all does go to, in the last couple of weeks,

Speaker 3:          03:00          you know, there was this Hillary Clinton Lion on CNN talking to Christiane Amanpour about how we can't be civil because these, these people, meaning the Conservatives or Republicans are so against our values. I mean, this is dangerous stuff. Here's the difference. Um, we have been in these places before, but we knew our founding documents. We knew who we served or who our God was. And I don't know who our God is now. I mean, is it money? Is it fame? Is it anger? I don't know what our God is now. Um, we knew, wait, can you wait, let me pause you there for a sec. So when you, when you say that about what the founders believed now, they were also saying separation of church and state the whole time. So if you were just laying out what they believed when you say we knew who our guide was, um, so George Washington, they did believe in the division of Church and state.

Speaker 3:          03:55          Clearly I do too. Yeah. Um, that just means if you're an atheist, you're an atheist. We're friends, we're cool, let's get along. But if you're a god person, you'll do your God's thing. You do your atheist thing. Do we have what Adam Smith called moral sentiment in common? Yes. Capitalism, uh, has lost the first volume of Adam Smith. The second volume is wealth of nations. The first volume is moral sentiments. And that says, look, this is an invisible hand and the market is powerful and it will create whatever you want. Be careful what you ask for. Make sure you are always tempering the moral sentiment. Make sure that you're good, decent, fair minded people. We've lost that. We're losing it, I should say. Um, and I'm concerned, and I talk about this a bit in the book. I've seen this coming for almost two decades and I have been warning against it.

Speaker 3:          05:03          And for the very first time I'm at the place where I'm on the air now saying, this is the time. This is the time that I said would come. Yeah. And now is the time for you to remember who you are. Um, and our outrage is taking us away from it. So as I've looked at this for so long, I have, I have studied revolutions. I have, I've studied giant movements of chaos. I, I can tell you about, you know, uh, the, um, I think it was the red month, uh, in the 1930s. Like, I can show you what's happened, but there were three people in four people in grand movements that have gotten it right. There was Abraham Lincoln, there was Martin Luther King. There was Gandhi. Then there's Bonhoeffer, Bonhoeffer. Do you know who Dietrich Bonhoeffer was? I don't think so. Bonhoeffer lost. Okay. Bonhoeffer was a, um, a, uh, pastor I think Lutheran in Germany.

Speaker 3:          06:13          He, uh, was on the air when the fear of declared he was fear he was taking, his broadcast was cutting short because he was doing a broadcast called the [inaudible] principle. This is wrong. Don't go this way. He on Kristallnacht. The very next morning he was shopping in those stores, those Jewish stores, um, pacifist. He tried to turn the Germans back and say, stop it. Stop. Stop. You're going the wrong way. He couldn't do it. He eventually escaped from, uh, Germany was in New York, not here very long as he felt guilty. How can I leave my country when it's in this much trouble? He went back. He realized there's no, the noise has stopped. This guy may be violence is the answer he was involved in. Um, one of the attempts to kill, um, Hitler, he went to a concentration camp. He died. He was executed like five days before Hitler died.

Speaker 3:          07:12          Here's the thing, if you read his writings, he's gone to, he's Jesus. He's Martin Luther King. He's, he's, he's got it and that every, read them and read them and read them. How, why did he fail? Silence in the face of evil is evil itself not to stand is to stand. He's got it. Love one another. Don't stop playing the organ so you can hear the, the train going down. Twits okay. He failed because Germans had already gone over the cliff. They had because of World War One, then the treaty of Versailles, then the 1920s, they had already lost their Judeo Christian principles. They had lost their center. Remember, if it wasn't for England, Gandhi would have failed. People think of Gandhi is starving himself to get the British to comply. No, he starved himself to say to his own people do not rise up in anger. They were this close to losing and he knew it. He was appealing to the sense of decency and fairness of the British culture. So he knew the people because of their Judeo Christian worldview would see this oppression and go, that's wrong. If we have a window and it's closing, if we give into our anger, our outrage, and we say, you know what? I can't take it anymore. We will lose. And that window of the Judeo Christian values will close and then we're done. Yeah. It's so interesting because one of the themes that keeps coming up as I'm on this tour is people

Speaker 2:          08:56          keep asking me about this. How much worse is it going to get before there's some sort of reset and all of these things? And it's like, man, I don't want two months from now or four years from now to look back at right before the 2018 elections and go, boy, weren't those the good old days because we've gone on on the train to hell. So do you think there's actually no way to stop it at this point? Do you think that, no, I think they understood behind it.

Speaker 3:          09:17          So here's, here's the scenarios that I'm looking at right now. If I'm war gaming. Yeah. Okay. None of these, I know the prediction business always works out. So let's see here. I got it. So if you're wargaming yeah, let's look at the next election. What happens? Well, the Democrats probably gonna win the house. Okay? They win the house. You know, they're going to at least subpoena his tax records. He's not going to give up tax records that'll be brought to the supreme court. Remember that marker number one, that's day number one. Day number two, they don't have any place they can go on impeachment. They have to impeach him. Even if they don't have anything. They've already said it. They have to do, they have to do it. It'll be the senate that will throw, they'll throw it to the senate. That's where the trial happens.

Speaker 3:          10:01          So impeachment just means or taking you to court. Okay? So that's day number two. Day number three, uh, Trump has already filed with the Supreme Court saying, I'm not, I'm not testifying, I'm not turning over my tax records. I'm not doing this. Okay. Well Cavanaugh has already said he's already seen that that's a distraction the president shouldn't have to. So day number three, when Trump has brought it to the Supreme Court, then the house says, wait a minute, Cavenaugh should recuse himself. We are looking at a year where, uh, the three branches of government, the administration, uh, plus the house and the Senate, both of them will be fighting with each other. They'll be fighting with this branch and there'll be fighting with the supreme court. When Cavenaugh doesn't recuse himself, they will file articles of impeachment for him.

Speaker 2:          10:55          And they're, they're leading all of these ideas already. I mean, these ideas are trickling out of this.

Speaker 3:          10:59          Yeah. So now you have the press. The fourth branch already in chaos has, has absolutely no credibility at all. It's deranged. And that pushes which you would call the fifth branch for the first branch, the people into the streets. How do you solve that?

Speaker 2:          11:19          All right, so before we get to the streets, can I give you the one option that I think maybe saves us from all of that, which is that the Republicans win, or at least hold in the mid terms. Thus finally as long shot is, this is finally the Democrats go, okay, we've got to drop identity politics. We've got to get away from this socialist Democrat, Democrat, socialist. Not that I, there's no evidence that they would ever look in the mirror if anything, they've only doubled down every time. But I see that as the only outlet to where you are.

Speaker 3:          11:50          So I think if you have, if they don't win the house, if you win the house, God forbid if they win the house and the Senate, then it's chaos. But if you win, if they win the house, the Democrats, that scenario is going to play out in some form or another. So that just gets worse and worse and worse. I was talking to a friend of mine just last night about this and he said, you know, just exactly what you said, and I followed it up with what you said. Show me the, I know there's no evidence I am Spartacus is all of a sudden going to say, okay, I'm not Spartacus. Yeah. You know, I'm the carpenter from, you know, from Nazareth. Now,

