Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:05       alright. Ladles and jellies spoons. We are alive on www.youtube.com/rubin report. All right. And there's a lot to do here and we've only got an hour today because I've had a completely bananas day. I feel like my days are getting more and more. I like to say bonkers, but I've gone with bananas. I said Banana sometimes to, uh, my days are getting crazier and crazier these days. Um, I've already taped three shows today and I was up at the crack of dawn and I did a 45 minute a radio interview. I had about two minute breaks in between everything. And here we are. We're going live. The second I'm done here, there's already a car waiting for me outside. I'm heading over to, uh, to do Tucker Carlson tonight and then, excuse me. Then I hear that that a, that Trump fell has given a big speech. I guess I'll have to tweet that thing.

Speaker 2:          00:00:51       So it's going to be one of those days. It's all good. Uh, what I wanted to do is, as you guys know, I am departing Patrion Sam Harris has already left Patrion uh, Jordan Peterson will be joining me on January 15th. We will be deleting our patrion accounts. This is all because of their treatment of Carl Benjamin Sargon of a cod. I'm sure most of you are well aware of that whole situation, so I don't want to repeat the whole thing. Uh, suffice to say that every now and again in life I think you have to just take a stand when it's not easy to do so and maybe not popular to do so. And maybe puts yourself at some risk. And I just think this is the right one for us to take. A patrion has been amazing to us. We've been on there for about two and a half years.

Speaker 2:          00:01:30       You guys know all the stuff about youtube demonetization and how hard it is to, to make a living as a, as a youtube creator. A patron has been awesome for us. I built a business, I bought a house, I hired employees. Everything that we've done basically in the last two and a half years has been because of Patrion. Uh, but we are deleting it. It's time. It's time to stand up. Jordan and I are working on a platform that I think can be a solution to this. There are many layers of problems that we're going to have to deal with a, but we're thinking them all through about payments and crypto and the terms of service and the whole thing. You've heard me talk about all of that before. So what we're doing today, I'm only gonna do two more. One today and one on the 15th on January 15th.

Speaker 2:          00:02:12       Uh, two more live streams, uh, doing a little fundraising because we're getting everybody off Patrion and we're trying to get people over to Dave rubin.com/donate. That removes some of the middleman we can. We can control everything. It doesn't solve all of the technological or monetization problems yet, but get everybody to over to our website and, and off of Patrion and stand up to the man, so to speak. Uh, so we're doing a little fundraising. So here's the deal. Anyone that donates@daverubin.com slash donate for the next hour while I am live. Anyone who donates $5 or above, however you do it over there, I'm going to give you a live shout out. So I've got an iPad here and my guys will be typing out names. You will get alive. Shout out if you do $5 or above. If you do $25 or above, you're going to get the Rubin report tee shirt.

Speaker 2:          00:02:58       Now this select member tee shirt, this was the t shirt that we were given to our patrons who were at the high level that we're at the tee shirt level. So we've got about a hundred of these left. They will never be printed again because we're not on patrion anymore, so select no longer exists. So these are the last ones. They are a limited edition collector's item. Ladies and Gentlemen, I'm wearing one of them right now. Maybe I'll have to give away the one right on my back. We we shall see. So that's $25 or above monthly. And you're going to get a tee shirt. If you go to $50 or above, uh, during this live stream for the next hour, I'm going to take the official Ruben report mug and what am I going to do to it? I'm going to sign it. I'm going to show you how, I'm going to sign it right here.

Speaker 2:          00:03:39       I'm going to sign it for Ya. And you could get that mug. So whoever does the first 50 and dollars Mug, uh, the first $50 person monthly at a time's up, Dave Ruben. Dot. Constellation donate. You can get this mug that I just signed right now. There you go. Okay. Putting that down. So we've got tee shirts, we've got mugs and basically you guys are funding our ability to keep this thing totally independent. We have had, as I've said, we have had offers from networks. There's all sorts of advertisers that want to jump on board, all sorts of stuff. So none of this is Crimea river and I'm not sitting here woe is me or anything like there is plenty of opportunity. I love doing what we've done the way we've done it, remained independent. I am, I am beholden only to you guys. And there's a certain beauty in that because I genuinely have, I can't say, I have no idea.

Speaker 2:          00:04:22       I have almost no idea what most of you think about anything. So it's like I couldn't really sell out one way or another or any other way because I get emails, people that are conservatives, I get liberal emails. I get some angry emails from progressive's. I get a lot emails from Libertarians. I mean all of this, but I don't even know exactly what my, my, uh, patrons in the past and people who are currently supporting us things. So I can just do what I think is right, which is what I've tried to consistently do. And just what I'll consistently try to do. So, okay, if you go to Dave rubin.com/donate $5 and above, uh, I'm going to give you a shout out, 25 bucks and above monthly you're getting the Rubin report, tee shirt and $50 or above monthly. You're getting assigned mug right now.

Speaker 2:          00:04:59       And you're getting the t shirt and I'll just keep talking to you guys. Oh, by the way, tomorrow I will be at the Ontario Improv, not Ontario, Canada. I'm sorry to those of you in Canada. A lot of people were very confused last time. Uh, it's Ontario, California, which is, I think it's about an hour away. Uh, southern California. Um, I will be there tomorrow night doing standup. I do about an hour set and then I will be bringing Bret Weinstein, a professor in exile, Bret Weinstein, formerly of evergreen state. And you guys, I'm sure all know his story. He'll join me for a sit down afterwards and it's just like a fun night. It's not normal standup like you've ever seen before. I mess around with the crowd a lot. We got people screaming, I giveaway stuff. We do a live Q and a. It's like, it's like just a free for all.

Speaker 2:          00:05:44       I think you'll, I think you'll really dig it. Um, so check that out. And uh, Oh and on, uh, January, Twitter 30th, I will be at the Irvine Improv in Irvine, California, Orange County. And I will have an IDW guests with not saying who that is just yet. Okay. We've got a couple shout outs to Jared and Andy, welcome aboard. Thanks guys. And Garrett, you were the first one that I saw. So Garret is getting this mug. Let's make sure we put this mug aside. That was a person when I signed and Brad, welcome aboard. You also are getting a mug which I'm going to sign for you right now. Thank you guys. You are a supporting our ability to do what we're doing. So as I said, I'm only gonna do one more of these and then I won't, uh, you know, promoter, whenever you're going to call this fundraiser drive, whatever it is, I won't do it throughout the year.

Speaker 2:          00:06:29       I, you know, once a year I think we'll do it going forward like one day where we're like, all right, we're trying to raise some funds to do this or that. The next one that I'll do and then it'll, we'll be done for all of 2019 will be on January 15th. We're going to do one of these. I'll do a little giveaway and some fun stuff and all that. And then I'm going to take my computer. We have to figure out how this is exactly going to work. Logistically. I will turn it around and I'm going to press delete on Patrion right in front of you guys. So you will watch me delete patrion right then and there we will get rid of that thing. Um, it's no hard feelings, any of those guys in a weird way. It's like you want to run your business that way.

Speaker 2:          00:07:03       I'm not going to have the government jump in and tell you what to do, but I just don't want to be part of, of what they're doing anymore. So we're going to do that on January 15th, Jordan and I also should have some updates on things. Hopefully somewhat soon. Things are moving. Trust me, things are moving. Just takes a little time to get things done. All right, so, uh, let me jump into some questions. We're also take some questions on super chat. I see a whole bunch of you guys jumping in on that. So, uh, from Patriot and I got a question from Patriot about patrion. Do you have any idea how much of a financial hit patrion itself has taken because of the exodus of you, Jordan, Sam, etc. So I don't know, I mean I could extrapolate if I was to look at, you know, sort of the amount of money that I know we were making per month.

Speaker 2:          00:07:43       I have a general sense of what Jordan was making per month. I have a sort of sense but less so of what Sam was making per month. And let's say a couple other people, patriotic gets, you know, like 5% of each of us per month plus some other fees and things. Let's say it's 10% total. I'm, I'm actually not totally sure. Um, it's, it's a nice amount of money. Um, but considering as far as I know, Patrion got something like $450 million dollars in VC funding in the last couple of years. It's a small amount. So I don't think this is about while it is hurting them in the pocket. Right. And it's like they want to make as much money as possible. I think us taking the stand is more important. So look, if patrion crumbled after this, that's not really my goal here. But like if it started a chain reaction of people inside there that suddenly we're into free speech and don't like all of this d platforming and are afraid of the way the line is moving to exclude people.

Speaker 2:          00:08:32       I would be okay with that. But this is more about us just doing what we think is right. But by the way, look, people like Bret Weinstein, who I just mentioned, people I call them, I already, I mean, people that I love and admire are staying on Patrion for now. And maybe there's an argument to be said that if you stay and fight, that could be more effective. But I also liked the idea of, okay, some people say stay, some people go, some people write articles about it. Um, some people talk about it on social media, et Cetera, et cetera. There were more than, there's more than one way to skin a cat, so to speak. So, uh, I think we're all going to hit it from different angles and see what happened. But I do think that there is a, a technological and business solution to this and that's where I'm going to put a lot of my energies, although it's pretty bizarre.

Speaker 2:          00:09:11       I gotta I gotta show it around here, which is a job unto itself, a tour. We just got an offer last night to do a live Reuben reports for all of April taken me across America. I'll be in, uh, Australia with Jordan for most of February. I'm writing this book. We're probably going to head back out on the road in May and June with Jordan in Europe. So there's a lot of cooking and now I guess I'm a tech guy as well. Uh, so, you know, we'll see what happens. Shout outs to Jeffrey to gunner and to Richard and a Mug for Jared. You're getting a mug. Thank you very much guys. Really appreciate it. You guys are helping us do this thing and uh, I hope, I hope it's, look, if you care about these ideas, then I guess it is worth it to you. Let's see, a good luck on your endeavor of creating a new platform.

Speaker 2:          00:09:53       Thank you very much. Uh, make a blockchain based payment service. I can help hit me up. So I'm talking to a lot of people based on a well just, I'm getting a lot of recommendations. Let me say first about doing a lot of this through blockchain and taking more blockchain payments. So first off, just on the blockchain front, we are taking payments right now for uh, we're taking bitcoin payments@daverubin.com slash donate. Um, and we've been doing pretty nicely on there and you know, it goes up and it goes down and it's just sort of something to, to have. Um, I think there were more options. We're, we're looking into light coin, we're looking into a theory and we're looking into ripple and a couple of the others, we're looking into some blockchain based video stuff. I mean we're, we're just scaling through all of this.

Speaker 2:          00:10:35       And I see when I do these videos now I'm apparently a gajillion people that are watching these things because then people start slicing and dicing every word I said. Reuben said this about that and he said this thing about that thing. And the other thing about that, it's like, guys, we're just trying to work this thing through. You know what I mean? It's a weird thing cause I have noticed that the amount of hate that I'm getting these days has really ramped up and I don't really care. It's like I mute or I blocked these people. I'll give you just going to endlessly throw hate at me. Like I don't care for you. Really. It's like if I was walking down the street and somebody was like, Hey Ruben, go fuck yourself. It's not like I'd walk across the street and be like, oh, should we talk about that?

Speaker 2:          00:11:06       No. So I'm not going to do it online either. Um, but it's funny cause it's like I have so much good stuff happening and show is going great, like touring and all this good stuff. Um, and yet that isn't really what is the marker of success in a weird way. I see all these people writing about me and doing videos about me lying about me constantly. I'm like, Oh, if I'm somebody that they're doing that stuff about, I must really be a threat to these people. I guess I am successful. So that's the, that's actually a pretty good, all right. Shout outs to Christopher, Joel, David and Nicky and Alexander. You're getting a mug. Here we go. You've been signed Alexander. Thank you very much. Okay. Uh, good luck sticking it to the man. I closed all patriots support. I appreciate it. Are you coming to New York City anytime soon?

Speaker 2:          00:11:49       So we just got this offer for live Reuben reports as I said, uh, in a, in April, basically the entire month. Um, which will be pretty cool to be doing the show in front of it would be theater audiences, usually about a thousand people. One of the shows is in New York. I haven't signed on to the deal yet. I got it late last night and I haven't had a chance to fully dive into it, but that could potentially be in April. Um, let's see. Just change my $5 to 25 bucks monthly. Send me a medium. Been funding for a few years and got off the patriarch train before near. Good luck. I appreciate it. And uh, when you, when you submit via paypal or, or your credit card, we have your email and then we can figure out the sizes. So that's how we do that. Greetings from Argentina. I love what you're doing.

Speaker 2:          00:12:30       Uh, and what Jordan's doing. My question is have you too considered coming to South America? So I don't know why the, the Jordan toward didn't make it to South America. I'm not sure. It's on the docket for what we're thinking about in May and June. I'll, I'll ask on that. I'm actually not sure. Um, okay. Shout out to Steve and to Maureen. Thank you guys. Appreciate it. Um, thoughts on Coinbase economically, D platforming, Gab. So yeah, I heard about this and what's weird I guess, and again, I, I don't know everything about Crypto, but I know that Coinbase is one of the places I have a coin base account actually. Uh, Coinbase is one of the exchanges where you can buy and sell crypto. Apparently they booted Gab, but not only do they boot Gab, if I'm understanding this correctly, they booted the private account of the CEO of Gab, uh, Andrew something or other, I think his name is.

Speaker 2:          00:13:19       This strikes me as, as particularly odd, like unless they're doing something illegal, but this is, this is becoming increasingly the problem. We're going to slowly watch all sorts of maybe kind of potentially shady people. And I'm not even saying that this guy is a be pinned off and we're all going to think, oh, if I don't say anything, I'll be okay. I don't say anything. I'll be okay. But that's how it comes for everybody because nobody stands up. So I'm very proud to stand up, uh, with Jordan and, and see if we can figure this thing out. Um, so I'm not happy when I see any of these d platforming issues. Uh, I had lunch with Eric Weinstein yesterday and one of the things that we were talking about was that maybe what the Internet needs, and this is an interesting play on my, my small government believes, is that, look, I don't want the government telling these companies to know, uh, to telling them what they can do, right?

Speaker 2:          00:14:08       You all know that. Okay, but maybe what we need on the Internet is a public space. So in other words, if everything's private online right now, as it basically is, you've got all these roads going in every which direction everyone can be on any of these platforms. The platforms can get rid of anybody that they want, but there's no public space. And maybe what we need is a public space that is based, let's say it was made in the United States. The United States create some sort of public space online that stands by the principles of free speech and the first amendment. And beyond that, as long as you aren't doing anything doing anything that is illegal in the United States, you can do whatever you want. So think about it as like just a public park, right? So like if you're at a cafe next to the park, a crazy person can't walk in and start screaming like they're allowed to kick them out.

Speaker 2:          00:14:54       And that's what the private company could do. If they don't want the person there, they can kick them out. But that at least we would have a public space and public platform for people to be able to do whatever they want. That is based in American laws and, and the free speech principles that, that we all love. I think there's some way that Pi could actually sort of be for public funding being for something like that. That would actually be interesting because in a weird way, if we only have private things online and then nothing's really private and I think that that's what's happening right now. So there's something there I need to think it through a little bit more. Um, let's see. Dave, is there one particular rule out of Jordan's book that helped you the most? What are, that's a good question. Um, man, well I tell you, I've, you know, I've obviously heard Jordan lecture about the book, you know, a hundred some odd times. And you know, some nights I've, I've said this before, but some nights he does all the hill, you know, lecture for an hour and a half, about all 12 rules. He'll hit all 12 some nights. He picks three rules and he focuses on them some nights. He does one rule, some nights he does no rules and he talks about what someone else that's on his mind. Um, you know, I think

Speaker 3:          00:16:02       God,

Speaker 2:          00:16:04       is there one that's affected me more than the others?

Speaker 2:          00:16:10       Well I, it's Cliche to say the one about telling the truth. Right? Cause like you should try to tell the truth as much as you can. I'm always trying to tell the truth as much as they can. So I don't think it's that, um, you know, the one about petting a cat. If you see a cat pet a cat, now I'm allergic to cats. I don't like cats. Don't pet cats in my estimation. But he said, you can swap any animal for that. I'm a dog guy, but in effect, what he's saying there is just stop and smell the roses, right? Just you know when things are going well and you're in the thick of it, like don't get so lost that you don't remember to enjoy it. And when things are going bad that there's still some goodness out there kind of and start, try to pause and remember those things.

Speaker 2:          00:16:43       So for me right now, my life is moving very fast. I have very little time to come up and breathe. My, I tried to take a vacation around Christmas, the whole Patrion on thing happened and I didn't get a vacation. Like I haven't had a lot of slow down time, but try to take those little brief moments when there's a little bit of quiet or a little bit of something. Uh, I played my nine year old nephew and NBA Two k on playstation four online the other day. Like just try to do some things to whether it's petting a cat or petting the dog or whatever it is to enjoy a little of this, the craziness. All right. Shout outs to bud, Rudy and Theresa. David, you are getting a mug. Thank you very much. There you go. David to David and Joe, you're getting a mug.

Speaker 2:          00:17:25       Oh, I signed all these. Here we go. Got Another one down here. Thank you guys for the support. It is really appreciated, uh, on super chat. I found out about you via Collin. Good luck on everything. Thanks. So you're talking about column Moriarity every uh, obviously I love Collin. Uh, he's a great guy. He's been through the outrage machine and the mob and he has survived Collins doing his podcasts, sacred symbols with, uh, with Chris Ragan who you guys may know, who's also been on the show. Um, and Collin staying on Patrion on. And as I said, in no way do I judge him for it. And in certain respects I think having some of us on there and off their offers, the best form of attack, maybe having some of the guys stay on there still allows for them to fight from within. And maybe who knows, maybe, you know, between some of us go in and it's almost saying that the Patriot people, Jack Conti and Jacqueline Heart, the head of trust and safety, there'll be like, you know, maybe we should alter the terms of service a little bit.

Speaker 2:          00:18:20       Not that I would trust them, uh, because obviously conti came in here in lied directly to my face when he said that, you know, you're not going to be kicked off over speech, but you know, it's just another way of dealing with things. Everyone, everyone does things a little bit differently. You know, unfortunately the way the online conversation is, it's like everyone wants to behave, force everyone to behave the exact same way. And if you do anything even a little bit different, you're the enemy. And it's just like, I don't think that way and I'm not gonna live that way. Uh, thanks to Alexander, to Douglas and to David. Um, let's see, uh, church, I'm Dave. If Sargon had used actual slurs against someone and not just use a slur to quote someone's language back at them and Patrion had banned them, would you still have left? That's a really good, interesting philosophical question. So, okay, so the way for those of you that don't know the wake Sargon was using the n word in this specific video that was not on Patrion and not even on his youtube channel was he was basically using the language of the all right against them. He wasn't using the n word as a pejorative. So your question is a good one. If he had used the n word in a, in a racially offensive way, would would this have resonated with us the way that it did?

