Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          All right. So let's shift to your new book, living with the monks. I want to get the, the subtitle totally right here cause I love it. What turning off my phone taught me about happiness, gratitude and focus. So we are taping this right now. Uh, we're holding it for a little bit because I want to air this right before I go off the grid because my audience knows I do this August off the grid thing. Literally lock my phone in his safe. No phone, no TV, no electronics, no nothing. I'm going to work on my book a little bit. I'll probably escape to a beach for a little bit. I'm not even totally sure what I'm going to do, but just get off the endless information grid. So before we talk about me and why I think it's good to do that. What led you to wanting to do this in the first place?

Speaker 3:          00:50          Well, I'd spent, I'd invested so much in the physical side from my whole life, you know, running marathons and doing endurance events and had a navy seal move in with me. But I really had felt like I had neglected the inner side and just the inner work and I was just going so fast. So I felt too to really, again, maybe I'm turning all their, I don't know, but to get the whole package or that what I want and be as well rounded. I really needed that side. There's the spiritual side. And um, and I was just thinking like, well who would be the best teacher? And I thought monks and I didn't know anything about monks other than like watching some movies, you know, fringe articles here and there. I thought that'd be really cool to learn about, you know, the traditions and how amongst lived their lives. And I'm doing exactly what you said. You know, I'm, I'm bombarded by information and I don't spend any time alone. And when you don't spend time alone, you lose your super power, use your intuition because you're being influenced by everybody else and your exercise, your gut muscle. I was losing my superpower. So I said to Sarah, I think I want to go. And, and

Speaker 2:          02:01          was there a moment that you really felt that you had lost it or that you could really recognize that you lost it? Because I think a lot of people walk around with that all the time now. I just felt just cause the endless social media, you're so hit with stuff constantly that it does make your, your sort of inner monologue sort of harder to listen to because it's just being slammed in every way.

Speaker 3:          02:19          It was a buildup. I just felt so distracted. Yeah. And you know, we all feel overwhelmed. I mean, but I felt really distracted and I felt like, you know, I have four kids a job, I'm married friends, my parents are getting older. I mean all these different things. And then all these different social media things and news and Netflix and Hulu and the, a little bit about, I'm like, I just want to, like, I got to, I wouldn't be alone. And so it was a buildup. And then we, my wife and I were talking about it as I just want to, I'm going to go and live in a monastery. And she was super encouraging, you know, and she was like, um, so, so that's what happened.

Speaker 2:          02:57          So what do you, do you give a call, you,

