Speaker 1:          00:01:44       And before we start discussing philosophy and the human soul. Thous Vani has two words.

Speaker 2:          00:01:53       Hi, are you excited as I am?

Speaker 3:          00:01:54       [inaudible]

Speaker 2:          00:02:00       it's wonderful to have a this forum here. I'm so excited to actually started with a dinner. We had enough Atlanta and the idea of bringing a Dave and Jordan Peterson here, uh, came about and actually happen. So I'm just going to introduce, not take too much time of the people standing here. Oh, sitting here, sorry. I'll start with Jordan Peterson. Dr. Peterson is a professor at the University of Toronto, was nominated for the prestigious Levinson teaching prize when he was a professor at Harvard and he's regarded by his current University of Toronto students and colleagues as one to three truly life changing teachers. Dr. Peterson is prominent, prominent intellect, international speaker and a public personality. Dave Ruben. Mr Ruben is a talk show host comedian and a TV personality is the host of the Rubin report. I talk show about big ideas and free speech. Dave has been heralded for his purse. Eight, a politically incorrect and honest approach to discussing complex issues and current events focusing on politics, religion, and the media.

Speaker 2:          00:03:09       Doctor, you're on. Brook is the chairman of the board of the Rhine Institute and uh, he's the core author with Don Watkins of the pursuit of wealth equally is unfair and there at national best seller of Free Market Revolution 2012. He is the host of the Aaron Brooks show on blog talk radio and uh, Greg [inaudible]. Dr Sell, Mary teaches philosophy at Rutgers Rutgers university and he's a fellow at the anthem foundation for objective is scholarships and coast security of the iron ranch society. He's a co editor of the companion to iron rand in the Blackwell companion to philosophy series. Welcome those four and one word about, uh, the person who made it possible. Uh, uh, generous board member over the Iron Rhine Institute. And thank you too. Hi grout. Sorry. High road productions for making this happen. So here we go.

Speaker 3:          00:04:02       [inaudible].

Speaker 4:          00:04:13       So first off to begin, we are live streaming this on my channel and as I'm sure many of you guys saw, I was on Joe Rogan's show a couple of weeks ago and we talked a little bit about objectivism and he said that you guys are very serious people, that you're, you're very serious people. So I need you guys to go absolutely bananas for the thousands and ultimately hundreds of thousands of people that will be watching this at home. Can you make some noise?

Speaker 3:          00:04:38       [inaudible]

Speaker 4:          00:04:54       they look at you guys. You crazy. Objectivists alright, you're searching when you're such a negative influence. Dave ask. I've never seen her like this last time. Last time I did an event with you guys, we had the whole audience screaming out George Carlin's seven dirty workout. That's true. I don't know if we're going to do that now. Okay, so we're going to do about an hour and a half with you guys and we're going to throw in some Q. And. A. It's obviously completely, yeah, sensory.

Speaker 5:          00:05:21       Then in the free route, spirit of free speech and individuality that you guys are talking about here at this conference. Uh, so Jordan, we've been on tour now for almost two months and we have a little break right now, but I thought why don't we just dive right back into all the things we've been talking about. So much of your, your tour for your 12 rules for life book has been about the role of the individual. So before we get to deepen into philosophy and some of the other things, I thought that would be the right place to start cause that's sort of what unifies all four of us up here. Yeah. Well I've been making case, I suppose,

