Speaker 1:          00:09          [inaudible]

Speaker 2:          00:33          all right, here we go guys. I got a Peterson. I gotta Shapiro. I gotta Weinstein. I got a Rubin. I feel I should go to you first be screened using the Canadian. Yeah, that's, I saw that movie. It was pretty good and not bad. All right. You're, you're on real time tonight. And I thought, yeah, it's an interesting little piece of all of this because we're sort of all out of the mainstream, but we kind of dance in there every now and again. You probably dancing. They're a little more than the rest of us. Uh, you're gonna smack around Marta tonight or what?

Speaker 3:          00:58          You know, I, I'm, I'm, I think that it'll probably be pretty, pretty cordial. [inaudible] I think that Mara is secretly one of us now, and maybe I'm wrong, but I think the, I think that Myra is tired of the, I mean, his show was called politically incorrect. I mean, I think that he is tired of the identity politics. I think he's tired of the intersectional nonsense. I think that he wants to have some open conversations. Uh, I just think that he is, he's tied politically left, so I'll be interested to see how much of that he goes after you know, how much Trump talk there is, which I find utterly uninteresting is the roof and how much of it will be about kind of broader issues of, of freedom, of speech and a and civility and having decent conversations. So I think that he's on the right side of those issues. I mean I've, I've played him on my show ran and I disagree with them on everything politically, but I play clips of him on my show specifically on those issues and him cracking the whip on people on the identity politics nonsense. And I think we're on the same page.

Speaker 4:          01:47          Well, if he wants to be an effective advocate for the left, he should lead the march and dissociating the moderate left from the radical unreasonable left someone's gotta do it because the strategy that they're abiding by right now is pretty damn self destructive. And he's in a good position to do that. And I think he's motivated to do it because he is a free speech guy. Being a comedian and everything.

Speaker 3:          02:08          It's risky, I think. I think you take your life in your hands if you're the leftist who says that right now, if you're the person on the left who does this mean? You did it and survived, but you, but that's probably tired from the left. That's right. You also, you can try it. You found it, you found a bunch of new friends. Right? I mean that's, that's really what people have to understand is that when you, when you take these positions, yes, they're going to be a lot of people who decide that you are Satan. But there's going to be a whole lot of people who are, who are your new friends, who are, who are ready to have these conversations, which is why, you know, again, this sort of IDW termed the, that Eric coin is so fascinating because everyone disagrees with everyone about nearly everything in this group. Um, but because we don't want to shut down the conversation, it's created this whole audience for every one of us, like each one of us, our audience has increased tremendously just by being part of conversations with one another.

Speaker 2:          02:49          So that's, that's it to me. What is it that you guys think about us and this wider world? Can I do it? Come on. Just the awesomeness and the amazing given all that, but like about likeminded that we just happen

Speaker 5:          03:00          to be the examples that are sitting here that it is okay for all the differences that we've talked about on I'm gay marriage and abortion and death penalty and all of these things that I know we all have various disagreements on. Why are we all okay with that? And so many people outside of this seemed to not be okay. Well, I think it has to do with the fact that most of us are confident. There's a sort of a principle of, um, faith in rationality that, uh, I'm not that worried about a lot of the things that the far left is very concerned about because I have an idea that more or less if you do the reason correctly, the reasoning correctly, uh, everything is going to work out pretty much. Okay. And I think that we have the dexterity in changing our minds, um, admitting when we're wrong, when we've changed our perspective and stealing each other's ideas and giving credit.

Speaker 5:          03:53          So that I have a sense that if I'm, you know, Ben and I have not gone toe to toe on a abortion, for example. And I have an idea of the outlines of his position. He probably has some idea of mine. Um, but my guess is is that he's not going to go bananas on spermicide and I'm not going to be advocating for the right to abort a child, uh, a day before it's due date. Um, and, uh, except for extraordinary circumstances. And even then, I'm not sure, but I think what it is is a certain kind of confidence that you can allow the other person in a discussion to actually have a genuine position and that you can contend with it. And what we need to do is to push out more of the cognitive Lego that gives us that confidence to more people so that they can say, I don't need to fear the district. You know, pro choice and pro life are both really limited positions in my opinion. And it's just an example of one of many things that we have. We have gained the confidence with each other that we're not going to devolve into name calling if everybody, uh, plays in an honest fashion and uses the full focus.

Speaker 3:          04:58          That's where it is. I mean, the honest fashion things. I think what counts. I asked him about this earlier, so I was just doing a podcast with Sam, right? Because we all hang out together because [inaudible] seven people lunch with his mother was more important than us events. But, uh, you know what, what I asked him about this and what Sam said is that he thinks that what, what has changed is that there's, there's a bunch of us who are not interested in the stupidest version of the argument, right? So if, if, if I want to hear in a pro choice argument, I want to hear the most sophisticated version of the pro choice argument and then see if I make an argument against that. I don't want the simplistic version of the pro choice argument, just so I can knock down the simplistic version of the prototype. Sorry. We, yes, it makes for a great venture period destroys video. Right? But is it, but it's more fun for me, like personally, I really much more enjoy engaging with the best ideas that somebody else has to offer. Then engaging with the, the worst ideas that you can pick out of a hat.

Speaker 5:          05:48          That's really, well. So I mean, one of the things that was useful for me, for example, in this protracted discussion with Sam is that my arguments, my arguments are better now

Speaker 4:          05:58          than they were. And he might say, well, why do you care if your arguments are better? And the reason I care about whether my arguments are better is because I know that my arguments are part of the toolkit that I use to operate effectively in the world. Like arguments aren't just some abstraction that you hold that's disconnected from your actions in the world. And if my arguments are more fine tuned and sharper, and if I'm able to and to our account for a wider range of phenomena because someone has put forward facts that were hard for me to incorporate, then my tool is much more efficient and I can operate more effectively in the world. So I find it, well it's a, it's a variant of, of, of your position. It's like I want to hear the best versions of the arguments that run counter to mine because I'd like to figure out where I'm wrong and I'd like to make what I'm doing better. And that's more important to me. It is literally more important to me then making sure that what I already know is right. How come? I'm confident in what I know, but I also know that I could do a better job of expressing it. That it could be, it could be the system could be more dynamic, it could take more think more things into account. Like I've got plenty to learn and a real discussion with someone who objects to you. That's where you learn. So, so more power to that.

Speaker 3:          07:14          I would say that I think there's pretty easy test, which is when someone catches you out on a part of the argument that you've made, that you, that you know was flawed and someone catches you out, do you smile or you get angry writing, it really is almost that easy because the truth is that there is something fun about the idea of having to rethink your position and something adventurous about the idea that you haven't thought everything through. That there are these new vistas of thought that maybe you haven't considered before and it does hone you. It makes you better at it and it, it also allows you to listen. Life is funny and it's funny that we're flawed human beings that are logic is flawed. So there's certain humor to the idea that somebody is exposing a rift in your thinking that you know have to deal with it. It's what makes life fun. If you, if you were just a stone all the time, it'd be really boring.

Speaker 5:          07:54          We kinda got there cause when we did the abortion discussion, my position basically I think is similar to yours, which is that at 20 weeks where they've shown that the fetus can feel pain, that to me is the cutoff. I described myself as begrudgingly pro choice. But you said to me, well if you're acknowledging that it's a life at 20 well then it's obviously a life at 18 now to be completely cogent in my argument, I have to concede that point to you. It didn't, it didn't move me to tell you that I'm going to now agree with you on this, on what the policy should be. But we can do that and we didn't punch each other after and, and it's all right. You know, and then what if somebody comes in and says, well, you know, life or not life is a boolean. And the problem is in computer science is one of casting, which is if you, if you make it a float and you're talking about the degree of life or the meaning of the life of the quality of the life and does that change things? And so, you know, this idea about may I break your frame while I'd prefer if we stayed in it for a little while, but then let's explore that in a second. And so there's sort of a generosity of spirit,

