Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          All right, people. This is the Big Bananas, bonkers Rubin Report, end of the year clip show recapping some of my favorite moments at 2018 before we hit the clips though, I want to take a quick moment to thank all of you guys who listen, watch, share, and support the show. You guys are the engine that have kept us totally independent for over two years now and trust me, we're just getting started. 2018 was by far our biggest year, yet as the intellectual dark web went mainstream. I toured over 80 cities all over the world that Jordan Peterson. I also returned to stand up comedy, check the link down below for upcoming dates and we continued to have the conversations that I believe can restore some sanity to the universe. I've actually never felt better about the direction we're headed and with your help, we'll continue to grow.

Speaker 2:          00:48          So here's my one sentence. Sell job. Help us remain totally independent and fan funded by going to Dave rubin.com/donate. All right, that's it. Now more importantly, thank you and enjoy some of my favorite moments with some of my favorite people from 2018 but you were on with Kathy Newman on it's Canada channel for UK, UK Channel Four, sorry, four. Yup. And there there is, I mean everyone that's watching this has probably seen this already have, you should go watch it yet if you haven't, you should go watch it. But, but in effect, basically she tried to make an argument that you have heard a good Julian Times before, but why does your right to free speech supersede a trans person's right to feel okay with themselves are saying even the way she phrased the question was a little confused and conflated, but well the thing, but the reaction to it w w your, your answer was great, but it was the reaction the regular people watching at home.

Speaker 2:          01:43          Then we're going, this is nonsense. This is just abject. No. The only thing that's really made it viral is the fact that she recognized it in the moment and what she was saying [inaudible] where you could see the light go on briefly and she just went, wait, what did I just say? Yeah, and there was no escape. It was, yeah, it was pretty. It was pretty grand. Yeah. Well the funny thing about her argument is that it's Pr was predicated on the idea that somehow people have a right to be comfortable. It's like that's just not a right you have in life all the things you can say that you don't have a right to in life. Being comfortable is number one, which you made that point. Yeah, you can offend me right now. So the thing is is if you, if you're right to be comfortable trumps my right to talk, then I don't get to talk ever because I'm going to say things.

Speaker 2:          02:25          If I'm actually talking, I'm going to say things. If they're, if they're profound things, if they're contentious, things are truthful things, I'm going to say things that if they don't disturb you are going to disturb you. And if they don't disturb you, there's someone that's going to be disturbed about them. So what's the answer to that? Everyone can be comfortable in the silence, but that doesn't also doesn't work because then we can't exchange ideas were not comfortable in the silence. We're isolated and Dan didn't the silence. So it's a completely incoherent perspective. I will say the last time I was on your program, the only time I was on before I remember you asking me what I thought of the left and I quipped

Speaker 3:          03:00          uh, what left? I haven't seen him in. Who knows how long. Yeah. That turns out not to have been right. They, they exist. I mean, yes, I hadn't seen them. But one of the funny things about my trajectory is that having been, you know, the experience was very much like being ejected from the left. Yeah. And I got ejected from the left and a lot of people on the right embraced me, which was weird. And then even weirder was the discovery of all the other people who had been ejected from the left. And so the point is, this is sort of a cryptic left, you're talking to the right. Exactly. Well and so, so the point is the discovery that there are a lot of people who you might, if you just looked them up online you would come to the wrong conclusion about where their sympathies lay that that's interesting.

Speaker 3:          03:39          And I think the conversation between those of us who have been, you know, catapulted out and those of us who have landed on the right is going to involve the recognition that in fact we are all suffering from a kind of political PTSD and that in fact many people who are on the right are there because they've been traumatized by really low quality, dangerous leftist thinking. Um, but that that does not make their right of center position natural. I'm not saying there are no natural positions over there, but many people who are there are there because they have run from things that they've heard on the left. And once we give up on the idea that anybody on the map today has the answer with respect to the policies that we are supposed to embrace once we say actually everybody's policies are a failure. If we were to enact uh, the libertarian program, it would fail for game theoretic reasons.

Speaker 3:          04:33          If we were to enact the socialist program, it would fail for game theoretic reason. Same thing, right? So the point is, okay, fresh sheet of paper with respect to policy. Now there's a lot for us to talk about starting from values and there are a lot of people who if you ask them to list their values apart from policy would fall out on the left. So, um, wow. Is it an interesting moment that that conversation may be about to get started and to be in a position to actually influence it, I must say is a pretty exciting one of the things that I found out that was sort of amazing about your history, you, you briefly mentioned your right before we started, you were a Marxist

Speaker 4:          05:10          time in your life. Most people will find this hard to believe, but it is true, but it's not that unusual. Uh, most of the leading conservative thinkers of our time time, uh, did not start off as conservator. You've got a couple like a Bill Buckley and the George will, but I'm in Milton Friedman was, it was, it was a liberal and a Keynesian, uh, high Eq was a socialist. Ronald Reagan was so far left at one point, the FBI was following him, you know, uh, so, uh, the, there's a huge movement, uh, from the left to the right as people get older. Yeah. I'm, I'm well aware, as I mentioned to you earlier, as a former progressive, I understand that that movement in the modern sense. Do you remember sort of what you were thinking, what appealed to you at that time about Marxism? Yes. I mean, there was no alternative being discussed.

