Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          All right, so let's shift the discussion a little bit to the NRA because that was the other part of this, that during the town hall and the subsequent discussions that it got very confused as to what the NRA actually does. What do they want to do? What are their people who don't like them, think they do, et Cetera, et cetera. Um, so first off, just give me your position on the NRA general.

Speaker 3:          00:27          I think the NRA is a fantastic organization that defends the rights, the right to bear arms of individuals thing with the NRA is that they really don't have the money influence that people say they do. All they have is the social influence. Republican senators know that the base believes in the values of the NRA promotes and defense and they understand that. And if they go against the NRA, they're going against their own constituents. The NRA does not have a big budget. They really don't. They, they're not like this, like super powerful like that. They directly control senators and congressman with their money. They control it with their ideals. What the NRA does, which is fantastic, is it provides a check from like from the public, not not from the government for defending our right to bear arms. And it's fantastic. And you know, it helped I think with the case with Mcdonald's versus Chicago that helped bolster a second amendment rights for individuals.

Speaker 3:          01:23          I mean in the NRA does just does a great job. They're NRA Ila program, which is actually the legislative branch on defending the second amendment does a fantastic job. I think right now they're taking a case against raising the age from 18 to 21 there was right for the shooting. Uh, Rick Scott signed into law in Florida raising the age to buy I think a firearm rifle now. So before, before, uh, you couldn't buy a handgun if you're under 21, but you could buy a rifle because handguns were used in violent crimes. Whether I think that's right or not, that's a separate discussion. But he raised the age from 1821 to buy a rifle and directly the NRA was like, this is unconstitutional. Boom. We put it in a lawsuit just to address that 18 to 21 age. Uh, there is absolutely no evidence that raising the age does absolutely does, does anything to, uh, to lower, um, gun homicide whatsoever.

Speaker 2:          02:11          So what do you think about the certain set of people that think that if we could just have all of the right laws or if we could just manage everything properly, that everything would be fine because it doesn't take into, do we have

Speaker 3:          02:23          the laws that we need already on the books as thing as the enforcement doesn't work? So I'll just make a tangent. I'll get back to here. I think it is utterly hypocritical that the left hates Trump and they, that he's in power, but then they're saying we have to trust the government more. So if you think the government, if you think Trump has literally Hitler, why are you giving away your right to wear berms to this tyrannical government? Um, what was the question again?

Speaker 2:          02:46          Well, just that there's a certain set of people that think if we just have, oh yeah, I got

Speaker 3:          02:49          you. So we already have the laws on the books, you know, just the enforcement is the enforcement of what needs to occur. Like the Lautenberg amendment, that domain, it says that domestic abusers can not have a firearm that's already on the books. It just needs to be enforced. There's the issue with um, you know, the nics background check program where they say we need more time to, to evaluate and give you back your background check in order to buy a weapon. The issue is the government doesn't need more time, it just needs more of the records. So the reason why the Texas soil and shooting occurred was because I think it was some military brands where there were someone who were, he, he committed a violation. And by law they sh the heat. They should have transferred that over to the database. And if we wouldn't have been able to buy a weapon, but the records weren't transferred, who was able to buy a weapon and he shot up the church.

Speaker 3:          03:36          So the government just needs to get all the records and do their job. Same thing with red flag laws. Um, and people like to talk about this, this is a little bit more the trickier areas of this, but red flag laws, uh, basically say that someone can flag you and then you get reviewed and then you can get your gun taken away. Uh, and a lot of people also like, so the issue with red flag gun laws is that it's all about government enforcement and, and that's, that's, that's the issue. And there's also the big issue where people like to talk about mental health and they say you mentally ill people shouldn't be able to acquire a weapon. So I have talked to countless individuals about this and I should ask Peterson, but I forgot to, the question is how do you determine when someone is mentally ill enough and hits the threshold so they cannot have a weapon and nobody knows. And in addition to things with the shooter and my school looking retroactively, we can say this kid was mentally insane, but I don't know if a court would adjudicate that. He would actually be mentally insane by, by law and therefore taking his gun away.

Speaker 2:          04:35          Yeah. So is the inherent problem here. Do you think that you cannot manage all of these things? You can do the best you can to have some sensible laws around them and defend our right to bear arms and all of that and make sure schools are taken care of. But that generally speaking, yes, there's a sort of sliding scale psychologically, but also that the people that want to do bad, we'll find ways to do bad. They're not the ones that are walking out and looking at a building and it says, oh no guns here. Yes, I'm not going to walk in with a gun.

Speaker 3:          05:05          Criminals will act like criminals no matter what. But the good thing is is that our laws are working. I mean I think it's violent crime or hot. Some rate from the 1990s to 2010 has decreased by 50% and and pub in schools are safer now than they were 20 years ago. Like school shooting rates are declining and homicide rate gun homicide rates are declining and the homicide rates are declining. So we are becoming a more peaceful nation. And a lot of that has to do with having more gun owners and to having more, you know, concealed carry permit owners. Because those people, when, when there's a shooting, those people are the first responders. I think it's wrong to say that, oh, we'll just let the police arrive after the crime has been committed. No, you need people there immediately to stop the shooter. That's why I'm all for teachers and arm school officers at schools to immediately take down the shooter.

Speaker 2:          06:01          All right, so let's, let's shift, I mean, I don't think we're going to fully get away from guns here, but let's shift a little bit. Okay. What is it like to be a 17 year old right now that's in the mix of this, that's now a public person. It's crazy to just be part of this, this oddly unique time where it feels like the adults have lost the plot and it's gotta be very hard for you to find people that kind of make sense. I think you've been able to find a couple of them, but just to be 17 in this very odd political cultural time.

Speaker 3:          06:34          Yeah, it's insane. It's insane.

Speaker 2:          06:38          What does it feel unique to you? I know you haven't lived through this before, but like

Speaker 3:          06:42          I don't know how to judge it. All I know is that I'm an adult now and I have to act like an adult, whether whether I'm 17 or 18 I have committed like commitments that I make, I have to go through with them and I've just, my maturity, I be forced to become mature. Like I can no longer play video games and waste time. There's things that I have to do but I've just been so blessed to find a solid group of people who actually care about me and want the best for me. Like like Ben and Charlie and Guy Benson, people who have just reached out to me and I'm just selflessly helped me navigate this political minefield. But it's crazy cause like all the people that I looked up to like two years ago and like would watch their videos, I'm not going to snack.

Speaker 3:          07:24          Trying to like boost your ego here, but I used to, I would watch your show, please consider it. But yeah, it's awesome that now I can reach out for their expertise. The thing with me is that I always like to start with, look, I don't know anything and I, I'm always looking to get more information to know more. Like today I had a call with a gun expert, um, on the way here and it's like, what more can I learn in order to be like fully fluent and knowledgeable about the subject that I'm talking about? And there are a bunch of stuff that I don't know about and I'm constantly trying to learn.

Speaker 2:          07:56          So when you see a guy, and again, I don't like making this about people rather than ideas, but when you see a guy like David Hogg out there and he clearly is taking just the progressive line on this and he seems more to me to be sort of a progressive activists than sort of a, a fair arbiter of what's going on here. Um, that's gotta be frustrating for you that he's so public about this, I suppose. Well, you obviously probably disagree with him on 100% of the policy parts. This is true. Yeah. I don't want to make it about the personal part, but that he's thought of as sort of a media hero and you're kind of the black sheep of this group. I mean maybe not to the, to the Shapiros and me and whoever.

