Speaker 1:          00:00:02       During

Speaker 2:          00:00:02       the direct message last week, I mentioned how people from all over the world watching and listening to the Rubin report are connecting through the power of ideas. Immediately after we posted the video online, the comments section lit up with people chiming in from around the globe. For those of you keeping score, here are the countries I heard from in no particular order, Macedonia, Hungary, Poland, Lebanon, Denmark, Ukraine, United Kingdom, Finland, United States, Canada, Italy, Arac, Slovakia, Israel greased. I won Germany, Russia, Switzerland, Argentina, Ireland, Belgium, Georgia, Netherlands, Bangladesh, South Africa, India and New Zealand, Norway, Brazil, Australia, Portugal, Spain, and even North Korea by my count. That's 35 countries and that's just from the people who happened to comment on the video or tweet to me wherever you are, you are a living, breathing example of why ideas about secular values and free speech matter. For my interviews to you guys, furthering the conversations on social media were igniting ideas and people all over the world who share the same ideals as the civil rights activist.

Speaker 2:          00:01:10       Medgar Evers said, you can kill a man, but you can't kill an idea, so whether you're listening to this in the comforts of your vacation home on the Italian coast, while on a bus in India or in an apartment complex in war torn Iraq, you're a piece of the puzzle of reclaiming liberalism and having honest conversations even with those whom we disagree, ideas of brought us together, but I think we're just at the precipice of what this conversation about free speech and liberalism could become. So now I want you guys to be part of the show more than ever before. I think we can do something bigger than just emailing, tweeting, and facebooking. I want to talk directly to you. Consider this my official request to have you. Yeah, you on the Rubin report. We're going to take a group of five viewers from five different countries and I will interview you via skype for 10 minutes.

Speaker 2:          00:02:02       Posting them all as one complete episode. I want to know who you are, what you do, why you think the conversations we've been having here are important, and how you came to think the way you do together. I think we can amplify our message of conversation, human rights and secular values in an exponential way. I don't care if you're a religious atheist, Republican, Democrat, black, white, gay or straight. What I care about is, yeah, you got it. Your ideas with this in mind, joining me this week are my friend and former guests, Feisal Syeda, Al Mutar and first time guest, Melissa Chen. Feisal was born in Iraq and now lives in New York where he works with movements.org and organization dedicated to helping people escape closed societies. Melissa is from Singapore, got her phd at Mit and is the manager of the global secular humanist movement. These are two people who are using their voices to help those who need it most, and now it's time to make your voice heard. To go to Ora dot TV slash Rubin report or click the link in the description right down below and let us know why you want to be on the Rubin report. Oh, in complementing the host probably won't hurt your chances.

Speaker 2:          00:03:12       My guest this week, our feisal site on Matar and Melissa Chen, they worked together at the global secular humanist movement, a platform committed to the use of critical reason, factual evidence and scientific methods of inquiry rather than faith and mysticism in seeking solutions to human problems and answers to important human questions. That was a serious intro. You guys write a nice boiler plate there. I got to tell you. Well, I tried my best. You gave me all. Those are all the buzzwords that we talk about all the time, right? Yeah, exactly. Yeah. And, and uh, the word committed is the most important one. Committed, committed to that. These principles, because it's very hard to be consistent these days. It is hard to because especially as you know, the, some of the folks, we conserve our allies, but they, they have their mind on Christianity and, and other stuff.

Speaker 2:          00:04:02       They changed their mind. So the word committed here is I think is the most important one. Right. So you're itching to get right into it. Get into. I want to get into a fight, but get into flow all the way from New York with. Yeah. Alright. So we're gonna talk about our friend of course. Of course. A Pfizer. You've been on the show before. I have, yeah. Thank you for inviting me again. Yeah, my pleasure. So you guys work together and uh, I want to do a little bit just on your histories first. So since we've had feisal here, let's start with you Melissa. So you are originally from Singapore. I moved here,

Speaker 3:          00:04:32       but I moved here in 2004 for college. Um, worked and then went to Grad school and continue working. I love it. And I, you know, I got sold the American dream and the American ideals, I think, you know, in part it's the same thing that drew both of us here, you know, we, we, we couldn't have more different backgrounds. Phase all grew up under a dictatorship in Baghdad and he has only known war and strife his whole life, but I've had an interesting parallel childhood it Singapore where it's a benevolent dictatorship, so, you know, he grew up under those circumstances, but it was safe and, and, and very prosperous, you know, city and life there is stable.

Speaker 2:          00:05:17       Yeah. So I think that people, at least in America, I'm trying to expand some, some worldly knowledge on people, but I feel like people don't really know anything about Singapore. So when you say a benevolent dictatorship, what, what does that even mean?

Speaker 3:          00:05:30       Well, it's been a single party state since 1965. One government has one party has ruled the country since, since that time ever since it's gained independence. Um, and, and they are, you know, economic freedoms are, are, are extremely well developed in Singapore, I think Heritage Foundation listed as two out of 180 on the economic freedom index. Right. But if you look at political freedom, you know, freedom of expression, freedom of the press, it's virtually nonexistent. So basically there's freedom to sort of pursue the work that you want, but not necessarily say the things that you want. It is a neo liberal contradiction in that regard because it's extremely fiscally austere, low taxes, free trade deregulation. It's all the buzzwords that, you know, the right wing economists, you know, love right by it. On the other hand, um, you know, I, I think it's sort of throwing a wrench into Milton Friedman's capitalism and freedom. His theory about, he said that economic freedom is a necessary precondition to political freedom and civil freedoms and that's not really happening. So that's really interesting. So Singapore sorta got half of it, right, because the economic part, but not the social part in the political part right now. Of course you come

Speaker 4:          00:06:55       from both of them are in my country. We got everything. So she's got one for two and you got a little bit has to do with some of the things that we did here in America. So for the people that don't know your story, give me like a two minute recap of growing up in Iraq and catches up on. Well, I mean, I was born in Iraq and I was born in Babylon and raised in Baghdad. Uh, my first year was under Saddam Hussein, the dictatorship, and then afterwards the US invasion of Iraq happened and uh, continuing with civil war, I mean, my spark for activism was kind of a mixed of because after the intervention we had the first rocket elections and I saw the rise of secretary and politics and I, since I was a young boy back then I was advocating for secular values and uh, just to prevent the rise of terrorist groups like what we have right now because I was afraid that if I want to grow up, takes over the other and that's good.

Speaker 4:          00:07:54       Not obviously go. And um, I left. So within, like the Sol was rising, I lost members of my lost. My brother lost my cousin. I was also a lot, so friends and the had to leave Iraq in 2009. Um, and actually a year afterwards I started like the pages total global secular humanist movement that eventually became one of the largest in the world. I left Iraq, I went into country close to Singapore and Malaysia and I applied for asylum, uh, through the NHCR United Nations Committee for Refugees and I got accepted to come to America. Yeah. So that 13. So that's why I wanted to have you both on together because I think it's really interesting people that come from different places and as you say on the show all the time, the idea is we talk about here transcend borders,

Speaker 3:          00:08:41       they transcend ethnicity and nationality and all of those things. So when you were there and when you were growing up, there was, did you have a political awakening while you were there? Did you realize that you couldn't say some of the things that you wanted to say in kind of stuff? Absolutely. So, um, Singapore, it late, you know, when you first entered, when somebody learns that I am from this country, they will say one or two things. The first one is I heard chewing gum is banned. I. Whoa, I heard you can't bring bubble gum into true. Yes, it is true. Every chewing gum it used to be that they've relaxed it a little so, so you can't purchase it now. Um, you can't purchase chewing gum there. It and it's for very, um, kind of silly reasons. Possibly back in the 19 eighties, you know, Singapore was, was developing economically, right. But, but you can develop really fast economically, but the people's mindsets and civility and tragedy of the common sort of mindset hasn't had not developed. So they went litter, you know, you stick your chewing gum on the doors of the trains and then it gets stuck. And so the government was like, we're not going to spend tax dollars cleaning this up so you can't handle the chewing gum. We're going to take it away.

Speaker 2:          00:09:46       Wow. So that talk about it and authority. Autocratic. Yes. Really at a very micro level, like how authoritarian the government.

