Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:04       joining me today is a comedian, a writer for the Daily News and the spectator, the former sex columnist, step playboy, and a woman in the midst of taking off Twitter for lent. Bridget. Tracy, welcome to the Rubin report. Thank you for having me. You are in the midst of taking off Twitter for land. As I just said, you were on a break from legal characters and attacking people and owning people and destroying people and getting a deck. I know exactly what she smiling about. How's it going? Before we get into anything else about you, I mean, how, so first of all, how long have you been doing it for? A couple of weeks.

Speaker 3:          00:00:39       Okay. Yeah, so I inadvertently didn't know that this was the line just lent ever. So it's normally 40 days, but because of the way you serve falls edse 46 days. Oh Man. And um, uh, there's 26 days left. Some 40 days at or sorry, 20 days in, right. Um, of my 46,

Speaker 2:          00:00:59       which is why Twitter, why giving up Twitter of all things. So I have

Speaker 3:          00:01:05       not many vices left. I've given up drinking. I've given up smoking weed, I've given up. I mean, if there's something that you can quit, I'm pretty much quite at other than coffee and Twitter. And I thought that I would give up coffee because that was the easiest of the two. And I tried to do that. I want to kill myself. And so I decided that I would give up Twitter and I'm, I'm like you, I take weekends off sometimes. I try and I felt in February really addicted to it. I remember there would be days where I'd say, okay, 9:00 AM you're off. You shouldn't even be doing it in the morning, but by 9:00 AM get off and go do something. And then it's 11 and I'm like, well I'll just do until 11 yeah. And then it's noon and then, and this is very addictive thinking. Oh well I've already ruined my whole half of my day. So now just until the rest of the day I'm just going to tweet and I can feel myself that refresh, refresh, refresh, like a little rat.

Speaker 2:          00:02:03       What was that like when you realized that the kick that you're go go, go pick or whatever it is, is sort of like some of the things that you've quit cause you've been, you've been sober for about five years. Yep. Yup.

Speaker 3:          00:02:11       Yeah. Five and a half, a little bit. Who's, and the, it wasn't necessarily noticing the kick, it was noticing the inability to, the lack of parallel feeling, kind of powerless over being able to stop when I wanted to stop. Yeah. If I put an end time not being able to meet that end time having it, I, it's very much like my life started journaling a little bit unmanageable. Yeah. Things. And even just seeing how much the most interesting thing that's come of the two weeks or a little more then, um, I guess almost three weeks now is how much physical energy I have. So how this, and this I haven't really found the science on because I'm a nerd. So I went down all these science halls and now I'm looking at reading this book irresistible, which is all about addiction and all the studies and it's brilliant. But why do I, how is something so passive, taking so much energy, actual physical energy. So you physically feel better? Oh, physically I have so much actual energy. And what is it? Just because the adrenals, you're getting kind of fired up when you have that adrenaline. I don't know how you feel when you're on, I generally step away if I start feeling reactive. Yeah. I, if I'm, if I started feeling my heart racing and even when I'm kind of addicted, I'm like, okay, Bridgette. Yeah. What do you think of them way?

Speaker 2:          00:03:34       What about the mental clarity?

Speaker 3:          00:03:36       So that's been I, the productivity is, I've written, I've been doing a daily writing prompt on my patrion. I've read on just that alone. I've done 15,000 words. I wrote a 12 page book proposal. I did, I been keeping diary of a Twitter junkie. I just, the daily how I feel and whatnot. And um, that's another probably 20,000 words. I, I'm pretty much written a book. I mean, that's why you're doing it. Right? That's about the same amount that I probably would have written on Twitter. Yeah. Right. Exactly.

Speaker 2:          00:04:12       Great. Um, so it's interesting because when I've done this and as you know, I do the weekends and I do the August thing. What I found is, especially when it's not just the weekend when it's the longer one, is that I'm just generally calmer. Like I'm not bad neurotic or whatever in general. But I find that like, like my patience level, like if I'm at the supermarket, you know, normally you're like checking out and you're maybe looking at your phone or whatever, where now it's like, I'm more inclined to say hello to the person that's checking me out or just like a little more presence.

Speaker 3:          00:04:43       I am so much more present. Yeah, definitely that, that has been a remarkable difference and everything. And even people in my family and my sister, we were joking about the other day and she said, Eh, you are more present. Even just on the phone with her and in my life. And I feel like even my dog notices that it just, that my dog's here are connected to me and I'm like, is this because I'm just not on my phone all the time? And it's the, but I'm a maniac. I have an addictive personality and I'm just a maniac in general. And so the first week I would say I went through real withdrawal. And it was interesting because I went to, I went to mass on Ash Wednesday because I figured if I was going to do it, I might as well it partake in my ritual.

Speaker 3:          00:05:31       I'm not some great Catholic, but I went and I was feeling kind of ashamed that I was quitting something so stupid as Twitter and the priest or the monsignor gets up and he's giving his sermon and he says, lent means slow in French and that, I mean this is a time we're supposed to go with them and look at how we can help those who are suffering and, and he said, we need to slow down. And then he reaches under his Cassick and he pulls out his cell phone and holds up in front of the whole parish and says, and put these down. Yeah. And I looked around and I was like, we have a problem. Society when going to distances up [inaudible] he's holding up his cell phone in front of the bearish telling you to put it down. It's like destroying your relationships here and that was when I look over my odd who's on her phone and the church is hilarious. Yeah.

Speaker 2:          00:06:18       Well it's interesting because it's like we can't quite quantify how having access to this much information so fast. Just out of nowhere, basically only within the last say 10 years. We have just no idea how it's rewiring our brain the way we think, the way we behave.

