Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is the editor of human progress dot Oregon, a senior policy analyst at the Center for Global Liberty and prosperity. Marion Tupe. Welcome to the Rubin report. Thanks for having me. I am very excited to have you on. Uh, we've met once before, uh, for, uh, dinner. Uh, but what you're doing with human progress I think is just spectacular. You guys are actually promoting good news. There is actual good news and good things happening in the world and it seemingly a is something that people don't often talk about. So I think you're doing great work and we're going to spend an hour talking about a lot of the good stuff that is happening. Uh, but I always like to start with a little bio on people. So, uh, tell me a little bit about yourself. How'd you end up working for human progress?

Speaker 3:          00:53          Well, I was bullying, uh, behind the iron curtain and what it was then a communist Czechoslovakia. And so, uh, from early age I started to understand the importance of political and economic freedom. Oh, we hit neither, um, in regular and it pretty quick, Huh? That's right. And then, uh, when the wall came down in 1999, uh, me and my parents, uh, went for Christmas in Vienna. That was the first time that you could actually leave your country and you could travel abroad, uh, as a family. Uh, how old were you at the time? I was 13. Um, uh, because before then, uh, people still could travel to the west, but they would keep the, the, the, the children behind as far as stitches. But now that the wall came down and comes in, collapsed, you could travel anywhere he wanted. So we decided to go to Vienna. And the moment that we crossed the border into a Western capitalist liberal democracy, uh, it was like stepping out of a black and white movie into a, a color film. Uh, everything was just so much beautiful, so much more beautiful. Um, the shops were full, people were smiling, that was color everywhere. And, uh, so I think that even at that early stage of my life, I started to think about what makes countries rich, what makes countries poor. And that's, I think where my interest in, uh, in, in all of that started. Really.

Speaker 2:          02:24          Yeah. Tell me a little bit about your, your education.

Speaker 3:          02:27          Well, I, uh, went to high school and a undergraduate in Johannesburg, South Africa of all places, uh, because, uh, when the wall came down and my parents emigrated to, to South Africa, they are medical doctors. And so with our expertise was, was needed. Um, so as a kid I got to see both the fall of communism and also the fall of apartheid, which is kind of a unique experience. And, um, I'm very glad I had the kind of childhood or upbringing I had. Um, and uh, so I, so I finished my undergraduate at the University of Witwatersrand in Johannesburg and then I went to do my master's and my phd at Saint Andrews in Scotland. Um, yeah. Well, what's it like being in these places when something is falling like communism or apartheid? Because we seem to live in a time right now where a lot of people think that we're watching parts of the west kind of fall.

Speaker 3:          03:23          And you, you've seen some stuff fall. Yes, I think that, uh, for the vast, vast majority of the population in Czechoslovakia, clearly the fall of communism was a tremendous blessing. There was immense amount of optimism, um, about the future and also unavoidable disappointment with some aspects of the Utopian future that people have imagined. Nonetheless. Um, just about anybody who analyzes economics and politics in central and eastern Europe over the last 25 years concludes that people are much, much better off than they used to be. And I think the similar thing was happening for a vast majority of South Africans, especially black South Africans who never had a vote, who never had political rights or most political rights and are partied. And of course, in 1994, um, so Africa held its first multiracial democratic elections. And as a consequence, there was also a tremendous amount of optimism, again, followed by the inevitable disappointments as reality set in.

Speaker 3:          04:26          And nonetheless, it's an extraordinary time of enthusiasm and optimism and tremendous, I think, um, sense of brotherhood between people. Yeah. Do you think that's necessary? That sort of Utopian vision of when things are changing that everything is going to be magically fixed and better. And then as you're saying, then there's that period where you go, oh, it didn't, everything didn't magically get fixed at once, but you sort of need that vision to get there. You sort of need that to kind of see in the distance. I think you appeal to a Utopian vision of the future as you consolidate, uh, democracy, uh, in, in, in the case of, um, in the case of Eastern Europe and as you consolidate multiracial democracy in the case of, uh, in the case of South Africa, but ultimately utopianism is the great enemy of, uh, of, of human progress. Uh, because I think that human progress needs to be, needs to be measured in terms of the past rather than some sort of a utopian future. Human progress is an incremental, uh, process, um, where you are trying to decide, okay, is today better than yesterday? And if so, that is progress. Um, but the problems are going to be with us forever. The question is, are we actually improving incrementally in important areas of human wellbeing on daily basis? Is that one of the, with how we

Speaker 2:          05:58          ingest news? Because I was telling you before we started, like I went on human progress this morning and it feels good to me. I mean, the layout of the site is great and you and the images and the colors and all that, but like seeing so many consistently good things trending that you don't see anywhere else. And we're going to, we're going to get into many of them. Is that just, is it hard to get clicks because people don't like the, Oh, things are a little better than yesterday and a little and the long trends when they just want the day to day craziness and headlines and all that.

