Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          So I think I, the first time we sat down, I think I asked you this, so this seems like the right segue for it. So for everything that we've talked about here and the addiction to age and all that, there's gonna be a certain amount of people that are watching this and going, wait a minute, Glenn Beck was one of the people that was peddling this stuff.

Speaker 3:          00:18          Huh?

Speaker 2:          00:19          I as well, I think I know you pretty well right now. And I feel like you are honest in your beliefs and you've, you've had some mayor Kulpa is about some of the things you've said. Even just a, you got into something on Twitter with my friend Marge and new eyes and new fully. He, he sent you a clip of something that you did about him a couple of years back and you fully, you apologized immediately. You said, I'd love to talk to you and learn more and all of those things.

Speaker 3:          00:43          I just asked that to him today and what he is he coming in? Yeah. And I know, and I loop you guys in an email, right? So, uh,

Speaker 2:          00:50          is there anything you can add to that about just sort of how you've changed? Like, do you remember a moment, was there something about that? Because maybe there are people that are going down that road right now that's still want more of the outrage and stiller is still are, you know, as they call it, shit posting on Twitter and the rest of it. Um, if you were trying to get somebody to turn back,

Speaker 3:          01:09          no, cause they were really personal experiences. I went from the, you know, that, that global poll that comes out around Christmas time, you know, uh, most admired man in the world. Yeah. I was tied with the pope just behind Nelson Mandela. Okay. That's insane. That's insane. 12 months later, I'm no longer on that list. I'm hated. Yeah. I was saying the same things, CNN that I was saying on Fox. Okay. So that was confusing. Um, and it was, you know, you can't be hated by half of the country. I mean, unless you're just, um, you know, maniacal, you know, egomaniac that is just beyond any kind of redemption. You cannot be hated by half of the country. You know, a a false hero for the other half of the country and not go, okay, I'm not that. I don't think I'm that. Yeah. So who am I?

Speaker 3:          02:17          What part of it most people will go, well, they spent millions of dollars to destroy my reputation, to take things out of context. And they did. But I also did things because my philosophy at the time was if I can get enough eyeballs, if I can get people to watch, which puts me in leader Hosan, you know, seeing engage Levis that can get people to watch. Yeah. Then I present them with facts and my opinion of where it's going. It forget about everything else. They'll hang onto the facts and someone in the press, we'll go, I hate that. So I'm going to prove him wrong.

Speaker 2:          03:01          They never did. They never would look at the facts. So this is always where they just want to belittle you and shame just to silence you

Speaker 3:          03:09          and I, and I helped them. Okay. I added to that. So I'm not saying it's somebody else. I am taking my, my responsibility, but the biggest thing is now on the other side, I can look and say, wait, all of you in the press, you said I was the worst. Let me go get the transcripts. See what I just said? That's what you said to the 10th power right here. It's, they won't work. It's wrong and it won't work, but nobody wants to do that. Nobody wants to look. They, everyone wants to point to the other person. Nobody's willing to go. I said me,

Speaker 2:          03:54          but you think that 70% that you mentioned before, maybe starting to do that a little bit. I mean, again, I'm trying, if I'm trying to find how to get out of this thing. Okay. And I think that 70% where I'm meeting, I know it's a select group because they're coming, they're coming to see me and Jordan and take 70% take 17

Speaker 3:          04:11          yeah, 10 committed, 10% committed changes. The world. 17 is your tipping point, so it doesn't take all of us. Revolution was fought by about 20% of America. Okay? Those were the ones who said, I believe in this. We have to, we have to understand, and a lot of the book is about postmodernism and how that works and what its goals are. What does postmodern even mean? What is, what's the modern world? It's not about a machine. It's about the scientific process. It's about exploration and empirical data and testing a and B and living with the results. That's what the modern world is. So when you realize,

Speaker 2:          04:59          so you would say postmodern really is auntie modern in essence because it's going against the ways that we've been able to measure anything. The way we've been able to look at

Speaker 3:          05:09          only you can, when you don't understand postmodernism and you read the headline, which I did, math is racist. You either go, these people are out of their can minds and I can't take it anymore. Or you can say how? How did they get there? When you asked that question, you start to go and peel the layers down and you see the core of this idea good or bad that what came out of the modern era of the enlightenment was this and they say

Speaker 2:          05:51          this is bad. They say this is bad. That. That really is it. Yeah,

Speaker 3:          05:54          and anything that holds this up must be destroyed. If that's math, if that's you. Doesn't matter.

Speaker 4:          06:03          Yeah.

Speaker 3:          06:03          If you understand that it's all about deconstruction and deconstruction is all about chaos. You must not do anything to hasten the chaos. You have to restrain yourself. The best way to fight this isn't about Gandhi. Oh, I want to beat just like Jesus. No, I want to win and the best way to win is to restrain yourself from adding any of the chaos. Be Clear, be stuffed, spoken. Be the person that everybody in the room, when everybody is arguing, they kind of look around the room and there's maybe three people over there that are just laughing and having fun and just because you will be the one that will control the room. In the end, everybody else will kill themselves, but the the, the majority of people will go, oh, I hate this, and they'll make their way over to you. That's what we have to do. We have to stop fighting on the stupid stuff. The stupid stuff.

Speaker 4:          07:00          Yeah.

Speaker 3:          07:00          Gay wedding cakes. Good God, man. Homosexuals right now, today in parts of the country. What do you say? We start there? What do you say? We talk about something that really makes a difference. Really makes a difference. We get to the gay wedding cakes. Yeah, let's be good people first. Yeah. It's so interesting how people just don't want to do the intellectual work and now it's like we have these, we have these phones, we have endless distractions. To the point that perhaps 20 years ago you might have a moment standing on a corner waiting for a friend to go to dinner where you'd have to think, but we can distract ourselves to the point where we actually never have to think anymore. When was the last time you just stood somewhere? I mean, I know you're aware of all of this stuff, but when it was, let's have you, Glenn Beck just stood somewhere on the corner waiting for your wife to meet you and you weren't looking at your phone or you were in, you know, I him to do what you did, but I can't do it for a month. I have too many employees. That's the problem. I only have like five [inaudible]. I, I, I try to do it once a week. Don't make it every time, but just, I'm not going to be online. Do not pick up your device, go out on a date with your wife and do not carry a device. You don't have it with you. Um, that's important. And it's important, Dave, because I learned something with my alcoholism.

