Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:04       joining me today as a writer and activist and the founder of theory of enchantment.com Chloe, Valerie, welcome to the Rubin report. Thank you for having me. I'm very happy to have you here because you are one of, I don't know, I'd say 12 people online that don't make me completely insane. Like I look at your Twitter feed and I'm like, oh, there's someone with a brain that's actually not completely insane. Thanks. Yeah. That's the highest compliment I can give. Anyway. So actually we met a couple of months ago in September at a Jordan Peterson event. Would you say that was the best white supremacist event you were ever at all?

Speaker 3:          00:00:42       Excellent. Yeah. That was terrifying.

Speaker 2:          00:00:45       Yeah. Before we get into your history and everything else and you're doing, you're doing truly so much great work. What do you make of the Peterson phenomenon? Because so many of my guests I'm finding are coming to shows and it's like, it's pretty cool.

Speaker 3:          00:00:58       I understand Jordan Peterson, like fundamentally I understand what he's doing. Um, I think that, I think that he is compelling to many people because in many cases he's a storyteller. He's a great storyteller. And what he can do is he can distill lessons from stories, stories found in pop culture stories that are history and, and derive lessons that you can apply to your life. And I think that anyone who can do that will be compelling because they can actually better your life. And I think that's the secret as to why he's so popular. And also I've noticed that he's, I think he's becoming more mainstream. It's like he's becoming more acceptable into, in mainstream society. Which is it, which is a positive trend. Like seeing him being interviewed on Doctor Oz, for example. It was like a moment, I think of him inching closer and closer to the mainstream.

Speaker 2:          00:01:48       What's that phrase? First they ignore you, then they mock you right? Then they want to be you in that version of it. All right. We'll speak in the stories. Tell me a little bit about your story. Who the hell are you?

Speaker 3:          00:02:00       Oh, yes, I am Chloe. I'm from New Orleans originally born and raised. Um, my story, I guess it's an interesting one. I was born and raised in a very atypical Christian family. Atypical in the sense that I grew up as a Christian observing Shabbat.

Speaker 2:          00:02:18       Yeah. So what is that? What is that?

Speaker 3:          00:02:21       So the way I like to tell him is, you know, have you heard of seven day Adventist? So it's like seven day Adventist, but on steroids essentially. That's how I grew up. Um, so seven day Adventists, to my understanding, they keep Shabbat, that's why they call them the seventh day. So they'd go to church on Saturday instead of Sunday. So we did that also, but we also did things like we observed Yom Kippur and Rosh Hashanah and all the Jewish holy days. And we also kept kosher style. So I don't eat pork or shellfish. And that was an interesting upbringing. I have two funny stories to tell you. Um, the first is about Yom Kippor. Yeah. So as I'm sure you know, and the Jews in the Jewish tradition once or twice, right? Right. Yeah. So can you tell me what age one begins? Fasting for Yom Kippor. Okay.

Speaker 2:          00:03:07       Well there's an obvious answer here that obviously can't be the right answer, but I would assume 13. Oh, okay. Y'All,

