Speaker 1:          00:00:04       No.

Speaker 2:          00:00:06       All right. People, we are alive on the worldwide web. Youtube for as long as they'll let us remain here. I'm going to be alive for two hours today. Uh, we got a lot to talk about. It's time to, uh, to get real. We're gonna level about a few things. I'm gonna share some insight into sort of what's going on, uh, with the show with Patrion, with the future. I know you guys have a budget union questions and, uh, I've got a lot of answers. We'll do ask me anything. Uh, we're going to do a little, a little fundraising for the show. Uh, but before I do anything, I feel like most importantly, I just got to catch you guys up on sort of where we're at at the moment and just, uh, briefly a little bit on my adventure to get here and, uh, and sort of where we're at.

Speaker 2:          00:00:52       So as most of you guys know, um, I launched on Patrion, we launched the Rubin Report on Patrion about two and a half years ago. It was June of 2016 and at the time right before that, we had obviously had the show on the young Turks for about two years. Uh, then we were very briefly at riot, uh, which was a startup and just, we sort of were going in different directions. Everyone in there was great but just didn't work out. Uh, and then we were at aura, TV and aura back in September of 2015 is where I had my first interview with Sam Harris, who was the first time I had done a sort of one on one interview on camera. And that basically when the, when the show ended, I was like, Whoa, that's what I want to do. Like that's the best thing that I've done. It was real and it was raw and it was important and relevant and true.

Speaker 2:          00:01:39       And I was like, that's what we're going to do. And really that was the day, I think, uh, if I'm not mistaken, it was September 9th, 2015 is when our first show on Ron up. It was the one with Sam Harris and my life changed and that's where the show started blowing up. And then subsequently, um, you know, we started going more and more into the free speech space and then all of the things that I now care about, we stayed at Ora till, uh, till about May of 2016 and at that point I realized at oral was great by the way. And we were at aura because Larry King, who is the greatest interviewer of all time, bar none, uh, he welcomed us there. He, I mean, he welcomed me to do an interview show on his network, pretty, pretty freaking great. Uh, and Larry has become obviously a friend and mentor to me.

Speaker 2:          00:02:22       Um, in any event, the show was really blowing up and what we realized we're was basically was that we were Kinda, we were sort of getting bigger than the network at some level. And I thought, you know what? We could do this alone. I want to, I want to own the show. I want to control what we're doing. I want, I want to be my own boss and, and figure out how to grow a business here in all of these things. And then we launched on Patrion in June of 2016 and the night before we launched on Patrion, I said to David and the mirror who joined me, left their jobs, we all quit our jobs and left our health insurance and all that stuff just to try this thing. And we had no idea whether it was going to work. Uh, I said to that, man, I may have really screwed up the night before we launched.

Speaker 2:          00:03:03       I was like, I don't know what's going to happen tomorrow. Uh, but within hours of launching, we realized that we were going to hit our fundraising, um, measures the markers that we wanted to hit. And then we went independent. Uh, we rented a studio for for about six months after that. Uh, and then when we fully, fully, fully achieved independence was, uh, two years ago, uh, almost it was two years ago, November. So a little over two years ago, uh, when we were able to buy this house and now we absolutely control and own and operate everything that we're doing. I'm super proud of the small business that we've created here. The same things that I talk about, uh, about personal responsibility and limited government and all of these things. And, and the, the classical liberal and Libertarian ideas that I, that I talk about all the time or the same ways that I try to run my business.

Speaker 2:          00:03:51       Uh, we pay 100% of our employees health insurance. We've got, we've got part timers, full timers, all these things. And I'm just, I'm thrilled and elated about everything that's happened here. Uh, now I should mention because I think most of you are watching this right now because of the Patriot in situation that for the two, two plus years that we were on Patrion, everything was fine. There was the incident where they booted Lauren southern off the platform and I had Jack Conti a little about a year and a half ago, sit in that chair right over there, uh, and tell me that they were not going to police speech on their platform, that what Lauren had done was taken part in what he termed manifest observable behavior, meaning behavior, not just words, behavior that she had partaken in. I don't even want to get into the specifics of everything that, that she did or didn't do.

Speaker 2:          00:04:39       It doesn't even matter actually. But he said words themselves. He said to me, I think he said it on camera, but he certainly said it off camera. I would never run the risk of being booted. Now, first off, he's just one guy that happens to run the company right now. That's nice to hear, I suppose. But also it's like, well, I don't want to be on a platform that everyone else might be getting booted off of, but I'm just getting some assurance that I'm safe. I think you do know that I care about free speech and free expression and all that. So anyway, uh, he said manifest observable behavior is what will get you booted if the, if you do something off platform, that's an actual action, not just words. Um, manifest observable behavior mob, the acronym mob, mob behavior. You can't make that up.

Speaker 2:          00:05:18       Uh, but that's what they said. We do it anyway. A couple, a couple of weeks ago, I guess it's a, about a month and a half ago now, beginning of December, uh, Patriot booted Sargon of a cod, Carl Benjamin, who also has sat in that seat over there and who I've done collaborations with over the years, uh, who's a classical liberal, uh, from the UK who years ago when I was still on the young Turks and I was really waking up to what was going on with the left related to free speech and calling everyone a racist and a bigot and homophobe in the rest of it and realizing how illiberal the liberals had become a, everybody online was saying, you've got to talk to Sargon of, of God. He's the guy. He's been doing it forever. He's putting up all these videos. Anyway, I did talk to him and I think that that actually started some of my success in this space.

Speaker 2:          00:06:02       Um, anyway, about a month and a half ago, they booted him off Patrion with no warning because, uh, he used the n word on a video from February. So from about 10 months prior on someone else's channel, not his channel, and not a video that was even posted to Patrion. Now he used the word because he was using the all rights language against him. This guy is against the outright. He's an old school liberal. I don't want to even get into every little specific of every little thing that he has said. Um, but he is someone that debates all right people. Okay, so, but the p the real point here is not even the specifics of the words, it's that it's something that he said off platform, not even on his own channel. So it wasn't like he was doing something on his channel that wasn't on Patriot and they said, well, you're funding that through patron.

Speaker 2:          00:06:50       It was something that was on someone else's channel all together. They booted him. There was no recourse, there was no warning. And this was obviously just as, uh, a truly massive move of the line. And Sam Harris canceled his, uh, patriotic a couple of weeks ago. Jordan Peterson and I have announced that we are canceling our Patriot on January 15th. This is the engine of the show. This, you know, we're 100% fan funded here. You guys, you are 100% independent. Really its independence more than anything else because of you guys. So this is a major risk that I'm taking. I'm, I'm voluntarily giving up about 60 to 70% of our monthly rev, um, because I think it's the right thing to do. And uh, and I know that a lot of you guys are with me. So there's a really interesting thing happening right now. I'm watching our, our monthly rev go down, but I'm feeling very inspired because I'm getting so many messages from you guys who are telling me, uh, you know, I'm, I'm going to stand up for something just like you are.

