Speaker 1:          00:00          [inaudible]

Speaker 2:          00:05          great. Let's talk about consciousness a little bit. I just had Sam Harris on. We've, we've talked about it quite extensively. I think you have some thoughts on consciousness, the nature of consciousness. Indeed. Yeah. I mean it's probably to do this right, we would need to agree on a definition. I'm not sure that that's any definition that we choose will immediately antagonize some amount of your audience. This is like defining div wedding. This is like defining truth, which seems to be tough these days. Yes, exactly. Um, so maybe, maybe rather than that, um, you are humans the only conscious beings on this planet? I don't think so, but we are the most conscious. We are the most fully conscious and we have better access to our own consciousness obviously. Then we have access to the consciousness of say dolphins or elephants or other apes or maybe wolves, any of these long lived social organisms with long childhoods and generational overlap who lived sometimes with three generations together at a time.

Speaker 2:          01:09          So this transmission of cultural information, organisms that have theory of mind and can imagine can put themselves in the other individual's position. And think, what do they think is going on right now? Even though I understand that that's a different thing than what I think is going on right now, which we now know that certain monkeys and apes exactly do that. Yes, theory of mind. There's a beautiful book, um, called baboon metaphysics by the husband and wife, team Chaney and Seyfarth that basically explores theory of mind and baboons. Uh, and you know, it's not the only one. Um, they're, they're not the only species, but you know, how do we as humans find our consciousness best? You know, there, there are ways that we can hack into what is sometimes been called flow states or, um, you know, that's, that's the most common one. But you know, we can do so through well, through deep conversation, um, through meditation, through music, some, sometimes through producing it, but sometimes to experiencing, especially live music, dance for some people, Hallucinogens, sex, sport, you know, intense physical or physiological or emotional experience in which we are just moving with others usually.

Speaker 2:          02:27          And you know, there are those of us like myself, you have a very strong introvert who will find, so my deepest flow stays, you know, access to consciousness alone. You're alone in the Amazon when I can sit and watch monkeys and write that for me. That's one of them. But sport is also, so when I talked about this with Sam, the way he was defining it, which I think is sort of similar to what you're saying here, it strikes me as just like an extreme ability to maintain presence in the moment that that really sort of when a basketball player, so if we use the sport analogy like a basketball her when they're the zone, you know, and Jordan scores 20 points and five minutes and he just, he goes, well, everything I threw up just went in like that. They hit that level of consciousness or for you to be outside enough out of yourself to be able to write in that perfect moment or, or whatever it is that it, oh, it always seems about being present more than anything else to me is a kind of, um, time stopping time stopping and disappearing on you at the same time, which I think is part of why Anthea, Jen's hallucinate, hallucinogens can kind of capture that as well because they're, the sense of time just disappearing on you is, is remarkable.

Speaker 2:          03:33          Um, so you, you both don't care about time and time passes usually in ways that seem quicker than you were expecting them to, uh, with, with say sports or um, or right. Meditation. I, yeah, that's not one that I do, but, um, you know, Sam has a lot to say about that. Of course. Um, yeah, I remember when I was doing mushrooms, at least squares in college aged somewhat consistently, maybe every six months or something. Um, I would always want the clocks to be covered. Yes. Because I hated it. I hated the numbers are no good. I did. I definitely did. One trip like five hours in the mirror, forget that. But I always wanted the clocks to be covered because the idea that time was passing while I was in this state was, was very scary to me. That's scary. Or just, I just wanted nothing to do with it.

Speaker 2:          04:22          I guess. Maybe it doesn't matter what that distinction is, you know, scary or just not interested. Right. But, um, so it's, it's very different. The, the kinds of consciousness enhancing activities that we can engage in, including hallucinogens are very different. If you're inside in a room like this where you have no access to what is going on climatologically or weather wise outside, as opposed to if you, if you are out and you can watch as the sunsets and as the moon comes up and you can think again, oh, right, it's a, it's a, it's a waxing moon. It'll be full in four days and um, or you know, or you're at a coast and you can watch the tides and think about the shifting time. So for me, thinking about time that is clearly being brought as clearly being revealed by the planet. We're on as opposed to coming at me through a clock is more meaningful and I'm, I'm willing to think about time in that way, but definitely not through clocks when I'm, when I'm writing hallucinogen sport, any of that.

Speaker 2:          05:25          Right. And yet we have all of these devices now that are men constantly talk to our time that are meant to take our attention that does he literally designed this way? Do you sense runs like that? There's actually a digital assault on consciousness because maybe that really does explain so many of the other problems we're having in society right now. It's, it's one of the key pieces for sure. And I think that phrase is brilliant. A digital assault on consciousness. This is something, I'm Tristan Harris who I don't know, but I bet him on the show. Yeah, I'm talks talks about a lot and you know, he, he's been, he has been ringing the alarm bell for years about the algorithms that are being put into our devices that are, that are creating addicts out of us. But more broadly, your, you know, the digital assault on consciousness is, there's not, there is, it's increasingly hard to find a space where you're just actually free and clear.

Speaker 2:          06:20          And this is, you know, this is part of what I do for myself and what I used to do for my students was take them to places, not only that we're remote and where they could explore nature, but where there was no cell signal where there was no internet. So, you know, the deepest part of the Amazon that I took students to, there's just, there's no email, there's no internet, there's no Wifi. We are, you know, a plane ride over the Andes and then a boat ride and then a truck ride and then another five hours down a tributary of the Amazon to a place with no roads, no airstrips, nothing. And boy, this time feel different and you need, you're sleeping in little cabins that are screened. And so you wake up when the insects and the birds and the monkeys wake up and they start talking at you.

Speaker 2:          07:04          They're not talking to you, they're talking to themselves. But you getting a sense of the rhythms of the planet that we're on can return people I think to a real sense of self and also to a sense of what they value, what their passions are. And this is a big thing that I think is missing in many of the, to return to what we were talking about earlier. You know, the, the far left activists, the control left mostly I think lack another passion. And I've said before I, you know, the prediction I would make is that you have very few rock climbers or skiers among the radical left activists. People who have something that they can engage in that frees them from time and devices from, from a response to time. I need to be here then or this my thing just pinged me. I need to look at it, uh, are better able to center themselves to, to find their own consciousness and discover who, who they are and what they want to be in the world.

Speaker 2:          08:02          What does that say about the self? Do you think? To me. There's something there about like if you really believe in the self and your and the individual and your ability to overcome things, you don't need all these external processes to help define the world because you're sort of defining it yourself. I agree and I think I do think for me self sufficiency is one of my highest values personally and I have a, I have a very hard time understanding anyone who says Oh if you leave me on my own I wouldn't know what to do. Like I, I just don't get this. I don't get why you would maybe want to lefty thing. I'd be fine too. I'm like what? Why would, why would you broadcast to the world that you would be helpless? This doesn't make any sense to me but, and you know there plenty of situations where I wouldn't know what to do and I would know what to do in situations that most people wouldn't just because of where I've traveled and where I've lived.

Speaker 2:          08:55          But the idea that self sufficiency required, the idea that you want to be self sufficient requires a concept of self I think is, is important here. Yeah. Maybe just maybe that. Yeah. And if you give that up, well then boy you're, you're giving up a lot. You, you give up so much. And um, the devices as, as heroin, as Tristan Harris has argued are addicting us. It's no accident. We're, you know, we, we should not view ourselves actually as weak. We, when we get addicted to the things we should wean ourselves, we should as much as possible to provide ourselves zones, periods of time when we have no access to those things. And so we are actually free and clear to let our minds do what they will because when, when we, uh, when they have access to our brands, they are designed to protect us.

Speaker 2:          09:50          So using, using the discipline that you're an expert in, is it possible that we're in a unique position right now because of technology that our brains are actually evolving now evolving or I guess devolving, depending on which way you look at it at an extraordinarily high pace or something like that. You know, the, the rate of change across almost every sector in the economy, in an human experience right now is higher than it's ever been. Could you say that about any moment in history maybe. Um, but the rate of change itself is changing as well, right? So that's the important distinction, right? Um, and what is going on with technology is completely untested. And so this is, this is a place where, you know, why, why am I so certain that I'm still on the left, even though most of the people who say they're on the left publicly, I don't have any interest in continuing to talk to them because they don't seem to be making any sense.

Speaker 2:          10:50          I look at systems that are involved, that are, that are in stable state because they've evolved over millions, tens of millions, hundreds of millions of years. And my instinct is don't mess with that until you really, really understand what you're doing. And so for instance, I, unlike many scientists and not feeding my children GMOs, I give them and myself organic food and when we meet, which we do a lot of, I want that meat to have been fed the grass, if it's at the food of its ancestors, what or what exactly is the harm? We now know a little bit of this, but 20 years ago if you asked me what's the harm and feeding cows grands, so I have no idea. But I know that messing with a system that was working is more likely to interfere with something in that animal then not why, you know, why would you mess if you could not, and of course there are economic reasons to mess, but um, the, the don't mess with systems that are working until you really have a solid understanding of what the, what the effects are going to be.

Speaker 2:          11:53          The, the use of the precautionary principle pretty widely is what puts me pretty far on the left. But systems that we've created that are evolutionary, but people don't know that we need to regulate in order to get them under control because nuclear energy isn't gonna regulate itself. And habitat loss throughout most of the world is not going to regulate itself. So there are some problems that we've created and that are bigger than individuals can do anything about. And you know, that's why I'm not a libertarian. Right. And this is, this is where I think we have a, I get it. Like I don't know that if you just leave everybody to do whatever the hell they want all the time, that everybody isn't going to be doing all sorts of awful things. I think generally the market does fix some of that. But I get what you're saying.

Speaker 2:          12:35          Like these systems are I suppose often precarious in nature too, right. To the point where anything could be tilted one way or the other and then we've got bigger problems. Right? So how do we, how do we fix some of this stuff? How do we, how do we actually scale this back? I mean, I get it, you know, most of my audits we'll get, okay, well we have to keep talking about it. Sure. We have to wake more people up. Sure. But what can you do using the knowledge you have and the, and the study you've done? I have less, I have less insight right now at least to answer in this amount of time, uh, for the adult systems. Um, but I think I have a fair amount of clarity on what we should do, should be doing with children and with parenting. We're really, really not doing a, which is when you say the adult systems, you mean like economic systems and, and, and more specifically, how do you get adults who are already, who they are to behave differently?

Speaker 2:          13:30          Um, it's, it's less clear to me what, what we can do and so we'll show them for the purpose of yes. Yes. Also, also, it's true that I have, um, that I'm not going to wade into a, for instance, what we should do about our economic system here. Now with you. I might do it later, but yeah, it's like, okay. Um, but with regard to, for instance, you know, most, most people I think, I've never thought about what childhood is. And if you don't have children yourself and you're an adult, okay, maybe you don't have to, maybe it doesn't matter. Like maybe it just doesn't matter to you. But if you're a parent, you need to think about why it is that we have literally the longest childhood relative to lifespan of any organism on the planet. This is a feature. This is a way for us to learn how to become humans.

Speaker 2:          14:19          We are not, and this, this is a point that Brett has made very often. We're not playing slates, but we are the blankets, slates of any organisms on the planet. We, we are more software than hardware. And so what we're doing for these first, I don't know, 11 to 25 years of our lives right now into the forties. I think it depends, but depending on culture, you know, when do you start calling yourself an adult? And then, um, what we're doing is learning how to be human and we're learning how to be human by direct X. We're supposed to be learning how to be human through instruction, direct instruction by our parents, through observing our parents, through observing our siblings, through interacting with, including fighting with our siblings and having them smack us down both sometimes, literally, but definitely metaphorically when we do stupid things.

