Speaker 1:          00:02          Years

Speaker 2:          00:03          is upon us, so we're going to be doing a little progress report here. I hope you guys had a chance to check out my interview from last week with Peter Boghossian. For those of you that might have missed it. My intention with Peter was to focus on atheism as well as critical thinking. These are ideas that Peter wrote his book about, spends most of his time talking about and are obviously topics that I'm interested in. I think at about 13 questions prepared for Peter, but like many of my interviews, the conversation pretty much just took a life of its own and last week's case though, something particularly interesting happened no matter how far I tried to steer the conversation away from the regressive left and I tried many times. All roads kept leading back to them. I've mentioned to you guys a couple times now how I want to talk about all kinds of things on this show from science to politics to spirituality and much more.

Speaker 2:          00:50          I've also mentioned to you guys how I don't want to solely focus on the regressive left primarily because it doesn't necessarily solve anything. Still. I find myself incredibly torn about this topic on one hand until the last couple months, we hadn't even diagnosed the problem of the regressive left, right? Clearly huge numbers of those of you on the left were upset about how your team was being hijacked, but there wasn't a place to come together and talk about it, much less a whole group of likeminded people willing to share their experiences and tell their stories. For that reason, I've wanted to keep this conversation going. It's important to realize how many of us are actually out there. There are a lot we want to fix the left, but I don't think we can without getting to critical mass on the issue. On the other hand, I don't sense that we can actually change these regressives.

Speaker 2:          01:38          As I've also mentioned before, since we've started doing the show, I've seen these guys continue to lie and smear opponents only to be caught and then doubled down or even more. Some people are fighting back against these lies with facts and logic. Fortunately, I've had several of these people on the show, like my new eyes, Sarah Hater, and God said, others I know only from the online space such as my guest this week, Ali Rizvi Ali's, an atheist Muslim who's constantly writing about and fighting against regressive ideology growing up mainly in Saudi Arabia and ultimately leaving religion for secularism. He should be a natural hero of the left. Sadly, he's not a. that's one of the many things that we're going to talk about. I go back and forth between thinking that fighting the regressives by putting time and energy into discussing them is what will ultimately do the most to change the landscape of the left and then just thinking that if we ignore them, maybe they'll go away.

Speaker 2:          02:32          I tend to think that most of you will tell me that we have to keep amplifying real liberal voices and that by ignoring them will only let their influence grow. That's pretty much what I think too. I must say that I'm incredibly inspired by the fact that half the time when I see anything that they write, tweet or whatever, there's an army of people ready to combat their bullshit. A few people have mentioned to me that they believe that this whole regressive situation and the fuel it gives to the right is only gonna get worse before it gets better. Unfortunately, I think these people are probably correct until the real, legitimate, true voices of liberalism can come back to the forefront. This conversation is always going to be stuck between the regressives and the trumps. It looks like we've got our work cut out for us for 2016. My guest this week is Ali Rizvi. Allie writes for the Huffington Post and his first book, the atheist Muslim losing my religion, but not my identity is being published in 2016. He's a strong advocate for the advancement of secularism and science, particularly in the Muslim world. Allie, welcome to the show.

Speaker 3:          03:39          Uh, Dave, glad to be on.

Speaker 2:          03:41          So we've been doing this as I start almost all my shows by saying that the guests, we've been doing this on twitter for a while and you are another one of these anti regressive warriors. So I'm happy that you're joining me this week.

Speaker 3:          03:54          Yeah, you can, you can't help but be. I mean it's just uh, doing anything like this. It's almost synonymous.

Speaker 2:          04:00          Yeah, it, it absolutely is. So. All right, we're gonna. We're gonna. Talk a little bit about the regressives of course, but let's, let's talk about you first. I want people to understand sort of who you are, where you come from a, you spent most of your youth up until your early teens in Saudi Arabia. Is that right?

