Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          All right, well we could probably do a show just on Facebook, but let's, let's move to the others because in a certain way, I think Facebook is becoming increasingly irrelevant, at least in the political space that my judgment of that may be slightly off, but I just don't see that much traction any more with young people. Do you think that's basically fair? I disagree. I think that Facebook, I think that the majority of these companies disseminate their content through the social media platform. So I think that there are always going to be relevant and there is, they dominate the market in terms of advertising revenue. Um, even even the big news organizations, uh, disseminate their content through Facebook. So I think it's, I think they are relevant. I don't know. I don't know what the trajectory of that is. Yeah. I don't mean that they're irrelevant, but it seems to me that the, the conversation that I really think is important about all of this seems to be happening much more on Twitter.

Speaker 2:          00:54          I assume. Not necessarily that the money in the advertising and the mainstream media reach and all of those things aren't relevant on Facebook, but that the real sort of, I don't know, the gestalt of this or something is on Twitter and Youtube. So that's the, let's ship there for a second. So, uh, Twitter, I'm sure you see me, uh, tweeting all the time about the shadow bands and the rest of it. So what the hell is going on with Twitter? Well, we went, we went undercover into Twitter and last year and early 2018 and we caught a number of engineers describing a shadow banning, uh, removing posts. When people don't know that they're sharing their content, they don't know that they're being banned, that we actually have quotes from the engineers talking about what they have done. I mentioned earlier with this, a direct messaging expert, a guy named [inaudible] Singh who works on the Twitter DM team, says that he can peruse all of your messages, your private dms.

Speaker 2:          01:48          Uh, he says that there are key words that Twitter uses to filter tweets, uh, the American flag, God guns. Uh, and then, then we talked to another engineer, not jump over the first one there. So they can literally look at your direct messaging. That's what they told us. Private direct messages. They said they have teams. This is a guy named Clay Hain. So they have hundred hundreds plus of people that, and he says, quote, I've seen a lot of Dick pics on quote. So I understand they have to do some of this to, to, to ban pornography and you know, Gore and content. But apparently this is what they told us that I don't know why they'd have to look at your private messages, but, and they've also said that they don't do that. So that's the thing. Why do they say one thing in public? Another thing in private is what we've found.

Speaker 2:          02:34          But, but again, I try to only speak to what I can actually a videotape of what the engineers said. And this Abenov for Draven guy was, there was a congressional hearing with a lobbyist. Ted Cruz did ask him, uh, do you do this? And he says, we do not do that. Well then why did your engineer say they were doing it? So I just think they're being dishonest. So that's the type of sort of underhanded tactic they're using the shadow banning cause you have no idea. Again, you just don't know when you put something out. Is this getting to all of my people or is it not? Or can some people not retweet it or the rest of it? I mean it's a pretty clever, if they were trying to silence people, it's pretty clever way of doing it. Right. I think that's the unethical part.

Speaker 2:          03:15          They don't tell people that they are doing and they don't tell people their political positions. I just want them to be transparent. I think Facebook kind of thing. Not to go back to Facebook, but they put out a thing. We are, we are banning white nationalists. Well at least they're telling us where they stand. I'm not the, not that that is a good thing, white nationalism. But if they were to do more of that sort of thing and say we are, we are taking an editorial perspective in the New York Times, The Washington Post. You can see on the op Ed pages what they believe in. They're there. They're rather transparent about it. I would say more so. So I think that these companies should take an editorial position, but when, when we hear, um, print icing at Twitter on the hidden camera, say who talks like that, who talks about God and the American flag and guns must be a Russian Bot says print icing at Twitter.

Speaker 2:          04:02          Well, I'm fine with that as long as you say it publicly, as long as you make it part of your editorial positions so that people know, okay, this company is a, is extremely left wing. Any of the Banning's or any of this ever happened to people on the left? I know there were some instances maybe with Auntie Phi accounts are a couple of things like that, but it always seems like you have conservatives and people on the right talking about it. Yeah, I don't, I'm not, to my knowledge, and I think our reporting overwhelmingly focused on, on why he even mentioned Donald Trump's account and insinuated that they were, that they were working with the government to give information to, I dunno, deep state individuals. This is Clay Haynes, a network security engineer at Twitter told us about Donald Trump's accounts. I've never seen anything on the other end of the spectrum from, from my vantage point when Trump's account got taken down for those couple of hours.

