Speaker 1:          00:00          [inaudible].

Speaker 2:          00:04          Okay. So after the march, during the march, before the march of this thing is just becoming more and more political. As you said, you guys are getting up there and you want to, you know, sort of have your moment, but there are certain issues you don't understand where politicians reaching out to you. Uh, I know that, you know, Kyle cashew shoe of his, talked to Marco Rubio a couple of times. I mean, how deep did this go in terms of reaching every part of American society?

Speaker 3:          00:29          Sure. We, um, we reached out to a lot of people and a lot of people reached out to us. There were a lot of conservatives that we, we were speaking to about the issue. I have a couple of friends who went to gun groups to talk about it, sat down with some very big gun advocates in their areas, not really in the country, but notable where they were to talk about the issue. And the, I know that the rest of my group was really interested in opening up and talking about this again, I was the shitty one in March for our lives. Um, I, I wanted to stir some shit. You know, I wanted to cause trouble. I wanted to make, I wanted to own the conservatives the same way a lot of conservatives want to own the libs. I mean that's what it's about right now. People, people play games where they're trying to one up each other and you know, I just, I was trying to do that. I was trying to make politicians, I didn't like look bad as opposed to say what can we do? Yeah, when I went up there

Speaker 2:          01:22          and I was at where your folks or anyone saying, you know, maybe ease up on Twitter or like, you know, just just because you're going to get, no matter what, even if everything you said was factually right and came from the right place and all that, just the amount of hate you're going to get while you're still a young person in the morning. So it cannot be fun.

Speaker 3:          01:37          My mom is, her sole existence in the world is to make everybody in the world happy and love each other. So she said to me, be nice and loving. My Dad, who is a bit of a political advocate himself, agrees with me on a lot of things and sometimes he would tell me to ease up. Sometimes he would tell me to, you know, be be a little bit rougher. But he also said, and this is why I think my parenting from my mom, Stepdad, dad step mom was so great, was they said, do what you think is right and don't let people put their hooks in you. And I did. I let, I let, I let people manipulate me a bit because I thought that they were kindred spirits. But you know, my parents, I'm lucky enough to have parents who say, believe what you believe.

Speaker 3:          02:23          If I my, you know, my parents are all liberal. But if I came home and said, I'm, if I came home with a trunk 2020 hat, which I do not expect to do unless some drastic change happens in my life, although I know you're not thrilled with the Democrats at the moment, I'm gonna Throw the Democrats at the moment, but I'm not thrilled with Democrats. At the moment because they're not being good Democrats, not because they're Democrats, but you know, we'll get to that. I um, but if I came home and I told my parents that I would vote for the opposite of what they would vote for, they would say, if you're doing it because you think it's right, you're going to do it. And I'm very grateful for that. Yeah. So we're,
