Speaker 1:          00:01          Right. All right.

Speaker 2:          00:02          There is a ton. I have to talk to you guys about this week. As you probably know, I was in Israel last week where I was invited to speak at a video conference. The remainder of the week was spent wandering the streets talking to people about peace and eating ridiculous amounts of Hummus. Spending most of my time in Tel Aviv, I saw people have pretty much every race, color, religion, ethnicity and nationality, living side by side. I heard Hebrew, Arabic, English, French, Spanish, Japanese, German, and several other languages being spoken simultaneously in restaurants in cafes. I saw a coexistence in a part of the world that has very little of it. I also spent a day in Jerusalem. If you saw the video that we posted a couple of days ago. I tried to show how close these religious sites are and give a little context to an extremely small yet complex city walking through the old city of Jerusalem.

Speaker 2:          00:51          I explored the Jewish and Christian quarters and stop for falafel and the Arab quarter. I felt it was important not just to talk about these places as we do, but actually to live them as well. I exited the Old City at the Damascus Gate where literally a day before a Jew had been stabbed. While there was no doubt the neighborhood was tense, there was also a feeling that this was life. Life goes on. Unfortunately. I heard about the San Bernardino terrorist attacks while on the beach in Israel. I can't really explain to you guys how incredibly surreal it was to be so far away from something so horrific happening 60 miles away from where I live while I was 7,600 miles away from home. Adding to the surreal feeling was that I was in the Epi center of a country that deals with terrorism in some form or another pretty much every day.

Speaker 2:          01:38          Suddenly I had people asking me what it was like to be in America with all our mass shootings. The world felt completely flipped on its head. On the 14 hour plane ride back to Los Angeles, I read what's left by my guest this week. Nicole and nick is a writer for time. Spectator, the observer and standpoint, his first book, what's left is an absolute must read if you dig what we do here though, what's left was written in 2017. Nick absolutely nails so much of the lunacy we've been talking about on the left these days from their dishonest tactics of lying about opponents' views to aligning themselves with people who are just as easily have them killed. He goes on a journey through history to show how the far left has so often strengthened the very ideas that they purport to be against. There were so many passages of the book that I felt like could have been written today, that it was almost like reading something from the future.

Speaker 2:          02:29          He nailed the regressive left before the term was even out there. Speaking of the regressives, you didn't think I was going to get through a show without mentioning them data? Yeah. Not gonna happen. Uh, one of the issues I've called them out on consistently is that if they don't stop smearing, the liberals willing to talk about Islamic extremism, that they're going to hand our future to the far right. We're seeing this right this very second across Europe as far right parties are winning elections and gaining in the polls from France to Belgium to Sweden and more. This is clearly coming to the American shores, right, too. As Donald trump just this week called for denying Muslims entry into the United States. Obviously this is idiotic over the top and ridiculous, but it can only exist in a climate where fear of real discussion has been stifled. If we aren't afraid of talking about Islamism, especially the difference between people and doctrine, then we can finally have an honest conversation about refugees, immigration and everything else, but if we do, as the regressives are doing this very second by making no distinction between people who are trying to talk about serious issues versus people who trade on fear, then we help the real xenophobes and silence the reformers.

Speaker 2:          03:41          Even as a kid, I always loved John f Kennedy's famous quote. We have nothing to fear but fear itself. It's lofty and big, but it hits something that is extremely human. Sometimes fear and things is scarier than the actual thing itself. That's not to say that radical Islam is scary, but we also feed that fear if we don't deal with it honestly, now that we live in a time when people are incredibly fearful and much of it is with good reason, as we've seen the spread of an evil ideology with no signs of letting up, that doesn't mean we have to be afraid to speak out against it or silence those who dare to do so. Actually, of course it means the exact opposite. Fear is what the regressives and the far right are both going to use to splinter us against each other so they can gain power.

Speaker 2:          04:26          The world is in a strange, fearful moment, right? This very second, we can either give into our worst impulses or try to be better. I'm pretty sure you guys know which side I'm going to choose. As we sat in a packed restaurant in Tel Aviv, I asked a friend how he feels about all the stabbings without missing a beat. He said, we have to keep living. We have no choice. I think we could all use a little of that spirit right now. Let's not give into fear fed to us by terrorists or fear fed to us by politicians. Let's keep fighting because if we don't choice is exactly what we're going to give up.

Speaker 2:          05:02          I guess this week is a writer for the Observer, the spectator time and standpoint. He's authored two books. You can't read this book and what's left. I just read what's left and I'm thrilled to have him here. Nicole, and welcome to the show mark. So Nick, I was telling you right before we started, I just read the book, so all of your thoughts in what's left are there right at the tip of my brain right now, and I loved it. I have been so in this regressive left thing this far left that your whole, your whole book is about and you saw it. You saw it early. So I want to get to that, but before we start, give me some of your liberal credentials because I want people to know that you're a lefty, but because we're going to talk shit about the left. So I want people to know you're an actual lefty,

Speaker 3:          05:52          Britain and Europe. You wouldn't call me a liberal socialist, left

Speaker 2:          05:58          a way for whatever his problems and they are manifest and man, if bold, because you didn't really cover it at great length in America, used to believe in things like tourism and antique fascism in feminism to an extent in being a part of the party of progress. And it used to have some idea of what to do with the world. And I gradually realized looking around me, but this was no longer the case that as you like, if you want to post it in sort of really, um, a road rubbish terms really, this know I didn't leave less, less, less meat, less somebody's true, but the, the, there was no longer a universal leftwing mess with which meant that people around the world could say, look, we're oppressed and we're oppressed by heaviest reactionary forces. The less wind resources. So being in the UK, I've had a bunch of my guests have been lefties in the UK that are, that are talking about the same issues that you're talking about. What is going on in the UK that I think woke you guys up to this before it was awoken in America? Because really here, it's only in the last year. I think that that liberals are waking up to what's going on on our side.

Speaker 3:          07:15          Yeah. Whatever happens in America happens in Brooklyn and your five years later for one since the other way round, I think that really big arguments and big battles we've had in Brisbane in particular all now coming to America, you know, the, the, the Alice has been reversed the bit. Um, there has been the most, uh, for Roche rouse head, which I'm pleased about because, you know, I'm a on polemicists system that Swiss blendable I don't believe that the being pc and nice and kind and gentle is a way of sorting out problems is often a way of covering them up. But there have been huge rounds in Britain, uh, really since nine slash 11 in my case, since the Iraq war, which mouse might seem rather wrong, but, uh, your older may remember your faculty to credit viewers may remember the won't set on the saying was the enemy if left, left wing is used to campaign in favor of rights for the Kurds and pools have damaged Sadam Hussein and fashion is.

Speaker 3:          08:21          So in my case, it wasn't nine slash 11, it was 2003 with the Iraq war. And I says, well, thinking, well, you know, what happened to all my youth? Why are, why are you European? Lester's food reason to, you know, help. You never need a good reason to. There are plenty of good reasons for post George W Bush. Um, but, um, why, why, why was it, there was simply no concern for courage in the Ra for socialist in the wrongful trade unions from the rock who had been until the late eighties. Uh, yeah, that'd be demos to bound them. That'd be petitioning to that support. They've kind of at my parents home or that kind of thing. And you want to go, well, what happened there? And once you start asking that question, very simple question, who are your friends who to use old left wing Lang Lang, joy, your comrades, uh, who you sticking up for whatever kind of Chris would you want to be of American policy or public policy? And our piece again, opt for an interview. There are always good grounds because of American British policy who you actually supporting. And then you get some rather ugly answers and you, you find a source of great vacuum on or most of the left and many good left wing is on most of the left were a principal ideology or to be.

Speaker 2:          09:42          Yeah. So right there. I mean you hit a lot of the books. So a lot of the book deals directly with Iraq and how it woke you up as you just sat in the horrible things that Saddam was doing and the horrible things that the bath party was up to. Um, so before we get into that, because I was actually surprised how much of your journey was through Iraq. But before we get into that, specifically, the phrase regressive left, so it was coined by marginalized and it's really, it's really taken off here and end at the beginning. At the beginning of the book, you mentioned that you didn't necessarily have a word for this and you said you didn't want to get too hung up sort of onwards. Do you like the phrase regressive left?

Speaker 3:          10:19          I'm sure there's something else. Here's the thing, a waltz graph came out in 2007. I'm might go, I'm, I'm old. I'm old. No revolution like Kaboosh kids. The reason I didn't, I love the French progressive lesson is absolutely right. The reason why I didn't put a name to it, this, you can say a very easy, obviously it's just a fall next, uh, people who used to be Marxist, Leninist, trotskyists, starbucks, what have you. But here's the problem. When you interrogate these attitudes, they go way, way, way into the mainstream. It's people who don't consider themselves less than at all. I mean, typically in Britain, I'm sure this is true in America as well, from what I've seen, it's people in broadcasting. It's people in universities, people in schools, it's people in publishing. It's people who are, you know, you had to define themselves and quite favorable, but then have a load of ideas, a lot of baggage on them, the terrible ideas we've started on the far left and, and this, this is what grows people wilds in Britain.

Speaker 3:          11:36          But this book was because I wasn't just talking about how some people on the friends and all sorts of talking about people here in Britain will say, BBC site people who never considered himself extreme all with themselves, models and new. I'm not going to say, well look, these are ideas that began on the phone and that it's okay to go along with great dreams and movements that want to subsidize the women kill. Hadn't sexuals kill Jews, kill any Muslim who have his or her own free will decides to change their religion. There is no god, there is no our tool. You're getting along with all of this. It wouldn't matter if it was gas six grade, what masters is permeating the whole liberal, um, uh, uh, uh, a spectrum. And that's what growth people wild available. So to me that was so obviously true and it seems to be true of as American as well,

Speaker 2:          12:36          so you hit on a lot there. So partly it seems to me that it's a little bit like the phrase, you know, the road, uh, the road to hell is paved with good intentions that these people, and I think you hit on this advantage that these people, they have good intentions in that they don't want extra war and we have had a ridiculous, both of our countries, right? You in the UK and in America we've had, we have had plenty of ridiculous unnecessary wars. We've done all kinds of things, drone strikes, all of these things that we on the left are not thrilled with, but you make a really good argument for what is the alternative that we basically just give up on all of these people that live under these horrible theocracies. And that's what put these people in the far left in bed with some really terrible people.

Speaker 3:          13:23          Yeah. It's also a, if you could get a time machine and go into the future, say 50 years into the future, there are bound to be all kinds of ideas are accepted. The objects on the fringes of American society at the moment. Uh, all your great panggang drums in the media, Time magazine, New York Times barely even think about will be the common sense. Whatever age that applies to paddle ideas as well as good ideas. A really bad idea started on the far left. I would even say it wasn't even less wind at all after the collapse of communism, after the end of socialist and members, socialism defines what it means to be a left winger for a hundred years. You know, some fruits are not, they're not all girls. Then somebody there, all these people. I mean, noam is a classic example to me who have that same spirit but no longer have an ideology they can believe in.

Speaker 3:          14:25          And so what did they do? They still just send anyone who is against the West can't be all bad. Anyone who is against the west, it has to be the West fault. We all the root cause to use a phrase that's been repeated to and then you suddenly find people who call themselves radicals or progressive socialist feminists going along with movements. We anti progressive and she says, Auntie radical anti women, anti gay, anti Semitic, and she everything, Auntie liberal in the classic sense actually movements that have stepped out for a liberal nightmare if you look at their effects, but because they're anti west, that's all that matters is because there's no longer a positive program would be laughing. They just seize on any body who is against America, again, against to you Sarah rather contentious. Then you can have an organist bath we want later against imperialism, and that that just stops on the extremes.

Speaker 3:          15:24          Like good ideas start off on the fringes and it comes into the main screen. Now that's not wholly the faults. Mainstream liberals, senior, never let drop your books off the whole. Nevertheless, Oralis is off the hook. Yeah, password is perfectly possible. Action results. So terrible and not just in, you know, poor countries. Uh, what about people in America? What about, um, people in Britain? What about people in my country, Muslim women are now being told, what are you going to go through a course? What is a free women in a free country, not second class citizens, so you don't have to have, uh, some, some, uh, fear classic legal system saying evidence worth half that,

Speaker 2:          16:08          right? But you as a white guy say that, then people go bananas and you're pushing your views on that even though if you're the one that's abiding the laws of your country, which is what they are governed by.

Speaker 3:          16:21          Well now I'm afraid to lose my country is slightly worse than that. You know, there's a danger. We're not quite there yet. We'll have parallel legal system will have a say up in civil case, divorce cases, big deals. Uh, I'm a Muslim woman will, uh, seems quite content. Say we can settle this to Shariyah cool, but this is, this is kind of racist. Is it not? If you say to a woman, you have to go through a. you're right. All liberal opinion across Breslin, across America, across the world who go wild sexism. New social needs is patreo police. Okay. When that happens to a brown skinned woman, yeah. Were you in the name of liberalism? We all, we all create shaking the uh, the classic double standards of, of predictable days. You know, a white people have more rights and white. Certain people are more honest and brown skinned people. Kristen issue for how people are treated in Saudi Arabia or Iran or, or, or, uh, any other country with a uh, um, an for me, I would say a unfair, classic legal system. It's here now. I'm already societies. It does seem to be the liberal soul to decide what type of liberalism they believe in July, I believe in liberalism means we've got equal rights and universal values or does liberalism main. There's one law for one group and one law for another group depending on their couch.

Speaker 2:          17:53          Does this part of this seem to you that it's just the end game? This is the end result of identity politics. We're, we're going through right now in America, this really strong phase with identity politics. What? Right. So we're all divided on sexuality and race and just every, anything that you can divide people on were divided on it right now and is part of this just that you saw the end game of all of this sorta before we did

Speaker 3:          18:23          your profit, profit bibles or any of that. To me, there is a big, big vacuum. Opens up at the end of the 20th century were first of all, as I said before, it may not be so much in America, in Europe and the love of the world, the collapse of socialism, the collapse in the belief of off the plan to call me of national society, but all the sudden the clap, so it kind of lung collapse, but a marginalizing and flip real optimism, liberal locksmiths and just says, look, there were universal human rights. It doesn't matter what your skin color is, you know, it doesn't matter what your religion is. You can't say, oh, it's my culture to oppress women. You can't say that I was laughing. You actually now like they laugh with you and that's allowed. It's identity politics, which sounds fun. Sounds Fun.

Speaker 3:          19:19          You know, I ain't going to last, you know, I read these reports of black students. So again, when you think about history of a black oppression in America and you can understand them, nesting is kid's sake a bit nuts by identity politics has and you think, well, you know, let them have their, uh, that fuss by identity. Politics has a hugely dog. So [inaudible] you have no onset. We're in the people who say we're the masters, we are against identity. We all the community leaders, we all the mothers will a rabbi's priests. We control this group, this block and we say you were a part of our group or block or community and uh, we, we say that you didn't have the same bright. So it's a, you know, a white Anglo Saxon woman at Yale. We say the constitution, the bill of rights doesn't apply to you. It's against your culture. And that hasn't been thought through at all.

Speaker 2:          20:13          Right? So we split people into, into these little boxes. But then what we ended up carrying the least about is the people that are in the smaller boxes within those boxes.

Speaker 3:          20:22          Well, as monitoring the wall set, so you mentioned doing it view has this little phrase, what about minorities? We remind ourselves, you know, what about what about liberals and this is thinkers, the blast females, the women, the gay. So people who say, what the hell, what the hell? I am not this group. I'm not a Muslim or a Jew or whatever. I'm American.

Speaker 2:          20:46          Right? That to me is the

Speaker 3:          20:48          ultimate irony here is that the spectrum of people that I've brought on the show in that now I've connected with on twitter or wherever it is, is I'm not judging any of these people based on their color or their religion or their ethnicity. I'm basing it on their ideas, which is, which is the most liberal idea. Yeah. Well, you're actually treating them as individuals because they're very, very different. Uh, a golf help you. The only problem of identity politics is when you stop preaching to people as individuals. You kind of identity politics is, is, is, is, uh, is a, is a slippery, treacherous conjunction is you can only have like, or you can have politics. Politics means you don't just look at people and say, there's a block in this instance, what we're talking about, the Muslims, what do you mean there's a group called the Muslims because when do you say that you normally end up handing over the right to speak to these Muslims who have asked your permission to the most reactionary people in it.

Speaker 3:          21:54          The people who who, who wants to enforce a communal identity and want to enforce it. First of all, you know, I know there's all this paranoia going round after the Paris attacks and those awful events in California, but yeah, first and foremost want to enforce on Barrow, unkind on their tribe in fourth or fifth of booze on them to keep them down. And the worst part of it is, I think we've been particularly bad in Britain and America because we have this identity politics. Multicultural problem you've had is, well, you know what? I'm about the men and the women who say, I'm the second. This guy said, the community leader doesn't represent me. I've never voted for him and agree with him. What about this man who says he's a priest? The rabbi and Lula, I can't believe in all this crap or I'd be partially believe in it or I believe in bits to this, but you, you then stopped treating me as if this guy and this meeting is, this group owns me without my permission that that's his.

Speaker 3:          22:55          That's his huge weakness today. It's well an awful lot. Before we go onto great question, so with the sound, with your right, with Syria, you know, what are you going to do about Islamic state is where everyday cruelty happens in also song. That's it. It's where men and women who need a confident liberalism and liberalism beliefs in human rights, liberalism that says, well actually we're not going to say that. What matters first and foremost about you is your color or creed. They need them to help them and they turned around to the very people who will be able to help them and they're not there. In fact, they're on the other side.

Speaker 2:          23:34          In fact, they're on the other side. That's, that's the key piece because it's not just that it's there. They're actually working to stop the reformers and by calling everyone racist and all of this stuff, and then you know what we have going on very much so in America right now is that Donald trump just this week says, we're going to close the borders to all Muslims. Well, now he throws red meat to the right. He gets. He probably does more good work for isis recruiting that he could possibly do, but unfortunately he's been strengthened by by a week left. You talk a lot about that actually, about how they the this far left group. Now what we're calling the regressives ultimately end up strengthening a lot of ideas that they should be against.

Speaker 3:          24:14          That's what we're seeing with trump. I was amazing today in which is where I work and I loved the place and here's Britain's leading left, the newspaper and people in your questions about Donald Trump. That first questions were know and you could see perhaps I'm reading too much into the audience members and such, but Donald Trump was stopping her. She taking on reaction. Whereas in, you know, all on years, on years besides so you, you've gone. It's very hard to, uh, to get the notion that there are two extreme rights, there is the extreme right, and I wouldn't until a few weeks ago said Donald Trump was on it. It seems to be heading that way now and there is the religious extreme, right, extreme, right, uh, and you need to find them both for the same reasons and with the same arguments. She's very different. People seem to find that very, very difficult to do. Strikes me as the only principal position, but I imagined if I walked onto any campus in America and said that there'll be no platform,

Speaker 2:          25:31          not only would there be no platform, but they'd be trigger warning. Do they go into a safe space? All the other stuff we're talking about it. And then

Speaker 3:          25:38          was so frightening.

Speaker 2:          25:40          Right? I've had several guests that I didn't think were that frightening, that for some reason have to have trigger warnings issued before they speak on campuses. So a look, a lot of this is happening in Europe first, which is another reason that I'm talking about it so much because I don't want it to take hold here the way it has taken hold in Europe. What do you make of the far right parties that are now winning across Europe? Right? Marine Le Pen. Just one in France. We're in. I now see that in Denmark and in Sweden far right. Parties are leading in polls for the first time ever. Belgium. Uh, so this thing seems to be miss metastasizing, uh, right in front of our eyes.

Speaker 3:          26:18          Yeah, there are reasons for that day. I mean the European Union. It's not like USA. You're trying to beeline the USA without the common culture, common institutions. And as I'm fond of pointing out to a, uh, a in new world to be like the US. So I said, well, USA had one hell of a civil war before it became the USA Today. I mean, do you want, do you want that? There are other reasons. A, there's two things I want to say. One you might quite like the other than think you might quite like is, is we seem to agree on this. It says you can't run around the streets in your head off A. Yeah. Having trigger warnings and safe spaces where I'd know a celebrity or a politician makes a slightly off color remark about homosexuals or women who's like sexist remark about women and having reading the news and a couple of times, um, uh, needing, needing a culture to calm themselves down afterwards and then, and then ignore religious homophobia, including beverly religious, Saturday, February among ethnic minorities.

Speaker 3:          27:31          You can't do that without paying a price because I think people aren't watching you, you know, don't think the rest of society had lots of political writing on the left as well as the right. It's like it's a private club, you know, it's talk to themselves, but yeah, the right watches, Fox News, sort of less walk. She's Gong Stewart, you know, they just talk themselves. So it's like a private club and everyone understands the rules and they forget the sound side. It's a watchman and get outside and are say, you bloody hypocrites. You, you, you will, you will have one rule for white people and another rule for the rest and you will not stand up to get back. And as principal, so there is that, that does matter. A political correctness in Britain has become, has become this kind of swear words and it doesn't mean stuff that you would understand.

