Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:04       a priest, a rabbi in a comedian walk into a youtube studio that was once a garage. Bishop Robert Barron, Rabbi David Wolpe. Good to have you guys here. Good to be here. I'm very happy to be doing this because we are smack in between Hanukkah and Christmas. So it seemed like the right time to get you two together and I had you both on the show individually and enjoyed the very much and I thought let's have a, let's have a conversation about religion and meeting and good social media and all sorts of other things. So first, um, I thought we just talk a little bit about the way that people are talking about religion these days. I know that you both saw at least a portion of my chat from a couple of weeks ago with Jordan Peterson and Ben Shapiro. Uh, Ben is obviously Orthodox Jew. Jordan comes through things through a Christian perspective.

Speaker 2:          00:00:52       Um, the idea though that people, that the average people out there aren't necessarily getting the messages that you guys talk about in the traditional way and that they're getting them in through youtube videos and podcasts and things like that. W W what do you make of that? You know, I'm pretty good with it actually. I think it's a sign of our time and it's the way people communicate. And so those two gentlemen have found a way, you know, cause you have to use the social media very creatively and if they can communicate some of the truth of religion, why not? And also I think with especially Jordan Peterson in mind, it's a smart presentation of religious themes and speaking on my own tradition, you know, after Vatican two we kind of dumb things down, which I think has been a pastoral disaster actually. And one reason we've lost why young people, we presented Catholicism of very flat secularized, unintelligent way.

Speaker 2:          00:01:43       And Jordan Peterson is presenting, you know, at least a version of religion, a version of, of biblical interpretation in a very compelling, very intelligent way. And look how young people are responding to it. Like mad. I think that's a very hopeful sign. Yeah. What do you think? I think that the twist is that, you know, we were talking right before the show started about people that have debated and the Harrises to some extent, but much more the Hitchens of blessed memory, um, and, and others would take, would take religion, Richard Dawkins and say it is this collection of ridiculous dogmas and, and nothing worthwhile and anything that is worthwhile in it, we have in the second the world better. And the counter argument used to be, well, you don't necessarily have to buy all of religion to realize that the themes are deep and complicated and inspiring and beautiful.

Speaker 2:          00:02:32       And I think that they're being framed to that way. I mean, I don't know. I'm not sure. You know, I'm not sure he knows what exactly Peterson's religious commitment is. But one thing that is clear is that he and many of the people who listened to him and follow him take religious themes, ideas, and sometimes even scriptural stories as indicative of something deeper about the nature of the world. Do you think that's enough? I mean, as I'm out for one enough for, for just a human, not just someone that's publicly talking about this, but is that rich enough to just take the songs and the stories without perhaps some of the mighty, my principle concern as somebody who's associated with institutional religion, which is like anathema to many people is when someone tells me for example that they are spiritual but not religious. What I always want to say to them is how much do you give to charity?

Speaker 2:          00:03:28       Because to have your own life enriched, but for it not to be expressed in conduct is not enough. So the question that I would always have is in what way does it influence the way you treat other human beings? How charitable you are, whether you are part of a community and you both take from that community but also contribute to it. If it does all of those things, then I'm much more persuaded that it's effective. If all it does is get you to attend the lecture, read a book, and feel like you've been elevated, then it's not enough. Yeah, I suspect you probably agree with the premise there. Yeah. It's not enough. I mean, I think it's a good starting point. Uh, to me what Jordan Peterson does with the Bible is similar to what the church fathers in our tradition quoted call the moral sense of, of the scripture.

Speaker 2:          00:04:14       So you look at the Bible a number of ways and one is to uncover it's, it's important for moral behavior. We might say today for our psychology, you know, good, wonderful. But then there's a lot of other dimensions to read the Bible. The Bible makes certain objective claims about God and it tastes the New Testament about Jesus, about eternal life. You know, and I think that's not touched on so much by Jordan Peterson. Now again, I don't want to bad mouth. I think it's a very good starting point for a lot of people. It's a way in, why not begin with the moral psychological sense. But then I'd say, keep going. You know? And finally you do have to make metaphysical claims. It seems to me in in the religious realm, you can't simply leave it at the level of subjective appropriation. You have to say, is it true that God exists?

Speaker 2:          00:04:56       Is it true that God's the creator of all things? And in the case of Christianity, is it true that the God sent his only son that we might have life in his name? So you have to wrestle with those metaphysical issues. But I'm flying with him as a, as a opening of a door, you know? So it's so interesting to me that people actually care about a debate about the nature of truth. You know, it's like we live in a time when everyone's on Twitter all day, where we can be distracted by video games and a kajillion other things. And yet somehow through that, you know, that video that we did has over a million views already in a couple hundred thousand on the, on the audio podcast. And it's a two hour conversation about these things. So one of the things that we really focused on was the sort of, what I think they would both argue are the bedrock values of the Judeo Christian society. So when someone says that to you, since I have someone from the Judeo Christian part here, what does that actually mean to you? When someone says the values of the Judeo Christian society? I think deep respect for the dignity of the, of the individual made in the image of likeness of God, the

