Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is the founder for act for America, a New York Times bestselling author and author of the new book rise in defense of Judeo Christian values and freedom. Brigitte. Gabriel, welcome back to the Rubin report.

Speaker 3:          00:17          Thank you Dave. I'm delighted to be back with you.

Speaker 2:          00:20          I am delighted that you're here. First off, before we do anything else, I was going to wear the exact same shirt.

Speaker 3:          00:25          I love this shirt. That's a girly girly shirts

Speaker 2:          00:27          that is a girly girly shirt. I love what's going on here. Okay, so I had you on about maybe a year and a half ago or so, you are the only person in the history of the Ruben report that you caused the tear to to formulate in my, I think you know exactly when it happened. Yeah, so before I even let you say anything, we're throwing to the clip.

Speaker 3:          00:49          We only take care of freedom and preserve it to the next generation. And I am doing my part as an American, as a brave American and the home of the brave to make sure I follow in the footsteps of our founding fathers. And do my part as they entrusted me with that which they have created. I feel it is my duty to make sure to preserve it, to pass it to my children and their American children and many generations to come. That's why we fight. And I am so fortunate that through this fight, and it is a fight for freedom, for liberty, for democracy, for security, for human rights. I am privileged to meet the most amazing people that I would never otherwise meet, like sitting here with you today. Uh, and meet friends that have become lifelong friends, literally like family to me that I would never have otherwise met if it wasn't doing for what I do.

Speaker 3:          01:47          So do I get depressed doing what I do? Talking about terrorism and national security, of course I do. I'm human like everybody. Sometimes I cry. Sometimes I'm completely depressed over things that are happening. Sometimes I hurt deeply by people who stabbed me in the back or say bad things about me or even reading my Wikipedia profile. But what keeps me so energized is the American people and the American spirit knowing that we are making a difference. We are growing, we are changing our country, we are fighting, we have a purpose. So when you and I die on our death bed, we can look back and we can say I made a difference as we take our last breath and that's enough for me.

Speaker 2:          02:26          That is how you end an interview. I mean that's it right there. That was, that was like your opus right there.

Speaker 3:          02:32          Well because I spoke from the heart and when you speak from the heart, your message resonates with people. And this is exactly why people like you and me are having such traction with a lot of people who are saying we love what you're saying. It's about time that somebody will say the things that you are saying, our message is resonating. And you know why people want something genuine and they can tell, you know, I always tell my children, the one thing you can never love, you can never fake glove. Pico people can tell when you're genuine. And in a world that we live in today where everything is fake, everything is about social media and how things appear before the camera and and, and what's in it for me and I'm going to be your friend because I'm going to get something out of it. When people look you and I put our life on the line because of the conviction that we have about the truth that we are speaking and why we are willing to go to great extent to just fight for that truth. It resonates with people. So I couldn't wait to be with you today. This is great. Why do team,

Speaker 2:          03:35          did you always have this kind of passion? I mean when you were on last time we told or you told your your whole life story, which is absolutely fascinating. If you want to get me just like a, a two minute recap and we'll link to it down below so people can watch the whole thing if they have it. So you want to give me a little recap on that, but I also want to know where your bat, that smile, that joy, that presence, where does that come from within you and did you always have that?

Speaker 3:          03:57          I love life and I am so passionate about life is because I lived from the age of 10 till the age of 20 waiting to die every single day. So every single day in my formula, two years when I opened my eyes and I saw sunshine outside, I didn't know if I'm going to live to see the sunset. So living in a bomb shelter, you know, people ask me where the special comes from. My nine 11 happened to me in 1975 when radical Islam is to blow up my home, bringing it down, bring me under the rubble, wounded. I ended up in a hospital for two and a half months and later when I came back home, my home was no longer the home I left. I ended up living in this bomb shelter, eight by 10 room underground, no electricity, no water, and very little food. And that's where I lived for seven years of my life, robbed of my youth, barely interacting with people, barely interacting with people my age.

Speaker 3:          04:57          I lived with my parents who were an elderly couple in that bomb shelter. So all this, uh, uh, cooped up passion. Now I tell people I'm making up for lost time. So I love life. I'm so grateful for life. I'm so grateful for the people I meet, the places I go. I never thought I'd live the day beyond 20. And then I never thought I'd live a day beyond 30. And here I am, loving life. I just turned 54 years old. I'm so proud to make it secret somewhere. Thank you. Thank you. When, when you have survived, as long as I have survived, you brag about I made it to this day, uh, at this age. So this is why I love life.

Speaker 2:          05:38          So we're going to link to your, our original sit down and your whole story about growing up in Lebanon and all that so people can watch out if they haven't seen it. Um, but not everybody likes you. And I remember before I had you on the first time, uh, you know, when people Google you, and you even referenced this in, in that clip we are talking about, you know, if you check your Wikipedia, people say all sorts of awful things about you and all this and I was a little worried. I was like, ah. It's like I'm going to have Bridgette on and I'm going to get hate for it and all that. Now I'm really past that part of life. Now I just want to do what I think is right and I want to sit down with people like you and have those conversations. Um, but are you shocked at the kind of pushback you get for defending the west and defending Judeo Christian values?

Speaker 3:          06:20          I am no longer shocked. I was in the beginning I was very hurt, very disappointed. I thought my message, of course the west is going to resonate. It's going to resonate in the west. People are going to appreciate why it's important to fight for freedom of speech. I was born and raised in Lebanon and a country where if you stand up against the status quo and you speak against the regime, you are killed. They come take you in the middle of the night, killed you, you'll disappear. You don't, you'll never hear from you again. I still have friends who disappeared 30 years ago. Their parents don't even know if they are alive or dead. Journalists in my country of birth and Lebanon get killed for writing the wrong thing. So when I came to the West and when I started speaking in defense of our freedoms and our values and our way of life, and the American values of, of, you know, standing up for the truth and speaking the truth without having to be worried about somebody killing you, I could not believe people will, will come against me like that. But you know what? If you don't stand for something, you know,

Speaker 4:          07:23          yeah,

Speaker 3:          07:24          you have to stand up for what you believe. Those are the people that make a difference. And usually people that make a difference in this world are not popular. The most hated people in the look at Churchill. I mean, you know, when he was alive, you know, people hated him. They thought, oh my gosh, you know, look at him today people, people call people that have spoken such words of wisdom. But people laugh at them when they were saying them. And so here we are today, we stand up and we fight. And it doesn't matter what people say about me, I do what I believe is right because I believe we are on a mission to save Western civilization, which is under attack right now. And I'm willing to do my part to make it happen

Speaker 2:          08:01          is part of the problem of the West now is that we don't have enough stories like yours because we've had it pretty good in the West for the last, you know, 50 some odd years. Certainly in the United States. We've had it pretty good here. So we've sort of gotten fat and lazy on freedom. We don't know what we're fighting for. We don't know what are the generations before us lived through. You lived through something. So then you come here and then you see all these people that are slowly eroding their freedoms and you're like, Whoa, I know what this, where this leads

