Speaker 1:          00:00:07       Bikes with them.

Speaker 2:          00:00:15       All right? People were alive on the Youtube and I've got the sage of the alt right without the rain, without the rage. Payroll Age, without the rate of the Ri. Ben Shapiro, welcome back as gun. All right, we've got a lot of things to talk about. I want to cover a ton of new ground. I read your book over the weekend. You have a new Prager u video going up. You're still doing this daily wire thing and a thousand other things. So we got a lot to do here, but let, let's just start with this. All right, nonsense. Um, I hate that we even have to talk about it. It's so freaking stupid, but this happens to be the world that we live in at the moment. So about two weeks ago or about 10 days ago or so, uh, the economists did an interview with you. Uh, I assume that was by the phone probably originally. Yeah. So you did a phone interview with them and they, they're really nice. The interview, by the way, I get a yes, you read the transcript. It's perfectly nice. A little bit adversarial, but that's good. That's fine. They usually are Shapiro. That's how it works. Right? Like the interviews themselves and the thoughts usually stand on their own. Anyway. They, they published this interview and what was the title?

Speaker 3:          00:01:15       It was called the [inaudible] Shapiro. The outright sage without the rage, which is wrong. Then at least a couple of scores.

Speaker 2:          00:01:21       Any half the media tries to portray you as if you've got this evil rage within you all the time. But I thought that was funny on it, which is weird cause you met me and him. I'm fairly calm. This is really all the time. This is about as rage as it gets right here. Yeah. So, okay, let's put aside the rage part. The Ot right. Parked and just what the media is constantly doing. So, okay. So after you publicly then shame them forward and everybody jumped on board to, to defend you. Um, and you know, all these things got thousands and thousands of retweets. Eventually they did a printer retraction. They apologized. They apologized and they, you know, they appreciate [inaudible] where basically they just said, oh, he's not part of the alt right, and it's like, well, what just happened here? Right. You guys just said he's the sage of the, all right.

Speaker 3:          00:02:04       There's this thing called the Google machine. Yeah. If they had just typed in my name with all right, they would have seen probably the first result is a piece I wrote for The Washington Post in 2015 talking about how evil the alt right as if they, I mean it was a review of the book. I mean in the book which you have read, I referenced the alt right I think three or four separate times and talk about how terrible their ideas are and how evil their ideology is. No white supremacy is gross.

Speaker 2:          00:02:24       The whole point of the book is that you're trying to show people the clean way to think there was sort of right way to think so that you don't fall prey correct to those things.

