Speaker 1:          00:05          [inaudible].

Speaker 2:          00:10          All right. First off, king, we just did something that we've never done on this. We stopped for a moment so that Alexis could bring you a chocolate shake in the middle of the show. Normally, normally someone with diabetes and heart should not have a chocolate milk. However, I've lost weight and I don't know why they say it comes with aging. I have, I try to have a daily milkshake to not lose anymore. Yeah, that's a, that's a little call back to Brooklyn, right? Oh yeah. We had malteds too where they put Maltin. Yeah, the candy store. There's no candy stores anymore. There's no case. Well, now they've got like, you know Beverly Hills Super Deluxe Fan by a candy eye. Candy. I put a jukebox and you sit in. I have agreements. Yeah. Well let's talk a little bit about age. I guess it's a little weird to talk about.

Speaker 2:          01:01          At some level. You are 84 85 in November. Okay, so you didn't believe it. My father died at 46 I've had every known disease. I can't believe it. I can't believe I'm this age. What does it, what does it feel like? I mean you've, you've had a couple of heart attacks. Are these your diabetes? A couple of things and you're still here. You're doing your thing, you're out and about every morning I bump into you half the time I think that, uh, it's, the reason I'm around is that I have a purpose. I, I'm amazed that people who retire as Milton Berle told me once when I asked him, are you going to retire? And he said to what would I do if I get up in the morning? I had nothing to do. That's terrible. So I have a place to go to follow my profession.

Speaker 2:          01:55          That's wonderful. If you can keep that going, I'll probably die on the air or someone else. What would you like? You really want to increase my youtube views right now came from, yeah. What would you like your obituary to read? And I said oldest man who ever lived passed away today in his sleep with a smile on his face. But you still get a kick out of everything. I know it. So wait, just real quick, tell, tell everybody a little bit about, you have these breakfasts with your old crew. Well, some of them have passed away. The guys I grew up with in Brooklyn, but we have a crew of about five or six. We meet every day at different places and we attained to David. We solve the problems in the world today and we solve the rack audience. No worries about Iraq. The table solve the closely through jokes. We do all the jokes and we talked about people getting in arguments. We talk about Israel, we talk hearings, who's this, what's this senator doing, what she doing? And then we also discuss Sinatra and old time musicians and who's doing what and what Barbara Streisand make on her last tour. And so we never know where the discussion is going and that's the wonderful, and when you were going to have friends from childhood, two of mine have passed away, but I still have two others.

Speaker 2:          03:29          The best thing about it is I'm not Larry King. I'm Larry to soccer. That was my birth name and they're very happy for me. But I'm still a button, the button on your shirt, you know what I mean? They, they don't treat you like anything different. What's it like as somebody of a certain age now where you know, you just mentioned you've lost some childhood friends. Your brother passed away just last year or so months ago. Yeah. Um, just watching life turn in that way. That's the sad Sinatra told me once. The saddest thing about aging is your friends go before you. I didn't want my brother to die before me. He was your younger brother, right? Yeah, he was 80. I'm, yeah, he was 80. Yeah. Is Hard. It's um, cause I don't believe in an afterlife. I'm not religious. You think this is it that baby. That's it. I've never, I've interviewed thousands of people, people who said they've seen death and all this, I don't buy it.

Speaker 2:          04:36          I may be a little, I don't buy it. I just, it just makes no sense to me that Lincoln is up there or that there's someone up there looking down on me. I am, I went to my grandchildren's, they're twins, boy and a girl. So they had a bot and a bar Mitzvah. And for the first time in ages, I read from the Old Testament that God, he's the work. Huh? Son of a bitch cheese. Did he hate it? Rocked my enemies. Lou Out to show me one good pen. My God, believe in me. Above me. He was vain. Incredible. He was a Donald Trump before there was a Donald Trump believe in me above all others. I am the, I can't believe it. So when I read that I couldn't believe it, so I can't buy it. I've interviewed all the great religious leaders except pope. Yeah. I've never been convinced.

Speaker 2:          05:34          So when you, when you've sat down, I mean you've sat down with everybody from the Dalai Lama across the board with Billy Graham was a friend. Yeah. So when you sat down with them, even if you don't believe it, did you feel that some of them were able to get something out of belief? I believe they believe, unless there was some phone, these, you know, sending $10 and I'll send you a little cross. I don't buy any of that. Sat Down with some of those guys do. Oh yeah. Jerry Falwell since as George Burns once said, when he played God, it's a great movie, great movie. And he gathers all the religious leaders and he calls in a Jerry Falwell type and the fall type. Go See, call me in. First goes up to his room, sits down, and God says to him, why don't you sell shoes?

Speaker 2:          06:26          So I never, I never bought that part, but I, I liked Billy Graham, respected them. Billy Graham thought I was very spiritual. And do I believe in Billy is with Jesus now? No. But bill, he believed that he believed he was going to Jesus. He had not been, have a fear of death. He had a fear of being in a plane that's gone down to crash. But he didn't fear death. I fear I don't, I don't. I'm like Woody Allen. I don't fear it. I just don't want to be there. Uh, I can't go. So my wife believes I respect believer's. See, when I approached an interview with Billy Graham, I respect him. I asked him the best questions I could ask, like, why do you need to stay at the Fontainebleau or as I've called her, Lenny Bruce Timm, any person who's got a calling from the Lord to lead the flock who has more than one suit while someone has no clothes, it's a copout.

Speaker 2:          07:27          And Billy Graham said, in today's world, you have to have more than one scene. You have to travel. I asked him if Christ Jesus probably had one pair of flip flop, the crease would, would Christ, would he buy suits? And he said yes, and he would go on television. That was the means of communication. I mean, that's their answer, but he believed it. I respected his belief, but I'm not afraid to ask them any question if when you die, if you believe in Jesus Christ, you will live forever. What happens is the Jews, and he said, well, I, I don't go into them, but maybe at the moment of their death they accept Christ. That's kind of a cop out. There's always sort of another answer. Right. Did you ever talk to anybody, either religious or otherwise, that you felt had some sort of special insight into something?

Speaker 2:          08:22          Well, I have this doctor on who was convinced that he had died, visited what the world of afterlife was, and then his life was saved. He was a recognized doctor, knew what disease he had. I threw it up to a vivid imagination and he got a bestselling book out of it. People want to believe, you know, I wished that I had faith that I could make. It's called the leap of faith. You can't prove it. So it's a leap of faith. Now we have faith in a lot of things. You get on an airplane, you have the faith that that airplane company hired a licensed pilot I punched. You have some core of belief that you think that you, if you jump out of the 10th floor of a building, you're not gonna make it so you don't Trump the people who have that faith who go beyond.

Speaker 2:          09:20          I just think they've got a great crutch, Greg Crutch to know you're going somewhere, but at the end, do you think it matters if they, if they live a good life and you live a good life? First of all, they never to know. Yeah. If they go somewhere they were right. If they don't, they don't know cause they did. So they got a good deal going. They really have a good deal. I don't have an Amish. If I've got an afterlife, I'll be shocked. Yeah, but you'll be doing this. Oh, I will. Absolutely. Or maybe you'll be playing baseball up there. I'm not that good. That good. Um, let's talk a little bit about politics. You mentioned Trump. We did about 40 minutes. His name didn't even come up once. First Time in American conversation that any two people had a conversation for 40 minutes and the name Trump than not.

