Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          We're continuing our partnership with learn liberty today and joining me as an author and associate professor of Philosophy at the College of William and Mary. Chris Fryman. Welcome to the Rubin report. Thanks for having me. All right man. We're going to do philosophy for an hour. Are you ready? Sounds good. Yeah, you are prepared. I feel the jacket, shirt combo. It's very philosophy. Give me the Rubin. That's what this is my Tyler came up with. All right, let's talk philosophy because I think one of the things that I try to do on this show is I talk about philosophies more than people, ideas more than people. And it seems to me we live in a time where we don't do a lot of philosophy and ideas stuff. Well, and I guess that's maybe why, why people are watching this. So let's do a little philosophy you want to one with you. Give me just some of the basics of what people should understand about philosophy.

Speaker 3:          00:52          Okay. Well, yeah, that's a great question. How's that for an open ended question? Discharge? Uh, yeah, something might take the hour. But uh, yeah, so I think, you know, at the fundamental level philosophy is about challenging assumptions. I think one thing that makes philosophy different from other sorts of academic disciplines is that you can't really take anything for granted. So when you're, you know, doing philosophy, you have to justify why killing people is wrong. For example, why feeding the hungry is good. And all of these things that we take for granted at the level of everyday life philosophy calls into question. And I think that's really important. And so the kinds of philosophical questions that I'm most interested in are ones having to do with moral right and wrong justice, injustice, the moral importance of economic equality, these sorts of things. Uh, and also the, the ethics of public policy.

Speaker 3:          01:44          So for example, one thing that non philosophical disciplines can do is make predictions about what a given policy is likely to do. So we'll opening the borders lead to higher unemployment, higher GDP, something like that. Um, but all things considered, they can't really tell us what the right thing to do is. We say, okay, suppose it turns out that opening borders will slightly increase domestic unemployment, but it also will mean that a certain workers and the developing world will see their incomes rise by 300%. For example, this leaves open the question of what should we do? Is that a trade off that we should make? And that's really what philosophy tries to answer is what should we do? All things considered.

Speaker 2:          02:26          All right, so in a little bit we're going to get to some of your moral philosophies that you care about, an economic philosophies and, and uh, immigration and a bunch of other things in just a little bit. Uh, but first I'm curious, what got you interested in philosophy in the first place?

Speaker 3:          02:41          That's a good question. Uh, so I think it was doing philosophy before I realized I was doing philosophy because arguing, let's say good natured arguing was the family tradition in my household. So ever since I was a little kid, uh, you know, my parents and my sister and I, we would argue about religion and in these sorts of things, right and wrong, the economy. And when I got a little bit older, I started reading things in philosophy and economics, columns, articles and things like that. And I realized that there was this kind of formal discipline called philosophy where you could argue about right and wrong and justice and injustice. And if you were very lucky you could get a job doing this. If I get paid to do this, not a lot. Not a lot of jobs, not paid very much either, but it's kind of like saying, you know, you can get paid to eat ice cream for a living. I thought, okay, that's, that's a pretty good gig if I can get it. And so that was kind of the start of the trajectory into philosophy.

Speaker 2:          03:34          Yeah. You know, it's interesting because I came from a very similar family in that regard where we argued about everything from economics and religion and all of those things. And I guess perhaps if this is what led you here, it's kind of what led me here as well. But we're missing that these days. Don't you think like that must infuriate you as someone that cares about ideas. When you watch the news and watch all these people that are, aren't arguing from like a principal position or something like a, a philosophically thought out position, but just from like a party place or a partisan plays must drive you nuts.

Speaker 3:          04:05          It does. It does because right. I care about ideas. I care fundamentally about good arguments. So this is something that I hope happens to my students in my classes is they come in with a set of preconceptions. They have, you know, their partisan political beliefs. Everybody does. I have my partisan political beliefs, but I hope we can try as hard as we can to just focus on the arguments then critically and maybe change our minds even if it means admitting that we were wrong or uh, you know, finding out that we have different political or religious beliefs from our friends. We should really just follow wherever the arguments lead us.

Speaker 2:          04:40          I actually like it when you find out you were wrong on something. Cause when I've had the moment on this show and the, and the most famous one is when I had Larry elder in here. And he just kind of beat me senseless with facts and we've since become friends and he was on just recently. And I loved the guy that it was scary in the moment. Like sitting there in the moment of being beaten is not fun, but afterwards when you go, Whoa, that's what it's about. It's actually pretty cool.

Speaker 3:          05:04          Yes. So I don't like, like you said in the moment, I don't like being burdened by, cause I got a couple of things I'm going to play pretty good. Nothing was, yeah, yeah. But, but long term, I think that's right. It shows growth. And the funny thing is that what are we afraid of when it comes to changing our minds and admitting when we're wrong? What's really the harm in that? And I really, I like the process of arguing it's, you know, a form of recreation or something, like a form of exercise. Um, I think, I think it was Edmund Burke who said something like, the person who challenged my adversary is actually my best friend, or something like that. So the person that is willing to argue with you in good faith and genuinely cares about getting at what's true rather than what maybe confirms their prior political beliefs, that's, you know, that's the person that I want to hang out with us. First. I want to talk with

Speaker 2:          05:51          one of my best friends growing up. Uh, his name is Arie Greek. So he was willing to Greek philosophy and all that, and he was my sparring partner for them from, from literally from 12 years old until, well past college. Even now. And we ironically, we actually agree more now than ever before, which is sort of weird because we both had sort of reverse, uh, philosophical journeys or political journeys, but that's actually what it's all about. So tell me a little bit about some of the philosophers that have affected you.

Speaker 3:          06:18          So one of my favorites is probably John Stuart Mill. So he was a classical liberal. He, uh, so here's what's known as a utilitarian, and this is a moral theory that essentially says the right thing to do is the thing that has the best consequences. I think that produces the most happiness for everybody who's affected. I find that view attractive and moral philosophy. But he was also, he was a classical liberal politically. Uh, he was a big defender of free speech, a free discussion in particular. His book on

Speaker 2:          06:46          Brady is probably the single greatest defense of freedom of speech. I travel with it, you know, I'm on tour right now. I travel with it. It's a thin book. Everyone should have it under your pillow. But yeah, that's about it. Yeah, that's right. Yeah. So what, okay, so you mentioned classical liberalism. Okay. Everyone knows my feelings on this. Do you see any meaningful distinction between classical liberalism and libertarianism at this point?

Speaker 3:          07:09          I think that libertarianism is probably a bit narrower than classical liberalism. So, but this is a matter of debate. I don't have a very firm opinion on this, but when I think of a libertarian, I think of somebody who says the state should do the following three things, have a court system, have police force, um, and maybe enforced contracts, something like that, no more, maybe some kind of very small social minimum, uh, Milton Friedman negative income tax type thing. Whereas I think classical liberals are more friendly to a, a more active state. But I would also say that I'm happy to say that Libertarians are a part of the classical liberal family.

Speaker 2:          07:48          Yeah. It's funny because, uh, I had done Boudreaux and here are a couple of weeks ago talking about this and I fall on that path where the more I go down the libertarian roots, I really liked. I like that line of thinking. I still think there's some utility of the state, but I think the more that you have these conversations, for me, I'm finding it harder and harder to defend anything related to the state. Which is it, I guess I'm taking a philosophically fair approach to this because I'm taking in new information.

Speaker 3:          08:16          Yeah. Yeah. I, I'm, I'm the same way. So I think that the, the best arguments for something like classical liberalism or libertarianism is just the pervasiveness of government failure. So, you know, you look at where actual government money goes, not just not in theory, but in practice where it goes, um, what sorts of groups are advantaged and disadvantaged by the state? I think that the government just doesn't work very well. And so the same reasons why we don't want the government producing food, for example, are also reasons why we might not want the government and the business of say, running schools fools.

Speaker 2:          08:50          Right. So do you think it would be fair to say that if it ran well, if this thing was a slim operation

Speaker 3:          08:56          and it was financially sensible and we had people of good moral character in the government and the rest of it, but you'd actually have no reason to be certainly a libertarian and meet perhaps even a classical liberal, you might actually be more of some sort of big government democrat or something like that. I think that's right. At least from my perspective. So, as I said, I'm a fan of mill and utilitarianism. The idea that the right thing is the thing that produces the best results. And so I think in a world in which the state was run by angels, very wise people, very benevolent people, and it produced good results. I would be happy to accept a, a big activist government or regulatory and redistributive state. But I think that are very powerful reasons for thinking that that's not the world that we live in.

