Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          So let's talk about some of the specifics here. So I wanted to go to one that I think we disagree and I thought I want you to, I want you to make the most compelling case that you can, uh, this open borders stuff. Yes. So you're not, you're not a, I'm not an open borders guy. This is a, I'm not a crazy borders person or whatever that means. I don't, I don't think, I don't think there should be no immigration. We are a nation of immigrants. Uh, that's what's made this melting pot. I think the greatest nation in the history of the world, that's given more freedom to more people than, than anyone ever. Um, but the open borders situation, especially now in 2018, 2018 strikes me as particularly tenuous, but take it away. So I think one thing to keep in mind is what exactly, uh, an advocate of open borders is arguing for.

Speaker 2:          00:49          So I think most so open borders is maybe a bit of a misnomer. It's more light. Borders are porous borders or something like that where, so the idea wouldn't be that there's perhaps no checkpoints are no restrictions on immigration, just very few. So I think most open border folks would be happy saying that if you are a wanton violent criminal, that might exclude you from integrating if you have some particularly deadly contagious disease and so forth. But other than that, uh, sort of ordinary, peaceful migrants should be able to come to the United States. So as far as the, the argument goes, I think they're really two strands. One is just that the, the economic benefits of immigration are huge. So the most optimistic estimates say that we could potentially double worlds GDP by opening borders. So we've done a pretty good job, uh, opening up trade.

Speaker 2:          01:37          We've done a much worse job opening up borders, but in terms of the productivity gains that it would be incredible better than anything else we could do a, and this goes back to what I was discussing earlier with our obligations to the global poor foreign aid doesn't have a good track record and military intervention doesn't have a good track record. But allowing people to move from places with low wages to higher wages is by far the best antipoverty tool that we have. So if we were going to get into the nitty gritty, it's never that, what do you actually have to do then to secure the borders, right? Cause that's really where there's about. So even if, if you make every economic argument that I'm like, all right, I can't wiggle my way out of that. Right? Like if I'm on board that you still have to do something to make sure that you're doing those things, making sure that murderers are coming in and all of that.

Speaker 2:          02:22          And we don't seem very good at that. Right. And I think maybe that's the leap that gets me to where I can't make the secondary part that you're talking about here. Yeah. So I'm not sure about the policy specifics. I mean, something like the old Ellis island system seems pretty good. I mean, we had a ton of immigration, um, back then, but there still was some kind of a checking mechanism. So as far so, I doubt that that involves building a wall. Um, but having some kind of, uh, you know, centralized location where immigrants can come and get documents and things like that seems, seems pretty reasonable. Uh, but that's probably the most I could give you on policy ideas. Yeah.

Speaker 3:          03:01          Right. So then when you go over these borders, then your gut, you would want these people to be governed by the laws of the place that they were in,

Speaker 2:          03:07          right? That's right. Yeah. So, so I would be happy to write, uh, an allow ordinary, peaceful migrants to come in, uh, and then apply for US citizenship. Just, you know, uh, make it pretty easy to do that. Right.

Speaker 3:          03:21          Is this still a tough one for a guy that doesn't trust the government that much? Cause that's what's ringing with me here. And when I've heard this argument, it's like, all right, wait, if you don't trust the government, well then why do you think the government would be able to vet people properly? Especially because we now see what's going on in Europe where they've vetted people very poorly and I've had very porous borders.

Speaker 2:          03:40          Yeah. So this might, yeah. So I, I dunno, I think that will fear a skeptic of the government. So presumably you're a free trade advocate. You like to get across borders. You wouldn't be happy with governments, micro managing trade across borders because you're a skeptic about how well the government works as am I. And for the same sorts of reasons I am skeptical. So I think if you're worried about the government working well, that's all the more reason to get it out of the immigration regulation business. So it might, I think I'd probably rights, there's a bad job of a lot of stuff, almost everything. Um, and so the standard here is not going to be perfection, but just what's the best alternative? Heavily regulated immigration or lightly immigrated regulation. And I think all things equal, lightly, lightly regulated immigration will probably be better. And let me give you another argument too.

Speaker 2:          04:27          So this again is maybe a more libertarian, classical liberal argument for a immigration, but it just seems like people have a right to, to move across borders. So, for example, if, uh, you know, I dunno, uh, this table for example, we're divided by some kind of border and I said, well look, I want you to come over to my side and rent my house from me or work in my business or join my religious congregation. And you said, okay, I do want to do those things. And we both agree on this. We, we agree on the terms. And then the state sort of intervenes is a third party in this. Um, what this philosopher Robert knows it would call a capitalist act between consenting adults. It seems like they would be violating our rights to associate with one another on free terms. And so I think there's a reason to think that a border controls violate people's natural rights.

Speaker 3:          05:21          Is there also some inherent problem though that, let's say most of the western societies, the freest societies got on board this? Well then they would end up being flooded with people where maybe the economics don't work out. Because if we just say, I mean if you think about it, like if tomorrow we were dressed like all right everybody can come and you just, as long as you're not a murderer, you know drug dealer, you're good to go. That there must be so mechanistic theory here where we're going to let in a certain amount of people that your economics are going to work out and then we're going to get to some odd tipping point where because freedom is pretty good, people are going to want in on it.

Speaker 2:          05:56          Yeah. So I, there are a couple of things to say. So one is just if we, I think that problem to some extent would be self correcting. So if you think that a lot of the pressure to migrate is economics. So people are moving from low wage countries to higher wage countries, all as you have more and more people enter the high wage, higher wage countries, this would increase the total number of workers, which would probably start dropping down their wages until you would probably see less motivation to move. I think that's one thing, but as a, as a concession to this worry, what I would say is, well, we can do it slowly. So for example, if we're really worried about these are facts of dramatically increasing immigration overnight, what we could do is just say increase, see the limits on immigration by, I don't know if 10% every year or something like that and take it slowly and see where it goes.

Speaker 2:          06:41          We wouldn't have to push the button, open the borders overnight if we have this worry. Yeah. What do you think is philosophically the, the soundest way to deal with the people that are already here? Uh, I, yeah, so I am an advocate of the view that you don't have an obligation to obey unjust laws. And so I think that our immigration laws are on just so I think people who came here, uh, even against current immigration law, I think they should just MSD full citizenship that, that would be my approach to that, Huh? Yeah. All right. We're not quite there. [inaudible] that's what it's all about. So let me ask you this. So your eye, it's a, you're not a fan of the drug war? No. No. Okay. So suppose we have somebody who, uh, I don't know, is in jail for selling marijuana or something like this.

Speaker 2:          07:26          Um, and then suppose that, uh, yeah, so they're breaking was a citizen of the United as a citizen, but who broke say current immigration earn not immigration current drug laws. Yeah. Uh, do you think that they violated some moral obligation that they had, uh, not to break us drug law or do you say, well what good was it bad loss or they didn't do anything? Well, partly I think it would depend on the specific offense. So, so whether they were using drugs or selling drugs, I would see a distinction there. So if there's someone that, and there are people that are in jail for using drugs right now for using pot, I think those, those laws are unjust and I would want to do everything I could to reverse those laws and reversed the, the, uh, prison system, the justice system and all that. As far as the dealers, yeah.

Speaker 2:          08:10          You can't until, until we fix these laws. And figure out what actually is fair and changed some classifications on marijuana and a bunch of other things. It's tough. I think it's tough. I don't think you can free drug dealers per se, even though you're, again, you don't think they did something that should be against the law. The people that are doing the drugs. I think you have a right to do with your body as you see fit. But again, but again, if you break a law you have to like, I would change the laws is what I'm saying. But if you break a law then you have to suffer the consequences of that. So does that do that all again? Well, the, I'm curious, I don't know. Forgive me for that. No, no, no. On this. But, so suppose you have a drug user who's convicted of this offense and they're, they're in jail, but suppose they can escape from prison.

Speaker 2:          08:52          Harmlessly um, do you think they would be doing something morally wrong by escaping from prison? All right, so this is a good little, all right. We're doing a little [inaudible] always my students. No, this is great. I mean, this is what it's about, right? So, okay, so let's say someone was smoking weed at home. Cops bust in there, thrown in jail for three years, year or two, they're going to pull the Shawshank and get out of there. Right? Do I think they're morally, the question is, do I think they're morally right for doing it or can that be morally justified? That's the question, right? So would we morally criticize them if they pull the Shawshank where they escaped to the wall or something like that and they don't harm anyone. They just, they just leave because they say, I was convicted of something that ought not be a crime.

