Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          All right, so let's do this. I want to do gun one on one with you. All the things that we should know about nuns and then I want to do the most common misconceptions about guns because I think part of the issue right now is every time something happens, every time there's a shooting, half the people don't know anything about guns. On one hand, half the people then give you all of those misconceptions. It gets it confusing for everybody. And even the people who I generally trust, I sense don't know exactly what they're saying. So I want to do a video with you right now. Every time one of these incidences happen and someone starts asking me this, asking me that I want to go, I've got the thing that I can point to with the answers. So let's do gun. What on one? What do we need to know about guns?

Speaker 2:          00:48          All right. First and foremost, ar does not stand for assault rifle. So when I say ar 15 that's not assault rifle does not mean assault rifle. And the assault rifle is a gun that is fully automatic, right? That means I pulled the trigger, I hold it back and an expense, all of the ammunition into a magazine. So that's, that's Jesse Ventura in Predator. Boom. Okay, that's a great guy. Love that guy. I can argue about, not going to say, I wouldn't mind owning again. Um, so okay, so that's automatic yet just hold it down and down. It will fire every round, uh, subsequently until it's completely out. Okay. Right. And does so at a very high rate of speed. Okay. Generally speaking, somebody automatic so that there's been this thing where people conflate this or use somebody automatic as a kind of a hyperbolic way of characterizing guns as death killing machines.

Speaker 2:          01:35          Right? Virtually every modern gun is semiautomatic. And what that means is one press of the sugar, you get one bullet versus holding the trigger down once and getting all of the bullets. Okay. So that's a great distinction right there. Cause often when this happens, you see people saying, we have to band semiautomatics semiautomatic. That's virtually every month. Yeah. He's just so it's not because all that, the only difference between that and uh, what I guess it's fully automatic stuff. Well, what's one that you're just loading one bullet in the that. Okay. So that would be a bolt action, right? So there's fully automatic semi automatic and bolt actions, right? Bolt action more. Uh, it was more aligned to like, like hunting, right, or high purpose, high precision shooting. And it's a bolt because it allows you to build the gun up in such a way where you [inaudible] at the tighter constraints within a gun and it allows you to be more accurate without certain mechanism moving back and forth, causing, throwing off the accuracy of the shot.

Speaker 2:          02:30          So you would say then that when, when all of these people come out and say we have to ban semiautomatics, that they are actually just flat out confused or intentionally conflating or a obfuscating what the truth is related to them? Yes, absolutely. And so it's either they're ignorant or they're doing a purpose for like you just stated. Okay. So what is the, so let's do some NRA stuff while we're, while we're doing this, what does the NRA stance on automatics just being able to hold and, and shoot. I mean the, it's currently regulated is the way it stands. Like right now there's this like in order to get an automatic gun, there's a certain process you have to go through in order to get them and that and that. It's been that way for a very long time now. And that's been that it exists as it does now.

Speaker 2:          03:15          Um, and that's essentially war where the stance is that fully automatic guns, what are people using fully automatic guns for? So, um, cause I think this is where you'll hear people go, well no one needs an automatic to huh. We'll see. Here's the thing though, it's the idea of putting it under the guise of a needing, right, their name another right. Where we use that same standard, you know, begs the question. It's so it's like, okay, you haven't fully automatic gun and you have semiautomatic gun shot, bolt action. There are different reasons why you would want each of these guns. Now I can delve into that. But then that starts getting into the very nerdy side of firearm ownership where they're enthusiasts aspect of that comes into it. It's understanding tactically why you would want certain things. And so for me, I'm not personally, I don't have a problem with people on a fully automatic gun.

Speaker 2:          04:03          Personally. I, I just don't see that as a significant danger above and beyond say owning a nuclear suitcase. Right? So if people tried to make that absurd argument to me before, it's like, well then walled true real other than, well that's because there's a, there's a cost benefit ratio that doesn't make any sense, right? The, that you just, that's inherently self destruction. So how was, how is that protecting you in any way from the very thing that you're supposed to be taking yourself against? Do you think there should be a higher threshold to be able to get an automatic than some of the other records you're talking about? Me Personally? Threshold in what respect? Like in terms of either hire back, graded background, Chang's or references. So let's, so let's talk about background checks for a minute. So there's this identity [inaudible] notion that we don't have background checks for guns.

Speaker 2:          04:49          We do. And the funny thing is we in the gun community, because I've become a victim of technology, and what I mean by that is people think that just because I can go into a guns if I really wanted to, I can go on gun store right now by gun within two minutes. Just like that. You can, yeah, because you've done all of the background stuff. See, that's the thing though. I'm still going under. I'm undergoing the same processes. So I go into a store, I find the gun, I like this gun. I said I want to buy this gun. I fill out the 40 four's a form 44 73 which asked me a series of questions. Then they take that information and they submit it to the FBI database and they do a background check. But it happens instantly because technology, right people, it's interesting because there's a lot of people who feel like I should undergo some type of CIA investigation before I buy a gun.

Speaker 2:          05:38          The same people who also hate the government. Exactly. Right. So when they, the instant aspect of the background check causes people who don't know very much about the process to think that there isn't one. Right. Just because I can buy the gun easily doesn't mean it was done thoroughly. You know what I'm saying? I underwent the background check. There's a system there, they checked it against the system. I don't have any felonies or anything that prevents me from owning a firearm. I'm allowed to buy the gun. Okay. So when people say there are, there are no background checks are background checks aren't tight enough or however you want to extrapolate that, is there any credence to any of that that that you can, so now let's talk. So I think what you're, what you're kind of going into is the universal background checks, right? So when they say universal back now they do conflate these terminologies.

Speaker 2:          06:23          There's universal background check is a very specific statement. It's not like saying coke, right? Cause people here universal background checks on all the, here's the background check part. That universal means something. And what that means is it's a requirement that on every single transaction you have to undergo a background check, even private transactions. Right? So right now in California, if I had a gun, right, I can bring a gun into California. Just can't carry it. But you were like, hey, you know what kinds I liked that gun you have, right? I want to buy from you in California. I can't sell it to you right now. What? Here's what I can do. I can say, all right, cool. When I get back to Texas, I'll transfer the gun to a gun store here in California, if it's on the specific list that allows you to actually own that gun. Right? Cause Cause California has a designated or exactly I stuff. Yeah. And then you would have to go to the gun store and then buy it right now let's say I decided to give you the gun anyway,

Speaker 2:          07:22          privately right now in this room. No one else is here. But you went on and I saw the, the gun. Let me shut the cameras, Huh? Yeah. Yeah. I don't have any plans on going to jail. But, and I sell you the gun, you and then let's say you have the gun, what is there to check against what databases that are check against to determine whether or not you got a background check for that gun now just completed two issues right now. Yeah, so, well if we did it on the DL there, there's no, there's no way. And that's what the whole concept of the universal background check is. It is to require a background check for every private transaction. Now, legally, right now I can't do it, but like in Texas I can sell a gun to a friend and as long as I know he's not a prohibited person and I know he's not a felon, I can sell him that gun.

