Speaker 1:          00:00          [inaudible].

Speaker 2:          00:05          I'm on a one day break from touring with Jordan Peterson and joining me in studio today is a free speech lawyer and the director of the Individual Rights Defense Program at the foundation for Individual Rights in education, Aka fire are in code. Welcome to the Rubin report. Thanks for having me. That was a wordy intro. A lot of freedom stuff in there and that's all the stuff that I like. So I'm looking forward to this same. So you guys, fire as an organization is one of the few bastions of sanity these days. Like when I see what you guys are tweeting about and consistently defending the principles of free speech and free expression and open inquiry, I'm always like, ah, there are some good guys left. So first, uh, can you just tell me a little bit about the organization, why you guys got started, how you personally got involved? Well, we got started in 1999, uh, with a professor at Penn and a civil liberties lawyer in Philadelphia who were, you know, they both decided that there were, uh, there was a problem, there was an epidemic at our colleges and universities of the core individual rights that, that make up, you know, our, our constitution, if you will.

Speaker 2:          01:16          Um, as individuals, as people, as citizens of the United States, uh, broke being respected on campuses across the, the country back in 99 they nine. Yeah. That's interesting because a lot of people say this is just the totally recent phenomenon. Well, I think is, you know, a lot of it there, the political correctness movement of the eighties and nineties, a little bit, you know, that might've had something to do with it, but this has been a problem since the free speech movement back at Berkeley. I, you know, long before even the eighties or nineties, you know, censorship is an age old problem, predates the United States of America. Really? Uh, and as Alan and Harvey, you know, went about creating fire and they decided to locate it and like located in Philadelphia, which is the birthplace of our nation, they really got an outpouring of people saying, Hey, this happened to me too. Uh, and they said, well, this is, you know, this is a problem.

Speaker 2:          02:12          This is an epidemic. We need to fix it. And then fire was born, um, or, or lit, if you will. And uh, over the years getting close to 20 now, crazy enough that has actually just gone up every year more and more people reach out to fire for help. Um, you know, when I got to fire for the second time, I actually was a legal fellow at fire after I graduated from law school, before I started in private practice. Uh, but when I came back in 2013 getting several hundred case submissions a year, um, and now we are getting damn near close to a thousand a year. Wow. Credible. And that's just the stuff that we hear about. Can only imagine how much other stuff is going on around the country. For people who don't know that we're out there to them. Uh, or you know, people who perhaps go about it themselves.

Speaker 2:          03:03          It's, it's crazy to think about how much is going on. Yeah. So I want to talk about some of those cases and some of the specific work that you're doing, but foundation for individual rights in education. I am a believer right now partly because of Kanye West and because of a lot of people online right now that the individual is making a comeback, that the idea of the individual versus the collective is actually making a comeback. Do you have any idea when they came up with the name for fire, why it was so important to put the individual front and center? I think it's, you know, and I'm speaking, you know, out of some level of ignorance because I haven't actually discussed this with either of them personally, but you know, if I had to guess, it's because the individual qualities, the freedom of conscious, the freedom of speech for things that allow us to participate in society.

Speaker 2:          03:57          We don't get to the collective unless we have the individuals. One is necessary to have the other because what is a collective other than a group of individuals and consensus is a bunch of individual opinions that throughout the process of winnowing and debating different good ideas and bad ideas, we reach a common understanding. We reach a, uh, you know, in norm for society. And that's how, that's why free speech particularly is so important just because that's how we get to the optimal resolution, the optimal conclusions. That's how we reach these communal positions is only through our own personal expressions of what we believe, which exposes us to criticism or agreement or just flat out discussion with other people. So how do you think the ideas of the collective took root so much a college campus then? Well, I think there's the given take in society at large that we really go through every once in a while in terms of thinking about things as individualistic and then worrying about broader concerns of the community.
