Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today is the original king of interviewing, a friend, a mentor, a living legend, and a man who loves good Brooklyn Water Bagel. Larry King. Welcome to the Rubin report. No one ever I hear legend. I think one thing old. Well, and every time we've sat down, I always, I feel that I have to say living legend at the beginning because who are you are

Speaker 3:          00:29          like you are. One of the best compliments I ever got was Derek Jeter. Great Yankee. Now over the Marlins came over to me at the All star game some years ago and said, you, he said there were a lot of phony legends. You're a true luxury. Wow.

Speaker 2:          00:46          That's pretty good. Yeah. That warm my heart. And that's coming from alleging cause that guy care guys, the true baseball every too. Did you ever think that after all your years in radio, in Cable News now doing the digital thing, that you'd be sitting in a garage being interviewed like this, going out to hundreds of thousands and millions of people?

Speaker 3:          01:07          Well, let me tell you the truth. We're opening, this is the pinnacle of my career. If you'd have told me 61 years ago when I started, 61 years from today, you will be known around the world. You'll be called an icon, no living legend. And at the height of your career, you'll be in a garage with David Rubin. It's come full circle.

Speaker 2:          01:34          It's come full circle. You're killing me, Larry. David. But what does that, what does that say about just how everything has changed? I mean, the

Speaker 3:          01:42          only thing sure is change. The only thing constant is change. When I started in radio, we had land lines. Uh, went through a phone line. I did start in radio, did local television one year after I started ordering. Always did both. Always regarded both equally. Uh, I always thought of television as radio with pictures. We could be on the radio now. Yeah. But we released this as an audio. I know, but they don't have to see it. Yeah. Um, we could imagine, and he's radio is theater of the mind, but I always took it as just communicating. So I started in radio, then did local television, then the national radio and satellites. I was there when satellites were introduced. I never forgot it. I'm in Washington. The guest is in La and it feels like he's right there. Yeah, right there. It was amazing satellite.

