Speaker 1:          00:00          [inaudible]

Speaker 2:          00:04          joining me today as a student and activist and the director of high school outreach for turning point USA. Kyle, because you have, welcome to the Rubin report. Thanks for having me on. I am excited to have you here. We've met a couple times, we've done some events together. You are seemingly wise beyond your years. Nice. That's true. All right, let's get to it. Well actually, I mean in a weird way, I guess you've been, you've been sort of thrust into being wise beyond your years. You are obviously a, a survivor of the parkland shooting. Uh, as you know, I had your classmate, camera and Cassidy, I'm a couple of weeks ago and he kind of laid out, uh, what happened to him that day and subsequently everything that's happened. So let's just start there because that's kind of what put you on the map.

Speaker 3:          00:46          Okay. I'll sort of preface it. Um, I don't like try to, I don't like to refer myself as a survivor because I wasn't in the building that will shut into. And I think that, you know, cheapens the of pain and tragedy that people who were in the building. Uh, so what happened with me that day, it was fourth period. Uh, I was in, I was in my fourth period class, uh, and all of a sudden the alarms a ring. So we go into the hallway and we're walking out and we hear two, like two little, uh, pops. I don't know if two textbooks fell, no fire, fire works. I really had no idea. So we run back, uh, and I go and reach for, for the, uh, the door to my classroom and the, uh, the teacher locked it. So you go into a nearby room, we get in there and we just hide a for two hours straight. We just hear pops in ambulances. I ended up, so that was the freshman building. And the entire time we had no idea what was going on. Uh, and then all throughout the entire time people, uh, immediately or just villainizing guns. You know, the second we got a second I got out of the, uh, the closet that I was in. Kids are like, we have to ban any our fifteens

Speaker 2:          01:49          yeah, let's not jump into the political party cause it's interesting just listening to you hear about that. It's almost like the way you were describing it almost sounds like you weren't even there. Like it's just like a story that you were telling, you know, in a bizarre way. So once, okay, so all of this happens, you find out now they're, they're dead students. I mean, did you have friends who were killed? And

Speaker 3:          02:08          so we get it, we get out of the closet. Swat takes us out. They put their, you know, air fifteens and our faces take us out. We have to put our hands on the person in front of us walking outside and all throughout this, the most disgusting thing was every single corner of the entire block surrounding us was just filled with media cars. It was just like jam packed. And what I saw there was that whenever there was like someone crying or like a moment of pain, the media would just surround them in a capsulate them. Uh, and I, I got home and I was really hoping that this wouldn't be like a politicized spectacle with like mass, uh, you know, media jumping the gun to everything. Uh, and sadly that was the case. So when I was like sitting there in shock, seeing the numbers rise on the screens for the death count, it was like so insane to internalize like what it just occurred. Because like, everyone's always, you know, this will never to my school. How could this happen to my school? Uh, and the sad reality is it can happen with any school. Like, I mean, Stoneman Douglas was in the most affluent, low crime, you know, city I think in like southern Florida. And this happened at our school.

Speaker 2:          03:13          Did you know some of the kids that were killed?

Speaker 3:          03:15          Yeah, I knew one girl. Hold on. Uh, uh, she was in a class of mine year back.

