Speaker 1:          00:00:05       [inaudible]

Speaker 2:          00:00:27       not under the skin with Russell brand. My guest today is Frankie Boyle. Frankie, I'm really, really happy to have you on the show. I love you a bit. I think I told you in our email exchange that I saw a sensitivity in you that much belied and contradicted your public persona even when you were sort of more [inaudible] than me in the public sphere. I thought there's something about that man is incredibly sensitive and tender, so this is a suppose and disarming introduction is what I'm doing I think. I think it's pretty close to see who's most of telephone from the head by head. Yeah. I know with both had our fair share. Heavenly of public vilification. How do you do, do you feel like that you, now that you're back on, I mean do you still consider yourself to be back in the mainstream television? Not me.

Speaker 2:          00:01:10       No, not taller. Considered myself to be like less secure than ever. What did you mean that emotionally and personally or professionally or both but also professionally you just sort of think the minute you're kind of out and doing stuff in a very can amend stream field, the minute you step out say what's acceptable, you would just be completely destroyed. So I feel like I'm kind of dancing on the edge of a cliff or bet you feel that day when you're doing something like the autopsy or tv autopsy your are you centering yourself? Cause I had it for example, that monologue you did about threes in May on in fact a cliff edge and the gail, I thought one of the things I've had, my bad, you're right in is the poetry and your succinctness it conjuring images that are humorous. I potent and I've sort of thing.

Speaker 2:          00:01:55       Oh that will stick. That'll bark people that that has been said about him but now you do you find, are you centering the saying you're dancing on a cliff edge, do you feel it was that self censorship? I don't do it, but like there does it for me usually and a out like writing for the Guardian as well. It just ended up being like a real horrific, just trying to get prey common or garden stuff in there because I think if the education can education system can uh, please select for conformity. You know, that idea that you know, by the time you reached the top in any institution, you've already gone through so many pre selections for your conformist while you fill in the test where you turn up to skill every day, that everybody's a conformist, where like sometimes in entertainment I think that can appease leg for neurosis. So like if you're kinda going through several peoples what he's about, what other people might think, and by the time you were scrapped riches and they're just kind of freaking out about nothing. Yes, I think you're right about that. But there is a degree of neuroses and indeed sensitivity that is deeply prohibitive. But there's so about like the

Speaker 3:          00:03:00       creative process that is, it requires like a connection to what you actually believe. When we were corresponding for a little while and email like I'm member, we talked briefly about the idea, like my somewhat more romantic idea of the comedian is shaman and like accessing new realms of consciousness. And you said something about, um, that there was something about that, about describing of a world that you felt was somewhat dangerous and that what needed to be done with the frosted describe accurately the world are actually in. Was that just the past in Forza philosophy? Philosophical mainstay? Yeah, totally.

Speaker 4:          00:03:34       I mean, I, I think there's, in some of the most interesting ideas, there's a lot of, um, there's a lot of danger isn't there? The, you know, shamanism and, um, particularly quite shamans. There's a lot of kind of, Eh, how'd you mean? There's that whole thing of like cultural erasure and stuff like that. And us just being at that as we see it at the top of some tree where every, every idea in existence is part of our mid board for our personal philosophy. Can, it dictates against them
