Speaker 1:          00:00:00       Two three. Yeah, my name on it.

Speaker 2:          00:00:13       Hey, what's going on? It's bill burr and it's the Monday morning podcast for August 12th, 2013. How you doing? How'd you like that intro? Wasn't that pretty cool? That was actually, you probably go on the whole, who were those fine singers?

Speaker 3:          00:00:28       Okay.

Speaker 2:          00:00:29       Jesus Christ. That was the, that just human beings doing that by themselves. No auto tune was Kanye West. Dot. In there with a leather fucking skirt on singing about getting his Dick Schaap despite the fact he just had a baby daughter. Um, uh, fuck. One of my ears is ringing. I hate when this happens. Does anybody else have hearing damage?

Speaker 3:          00:00:51       Yeah,

Speaker 2:          00:00:51       come on. Stop ringing. Um, every once in a while one of my ears just goes, Woo.

Speaker 4:          00:00:59       Okay.

Speaker 2:          00:00:59       And then it fucking, you know, like some heavy metal singer from fucking decades ago.

Speaker 2:          00:01:06       Like say, remember your childhood, you acid wash jeans. Anyways, that was the, uh, members of a truth, that salvage company. Um, I got to know those guys. Uh Oh, it's getting no, through Busan. I met Deb drama, Bill Smith. I was out on a drunken night and he came over to me and he said, hey, hey, my name is bill also. Why don't you tone it down? You freckled cunt. And I had to respect them. No, I'm kidding. Um, they have a new album out called a pick me up that's available on iTunes and a new single called Appalachian hilltop. If you actually like human beings, if you like, if you'd like, yeah, if you'd like some sort of heartbeat in like your music at this point, you know, not saying that you guys out there on your designer drugs, eating each other's faces, watching some guy with a mouse head and your glow sticks is not a good time. You know, if I got sucked into heavy metal, you know, when I, when I was, uh, coming up in the 80s, if I was coming up now, I would fucking by probably be there.

Speaker 2:          00:02:07       I definitely would be. I'd sit dead jumping up and down in unison is that guy played his stereo, some club. Um, am I doing the thing that all old people do? I get fearful and I'm just trashing all the new stuff. I was reading something recently when, um, when airplanes first came out, actually, believe it or not, people sometimes I do read and I was reading this book about when airplanes first came out and, uh, this guy was pitching, we basically all we had, we had like, we had the army and the navy and that was it. And this somebody in one of those branches, cause I already fucking forget because every other word reminds me of something in my life. And I just start thinking, you know, Tom Sawyer got on a boat. I remember I got on a boat. Yeah. Maybe that digging in that Kid's pool party. And I flipped over and I got underneath and then my eyes keep going and like six pages go by and I have no fucking idea what I read. Um, so I don't, can't remember the guy's fucking name. And I think we just had an army and a navy

Speaker 2:          00:03:11       at this point. And this was, I know in the, in the teens, maybe the twenties of law, I'll just say last century as opposed to people try to confuse you and go the 20th century,

Speaker 3:          00:03:22       you know,

Speaker 2:          00:03:24       the 18th century, 18 hundreds was the 19th century. You got to do that. Fucking carry the one shit last century.

Speaker 3:          00:03:31       All right.

Speaker 2:          00:03:33       And he, he basically said to the army and the navy, he was like, hey man, like these planes, man, they're going to like change shit. And like, I don't know if you guys are going to be ready for it man. And all the old guard were like, Rah Rah, go fuck yourself if you got them Kleenex and your dental floss and your little lawn mower motor that you have in that thing and engine, right? Fuck you. What are you going to do to make my iron sides over here? So he's like, well listen man, like I don't really want to take it to that level, but why don't you pull one of your bad ass boats out? Damn. We'll bring her fucking planes over. See what happens. So they said, all right, so this sitting there laughing at him and shit and they got this fucking thing that's like sixth, I don't know. It's really thick and it's really hard to sick and they keep an AP little lawnmower fucking engines and they sank the fucker in like 12 minutes and there was actually navy admirals crying.

Speaker 3:          00:04:32       Yeah,

