Speaker 1:          00:06          [inaudible]

Speaker 2:          00:11          thank you so much. I appreciate the introduction and a real happy to be here with you all today. Um, so it's a privilege to come out and speak at Google and share my story and I look forward to giving you an overview of what motivates me to start this company and how I try to make a difference and all that I do here through this company, Purple Carrot and uh, look forward to our discussion. So I thought I'd start off today with an image of our four kids. Uh, it's not necessarily to ask you to Ooh, not how cute they are though. I do think they're pretty cute. I'm a little biased as their father. Uh, but you know, these guys really give me a ton of motivation and inspiration to succeed and make a difference in the world. And I think about the world that they're going to inherit and quite frankly, the world that each of us is going to be inheriting in the years ahead.

Speaker 2:          01:02          And it's pretty scary to think about what's happening right now. Uh, I see myself as an optimist. I'm usually a half full kind of guy. But when you look out and you read the news stories and you see some of the data, uh, it's enough to give you pause about what our future looks like. And there's some people that might say it's even too late to make some meaningful changes that could alter the trajectory of the way our planet is headed. But I'd like to believe that if we start acting together in a meaningful and deliberate way, there's a good chance that we can change the course of our future. Uh, I want to think about creating a great world for these kids to grow up in. And so, uh, this is my story. So I'm borrowing an image that, uh, was, I was reminded by from Leonardo Dicaprio and he was serving as the host of a new film that came out a few months ago called before the flood.

Speaker 2:          01:57          I'm not sure if any of you have seen that, but, uh, this picture really resonated with me. I was an art history major in college many years ago. And, uh, this is a, uh, image called the garden of earthly delights by Hieronymus Bosch. It was made about 600 years ago and it's never been more timely to take a look at this. So, uh, it's a very large tryptic. If we take a look at the first, uh, leftmost part of the painting, you see, it's a really nice idyllic setting. There's plenty of light. There's not many people. It's not overcrowded. Uh, people seem pretty happy. It's relaxed, it's open. It feels pretty nice.

Speaker 2:          02:38          As we shift into the middle panel of the triptych, you started to see things changing a bit. There's a lot of overcrowding. It's a ton of people. There is some partying, there's sex, there's drinking, people were having a great time. And, uh, it's starts to take a shift from the earlier stages that we saw in that image, uh, into something that starts to get a little bit like overcrowding and the situation that we might be living in today. And then at the end is we had to, the far right part of the image, you see, it's really decided to leave very dark. There's death, there's destruction, there's fires. Uh, there's a lot of concerning elements to this image. I think I can see an image of Donald Trump and the bottom right corner there. And it's just a scary view of what might be happening in our future. And a, for a guy that painted this more than 600 years ago, it's worth taking note to think about what this could mean for all of us in our future.

Speaker 2:          03:34          So as I, uh, I've heard in the opening, I spent a lot of my life in the pharmaceutical industry about 20 years promoting the value of western medicine and still strongly believe in the value that, uh, the drugs that are created in this country are great and can be life changing and life saving. But with all those medicines that are available to us today and all the awareness that is happening in our country, there's still some pretty scary statistics that are worth pointing out. For starters, 70% of us are overweight or obese. And that's just a shocking stat to see. Um, the way people are consuming food and the way they exercise or don't exercise to be in that type of situation. One in three of us are going to die of heart disease and that actually makes heart disease, America's number one killer and largely driven by the food choice that we make.

Speaker 2:          04:24          And on top of that, 50% of us are going to be diabetic or prediabetic by 2030 and these are three health conditions that are all chronic in nature and that all can be reduced or reversed by incorporating a plant based diet. But I think if we continue to eat the sugary, you know, me donuts and fried chicken and other things that are bringing a lot of uh, health issues upon us, things are not going to change environmentally. It's not much better when you look out and you think about 50% of our land is currently allocated to animal agriculture. And to me that just feels like an incredibly inefficient use of our land. And it's, you know, our choice to continue to raise cattle that is only raised for slaughter, largely raised for slaughter to feed our massive consumption of meat and dairy and these sort of oversized supersized type of appetites that people have developed.

Speaker 2:          05:23          Now if you're a farmer and you were fortunate enough to have an acre of land to work with and you decided, well, what should I do with that acre of land? And you said the heck I'm going to raise cattle, we can think about how a farmer's going to think about that product and how they could use that, uh, animal to make a profit and sell food into the marketplace. And the way they could use that product. And if you're efficient with that cattle usage in that way where you're raised that cattle, you probably get about 375 pounds of beef that you're able to sell in the marketplace. If you think that same acre of land, you can get 37,500 pounds of plant based food from the same space. So if you stop and think about the amount of hunger that is pervasive across this world and the growth of our population to be north of 9 billion people in 2050, we got to think about how we could change the way we consume food, how we produce food and the food choices that we make. They could be a redeploying some of our land and our precious resources to feed those who are so hungry. And so we need

Speaker 2:          06:28          from a water consumption perspective, the meat and dairy industry is associated with the use of about one third of all the fresh water on our planet. If you just stop and think about how much water is required to raise cattle to uh, continue to sort of move that process through the system, it's taking up a tremendous amount of very limited resource and coming out here to California, I think about that even more as the city. This state rather has experienced a tremendous drought over the last five years. Things seem to be getting a little bit better, but not a whole lot. And it's a concerning statement to think about how water is being allocated when it could be used in a far different way.

Speaker 3:          07:05          Okay.

