Speaker 1:          00:06          Right.

Speaker 2:          00:10          Thank you for coming. I'm impressed. Uh, and flattered that you'd come. Number one to hear me. And number two, uh, I mentioned to mark earlier, the world would come to a screeching halt without Google. I'm just pretty convinced of that. We are all so dependent now on Google so it's actually pretty have much of an honor to be here to talk to you. What I want to do is talk to you a little bit about the work we're doing at the university and we have a research center there. And I want to share with you some of what I think is important for organizations, for leaders and maybe for parents and friends and colleagues even that is a, I want to talk to you about the power of and the importance of positive leadership, positive practices, positive dynamics for individuals and for organizations. So, um, I want to have you think about align across this slide as representing a deviant continuum now in English that we're, deviants has a negative connotation.

Speaker 2:          01:18          So normally deviance means you're in trouble, you're doing something wrong. If I call you a deviant, normally a criticism, but deviants just means an aberration from the norm. Unexpected, not normal behavior show. There's several implications of thinking of deviants on a continuum, so you can think of negative deviance, but you can also think of positive deviance. Several implications, one of which is all organizations exist to eliminate deviance. The reason we organize just to eliminate unexpected abberant not normal behavior. So mark stands up, everybody stops talking, everybody looks forward. We organize, otherwise it's chaos. We can't get anything done. Show all organizations aspire by definition toward the middle of that continuum. That is, we don't want deviance, unexpected aberrant behavior. So for the most part, organizations or organizing puts us in the middle. Another important implication is we know a lot more about one end of this continuum than the other.

Speaker 2:          02:26          So for example, think of physical health. On the lefthand side, we'd call that illness. I got the flu, I got diabetes, I got a heart disease. 90% of all medical research focuses on the gap between the left hand side in the middle. It's right and five six, five meal. If I'm having difficulty, I will get studied. There will be pharmaceutical products produced for me. People will do all kinds of tests as soon as I'm healthy. I mean I get a physical exam once in a while, but for the most part, medical science doesn't pay much attention me. So we know a lot more about the lefthand side than the right hand side. Another important implication, excuse me, is that hardly any research is done in psychology on anything except the lefthand side of that continuum. So for example, physical, uh, physical health gets a lot of attention, but psychological health gets a lot of attention to, for the most part, psychologists are in a business.

Speaker 2:          03:30          95% of publications focus on schizophrenia. Stress, depression, anxiety. I'm not doing so well. Emotional difficulties. That's where we focus. But see on the right hand side of that continuum, there is something called positively deviant health. Physically it's Olympic fitness levels, 5% body fat for man, 15% body fat for women. The ability to run an ironman competition. How many different than me? You know, some research, not much psychologically it's similar. Some years ago there was a book written called flow. It was about, describes a condition where you're so immersed in a task you care about, you lose track of time, you lose track a physiological needs if you're using, if you put electrodes on your brain, you're using more of your brain capacity than normal sounds. Zoning out in front of a screen. It's hyper activity mentally. Not much. Research on that a little bit. Not much. So there is positively deviant phenomena.

Speaker 2:          04:31          We just don't pay much attention to it. Organizationally, it's very similar. If you go to the business school at the University of Michigan, many of the courses, half the courses probably will hand you a case study. The normal assignment is, all right, what are the issues? What are the challenges? What has gone wrong? Come up with some recommendations and defend yourself. I went, how are we going to make money? How are we gonna overcome the competition? And so on that as we go from the left hand side to the middle just fine, but on the right hand side there is positively deviant organization performance. Now there are several important implications of thinking of the right hand side of that continuum. I refer to the right hand side as abundance gaps. I refer to left hand side as deficit gap, problem solving gaps, challenge gaps. Almost everything we study is focused on the left hand side of the continuum.

