Speaker 1:          00:03          Yeah.

Speaker 2:          00:05          [inaudible] everyone. Welcome to toxic Google. I'm Kevin Valic. And today you guys know the two from the hit show on comedy central key and Peele. And they have their new film coming out on April 29th. Kiana Keegan. Hi Guys. How are you doing? Alright, happy faces. This is cool. So good working environment. Not nary a suit to be found. I love. So welcome. So tell me about [inaudible]. Tell us about the film.

Speaker 3:          00:35          Okay, so Keanu is, it is a film, a script, a film from a script.

Speaker 2:          00:42          This is very rudimentary. The way I'm going to be through this process. You write characters using words, there's words in the English language is on the,

Speaker 3:          00:52          okay. So a, a key and Peele writer named Alex Rubens and myself, uh, wrote this a few years ago with the idea that at some point someone would come ask you for a key and Peele movie. Um, so we wrote, uh, the, the most fun movie we could think of. And it is this movie that, uh, we were originally inspired by like three Amigos and raising Arizona and uh, uh, uh, true romance Zelman Louise Movies that had this heart that takes us through it and putting our characters, Keegan and my characters in this fish out of water scenario, this, this world of high stakes crime. But we wanted to give them a reason that would, uh, ground this journey and make it, make it feel real. So we put a kitten with a do rag on as the centerpiece of the, of the movie. And eventually somebody caught on that this would be a good idea. And it was new line cinemas and Warner brothers made the film for us.

Speaker 2:          01:53          Was the idea always to involve a cat? It's, it's, it's, we've a lot of people that obviously I've just seen the trailer, but it's absolutely ridiculous. And did it always involve a cat where is like, let's make a comedy action movie? Or what was kind of the genesis of that was actually the second one. We wrote a draft of the script

Speaker 3:          02:08          but didn't have the kitten in it and then we realized, you know what we, I know we are the two most biggest box office draws of all time.

Speaker 2:          02:18          You do amazing business in Europe and Israel. Say this goes to somewhere like Thailand where maybe the people don't know us as well. Put the cat in the poster, boom, boom, signed, sealed, delivered. We didn't expect that the kitten poster would just be, it would be here as well. We thought maybe we would. Maybe we'd be on the poster maybe here in the states the case. But I mean you can't really lose with a kitten named Keanu. I mean, you know, just walking down the street and I wrote me. He was like, I knew, you know what I mean? So it was a kid, the movie a good to go see this movie. Yes. This black people in the tomb. We, I had read that you actually didn't know about that. He was actually working on the, I didn't,

Speaker 4:          03:00          I was at work one day and he just, he, we were just at work and he came up and said, I've been working on this thing with Alex and, and know he, he, he's such a prolific writer. I was like, you know, I was like, oh, that's good. Good, good for you. And he's like, no, it's kind of pretty much a movie. It's a key and Peele movie for us. And I was, I was like, oh, he's like, w w was going to do a table read on Friday. And it was like, Gee, do you want me to be there? And he's like, yes. Yeah. Keegan, I wrote a character for you. It's a key and Peele movie. And, and I think that first draft that we read, the draft I read, we read at that table read, didn't have the kitten in it. Right.

