Speaker 1:          00:09          Thank you so much for being here

Speaker 2:          00:11          guys. Have a seat. Let's chat. I know this is Google cause we're miked right here. Might all this tech is here and cameras are all set up. It's, you know, a Google the place. So, um, first of all, welcome to Google Chicago. We are so excited to have you guys here. This movie is incredible. Um, I guess I really shouldn't be saying welcome to Chicago for you because you are kind of a Chicago Guy, right? Yep.

Speaker 3:          00:35          I lived here 11 years.

Speaker 2:          00:36          Incredible. Yeah. Any love to hear? I mean obviously you've done some amazing work around Chicago stories, right? Whole food barbershop. Yeah.

Speaker 3:          00:45          Yup. Roll bounce. Right. I did about at least about six, seven movies here. Actually, one thing I'm very proud of with my business partner Bob title, when Obama was here, um, you know, he actually greenlit the tax incentive for film. So we were one of the first major guys to allow five, you know, movies to come to Chicago with a nice discount for a filmmaker. So I was really proud of that. Wild is, yeah. Yeah.

Speaker 2:          01:12          That's just incredible to me. And so one of the things that I see as a consistent theme through some of your films is the fact that you have a pension for telling stories about the culture, all sides of the culture, right? You know, you get your sadness and your happiness, you get the joy and that's a lot of what we get in the hate you give. So yeah. Tell me, what about this book and the screenplay drew you to it. Why did you want to tell this story specifically?

Speaker 3:          01:35          Yeah. What I really love about it was it was specifically about the culture, about this young girl and her family. You know, the ideal of navigating between the two worlds. So the ideal of her struggling and then that being compromised when she witnessed the shooting of her best friend. I just thought that was an interesting character arc. But what I love is how the family is always centered and no matter how tough things get, no matter how you know, people in the neighborhood telling her not to say anything about the shooting or how much pressure she feels from the police department and how much pressure she feels from her white friends, her white private school, she just push us and it makes the film has this emotional rollercoaster. Where are you going through all these emotions? That's what I really imagine envision for the movie. When I talked to Angie, because her book was very amazing, but what I really love is how, which I find really significant is that you can tell a movie about this specific culture, but it can be for everyone. You can do it with a way where you're not compromising who we are. And I think that's the key. Yeah,

Speaker 2:          02:44          and that's one of the things that was the most beautiful about it. I mean, it's the kind of movie that can speak to a range of audiences and really welcomes them in with open arms, which is so incredible and hard to do. I think so. Amandla for you. What brought you to this movie? So I hear

