Speaker 1:          00:07          [inaudible] welcome

Speaker 2:          00:10          to Google. Thanks very much. Yeah, so a phenomenal, uh, it comes out on February 23rd, um, globally. And so, uh, we're super excited. Um, so this is based on a novel. Um, and so by Jeff Vandermeer has a trilogy southern reach. Um, so I want to talk about a little bit about when was your first time when you discovered the book or read the Book and, uh, what attracted you to it? It was sent to me by, I'm a producer. I just worked with him on this movie x Makena and um, uh, I was in post production, so editing and so on of x Makena he sent me a book and he said, uh, you should take a look at this. And, um, I read it and uh, and I sort of decided as I was reading it that I'd like to give it a try at adapting it.

Speaker 2:          01:02          Um, uh, it had two particular things. It's genuinely original as a book and that is unusual in itself because, uh, most stories that we encounter in literature and in cinema and in television actually repeats of stories that we tell ourselves. Again, and again and again, for whatever reason, it's like a form of reassurance or a ritual that we need or enjoy or something. And this wasn't like that. It just stepped outside it completely. So first off it was original and it also had a very, very powerful, strange atmosphere. The, the reading of the book is a little bit like having a dream and, um, uh, that was also very unusual. It presented a lot of issues in terms of how you adapt it. I've worked on adaptations before, uh, where you have a certain kind of narrative that you're almost cutting and pasting the narrative.

Speaker 2:          02:04          Uh, and, uh, this, I couldn't see how it would function like that, but the thing that attracted me to it was true originality and this crazy, dreamy, trippy atmosphere. Right. And, um, you know, you, you wrote her novel, the beach back in the 1990s, and until that long time ago, and it was a debit into a film. So what was your experience like now, kind of on the reverse? So you had your book could dip it into a film and now you're adapting a book. Uh, well, I don't know. I mean that was 20 something years ago. It was a long time ago. And I've been working in film. I basically stopped writing books and I started writing films and working in film. Um, over that period of time I'd done I think three adaptations, uh, as films that got made. At any rate, um, one was never let me go.

Speaker 2:          02:54          Uh, which was an adaptation of a book. One was dread, which was an adaptation of British comic strip character called judge dread from a sort of anthology series called 2008 d. And then there was this annihilation that was the third one. And in each case it was different. Never let me go. Very almost slavish adaptation of the book, um, uh, dread, uh, is like a set in a big Saifai world. I work in a low budget arena. I can't really do that stuff. So I was faithful to the character. It was an adaptation of the character. And in this instance it was like an adaptation of the atmosphere, I would say broadly as that's very broad. What was it like? It was really, really hard. I mean, it was seriously difficult. Um, but, uh, that's okay. That's, um, as the job. What about Jeff Vandermeer? So the, you know, the original author of the book, Do what, did you work with him?

Speaker 2:          03:50          Did you get any advice from him that you clear out the clear anything with him? Or did he kind of say, yeah, I can do what you definitely are because, because having, having written novels years ago and had them adapted, uh, and really what I am as a writer, but that when I think of what my job is, I'd say I'm a writer. And so I, I feel an affinity with the writer of the book and a kind of duty, uh, to them. And what I said to Jeff was, I'm not going to, I was upfront, I said, I'm not going to be able to do a beat by beat adaptation this cause I don't know how to do it. Somebody else might be able to do it, but it's not me. And so in a, in a sense, partly what I needed from Jeff was his blessing, his permission.

Speaker 2:          04:31          And then I wrote a screenplay and I showed it to him. That was it. Yup. Yup. And it's, it's crazy cause it have, how many of you guys read the book but people were there and called the book is I just read it and I was spraying because the characters don't have names. They're just go by counteracting that biologists have a psychologist. Right. And so, um, and do that in the film while I'm used to writing it. Yeah. You didn't character names, especially when you don't need them. But what I figured was, um, if you didn't have names, because we use names when we're talking to each other and if you completely avoided that in a film, it might feel arch, you know, it might feel like an affectation. And in a book, it, I think because it's such a sort of internal first person bucket, it doesn't matter.

Speaker 2:          05:18          And it's actually kind of cool. But in a film I didn't, I didn't want it to feel mannered in that way, so I just gave them names. And so, uh, x mark in our, um, which you worked on before, the subs, your first directorial debut. Um, what did you take away or learn from that funnels director that you brought over to this film and what was easier for us or nothing? Nothing. Fair enough. Uh, basically any way the job never changes. I, I, I find myself repeating this again and again, but it's because of, I think it's the way we perceive film, which is as a pyramid structure. And at the top of the pyramid is a director and it's, it's just my personal experience of filmmaking. Um, uh, I don't really like pyramid structures anyway. I have to say they're not, they're not my scene, but, um, uh, I would see it more like a mountain range, a mountain range with a kind of parallax effect happening.

Speaker 2:          06:15          So sometimes one mountain feels more prevalent than another, and then you shift your perspective and everything's different. Um, and, uh, that has always been the case at different times in the process in development shooting postproduction the parallax is shifting. That didn't change before x Makena after. Um, and, and the truest way I can say it is that it's a collective. Uh, I work in a collective and it's a group of people. Some of them I've worked with for 20 years. Uh, some people come in new and then they have to learn the vibe of how the collective works together. Um, I'm not saying this is lip service, it's literally true. Uh, uh, it's, it's something like a version of anarchy. Uh, it, it's, but it's not anarchy as chaos. It's anarchy where you have a collective of autonomous bodies who are all working towards the same goal.

Speaker 2:          07:13          And, uh, that, that's the sort of methodology. Um, so I never sort of quote unquote coax a performance out of an actor. The actor is responsible for their performance. After we do a lineup, a rehearsal and all the crew comes in to see what the blocking looks like. Uh, I then turned to the dop and I don't say put a camera here and put that lens on it and move it like this. I say, how do you want to shoot it? And that is the whole process the whole way through. Wow. And, um, so you talked about, you know, working with a lot of same people and, and, and kind of building up your crew. You're without Oscar Isaac on x mocking out and he brought him back for this. So what was um, or it came back and gets bored. What was, when did you guys meet and what kind of, why don't you to, to reap cast again?

Speaker 2:          07:59          That's just a good partner. We met in x Makena um, trying to find the right cost and Oscar is a bunch of things. Um, you know, part of what I'm saying, part of what I just said before relies on likeminded people. Okay. So if you're not going to fit into that vibe, it's not going to work. Um, and uh, Oscar fits into that very naturally because he's a very self possessed actor. Um, he, he thinks about it on his own. He comes to a conclusion, he arrives between takes, he varies the takes. Um, he says, I want to try it like this. And then he tries it like that. So it's partly that he's just flat out brilliant actor. He's very self possessed. He's also a good guy to have around. He's very witty. He's got a fantastic sense of humor. He's kind of relaxed, um, like what's not to like, yeah. Now easily. He's phenomenal. He's phenomenal. He's phenomenal. Our next on you have

Speaker 3:          08:56          an incredible cast with Natalie Portman and who plays lead junior Rodriguez, Tessa Thompson, um, Jennifer, Jason Leigh, and so brilliant. Yeah, no, and it's, it's a phenomenal, a phenomenal cast. So when you're casting your lead and you're kind of looking at the characters in the book and then you're trying to adapt that to, to what your vision is, where, how did you land on, especially with Natalie being the lead, how'd you find her and, and what qualities did she bring to that where you're like, this is,

Speaker 2:          09:21          this is my Lena Wah Wah Notley has as an actor is, uh, she's got these two concurrent things going on at the same time. One of them is an enormous amount of poise. Um, she's, she's kind of, she has a powerful presence in her behavior, in the way she looks in this sort of aura around her and all that kind of stuff. I'm talking about primarily talking about in terms of performance, um, because obviously that's the thing that is on the screen and that's what you're looking for. But she also has something else, uh, which is she has the ability to demonstrate damage between the cracks. And so as well as having all of these actually rather intimidating features, uh, there's something she can tap into which is broken and, uh, um, explosive, uh, and, and kind of wild. Um, and so there's a sort of subversion inside her and that made her exactly right for this particular character.

Speaker 3:          10:30          Yeah. And she's absolutely been with the entire cast is just so well, well Castin and, and so well chosen and phenomenal. And the movie is just, it's crazy where we talked about this a little confident where it's just, it's really weird. It's a mind numbing thing and it's phenomenal. Like it's so, so, so freaking good. Cooler. Um, where I was, was there any kind of know, but what, was there any kind of like, no, it's, it's, it's smell, but like was there any inspiration in terms of the store, cause it did change from the novel. Where did you kind of pull from in terms of what it, was it the story you were arresting him for a while or did it just kind of evolve as you are right now?

