Speaker 1:          00:09          Thank you very much. Thank

Speaker 2:          00:10          you all for coming and thank you for the invitation. When someone from Google says that your publications are countless, it really means something. Uh, actually I wanted to say that I'm very grateful to Google, not only a for inviting me, but because you give me my best way of impressing people when I am trying to blow their minds about my podcasts, which is a, I tell them about it and they say, where can I find it? And I say, just Google the phrase history of philosophy. And after Wikipedia I'll be the first hit. And they were like, no way. Um, I also sometimes try to impress people by telling them how many times it's been downloaded, but I think if I told you the number it probably wouldn't impress you, so it won't bother. Okay. So, um, I was asked to come speak about this book.

Speaker 2:          00:58          This is a little slide I like to call shameless self promotion. So I republish this, uh, last year, I guess. And it's a very short introduction to philosophy in the Islamic world that was published by Oxford University press. And nowadays when I'm asked what areas I work on, I usually say late ancient philosophy and philosophy in the Islamic world. And that's a little bit of a mouthful. And in fact, when I was talking to the editors at Upi about what to call the book, they said, well, can't we just call it Islamic philosophy if that would be a lot easier and maybe easier to sell? And I said, no, we can't. And I want to first of all explain why. So why is it called that? Why is it called philosophy and Islamic world? There's really been a kind of debate about what to call this topic.

Speaker 2:          01:46          Arabic philosophy or Islamic philosophy as long philosophy is kind of the obvious thing to call it because most of the philosophers who leap to mind from this tradition to the extent that any philosophers at all leap to mind are Muslim. And also a big role in this tradition is of course played by the context of the chronic revelation. So a lot of the thinkers in the tradition are in fact sort of using philosophical ideas to interpret the Koran or respond to ideas from the Quran. Uh, but I think actually in a way, although that's true, and I wouldn't for a moment deny it, it's maybe prejudges the tradition as one that's primarily about responding to the Quran so that we assume that any philosopher who was working in the Islamic world would necessarily have been mostly interested in using philosophy to, for example, prove that God exists or prove that revelation as possible or prove that Mohammed was really a profits.

Speaker 2:          02:47          And that the things he said are true. There are certainly thinkers who were very interested in that project and we're even primarily motivated by doing that. But that doesn't apply to all philosophers who worked in the Islamic world. And especially, it doesn't apply to philosophers who worked in the Islamic world who weren't Muslim. And in fact, it turns out that there were quite a few of these. So just to give some examples. Um, the people who originally translated Greek philosophical works into Arabic. And I'll say more about that in just a moment. We're mostly Christians because they were either from Syria or from of Syrian extraction. This is what's going to pass for, uh, you know, rip from the headlines. Relevance in my talk, they were from Syria. Uh, and the, the, the reason why they were the ones you could turn to for translating Greek works into Arabic is that there was a living tradition in Syrian Christian monasteries of working with Greek texts and translating them into Syriac, which is another Semitic language and us a lot closer to Arabic.

Speaker 2:          03:55          Then, um, then Greek was, so they played an important role in that transmission of Greek philosophy into the Islamic world's. Uh, and then after that you have more Christians who engage with these translations. So a good example is a group that we sometimes called the Baghdad Aristotelians who lived in the 10th century, uh, and they were Christians and known in this metropolis, the center of the Islamic empire of Baghdad as experts and Aristotelian philosophy. Another example, and maybe a more prominent example in a way, is that a lot of important Jewish philosophers have lived in the Islamic world, including the most famous and important ever Jewish philosopher, unless you count spinosa which topic of a whole another talk, but with Spinosa Jewish philosopher, but even perhaps more famous than it's Moses [inaudible] who lived in the 12th century, was born in Islamic Spain. And when conditions became unfavorable for Jews moved to Cairo.

Speaker 2:          04:59          So when I wrote the, the Vsi, and in general, when I do research on this area, I always try to make a big deal about the fact that if you're going to study philosophy from this cultural context, you have to realize that some of them were Christians and Jews, and you shouldn't therefore call the topic Islamic philosophy. That would just be kind of bizarre, right? In fact, it would be more appropriate to call medieval European philosophy Christian philosophy than to call this Islamic philosophy because in medieval Christian Europe, almost all thinkers were in fact Christians. But we don't do that. So I don't call it as long philosophy. Uh, sometimes people have suggested calling an Arabic philosophy, and this is in part to highlight something I just said, which is that philosophy in the Islamic world more or less kicks off with the Greek Arabic translation movement in the ninth century and century.

Speaker 2:          05:54          A lot of you are engineers. I should mention that this isn't just about philosophy. That translation movement also renders many works of science and even engineering into Arabic. So you have works by Ptolemy, Euclid and other mathematicians who are translated into Arabic. They translated not necessarily everything they could get their hands on, but an astonishing amount to the point that, for example, Aristotle who for them, just as in medieval Europe was the most important philosopher. They could read pretty much all the Aristotle we can read. But in Arabic, um, sometimes you might hear if you kind of know anything about the importance of philosophy in the Islamic world, one of the things that you might know is that Europeans got their hands on people like Aristotle through the Islamic world. So the idea would be Greek philosophy was translated into Arabic in the ninth and 10th centuries.

Speaker 2:          06:51          And then it was, the Arabic versions were translated into Latin around 1200. Um, and as you'll see, that's going to be an important feature of the tradition that I'm going to talk about later on that translation into Latin around 1200. Um, and so the thought would be, oh, well the reason we can read Aristotle is because his works were translated into Arabic and then that from there into Latin and it kind of medieval version of Chinese whispers. Um, that's actually not true because if you think about it, we have aerosol in Greek, we don't have to read him in Arabic and Latin. So actually we get Plato and Aristotle from the Byzantine Empire, which is basically the remnants of the Roman Empire after had collapsed in the west. It survived in the east and they still have plenty there. There are manuscripts of Plato and Aristotle that still exists today. That's how we can read them in Greek.

Speaker 2:          07:48          But although, although it's not true that the Greek has completely lost for these guys, there are some ancient philosophical and scientific works that are only preserved in Arabic. And it is certainly true that for a while in the medieval Christian world, their primary access to ancient philosophy was through the Arabic tradition. And they used Muslim philosophers as commentators and guides to understanding, uh, figures like Aristotle. Okay. So this whole fact that Arabic plays a crucial role in the transmission of knowledge about science and philosophy from the ancient world. So ancient Greece and then the Roman empire into the Islamic world. That's certainly true. And so an advantage of calling this field Arabic philosophy is precisely that. I actually am the co editor of an earlier book called the Cambridge companion to Arabic philosophy, which I would now call the, I would out wish I had called actually the Cambridge companion to philosophy and Islamic world.

Speaker 2:          08:51          But this is what we were thinking. Well, we call it that. We were thinking it's either or Arabic and we don't want to call it Islam Salami, so we have to call it Arabic. And this seemed like a good rationale for it. But as we actually already admitted in the introduction to that book, uh, this is actually quite misleading. So the maybe the most misleading thing about it is that it suggests that all philosophical and scientific literature in the Islamic world was written in Arabic, which just isn't true. So actually, especially if you as you go on into the later period, and I'll be saying more about that in a moment. Um, a lot of philosophical literature from the Islamic world is written in Persian and there are other languages too where they write a philosophy. So for example, Syriac which I've already mentioned, so I'm actually not very happy with Arabic philosophy anymore either.

Speaker 2:          09:41          Arabic philosophy has one other problem, which is that whenever you say Arabic philosophy, people then come up to you and various self righteously say, oh, but you do know that most of them weren't Arabs. Right? Which is true actually. So a lot of the major figures from the Islamic world, we're not ethnically Arabs, but we're from Central Asia, including [inaudible] who as we'll see as the most important figure of in philosophy of the Islamic world. But I just think that this is a, this just shows that people don't know English because in my opinion Arabic is a language, people aren't Arabic people are Arab. I don't know what you all think about this. But to me as in sort of native speaker, that's what Arabic and heroin means. So this is to me a sort of, it's sort of a fallacious reason not to call it Arabic philosophy, but it's really annoying to keep getting people who keeps me, well you know that they weren't all Arabs so I've just done a lot, I don't really want to deal with it.

Speaker 2:          10:39          Um, there was actually another phrase which is sort of sort of term of art, which has been developed within the field of Islamic studies, which is the so called Islamic hate Islamic hate would mean the geographical regions under Muslim Dominion. And that's really what I mean. So I would call it Islamic hate philosophy if I thought people would know what the heck I was talking about. But if I take it that, I mean, if this had been called, notice how I keep getting back to this slide. I mean as an American emoney, I'm a born marketer. I mean, imagine if it was called Islamic hate philosophy. You'd have no idea what it was about, right? Like what does that supposed to mean? So I don't say as long as Kate, I say philosophy and Islamic world. Okay. Now this is a little slide I like to call shameless self promotion part two.

Speaker 2:          11:29          Um, if you actually look at the bottom of this slide, that's the, that's where you get if you Google history of philosophy. Um, so I've been running a podcast since 2010 whose aim is as it says at the top of the books to cover the entire history of philosophy without any gaps in 20 to 25 minute episodes. So it starts with the pre socratics, the Greek philosophers, and it goes until I get hit by a bus, uh, or meet some other and, or I get to now. So sometimes people say, well, what will you do? Like when you run out of history of philosophy. And I say, well, I can just like cover whatever it was just published that week. Um, it comes out once a week, every Sunday. And um, as we already heard, it's, uh, to episode 273 I think there is also about 40 episodes on Indian philosophy, which I've been doing with, um, [inaudible] and canary.

