Speaker 1:          00:06          Please give a warm round of applause and welcome to the stage and Matthew Claudel.

Speaker 2:          00:13          [inaudible].

Speaker 3:          00:16          Thank you. Thanks everyone for coming today. My name is Matthew Claudel and I'm a researcher at Mit in the Department of urban planning and also with Mit lab for innovation, science and policy. And I'm here today to talk about the evolution and growth of urban innovation. So we live in a widely publicized urban era. It's the reason why sidewalk labs exists. The reason why I do what I do, and um, this global shift to cities is bringing in extraordinary set of challenges. For example, food production and agriculture, transportation, equitable governance, these are all huge issues. But I also think that the metropolitan shift is giving us an extraordinary set of tools to answer those challenges. So my work deals broadly with the question of how to generate, test and scale new urban technologies in a way that's equitable, robust, and citizen centric. Now obviously that's a huge topic.

Speaker 3:          01:14          So for today's presentation, I've broken it down into four main categories. The first of these is Futurecraft, which is a new methodology that I developed in a recent book with Carlo Ratti, which you can find back there. Um, the second is design x, which is a program that we just launched it MIT this semester and it's intended to refocus design education towards entrepreneurship and urban innovation. Thirdly, I'll talk a bit about, um, dynamic urbanisms these sorts of prototypes that I've seen for what I think of as a new mode of city making. And finally bringing that all together, synthesizing it into the question of now what, what do we do with all this? How do we act? So we're talking about the future of cities. I want to start with something that we all love Paleo futures. Um, I think for as long as people have been building cities, we've also been imagining what the future of the city will look like, what, what's going to happen tomorrow?

Speaker 3:          02:07          Everything from Fritz Lang's metropolis to minority report, they're all imagining this future city. So out of this scrap heap of urban visions, I chose one from my hometown of Boston. Um, this is an article that ran in the Boston Globe in the year 1906, I believe, or sorry, 1900 in which the authors imagined what Boston would look like at the turn of the millennium. So you can see, he imagined that everyone will own an auto something or other interesting didn't come to pass, but I guarantee you he could not have imagined the long chain of ideation of innovation, of technology development, including the internet, including Google. Actually that led to everyone having a personal driver. This was a radical vision that could never have existed back then. So if you imagine that kind of long chain of, of ideas and technologies and innovations and you look at them developing over time, you get something a little bit like this. This is one of the earliest diagrams of that concept. It's by, um, Augustus Pitt rivers from 1906. It's called the evolution of culture. And in it he imagines how a simple stick is developed, iterated into any number of weapons and tools. And to me, what, when I see this, I see an underlying evolutionary metaphor. You can think of the development of technology as a sort of synthetic evolution.

Speaker 4:          03:29          Yeah.

Speaker 3:          03:30          Now if we have synthetic evolution, I think the role of designers is actually to introduce mutations into that progress to introduce mutations into the development of synthetic evolution.

Speaker 3:          03:43          Now as designers, um, it's a little bit different than the biological world and in the biological world, mutations are entirely random. They happen with each generation and it's kind of the scattershot approach. As designers, we have the obligation and the luxury to think about how things ought to be. In the words of Herbert Simon, we're, we aim at changing existing situations into preferred ones, which is great, but it's not quite that simple because why should the designer be the one to choose how things ought to be. Why should the responsibility to adjudicate between preferred situations and not preferred situations be vested only in designers? Um, I think that the process of public debate and public scrutiny, especially when you're talking about urban technologies in public space should be collectively held. Um, I think that is analogous almost to the force of natural selection in the biological yeah.

Speaker 4:          04:38          World.

Speaker 3:          04:40          So this whole framework is what we call Futurecraft. And that's sort of the, the framework onto which we built the city of tomorrow book. And I want a diagram a bit how it works. So here we are today positioned with respect to the future. You can take any topic and see where it is today. For example, transportation. And you can look back and see all of the developments in iterations and technologies that led us to where we are today and carrying forward that momentum. You can see where it's going to, where it might go in five years in 10 years down the line. And then you have this sort of like future scenario, this vision of what the city might look like in 10 years. And into that scenario you can propose a design project. So going back to transportation, we know there was the Ford model t we know there was unleaded gasoline. Today's, there's a Tesla we could imagine in the near future, what if every car we're autonomous. And then you can begin to design into that scenario. So, for example, in a future of autonomous cars, you can rethink what a car looks like. You can design new ride sharing interactions. You can also rethink what a parking lot needs to be now that we don't need to park our cars anymore.

Speaker 3:          05:50          So of course that design project exists not in the future, but today. And because it does, it can actually influence the development of synthetic evolution over the next five, 10 15 years. And in 2031 15 years down the line, we're going to look back at 2016 and say, wow, that was crazy. I can't believe that we thought the city of tomorrow would look like this. But at least it gave us momentum. And it gave us a context into which to develop a design project. And that again is this notion of Futurecraft a to quote Anthony Dunne and Fiona Raby. Our role is to unlock people's imaginations and generate alternatives. So in this book, we use that methodology, this framework to look at a number of what if scenarios. So, for example, what if humanity could collectively, right as we read, what if drones merged with the environment?

Speaker 3:          06:41          I'll talk a bit more about that one later. And this little collection of projects is a good snapshot of the kinds of work that we were doing at the senseable city lab. The kinds of work that I got to be involved with, with an incredible team of people, uh, researchers, designers, computer scientists, technologists. But what, what struck me is that many of these projects don't go beyond the prototype phase. And of course as a research lab, you're not intending to, to kind of develop businesses, but at the same time, our cities need this kind of thinking. Our cities need these sorts of technologies to be integrated to solve the challenges that we face today. And that really led us to this idea for design X. I'm a new program that refocuses education towards urban innovation and all. Explain a bit more about what that means.

Speaker 3:          07:26          Um, it builds on a lot of momentum that's happening right now at the institute. To quote Ed Roberts, who's a pioneer of innovation at MIT. Universities must create a culture and programs that make entrepreneurship widely accessible. And at Mit, obviously that's nothing new. If you look back during World War II in the 1940s, um, conditions were absolutely perfect. There was high demand with the war effort, there was low funding, so people were really thinking creatively about how to do things differently. Um, there were a lot of partnerships with government and industry and a unique organizational model. What I mean by that is that MIT put up some really shabby buildings and crammed everyone in there and told them to work really hard. Um, building 20 is kind of the famous example, the Rad lab, and out of that building, um, it seems incredible, but radar, microwave technology, bows, acoustics, the first video game, Chomsky, linguistics, I mean it was really across the board.

Speaker 3:          08:20          I'm one of the most vibrant and innovative hotspots in the 20th century. And if you look at the development of innovation over the course of the 20th century, actually we've only skyrocketed from there. So right here in uh, 1946 in the middle of the war you can see a little blip. And here we are in 2014. So not only are we producing more patents, those patents are more collaborative and I think that has a lot to do with the space of campus. As an architect, I wanted to understand how does the physical architecture of the campus and proximity effect the way in which people collaborate. So this is what it looks like. Um, and the campus is organized obviously according to departments, labs and centers. These are things with a discreet buildings, but there are also some a spacial connections like initiatives and institutes. I mentioned before, the Innovation Initiative that I'm a part of.

