Speaker 1:          00:04          Okay.

Speaker 2:          00:05          So Andy is our guest here today. She has been for quite some time, the director of access technology at the National Federation of the blind. And in this role she has worked with top companies like Microsoft, uh, blackboard, Ebay, apple, Google of course, um, to shape the way that they develop and test their products for accessibility. She's now at Microsoft in the role of pm for accessibility on, I knew I was going to not be able to say this, the corporate and external legal affairs team. Um, and she's been in that role since 2015 she's also author, coauthor of a book called insuring digital content accessibility through policies and procedures. And she's got a wealth of experience and knowledge. So I'll just bring her up to start, start talking. Welcome Anne.

Speaker 3:          01:09          Hello. Are you buddy? Yep. Every time. You guys are way amazing. Hopefully I won't put you to sleep. Well, you guys have coffee ready? Doesn't face all right. How could you not have coffee ready when you are in Washington, right? Yeah, exactly. So every time I come to Google campus, whether it is in Kirkland and mountain view, um, New York, I always feel extremely welcoming. I am humbled and grateful by the hospitality that you have extended to me for this many, many years. My, his history of partnering with Google, advocating for accessibility, being a royal pain sometimes for you and other companies will uh, uh, happening, you know, go going back 10 years ago, probably 10 years ago. Wow. Many of you is still, for many of you in this room are probably not in college yet. That amazing. Anyway, um, in the past 10 years you have listen to the voice of customers and I really admire that about Google. I have an opportunity to witness tremendous amount of improvement coming from you and your hard work. And I think it's only right to take time to celebrate. And I want to go to through some of the accessibility improvement that I've seen happening from Google in the past 10 years, which by the way, even though I am working for Microsoft, I rejoice in that. I like accessibility improvement because

Speaker 3:          02:57          at the very heart of who I am, I'm an accessibility

Speaker 4:          03:00          advocate and I live it every day. And so when my peers are successful in this arena, I think we have the opportunity or the obligation to celebrate your success and every other company success that especially those who are willing and commit to accessibility and willing to do the hard work, willing to do what it takes to make accessibility possible. And you may think that partnering across the industry, it's a rare thing, but really honestly it must happen in accessibility. Uh, you and I know very well that we're competing in power priorities every day. I accessibility, accessibility, priorities, let me try again. Accessibility priorities, uh, often compete with other priorities in product development. And if the, and I think the only way for us to gain a foot hole in accessibility is for industry to partner together to move the accessibility agenda forward. Let's face it, if Google does it, wouldn't Microsoft do it? Wouldn't apple do it with Facebook? Do it in turn. If we work in partnership with each other across the industry, then ultimately we'll make our daily work much easier. The um, accessibility improvements that I've seen from Google. It was a dream as of 10 years ago now, but some of these improvements already visible in your products, so let's take time to celebrate some of them,

Speaker 4:          04:53          you know, have Braille in the various platforms of your product.

Speaker 4:          04:59          You know, when we came to Google, we were, we as in the use the users community, especially blind user. We're asking Google Google about Braille and we didn't, we weren't sure what the, we got to get it, but the fact that we have it today, it's something that we need to celebrate. Uh, the Android, oh, sorry, the Chromebook accessibility steadily improving Google apps. Accessibility continues to improve over the years and then with the release of android marshmallow and android. Okay. I must say the accessibility improvement and you have done is I needed to be commended. I know individuals who had die hard apple fan is now, are now taking a look at Android, no kid as viable options. This is something that we need to celebrate. You have a tremendous leadership, uh, team that provide you with proper guidance. And I've come to know many of them.

Speaker 4:          06:11          Um, Eve Anderson, of course, I consider her to be a good friend and great colleague. Uh, I'm going to pick on you Lewis, Anna, Laura, uh, Premera from, um, the chrome team, Sean laureate and Richard John will, I'm going to leave somebody out and they're going to be offended. So I better stop well on the head. So, uh, but your success here, we need to celebrate, but I'm sorry to say that it does not need to be only your success, but we need to work together again to move the agenda forward for the whole industry. Because of this reason, we are creating our products to be accessible and usable by our customers. Our customers are the most important, um, individuals that were served. We are better start listening to them. In the recent years, every company in the industry see the straw procurement language inserted into accessibility, uh, into a procurement policy.

Speaker 4:          07:24          Our enterprise. Customers want to know that when they purchase our products, they want to be reassured that when they purchase our product and the deploy our products and services and that everyone will be able to use our products and services. Now our customers are coming from a very diverse demographic background as you know, and we have the responsibility as technology company to find ways to empower every individual and give them opportunities to be the best that they can be. I also would like to point out to you that the need of our external customers are not very different from the knee of the internal colleagues with disability. It is extremely important and I think imperative for people or for the technology companies to examine our employment environment to ensure that we have an inclusive workforce. Microsoft taking that seriously. I know Google has taken us seriously and I hope more and more people are doing this, so now how can we

Speaker 4:          08:37          ensure that everything that we create is accessible? I would like to propose that we employed three basic principles that I learned to work very well in the past so many years that have been an ad, uh, advocacy for accessibility. And by the way, the experience that sharing with you today I hope will prove useful at the minimum, at least it's thought provoking, is the experience that I gleaned from seeing things happening on both sides of the camp. Uh, I think, uh, my experience is quite unique in that, you know, I used to represent a solely the end users community and now I'm working with major industry player. So, um, so I hope that my experience can be useful to you. But the three principle that I would like to bring to this talk are the following empathy, engineering excellence and policy. We must learn from our diverse pool of our cost of our customers and colleagues with disability when we truly understand their needs. That is, I believe, when we can make the right choice on how we can innovate. As an example, if you have a complicated menu structures, why not just put a edit box, edit feel where people can enter in the command to search the commands name to search for various features in the program. So not everybody has to go through, uh, the, the, uh, complicated menu structures. And this is good for everybody, not just the blind, but um, everyone who you don't, I don't quite remember where the location of certain feature said maybe.

Speaker 5:          10:22          Okay.

Speaker 4:          10:23          So things like that seems simple, right? But, uh, we don't take the time to think about it often enough. So does accessibility design truly make product better? I believe yes. And I think you do too because if you don't believe that it is, so you probably wouldn't be here on Monday morning at 10 o'clock. I, you probably watched the debate. Don't worry, I won't get into it last night. Staying up late and now you're here. So you must have some certain level of commitment to accessibility, which I'm very glad to know now

Speaker 4:          11:01          that let just not take my word on this, right. Uh, less examine historical record. I believe that I have over old 250 years of data to convince you that accessibility actually make our product better. And I'm going to go through them. No, just kidding. Not every, not everything, not everything. So, but let's just look at a three example. If you want to know more. By the way, I have, I had handed my book over to Emma to be included in Google library just for you to use as reference material. But let me, uh, oh, that's good to know. Uh, let, let me mention two or three things. Cordy keyboard. So the qwerty keyboard was created by a man Oh, in the, the 18 set, the late 17 hundreds, uh, some type, some form of this qwerty keyboard, uh, to allow his blind wife to write him letters when he went on many, many long distance business trips.

Speaker 4:          12:10          I'm so thankful that our mode of transportation, it has advanced. We don't have to do a, we don't have to use the same motor transportation in the 17th centuries anymore. But nevertheless, this keyboard in some form, some form of this keyboard has been with us since then. I love the fact that accessibility actually created out of love. That's pretty cool. And standalone reading machine for the blind. So in the 1970s not the Ray Kurzweil who now you have as part of your colleague, I'm pretty jealous about that. Um, he is a beloved figure and among the blind community in the 1970s, he, um, created and invented a stand alone reading machine for the blind. And back then all the machine, it's about the size of a washing machine, I think. Um, and as obviously have a very slow computing capacity. But the groundbreaking thing about this machine is it incorporated a three important technologies, speech synthesizer, omnifont character recognition technology, and a flatbed scanner. Now,

Speaker 4:          13:30          if you asked it, the Kurzweil, and if you don't get a chance to meet him or at many of you have a chance to meet him, I would recommend it. He's a very stimulating individual. He would tell you flat out that this machine was created because he met a adopted daughter genic and the president of the National Federation of the blind, um, in, in the 1970 and up. And he asked atherogenic and what kind of problem and you want to solve for blind people and other children. I said, well, we want to be able to give blind people the ability to read print immediately, seamlessly, easily just as sighted people. Well then they, you know, the doctor Kurzweil and then invented the reading machine. So look at today how individually we use these technologies. Speech, synthesizer, a omnifont character recognition could go use it all the time. I use it all the time. And flatbed scanner, you scan pictures, I dunno, probably weekly or daily and other, uh, technology, uh, invention that start first, uh, for the blind. And, uh, it was the record player and was invented by Thomas Edison. And if you look at his pattern is in my book does a, there he invented the record player because he wants to be able to give, uh, the blind ability to read. Now,

Speaker 4:          14:59          in the last century or more, we have experienced the explosion of a multi billion dollar industry. Uh, I don't know how many of you liked music, but I love music. Um, and so record player just created, you know, to give the blind the ability to read, uh, have really, uh, morphed into supporting, uh, uh, like I mentioned that the multimillion dollar music industry, which is I think is remarkable, uh, from this and sample it ability to design does not only make our products better, but I believe accessibility is a true source of innovation. Again, just look at how these types of technology change how we, the public consume information today. What about current example? Do we have any all right. I believe so. You know, recently Facebook, um, really, uh, invest in image recognition technology now to describe a images on the web. Google, Microsoft, apple provide accessibility out of the box. Um, and uh, you know, you can look at Amazon and their effort in making [inaudible] more accessible. This is [inaudible] good beginning however we must do even more. And you asked why do we want to do more? The reason is we want to do more because unemployment rate among people with disability is still very, very high. And

Speaker 4:          16:41          the technology that we create can help level the playing field for people with disability. If you look at the unemployment statistic for people with disability in the United States, um, just the blind demographic have 70% unemployment rate. The work that you do today matters a lot. Now we friendly guys. If we have a country that has that kind of unemployment statistic, the country would not survive. But yet we have people with disabilities all over the world combating a unemployment rate this high. And again, we have uh, an opportunity to make a difference here in the past 16 years that I have been an at and accessibility advocate, I learn similarly to other areas. I'm queue up too soon. I learned that similar similarly to other areas of computing, security and privacy as an example, it's engineering excellence, also applicable to accessibility and accessibility design. Without engineering excellence, it's not only difficult to integrate accessibility design techniques into the development framework, but maintaining accessibility will also be very difficult if not impossible. The under the industry can do more to support our pms and engineers.

Speaker 4:          18:16          Now, how many of you are pms? Just say I nobody. Just one eye. How many of you are engineers? Wow, that's great. I appreciate you taking the time. I hope not too boring for you just yet. Um, I would like to recommend the following items for your consideration as you are working in Google and as a exists as the industry press forward on accessibility agenda. I really do think, see whether you agree with me. I really do think that you may not want to admit it because you're on camera. You know too. I really do think that the industry should provide engineer with better tooling. No. Yes, there you go. Um, and and we should talk more about that and uh, industry should do more to increase the talent pipeline in accessibility computing area by partnering with Educational Institution to ensure accessibility curriculum. I taught at all level. Let me ask you something guys. Those of you who just graduate from college or been in college for the past 10 years, how many of you are taught accessibility design? Wow. You win in colleges university.

Speaker 6:          19:35          Yeah.

Speaker 4:          19:36          Nobody. I am going to take silence as no buddy. Um, so if, if somebody has been taught, then please, uh, please let me know and I'm, I'm happy for you if you have. So, uh, and the third thing that industry need to do is to celebrate the achievement of engineers who invest in accessibility and make a difference in making accessible products.

Speaker 4:          20:03          And finally, companies can do more to create a well structured mentoring program to disseminate knowledge on accessibility design among engineers. And we're going to take a look at this one by one shortly. But I think that if we take proper steps as an industry, we can swiftly and more holistically, uh, moving sustainability agenda forward. And isn't that our goal? Now, one of the biggest gap that I would like to see the industry solve is tooling engineers and developers need toolings that will enable them to design accessible websites and applications and other products easily, seamlessly going back as far as the wireframe product development stage. Don't you agree? Are you naughty? Won't work. Sorry guys. Um, today when we talk about accessibility, automated tools, we often think about the various accessibility testing tool, both pay and free. Even though these tools are useful, but they can only perform an audit after website or applications are created, accessibility design must truly be built in and not add on it.

Speaker 4:          21:41          We started to think about accessibility after apps and websites are created is absolutely too late. So what does this ideal tool look like? Well, in my opinion, this idea to should have at minimum this feature sets we should find in it a repository of all accessible standard controls relevant to the platform for the engineers to use. This will help eliminate the need for customized controls. I'll tell you one of the things that I, every time I talk to developers, I often tell them, do not use customize controls because if you use customize control, you're going to have to do tremendous amount of work to make those controls are accessible. But it's not always clear that standard controls is any better. Uh, or at least especially for those who are new to accessibility. So we need to make those status control easier to discover, provide guideline.

Speaker 4:          22:54          The two should provide guideline two engineers on how to create accessibility, sorry, accessible and logical layout so that every controller and every piece of content in the applications are on the website, are properly marked up and can be accessed with various input devices that is not, that are not a mouse base. The tool should immediately alert engineers when it detects code that blacks accessibility property before compiling if necessary. The repository of this, uh, the tool should also contain the repository of accessible sample code. This is going to be useful for engineers who are new to accessibility and what to learn, how to code in an effective matter at any given moment. This ideal tool that I'm talking about here should be able to provide the developers and engineers with the ability to simulate how a piece of code will function with the various, uh, popular access technology product that people would disability use. The tool should be able to detect the logical flow and order of how users use the product to come to complete core feature set.

Speaker 4:          24:26          And lastly, we must provide a robust a p I n s d k so that every developer and every engineer's everywhere candy below in an accessible manner. As far as I know, we had many accessibility tools out there, but as far as I know, we don't have a tool that have as comprehensive as feature set as the one I described. And if you do have any, please let me know. I believe though that with the use of AI technology, it is possible for someone to create such a tool. Now here's a challenge for you. Will Google do it first?

